,last_reported,num_ebikes_available,is_returning,legacy_id,station_status,num_docks_available,station_id,num_docks_disabled,num_bikes_available,is_installed,eightd_has_available_keys,num_bikes_disabled,is_renting,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
88,2020-08-01 06:46:30+00:00,0,True,99,active,6,99,0,8,True,False,1,True,,,2020-08-01 06:51:50,2020
89,2020-08-01 04:52:42+00:00,0,True,100,active,18,100,0,4,True,True,3,True,,,2020-08-01 06:51:50,2020
90,2020-08-01 02:44:49+00:00,0,True,101,active,9,101,0,6,True,False,0,True,,,2020-08-01 06:51:50,2020
91,2020-08-01 05:48:44+00:00,0,True,102,active,5,102,0,10,True,False,0,True,,,2020-08-01 06:51:50,2020
92,2020-08-01 05:03:51+00:00,0,True,103,active,9,103,0,5,True,False,1,True,,,2020-08-01 06:51:50,2020
93,2020-08-01 04:06:44+00:00,0,True,104,active,1,104,0,18,True,False,0,True,,,2020-08-01 06:51:50,2020
94,2020-08-01 05:07:41+00:00,0,True,105,active,1,105,0,18,True,False,0,True,,,2020-08-01 06:51:50,2020
95,2020-08-01 00:37:19+00:00,0,True,106,active,9,106,0,5,True,False,1,True,,,2020-08-01 06:51:50,2020
96,2020-08-01 06:50:44+00:00,0,True,107,active,18,107,0,1,True,False,0,True,,,2020-08-01 06:51:50,2020
97,2020-08-01 04:51:27+00:00,0,True,108,active,2,108,0,15,True,False,0,True,,,2020-08-01 06:51:50,2020
98,2020-08-01 03:06:08+00:00,0,True,109,active,7,109,0,26,True,False,2,True,,,2020-08-01 06:51:50,2020
99,2020-08-01 04:11:41+00:00,0,True,110,active,6,110,0,8,True,False,1,True,,,2020-08-01 06:51:50,2020
100,2020-08-01 04:30:07+00:00,0,True,111,active,15,111,0,0,True,False,0,True,,,2020-08-01 06:51:50,2020
101,2020-08-01 06:04:35+00:00,0,True,112,active,10,112,0,5,True,False,0,True,,,2020-08-01 06:51:50,2020
102,2020-08-01 05:00:58+00:00,0,True,113,active,0,113,0,14,True,False,1,True,,,2020-08-01 06:51:50,2020
103,2020-08-01 05:26:51+00:00,0,True,114,active,13,114,0,2,True,False,0,True,,,2020-08-01 06:51:50,2020
104,2020-08-01 04:22:00+00:00,0,True,115,active,6,115,0,12,True,False,1,True,,,2020-08-01 06:51:50,2020
105,2020-08-01 04:46:28+00:00,0,True,116,active,5,116,0,18,True,False,0,True,,,2020-08-01 06:51:50,2020
106,2020-08-01 06:29:39+00:00,0,True,117,active,12,117,0,6,True,False,1,True,,,2020-08-01 06:51:50,2020
107,2020-08-01 05:22:29+00:00,0,True,118,active,0,118,0,18,True,False,1,True,,,2020-08-01 06:51:50,2020
108,2020-08-01 06:03:38+00:00,0,True,119,active,1,119,0,13,True,False,1,True,,,2020-08-01 06:51:50,2020
109,2020-08-01 06:10:34+00:00,0,True,120,active,5,120,0,8,True,False,2,True,,,2020-08-01 06:51:50,2020
110,2020-08-01 06:32:02+00:00,0,True,121,active,7,121,0,10,True,False,0,True,,,2020-08-01 06:51:50,2020
111,2020-08-01 05:34:59+00:00,0,True,122,active,0,122,0,15,True,False,0,True,,,2020-08-01 06:51:50,2020
112,2020-08-01 01:51:02+00:00,0,True,124,active,10,124,0,5,True,False,0,True,,,2020-08-01 06:51:50,2020
113,2020-08-01 03:24:11+00:00,0,True,125,active,8,125,0,7,True,False,0,True,,,2020-08-01 06:51:50,2020
114,2020-08-01 05:42:20+00:00,0,True,126,active,4,126,0,11,True,False,0,True,,,2020-08-01 06:51:50,2020
115,2020-08-01 05:35:44+00:00,0,True,128,active,1,128,0,18,True,False,0,True,,,2020-08-01 06:51:50,2020
116,2020-08-01 03:35:40+00:00,0,True,129,active,8,129,0,11,True,False,0,True,,,2020-08-01 06:51:50,2020
117,2020-08-01 01:36:43+00:00,0,True,130,active,2,130,0,13,True,False,0,True,,,2020-08-01 06:51:50,2020
118,2020-08-01 05:48:52+00:00,0,True,131,active,4,131,0,10,True,False,4,True,,,2020-08-01 06:51:50,2020
119,2020-08-01 04:07:48+00:00,0,True,133,active,8,133,0,14,True,False,1,True,,,2020-08-01 06:51:50,2020
120,2020-07-31 23:18:05+00:00,0,True,135,active,14,135,0,3,True,False,0,True,,,2020-08-01 06:51:50,2020
121,2020-08-01 03:59:27+00:00,0,True,136,active,3,136,0,16,True,False,0,True,,,2020-08-01 06:51:50,2020
122,2020-08-01 02:32:22+00:00,0,True,137,active,12,137,0,3,True,False,0,True,,,2020-08-01 06:51:50,2020
123,2020-08-01 05:11:38+00:00,0,True,138,active,4,138,0,11,True,False,0,True,,,2020-08-01 06:51:50,2020
124,2020-08-01 05:54:04+00:00,0,True,139,active,0,139,0,19,True,False,0,True,,,2020-08-01 06:51:50,2020
125,2020-08-01 05:32:29+00:00,0,True,140,active,10,140,0,5,True,False,2,True,,,2020-08-01 06:51:50,2020
126,2020-08-01 05:27:08+00:00,0,True,141,active,13,141,0,2,True,False,0,True,,,2020-08-01 06:51:50,2020
127,2020-08-01 02:16:40+00:00,0,True,142,active,7,142,0,16,True,False,0,True,,,2020-08-01 06:51:50,2020
128,2020-08-01 06:40:43+00:00,0,True,143,active,7,143,0,15,True,False,1,True,,,2020-08-01 06:51:50,2020
129,2020-08-01 01:01:13+00:00,0,True,144,active,18,144,0,1,True,False,0,True,,,2020-08-01 06:51:50,2020
130,2020-08-01 04:31:58+00:00,0,True,145,active,4,145,0,15,True,False,0,True,,,2020-08-01 06:51:50,2020
131,2020-08-01 06:51:24+00:00,0,True,146,active,3,146,0,16,True,False,0,True,,,2020-08-01 06:51:50,2020
132,2020-08-01 06:36:57+00:00,0,True,149,active,14,149,0,4,True,True,0,True,,,2020-08-01 06:51:50,2020
133,2020-08-01 03:28:03+00:00,0,True,150,active,4,150,0,14,True,False,1,True,,,2020-08-01 06:51:50,2020
134,2020-08-01 05:26:51+00:00,0,True,151,active,14,151,0,3,True,False,2,True,,,2020-08-01 06:51:50,2020
135,2020-08-01 03:31:54+00:00,0,True,152,active,5,152,0,10,True,True,0,True,,,2020-08-01 06:51:50,2020
136,2020-08-01 04:07:22+00:00,0,True,156,active,13,156,0,2,True,False,0,True,,,2020-08-01 06:51:50,2020
137,2020-08-01 05:56:18+00:00,0,True,157,active,14,157,0,0,True,False,1,True,,,2020-08-01 06:51:50,2020
138,2020-08-01 02:03:02+00:00,0,True,159,active,8,159,0,6,True,False,1,True,,,2020-08-01 06:51:50,2020
139,2020-08-01 06:12:40+00:00,0,True,160,active,5,160,0,9,True,True,0,True,,,2020-08-01 06:51:50,2020
140,2020-08-01 05:35:14+00:00,0,True,161,active,1,161,0,22,True,True,0,True,,,2020-08-01 06:51:50,2020
141,2020-08-01 00:50:29+00:00,0,True,162,active,10,162,0,5,True,False,0,True,,,2020-08-01 06:51:50,2020
142,2020-08-01 04:44:27+00:00,0,True,163,active,2,163,0,17,True,True,0,True,,,2020-08-01 06:51:50,2020
143,2020-08-01 03:53:09+00:00,0,True,167,active,7,167,0,7,True,False,1,True,,,2020-08-01 06:51:50,2020
144,2020-08-01 04:51:18+00:00,0,True,169,active,13,169,0,6,True,False,0,True,,,2020-08-01 06:51:50,2020
145,2020-08-01 02:30:11+00:00,0,True,170,active,12,170,0,2,True,True,0,True,,,2020-08-01 06:51:50,2020
146,2020-08-01 00:37:20+00:00,0,True,171,active,16,171,0,7,True,True,0,True,,,2020-08-01 06:51:50,2020
147,2020-08-01 06:36:51+00:00,0,True,173,active,2,173,0,10,True,True,2,True,,,2020-08-01 06:51:50,2020
148,2020-08-01 03:35:45+00:00,0,True,174,active,4,174,0,11,True,False,0,True,,,2020-08-01 06:51:50,2020
149,2020-08-01 05:51:36+00:00,0,True,175,active,8,175,0,8,True,True,1,True,,,2020-08-01 06:51:50,2020
150,2020-08-01 06:41:18+00:00,0,True,176,active,8,176,0,7,True,False,0,True,,,2020-08-01 06:51:50,2020
151,2020-08-01 05:09:26+00:00,0,True,177,active,8,177,0,11,True,False,0,True,,,2020-08-01 06:51:50,2020
152,2020-08-01 05:11:13+00:00,0,True,178,active,13,178,0,6,True,False,0,True,,,2020-08-01 06:51:50,2020
153,2020-08-01 06:45:47+00:00,0,True,179,active,7,179,0,16,True,False,2,True,,,2020-08-01 06:51:50,2020
154,2020-08-01 03:49:49+00:00,0,True,180,active,11,180,0,8,True,False,0,True,,,2020-08-01 06:51:50,2020
155,2020-08-01 06:01:38+00:00,0,True,181,active,10,181,0,8,True,False,1,True,,,2020-08-01 06:51:50,2020
156,2020-08-01 04:31:03+00:00,0,True,182,active,16,182,0,1,True,True,2,True,,,2020-08-01 06:51:50,2020
157,2020-08-01 04:55:56+00:00,0,True,183,active,7,183,0,12,True,False,0,True,,,2020-08-01 06:51:50,2020
158,2020-08-01 05:31:38+00:00,0,True,184,active,15,184,0,4,True,False,0,True,,,2020-08-01 06:51:50,2020
159,2020-08-01 06:46:54+00:00,0,True,185,active,7,185,0,8,True,False,0,True,,,2020-08-01 06:51:50,2020
160,2020-08-01 05:49:46+00:00,0,True,186,active,15,186,0,0,True,True,0,True,,,2020-08-01 06:51:50,2020
161,2020-08-01 03:33:57+00:00,0,True,187,active,0,187,0,15,True,False,0,True,,,2020-08-01 06:51:50,2020
162,2020-08-01 04:52:14+00:00,0,True,188,active,9,188,0,6,True,False,0,True,,,2020-08-01 06:51:50,2020
163,2020-08-01 06:18:47+00:00,0,True,189,active,21,189,0,2,True,True,0,True,,,2020-08-01 06:51:50,2020
164,2020-08-01 05:26:01+00:00,0,True,190,active,3,190,0,32,True,True,2,True,,,2020-08-01 06:51:50,2020
165,2020-08-01 05:00:48+00:00,0,True,191,active,12,191,0,3,True,False,0,True,,,2020-08-01 06:51:50,2020
166,2020-08-01 04:17:27+00:00,0,True,192,active,10,192,0,7,True,False,2,True,,,2020-08-01 06:51:50,2020
167,2020-08-01 06:21:04+00:00,0,True,193,active,10,193,0,5,True,True,0,True,,,2020-08-01 06:51:50,2020
168,2020-08-01 05:23:04+00:00,0,True,194,active,5,194,0,14,True,False,0,True,,,2020-08-01 06:51:50,2020
169,2020-08-01 04:28:05+00:00,0,True,195,active,0,195,0,23,True,False,0,True,,,2020-08-01 06:51:50,2020
170,2020-08-01 03:39:16+00:00,0,True,196,active,9,196,0,0,True,True,1,True,,,2020-08-01 06:51:50,2020
171,2020-08-01 05:15:00+00:00,0,True,197,active,11,197,0,4,True,False,0,True,,,2020-08-01 06:51:50,2020
172,2020-08-01 00:35:33+00:00,0,True,199,active,4,199,0,9,True,False,2,True,,,2020-08-01 06:51:50,2020
173,2020-08-01 05:00:48+00:00,0,True,200,active,7,200,0,12,True,False,0,True,,,2020-08-01 06:51:50,2020
174,2020-08-01 00:25:07+00:00,0,True,201,active,15,201,0,0,True,False,0,True,,,2020-08-01 06:51:50,2020
175,2020-08-01 03:08:53+00:00,0,True,202,active,12,202,0,3,True,False,0,True,,,2020-08-01 06:51:50,2020
176,2020-07-31 22:34:17+00:00,0,True,203,active,9,203,0,6,True,False,0,True,,,2020-08-01 06:51:50,2020
177,2020-08-01 02:37:36+00:00,0,True,204,active,8,204,0,7,True,False,0,True,,,2020-08-01 06:51:50,2020
178,2020-07-31 17:39:13+00:00,0,True,205,active,8,205,0,7,True,False,0,True,,,2020-08-01 06:51:50,2020
179,2020-08-01 05:40:24+00:00,0,True,206,active,18,206,0,5,True,False,0,True,,,2020-08-01 06:51:50,2020
180,2020-08-01 05:45:46+00:00,0,True,208,active,1,208,0,14,True,True,0,True,,,2020-08-01 06:51:50,2020
181,2020-08-01 04:39:29+00:00,0,True,209,active,4,209,0,10,True,False,1,True,,,2020-08-01 06:51:50,2020
182,2020-07-31 22:27:56+00:00,0,True,210,active,13,210,0,2,True,False,0,True,,,2020-08-01 06:51:50,2020
183,2020-08-01 00:22:59+00:00,0,True,211,active,1,211,0,17,True,False,1,True,,,2020-08-01 06:51:50,2020
184,2020-08-01 03:24:42+00:00,0,True,212,active,16,212,0,16,True,False,1,True,,,2020-08-01 06:51:50,2020
185,2020-08-01 05:19:24+00:00,0,True,213,active,12,213,0,4,True,True,0,True,,,2020-08-01 06:51:50,2020
186,2020-08-01 05:57:04+00:00,0,True,214,active,10,214,0,5,True,False,0,True,,,2020-08-01 06:51:50,2020
187,2020-08-01 04:27:25+00:00,0,True,215,active,5,215,0,10,True,False,0,True,,,2020-08-01 06:51:50,2020
188,2020-07-31 23:43:21+00:00,0,True,216,active,3,216,0,16,True,False,0,True,,,2020-08-01 06:51:50,2020
189,2020-08-01 05:43:10+00:00,0,True,217,active,10,217,0,9,True,False,0,True,,,2020-08-01 06:51:50,2020
190,2020-08-01 05:31:28+00:00,0,True,218,active,14,218,0,1,True,False,0,True,,,2020-08-01 06:51:50,2020
191,2020-08-01 05:36:31+00:00,0,True,219,active,4,219,0,10,True,False,1,True,,,2020-08-01 06:51:50,2020
192,2020-08-01 06:20:31+00:00,0,True,221,active,15,221,0,4,True,False,0,True,,,2020-08-01 06:51:50,2020
193,2020-08-01 06:48:17+00:00,0,True,222,active,9,222,0,5,True,True,0,True,,,2020-08-01 06:51:50,2020
194,2020-08-01 02:46:05+00:00,0,True,224,active,5,224,0,10,True,False,2,True,,,2020-08-01 06:51:50,2020
195,2020-08-01 05:35:18+00:00,0,True,225,active,1,225,0,18,True,False,0,True,,,2020-08-01 06:51:50,2020
196,2020-08-01 06:22:10+00:00,0,True,226,active,2,226,0,12,True,False,1,True,,,2020-08-01 06:51:50,2020
197,2020-08-01 04:48:42+00:00,0,True,227,active,11,227,0,8,True,False,0,True,,,2020-08-01 06:51:50,2020
198,2020-08-01 06:29:59+00:00,0,True,228,active,18,228,0,0,True,False,1,True,,,2020-08-01 06:51:50,2020
199,2020-08-01 04:14:37+00:00,0,True,232,active,7,232,0,4,True,False,0,True,,,2020-08-01 06:51:50,2020
200,2020-08-01 06:35:00+00:00,0,True,233,active,7,233,0,5,True,False,3,True,,,2020-08-01 06:51:50,2020
201,2020-08-01 02:52:44+00:00,0,True,234,active,4,234,0,11,True,False,0,True,,,2020-08-01 06:51:50,2020
202,2020-08-01 04:04:48+00:00,0,True,235,active,6,235,0,9,True,False,0,True,,,2020-08-01 06:51:50,2020
203,2020-08-01 05:01:20+00:00,0,True,236,active,6,236,0,9,True,False,0,True,,,2020-08-01 06:51:50,2020
204,2020-08-01 01:50:32+00:00,0,True,239,active,4,239,0,10,True,False,1,True,,,2020-08-01 06:51:50,2020
205,2020-07-31 21:41:07+00:00,0,True,255,active,3,255,0,12,True,False,0,True,,,2020-08-01 06:51:50,2020
206,2020-08-01 02:20:21+00:00,0,True,258,active,1,258,0,14,True,False,0,True,,,2020-08-01 06:51:50,2020
207,2020-07-31 08:31:40+00:00,0,True,259,active,15,259,0,0,True,False,0,True,,,2020-08-01 06:51:50,2020
208,2020-08-01 02:05:08+00:00,0,True,260,active,15,260,0,0,True,False,0,True,,,2020-08-01 06:51:50,2020
209,2020-07-31 21:22:43+00:00,0,True,271,active,15,271,0,0,True,False,0,True,,,2020-08-01 06:51:50,2020
210,2020-07-31 22:36:37+00:00,0,True,272,active,10,272,0,7,True,False,2,True,,,2020-08-01 06:51:50,2020
211,2020-08-01 04:42:09+00:00,0,True,273,active,10,273,0,30,True,False,0,True,,,2020-08-01 06:51:50,2020
212,2020-08-01 03:57:17+00:00,0,True,279,active,15,279,0,4,True,False,0,True,,,2020-08-01 06:51:50,2020
213,2020-08-01 05:16:10+00:00,0,True,280,active,16,280,0,2,True,False,1,True,,,2020-08-01 06:51:50,2020
214,2020-08-01 06:03:32+00:00,0,True,282,active,0,282,0,12,True,False,3,True,,,2020-08-01 06:51:50,2020
215,2020-08-01 05:48:12+00:00,0,True,296,active,0,296,0,23,True,False,0,True,,,2020-08-01 06:51:50,2020
216,2020-08-01 05:02:46+00:00,0,True,318,active,19,318,0,0,True,False,0,True,,,2020-08-01 06:51:50,2020
217,2020-08-01 00:36:43+00:00,0,True,319,active,19,319,0,6,True,False,0,True,,,2020-08-01 06:51:50,2020
