,is_returning,num_docks_available,num_docks_disabled,num_bikes_disabled,num_bikes_available,last_reported,legacy_id,num_ebikes_available,is_renting,station_status,is_installed,station_id,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
73,True,5,0,1,9,2020-08-19 00:39:06+00:00,82,0,True,active,True,82,False,2020-08-19 00:41:25,2020
74,True,8,0,1,6,2020-08-19 00:31:50+00:00,84,0,True,active,True,84,False,2020-08-19 00:41:25,2020
75,True,18,0,0,1,2020-08-19 00:22:07+00:00,85,0,True,active,True,85,False,2020-08-19 00:41:25,2020
76,True,16,0,0,3,2020-08-19 00:34:21+00:00,86,0,True,active,True,86,False,2020-08-19 00:41:25,2020
77,True,0,0,1,14,2020-08-19 00:34:46+00:00,87,0,True,active,True,87,False,2020-08-19 00:41:25,2020
78,True,11,0,0,8,2020-08-19 00:39:17+00:00,89,0,True,active,True,89,False,2020-08-19 00:41:25,2020
79,True,7,0,0,12,2020-08-19 00:38:51+00:00,90,0,True,active,True,90,False,2020-08-19 00:41:25,2020
80,True,18,0,0,1,2020-08-19 00:41:11+00:00,91,0,True,active,True,91,False,2020-08-19 00:41:25,2020
81,True,0,0,1,18,2020-08-19 00:24:51+00:00,92,0,True,active,True,92,False,2020-08-19 00:41:25,2020
82,True,4,0,2,9,2020-08-18 23:59:11+00:00,93,0,True,active,True,93,False,2020-08-19 00:41:25,2020
83,True,10,0,0,1,2020-08-19 00:15:24+00:00,94,0,True,active,True,94,False,2020-08-19 00:41:25,2020
84,True,11,0,3,1,2020-08-19 00:39:59+00:00,95,0,True,active,True,95,False,2020-08-19 00:41:25,2020
85,True,13,0,0,6,2020-08-19 00:31:33+00:00,96,0,True,active,True,96,False,2020-08-19 00:41:25,2020
86,True,15,0,2,2,2020-08-19 00:28:20+00:00,97,0,True,active,True,97,False,2020-08-19 00:41:25,2020
87,True,16,0,0,7,2020-08-19 00:40:08+00:00,98,0,True,active,True,98,False,2020-08-19 00:41:25,2020
88,True,4,0,2,9,2020-08-19 00:18:03+00:00,99,0,True,active,True,99,False,2020-08-19 00:41:25,2020
89,True,14,0,1,10,2020-08-19 00:39:47+00:00,100,0,True,active,True,100,True,2020-08-19 00:41:25,2020
90,True,8,0,0,7,2020-08-18 23:47:51+00:00,101,0,True,active,True,101,False,2020-08-19 00:41:25,2020
91,True,10,0,0,5,2020-08-19 00:30:43+00:00,102,0,True,active,True,102,False,2020-08-19 00:41:25,2020
92,True,3,0,0,12,2020-08-19 00:27:18+00:00,103,0,True,active,True,103,False,2020-08-19 00:41:25,2020
93,True,14,0,0,5,2020-08-19 00:03:47+00:00,104,0,True,active,True,104,False,2020-08-19 00:41:25,2020
94,True,9,0,0,10,2020-08-19 00:34:41+00:00,105,0,True,active,True,105,False,2020-08-19 00:41:25,2020
95,True,7,0,0,8,2020-08-18 20:26:10+00:00,106,0,True,active,True,106,False,2020-08-19 00:41:25,2020
