,station_status,num_bikes_available,station_id,num_docks_available,is_installed,is_returning,legacy_id,is_renting,last_reported,eightd_has_available_keys,num_ebikes_available,num_docks_disabled,num_bikes_disabled,timestamp_of_data_read_request,year_station_last_reported
178,active,4,205,11,True,True,205,True,2020-08-18 23:29:38+00:00,False,0,0,0,2020-08-19 00:31:05,2020
179,active,5,206,17,True,True,206,True,2020-08-19 00:25:10+00:00,True,0,0,1,2020-08-19 00:31:05,2020
180,active,11,208,4,True,True,208,True,2020-08-18 22:57:27+00:00,True,0,0,0,2020-08-19 00:31:05,2020
181,active,13,209,1,True,True,209,True,2020-08-18 23:44:00+00:00,False,0,0,1,2020-08-19 00:31:05,2020
182,active,4,210,10,True,True,210,True,2020-08-18 23:40:04+00:00,False,0,0,1,2020-08-19 00:31:05,2020
183,active,5,211,14,True,True,211,True,2020-08-18 23:21:42+00:00,False,0,0,0,2020-08-19 00:31:05,2020
184,active,5,212,28,True,True,212,True,2020-08-19 00:25:10+00:00,False,0,0,0,2020-08-19 00:31:05,2020
185,active,0,213,16,True,True,213,True,2020-08-18 21:21:10+00:00,True,0,0,0,2020-08-19 00:31:05,2020
186,active,6,214,9,True,True,214,True,2020-08-19 00:30:17+00:00,False,0,0,0,2020-08-19 00:31:05,2020
187,active,12,215,1,True,True,215,True,2020-08-18 23:53:04+00:00,False,0,0,2,2020-08-19 00:31:05,2020
188,active,19,216,0,True,True,216,True,2020-08-18 23:12:50+00:00,False,0,0,0,2020-08-19 00:31:05,2020
189,active,9,217,9,True,True,217,True,2020-08-18 23:56:43+00:00,False,0,0,1,2020-08-19 00:31:05,2020
190,active,10,218,2,True,True,218,True,2020-08-19 00:28:25+00:00,False,0,0,3,2020-08-19 00:31:05,2020
191,active,2,219,13,True,True,219,True,2020-08-18 21:48:43+00:00,False,0,0,0,2020-08-19 00:31:05,2020
192,active,11,221,7,True,True,221,True,2020-08-19 00:24:04+00:00,False,0,0,1,2020-08-19 00:31:05,2020
193,active,4,222,10,True,True,222,True,2020-08-18 23:39:03+00:00,True,0,0,0,2020-08-19 00:31:05,2020
194,active,12,224,4,True,True,224,True,2020-08-18 23:06:42+00:00,False,0,0,1,2020-08-19 00:31:05,2020
195,active,8,225,10,True,True,225,True,2020-08-18 23:38:27+00:00,False,0,0,1,2020-08-19 00:31:05,2020
196,active,3,226,11,True,True,226,True,2020-08-19 00:24:16+00:00,False,0,0,1,2020-08-19 00:31:05,2020
197,active,8,227,11,True,True,227,True,2020-08-19 00:13:23+00:00,False,0,0,0,2020-08-19 00:31:05,2020
198,active,3,228,16,True,True,228,True,2020-08-19 00:26:03+00:00,False,0,0,0,2020-08-19 00:31:05,2020
199,active,2,232,9,True,True,232,True,2020-08-18 23:08:38+00:00,False,0,0,0,2020-08-19 00:31:05,2020
200,active,2,233,13,True,True,233,True,2020-08-19 00:27:49+00:00,False,0,0,0,2020-08-19 00:31:05,2020
201,active,4,234,11,True,True,234,True,2020-08-19 00:20:00+00:00,False,0,0,0,2020-08-19 00:31:05,2020
202,active,2,235,13,True,True,235,True,2020-08-19 00:23:46+00:00,False,0,0,0,2020-08-19 00:31:05,2020
203,active,10,236,5,True,True,236,True,2020-08-19 00:00:19+00:00,False,0,0,0,2020-08-19 00:31:05,2020
