,station_status,num_docks_available,num_bikes_available,last_reported,num_docks_disabled,legacy_id,num_bikes_disabled,is_installed,is_returning,num_ebikes_available,eightd_has_available_keys,is_renting,station_id,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
119,active,11,12,2020-07-30 13:14:49+00:00,0,133,0,True,True,0,False,True,133,,,2020-07-30 13:51:15,2020
120,active,7,9,2020-07-30 12:52:56+00:00,0,135,1,True,True,0,False,True,135,,,2020-07-30 13:51:15,2020
121,active,3,16,2020-07-30 13:27:43+00:00,0,136,0,True,True,0,False,True,136,,,2020-07-30 13:51:15,2020
122,active,14,1,2020-07-30 13:36:00+00:00,0,137,0,True,True,0,False,True,137,,,2020-07-30 13:51:15,2020
123,active,0,15,2020-07-30 13:46:40+00:00,0,138,0,True,True,0,False,True,138,,,2020-07-30 13:51:15,2020
124,active,13,6,2020-07-30 13:43:08+00:00,0,139,0,True,True,0,False,True,139,,,2020-07-30 13:51:15,2020
125,active,9,8,2020-07-30 11:41:40+00:00,0,140,0,True,True,0,False,True,140,,,2020-07-30 13:51:15,2020
126,active,8,7,2020-07-30 12:41:46+00:00,0,141,0,True,True,0,False,True,141,,,2020-07-30 13:51:15,2020
127,active,6,16,2020-07-30 12:21:38+00:00,0,142,1,True,True,0,False,True,142,,,2020-07-30 13:51:15,2020
128,active,12,11,2020-07-30 13:17:02+00:00,0,143,0,True,True,0,False,True,143,,,2020-07-30 13:51:15,2020
129,active,16,3,2020-07-30 02:05:34+00:00,0,144,0,True,True,0,False,True,144,,,2020-07-30 13:51:15,2020
130,active,7,12,2020-07-30 13:46:02+00:00,0,145,0,True,True,0,False,True,145,,,2020-07-30 13:51:15,2020
131,active,7,11,2020-07-30 13:44:56+00:00,0,146,1,True,True,0,False,True,146,,,2020-07-30 13:51:15,2020
132,active,9,9,2020-07-30 12:07:59+00:00,0,149,0,True,True,0,True,True,149,,,2020-07-30 13:51:15,2020
133,active,8,11,2020-07-30 13:42:51+00:00,0,150,0,True,True,0,False,True,150,,,2020-07-30 13:51:15,2020
134,active,8,10,2020-07-30 13:25:51+00:00,0,151,1,True,True,0,False,True,151,,,2020-07-30 13:51:15,2020
135,active,6,9,2020-07-30 13:08:15+00:00,0,152,0,True,True,0,True,True,152,,,2020-07-30 13:51:15,2020
136,active,11,4,2020-07-30 12:11:23+00:00,0,156,0,True,True,0,False,True,156,,,2020-07-30 13:51:15,2020
137,active,11,2,2020-07-30 13:45:05+00:00,0,157,2,True,True,0,False,True,157,,,2020-07-30 13:51:15,2020
138,active,12,2,2020-07-30 13:46:12+00:00,0,159,1,True,True,0,False,True,159,,,2020-07-30 13:51:15,2020
139,active,14,0,2020-07-30 12:22:55+00:00,0,160,0,True,True,0,True,True,160,,,2020-07-30 13:51:15,2020
140,active,17,6,2020-07-30 13:42:10+00:00,0,161,0,True,True,0,True,True,161,,,2020-07-30 13:51:15,2020
141,active,14,1,2020-07-30 08:36:26+00:00,0,162,0,True,True,0,False,True,162,,,2020-07-30 13:51:15,2020
142,active,13,6,2020-07-30 13:31:16+00:00,0,163,0,True,True,0,True,True,163,,,2020-07-30 13:51:15,2020
143,active,6,8,2020-07-30 13:37:47+00:00,0,167,1,True,True,0,False,True,167,,,2020-07-30 13:51:15,2020
144,active,9,10,2020-07-30 13:04:47+00:00,0,169,0,True,True,0,False,True,169,,,2020-07-30 13:51:15,2020
145,active,13,1,2020-07-30 12:59:08+00:00,0,170,0,True,True,0,True,True,170,,,2020-07-30 13:51:15,2020
146,active,18,5,2020-07-30 12:55:05+00:00,0,171,0,True,True,0,True,True,171,,,2020-07-30 13:51:15,2020
147,active,7,5,2020-07-30 08:51:37+00:00,0,173,2,True,True,0,True,True,173,,,2020-07-30 13:51:15,2020
148,active,3,12,2020-07-30 01:40:06+00:00,0,174,0,True,True,0,False,True,174,,,2020-07-30 13:51:15,2020
149,active,16,1,2020-07-30 12:36:53+00:00,0,175,0,True,True,0,True,True,175,,,2020-07-30 13:51:15,2020
150,active,5,10,2020-07-30 13:33:56+00:00,0,176,0,True,True,0,False,True,176,,,2020-07-30 13:51:15,2020
151,active,13,5,2020-07-30 13:23:24+00:00,0,177,1,True,True,0,False,True,177,,,2020-07-30 13:51:15,2020
152,active,13,5,2020-07-30 13:43:10+00:00,0,178,1,True,True,0,False,True,178,,,2020-07-30 13:51:15,2020
153,active,2,23,2020-07-30 13:45:50+00:00,0,179,0,True,True,0,False,True,179,,,2020-07-30 13:51:15,2020
154,active,13,6,2020-07-30 13:16:40+00:00,0,180,0,True,True,0,False,True,180,,,2020-07-30 13:51:15,2020
155,active,13,6,2020-07-30 12:51:03+00:00,0,181,0,True,True,0,False,True,181,,,2020-07-30 13:51:15,2020
156,active,8,11,2020-07-30 12:51:44+00:00,0,182,0,True,True,0,True,True,182,,,2020-07-30 13:51:15,2020
157,active,8,11,2020-07-30 13:17:45+00:00,0,183,0,True,True,0,False,True,183,,,2020-07-30 13:51:15,2020
158,active,3,16,2020-07-30 13:28:49+00:00,0,184,0,True,True,0,False,True,184,,,2020-07-30 13:51:15,2020
