,valet,is_installed,num_bikes_disabled,num_docks_available,is_renting,eightd_active_station_services,num_ebikes_available,num_bikes_available,station_id,is_returning,last_reported,station_status,legacy_id,num_docks_disabled,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
163,,True,0,11,True,,0,4,188,True,2020-08-01 22:23:18+00:00,active,188,0,False,2020-08-01 23:12:35,2020
164,,True,0,22,True,,0,1,189,True,2020-08-01 22:57:26+00:00,active,189,0,True,2020-08-01 23:12:35,2020
165,,True,4,13,True,,0,20,190,True,2020-08-01 23:09:06+00:00,active,190,0,True,2020-08-01 23:12:35,2020
166,,True,0,14,True,,0,1,191,True,2020-08-01 22:44:38+00:00,active,191,0,False,2020-08-01 23:12:35,2020
167,,True,2,15,True,,0,2,192,True,2020-08-01 22:56:39+00:00,active,192,0,False,2020-08-01 23:12:35,2020
168,,True,1,13,True,,0,1,193,True,2020-08-01 23:02:46+00:00,active,193,0,True,2020-08-01 23:12:35,2020
169,,True,0,8,True,,0,11,194,True,2020-08-01 21:15:09+00:00,active,194,0,False,2020-08-01 23:12:35,2020
170,,True,0,21,True,,0,2,195,True,2020-08-01 23:03:33+00:00,active,195,0,False,2020-08-01 23:12:35,2020
171,,True,1,8,True,,0,1,196,True,2020-08-01 19:08:25+00:00,active,196,0,True,2020-08-01 23:12:35,2020
172,,True,1,14,True,,0,0,197,True,2020-08-01 22:30:46+00:00,active,197,0,False,2020-08-01 23:12:35,2020
173,,True,2,0,True,,0,13,199,True,2020-08-01 20:08:01+00:00,active,199,0,False,2020-08-01 23:12:35,2020
174,,True,1,9,True,,0,9,200,True,2020-08-01 22:32:04+00:00,active,200,0,False,2020-08-01 23:12:35,2020
175,,True,0,15,True,,0,0,201,True,2020-08-01 19:35:08+00:00,active,201,0,False,2020-08-01 23:12:35,2020
176,,True,0,12,True,,0,3,202,True,2020-08-01 19:24:09+00:00,active,202,0,False,2020-08-01 23:12:35,2020
177,,True,0,9,True,,0,6,203,True,2020-08-01 16:44:03+00:00,active,203,0,False,2020-08-01 23:12:35,2020
178,,True,0,9,True,,0,6,204,True,2020-08-01 18:04:05+00:00,active,204,0,False,2020-08-01 23:12:35,2020
179,,True,0,12,True,,0,3,205,True,2020-08-01 21:26:22+00:00,active,205,0,False,2020-08-01 23:12:35,2020
180,,True,0,15,True,,0,8,206,True,2020-08-01 22:56:15+00:00,active,206,0,False,2020-08-01 23:12:35,2020
181,,True,0,3,True,,0,12,208,True,2020-08-01 22:20:41+00:00,active,208,0,True,2020-08-01 23:12:35,2020
182,,True,1,7,True,,0,7,209,True,2020-08-01 22:05:37+00:00,active,209,0,False,2020-08-01 23:12:35,2020
183,,True,0,14,True,,0,1,210,True,2020-08-01 22:01:06+00:00,active,210,0,False,2020-08-01 23:12:35,2020
184,,True,0,8,True,,0,11,211,True,2020-08-01 23:03:20+00:00,active,211,0,False,2020-08-01 23:12:35,2020
185,,True,0,16,True,,0,17,212,True,2020-08-01 23:07:54+00:00,active,212,0,False,2020-08-01 23:12:35,2020
186,,True,0,11,True,,0,5,213,True,2020-08-01 22:02:59+00:00,active,213,0,True,2020-08-01 23:12:35,2020
187,,True,0,4,True,,0,11,214,True,2020-08-01 23:10:22+00:00,active,214,0,False,2020-08-01 23:12:35,2020
188,,True,0,3,True,,0,12,215,True,2020-08-01 22:58:34+00:00,active,215,0,False,2020-08-01 23:12:35,2020
189,,True,0,3,True,,0,16,216,True,2020-08-01 21:35:22+00:00,active,216,0,False,2020-08-01 23:12:35,2020
190,,True,0,8,True,,0,11,217,True,2020-08-01 22:55:34+00:00,active,217,0,False,2020-08-01 23:12:35,2020
191,,True,2,0,True,,0,13,218,True,2020-08-01 22:59:42+00:00,active,218,0,False,2020-08-01 23:12:35,2020
192,,True,1,5,True,,0,9,219,True,2020-08-01 22:22:13+00:00,active,219,0,False,2020-08-01 23:12:35,2020
193,,True,0,17,True,,0,2,221,True,2020-08-01 23:06:19+00:00,active,221,0,False,2020-08-01 23:12:35,2020
194,,True,0,14,True,,0,0,222,True,2020-08-01 23:02:02+00:00,active,222,0,True,2020-08-01 23:12:35,2020
195,,True,0,10,True,,0,7,224,True,2020-08-01 23:12:14+00:00,active,224,0,False,2020-08-01 23:12:35,2020
196,,True,1,10,True,,0,8,225,True,2020-08-01 22:59:13+00:00,active,225,0,False,2020-08-01 23:12:35,2020
197,,True,1,13,True,,0,1,226,True,2020-08-01 23:12:20+00:00,active,226,0,False,2020-08-01 23:12:35,2020
198,,True,0,6,True,,0,13,227,True,2020-08-01 22:41:57+00:00,active,227,0,False,2020-08-01 23:12:35,2020
199,,True,0,17,True,,0,2,228,True,2020-08-01 23:07:43+00:00,active,228,0,False,2020-08-01 23:12:35,2020
200,,True,0,7,True,,0,4,232,True,2020-08-01 17:59:13+00:00,active,232,0,False,2020-08-01 23:12:35,2020
201,,True,1,7,True,,0,7,233,True,2020-08-01 22:56:53+00:00,active,233,0,False,2020-08-01 23:12:35,2020
202,,True,0,10,True,,0,5,234,True,2020-08-01 21:38:19+00:00,active,234,0,False,2020-08-01 23:12:35,2020
203,,True,0,7,True,,0,8,235,True,2020-08-01 22:08:28+00:00,active,235,0,False,2020-08-01 23:12:35,2020
204,,True,0,11,True,,0,4,236,True,2020-08-01 23:08:55+00:00,active,236,0,False,2020-08-01 23:12:35,2020
205,,True,1,3,True,,0,11,239,True,2020-08-01 22:56:32+00:00,active,239,0,False,2020-08-01 23:12:35,2020
206,,True,0,3,True,,0,12,255,True,2020-08-01 16:11:33+00:00,active,255,0,False,2020-08-01 23:12:35,2020
207,,True,0,3,True,,0,12,258,True,2020-08-01 21:51:04+00:00,active,258,0,False,2020-08-01 23:12:35,2020
208,,True,0,15,True,,0,0,259,True,2020-08-01 08:48:07+00:00,active,259,0,False,2020-08-01 23:12:35,2020
209,,True,0,11,True,,0,4,260,True,2020-08-01 22:01:04+00:00,active,260,0,False,2020-08-01 23:12:35,2020
210,,True,0,8,True,,0,7,271,True,2020-08-01 21:39:43+00:00,active,271,0,False,2020-08-01 23:12:35,2020
211,,True,0,14,True,,0,5,272,True,2020-08-01 22:02:15+00:00,active,272,0,False,2020-08-01 23:12:35,2020
212,,True,1,5,True,,0,34,273,True,2020-08-01 22:37:32+00:00,active,273,0,False,2020-08-01 23:12:35,2020
213,,True,0,16,True,,0,3,279,True,2020-08-01 22:34:32+00:00,active,279,0,False,2020-08-01 23:12:35,2020
214,,True,1,18,True,,0,0,280,True,2020-08-01 22:16:53+00:00,active,280,0,False,2020-08-01 23:12:35,2020
215,,True,5,8,True,,0,2,282,True,2020-08-01 23:09:58+00:00,active,282,0,False,2020-08-01 23:12:35,2020
216,,True,0,18,True,,0,1,318,True,2020-08-01 23:10:27+00:00,active,318,0,False,2020-08-01 23:12:35,2020
217,,True,0,17,True,,0,8,319,True,2020-08-01 22:48:34+00:00,active,319,0,False,2020-08-01 23:12:35,2020
218,,True,0,9,True,,0,6,327,True,2020-08-01 22:24:41+00:00,active,327,0,False,2020-08-01 23:12:35,2020
219,,True,0,8,True,,0,7,328,True,2020-08-01 23:04:11+00:00,active,328,0,False,2020-08-01 23:12:35,2020
220,,True,0,6,True,,0,9,329,True,2020-08-01 21:16:19+00:00,active,329,0,False,2020-08-01 23:12:35,2020
221,,True,0,9,True,,0,6,330,True,2020-08-01 23:09:59+00:00,active,330,0,False,2020-08-01 23:12:35,2020
