,num_bikes_available,last_reported,is_returning,legacy_id,num_bikes_disabled,station_status,num_docks_disabled,num_ebikes_available,station_id,is_installed,is_renting,eightd_has_available_keys,num_docks_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
68,7,2020-08-01 04:49:53+00:00,True,77,0,active,0,0,77,True,True,False,8,,,2020-08-01 05:09:55,2020
69,15,2020-08-01 04:52:34+00:00,True,78,2,active,0,0,78,True,True,False,2,,,2020-08-01 05:09:55,2020
70,17,2020-08-01 04:58:27+00:00,True,79,0,active,0,0,79,True,True,False,2,,,2020-08-01 05:09:55,2020
71,0,2020-08-01 03:00:45+00:00,True,80,2,active,0,0,80,True,True,False,33,,,2020-08-01 05:09:55,2020
72,0,2020-08-01 04:57:18+00:00,True,81,2,active,0,0,81,True,True,False,17,,,2020-08-01 05:09:55,2020
73,7,2020-08-01 03:48:14+00:00,True,82,0,active,0,0,82,True,True,False,8,,,2020-08-01 05:09:55,2020
74,1,2020-08-01 02:36:01+00:00,True,84,0,active,0,0,84,True,True,False,14,,,2020-08-01 05:09:55,2020
75,0,2020-08-01 00:16:04+00:00,True,85,0,active,0,0,85,True,True,False,19,,,2020-08-01 05:09:55,2020
76,6,2020-08-01 05:08:53+00:00,True,86,0,active,0,0,86,True,True,False,13,,,2020-08-01 05:09:55,2020
77,14,2020-08-01 05:05:34+00:00,True,87,1,active,0,0,87,True,True,False,0,,,2020-08-01 05:09:55,2020
78,19,2020-08-01 02:41:19+00:00,True,89,0,active,0,0,89,True,True,False,0,,,2020-08-01 05:09:55,2020
79,8,2020-08-01 04:37:27+00:00,True,90,0,active,0,0,90,True,True,False,11,,,2020-08-01 05:09:55,2020
80,5,2020-08-01 03:59:17+00:00,True,91,0,active,0,0,91,True,True,False,14,,,2020-08-01 05:09:55,2020
81,12,2020-07-31 23:47:39+00:00,True,92,0,active,0,0,92,True,True,False,7,,,2020-08-01 05:09:55,2020
82,12,2020-08-01 03:49:38+00:00,True,93,3,active,0,0,93,True,True,False,0,,,2020-08-01 05:09:55,2020
83,10,2020-08-01 03:09:16+00:00,True,94,0,active,0,0,94,True,True,False,1,,,2020-08-01 05:09:55,2020
