,legacy_id,num_bikes_available,num_bikes_disabled,is_returning,num_docks_disabled,is_installed,is_renting,eightd_has_available_keys,station_id,station_status,num_ebikes_available,last_reported,num_docks_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
80,91,9,0,True,0,True,True,False,91,active,0,2020-08-20 21:49:10+00:00,10,,,2020-08-20 21:51:25,2020
81,92,9,1,True,0,True,True,False,92,active,0,2020-08-20 21:45:43+00:00,9,,,2020-08-20 21:51:25,2020
82,93,14,0,True,0,True,True,False,93,active,0,2020-08-20 21:48:29+00:00,1,,,2020-08-20 21:51:25,2020
83,94,5,1,True,0,True,True,False,94,active,0,2020-08-20 21:24:17+00:00,5,,,2020-08-20 21:51:25,2020
84,95,3,1,True,0,True,True,False,95,active,0,2020-08-20 21:45:36+00:00,11,,,2020-08-20 21:51:25,2020
85,96,10,1,True,0,True,True,False,96,active,0,2020-08-20 21:31:50+00:00,8,,,2020-08-20 21:51:25,2020
86,97,3,0,True,0,True,True,False,97,active,0,2020-08-20 21:29:07+00:00,16,,,2020-08-20 21:51:25,2020
87,98,12,0,True,0,True,True,False,98,active,0,2020-08-20 21:43:02+00:00,11,,,2020-08-20 21:51:25,2020
88,99,8,2,True,0,True,True,False,99,active,0,2020-08-20 21:46:30+00:00,5,,,2020-08-20 21:51:25,2020
89,100,16,0,True,0,True,True,True,100,active,0,2020-08-20 21:48:13+00:00,9,,,2020-08-20 21:51:25,2020
90,101,4,0,True,0,True,True,False,101,active,0,2020-08-20 21:22:44+00:00,11,,,2020-08-20 21:51:25,2020
91,102,2,0,True,0,True,True,False,102,active,0,2020-08-20 21:50:15+00:00,13,,,2020-08-20 21:51:25,2020
92,103,13,0,True,0,True,True,False,103,active,0,2020-08-20 21:36:18+00:00,2,,,2020-08-20 21:51:25,2020
93,104,0,0,True,0,True,True,False,104,active,0,2020-08-20 21:41:22+00:00,19,,,2020-08-20 21:51:25,2020
94,105,0,1,True,0,True,True,False,105,active,0,2020-08-20 21:50:08+00:00,18,,,2020-08-20 21:51:25,2020
95,106,6,0,True,0,True,True,False,106,active,0,2020-08-20 21:46:28+00:00,9,,,2020-08-20 21:51:25,2020
96,107,0,0,True,0,True,True,False,107,active,0,2020-08-20 21:49:12+00:00,19,,,2020-08-20 21:51:25,2020
97,108,4,0,True,0,True,True,False,108,active,0,2020-08-20 21:48:48+00:00,13,,,2020-08-20 21:51:25,2020
98,109,3,0,True,0,True,True,False,109,active,0,2020-08-20 19:56:10+00:00,32,,,2020-08-20 21:51:25,2020
99,110,9,0,True,0,True,True,False,110,active,0,2020-08-20 21:39:16+00:00,6,,,2020-08-20 21:51:25,2020
100,111,5,0,True,0,True,True,False,111,active,0,2020-08-20 18:13:42+00:00,10,,,2020-08-20 21:51:25,2020
101,112,4,0,True,0,True,True,False,112,active,0,2020-08-20 21:24:20+00:00,11,,,2020-08-20 21:51:25,2020
102,113,10,2,True,0,True,True,False,113,active,0,2020-08-20 21:44:54+00:00,3,,,2020-08-20 21:51:25,2020
103,114,3,0,True,0,True,True,False,114,active,0,2020-08-20 21:24:27+00:00,12,,,2020-08-20 21:51:25,2020
104,115,4,0,True,0,True,True,False,115,active,0,2020-08-20 21:46:13+00:00,15,,,2020-08-20 21:51:25,2020
105,116,1,0,True,0,True,True,False,116,active,0,2020-08-20 21:26:35+00:00,22,,,2020-08-20 21:51:25,2020
106,117,3,0,True,0,True,True,False,117,active,0,2020-08-20 21:49:33+00:00,16,,,2020-08-20 21:51:25,2020
107,118,9,1,True,0,True,True,False,118,active,0,2020-08-20 21:44:32+00:00,9,,,2020-08-20 21:51:25,2020
108,119,3,0,True,0,True,True,False,119,active,0,2020-08-20 21:42:29+00:00,12,,,2020-08-20 21:51:25,2020
109,120,5,1,True,0,True,True,False,120,active,0,2020-08-20 21:50:17+00:00,9,,,2020-08-20 21:51:25,2020
110,121,0,1,True,0,True,True,False,121,active,0,2020-08-20 21:28:42+00:00,16,,,2020-08-20 21:51:25,2020
111,122,12,1,True,0,True,True,False,122,active,0,2020-08-20 21:47:18+00:00,2,,,2020-08-20 21:51:25,2020
112,124,0,0,True,0,True,True,False,124,active,0,2020-08-20 19:43:43+00:00,15,,,2020-08-20 21:51:25,2020
113,125,1,1,True,0,True,True,False,125,active,0,2020-08-20 21:42:50+00:00,13,,,2020-08-20 21:51:25,2020
114,126,12,2,True,0,True,True,False,126,active,0,2020-08-20 19:28:56+00:00,1,,,2020-08-20 21:51:25,2020
115,128,7,0,True,0,True,True,False,128,active,0,2020-08-20 21:21:02+00:00,12,,,2020-08-20 21:51:25,2020
116,129,3,0,True,0,True,True,False,129,active,0,2020-08-20 21:35:50+00:00,16,,,2020-08-20 21:51:25,2020
117,130,12,0,True,0,True,True,False,130,active,0,2020-08-20 20:23:12+00:00,3,,,2020-08-20 21:51:25,2020
118,131,10,0,True,0,True,True,False,131,active,0,2020-08-20 21:45:33+00:00,8,,,2020-08-20 21:51:25,2020
119,133,12,1,True,0,True,True,False,133,active,0,2020-08-20 21:29:00+00:00,10,,,2020-08-20 21:51:25,2020
120,135,0,0,True,0,True,True,False,135,active,0,2020-08-20 21:39:52+00:00,17,,,2020-08-20 21:51:25,2020
121,136,0,0,True,0,True,True,False,136,active,0,2020-08-20 21:34:48+00:00,19,,,2020-08-20 21:51:25,2020
122,137,2,0,True,0,True,True,False,137,active,0,2020-08-20 21:40:13+00:00,13,,,2020-08-20 21:51:25,2020
123,138,8,0,True,0,True,True,False,138,active,0,2020-08-20 21:41:41+00:00,7,,,2020-08-20 21:51:25,2020
124,139,7,0,True,0,True,True,False,139,active,0,2020-08-20 21:48:52+00:00,12,,,2020-08-20 21:51:25,2020
125,140,8,0,True,0,True,True,False,140,active,0,2020-08-20 21:48:01+00:00,9,,,2020-08-20 21:51:25,2020
126,141,8,0,True,0,True,True,False,141,active,0,2020-08-20 21:48:50+00:00,7,,,2020-08-20 21:51:25,2020
127,142,15,0,True,0,True,True,False,142,active,0,2020-08-20 20:00:53+00:00,8,,,2020-08-20 21:51:25,2020
128,143,4,0,True,0,True,True,False,143,active,0,2020-08-20 21:49:20+00:00,19,,,2020-08-20 21:51:25,2020
129,144,17,0,True,0,True,True,False,144,active,0,2020-08-20 21:35:30+00:00,2,,,2020-08-20 21:51:25,2020
130,145,13,0,True,0,True,True,False,145,active,0,2020-08-20 21:47:54+00:00,6,,,2020-08-20 21:51:25,2020
131,146,8,1,True,0,True,True,False,146,active,0,2020-08-20 21:49:54+00:00,10,,,2020-08-20 21:51:25,2020
132,149,7,2,True,0,True,True,True,149,active,0,2020-08-20 21:47:59+00:00,9,,,2020-08-20 21:51:25,2020
133,150,6,0,True,0,True,True,False,150,active,0,2020-08-20 21:44:35+00:00,13,,,2020-08-20 21:51:25,2020
134,151,0,0,True,0,True,True,False,151,active,0,2020-08-20 21:24:09+00:00,19,,,2020-08-20 21:51:25,2020
135,152,15,0,True,0,True,True,True,152,active,0,2020-08-20 21:27:46+00:00,0,,,2020-08-20 21:51:25,2020
136,156,8,1,True,0,True,True,False,156,active,0,2020-08-20 21:48:33+00:00,6,,,2020-08-20 21:51:25,2020
137,157,4,0,True,0,True,True,False,157,active,0,2020-08-20 21:50:55+00:00,11,,,2020-08-20 21:51:25,2020
138,159,1,0,True,0,True,True,False,159,active,0,2020-08-20 21:26:59+00:00,14,,,2020-08-20 21:51:25,2020
139,160,10,0,True,0,True,True,True,160,active,0,2020-08-20 21:46:54+00:00,4,,,2020-08-20 21:51:25,2020
140,161,10,0,True,0,True,True,True,161,active,0,2020-08-20 21:41:12+00:00,13,,,2020-08-20 21:51:25,2020
141,162,6,0,True,0,True,True,False,162,active,0,2020-08-20 19:32:17+00:00,9,,,2020-08-20 21:51:25,2020
142,163,14,0,True,0,True,True,True,163,active,0,2020-08-20 21:16:22+00:00,5,,,2020-08-20 21:51:25,2020
143,167,7,0,True,0,True,True,False,167,active,0,2020-08-20 21:37:28+00:00,8,,,2020-08-20 21:51:25,2020
144,169,5,0,True,0,True,True,False,169,active,0,2020-08-20 21:28:26+00:00,14,,,2020-08-20 21:51:25,2020
145,170,8,0,True,0,True,True,True,170,active,0,2020-08-20 18:42:46+00:00,6,,,2020-08-20 21:51:25,2020
146,171,10,0,True,0,True,True,True,171,active,0,2020-08-20 20:46:23+00:00,13,,,2020-08-20 21:51:25,2020
147,173,6,0,True,0,True,True,True,173,active,0,2020-08-20 18:33:25+00:00,8,,,2020-08-20 21:51:25,2020
148,174,5,0,True,0,True,True,False,174,active,0,2020-08-20 21:15:46+00:00,10,,,2020-08-20 21:51:25,2020
149,175,5,2,True,0,True,True,True,175,active,0,2020-08-20 21:39:51+00:00,10,,,2020-08-20 21:51:25,2020
150,176,12,0,True,0,True,True,False,176,active,0,2020-08-20 21:49:28+00:00,3,,,2020-08-20 21:51:25,2020
151,177,12,0,True,0,True,True,False,177,active,0,2020-08-20 21:44:52+00:00,7,,,2020-08-20 21:51:25,2020
152,178,6,0,True,0,True,True,False,178,active,0,2020-08-20 21:51:19+00:00,13,,,2020-08-20 21:51:25,2020
153,179,9,1,True,0,True,True,False,179,active,0,2020-08-20 21:47:31+00:00,15,,,2020-08-20 21:51:25,2020
154,180,16,0,True,0,True,True,False,180,active,0,2020-08-20 21:09:02+00:00,3,,,2020-08-20 21:51:25,2020
155,181,4,0,True,0,True,True,False,181,active,0,2020-08-20 21:28:08+00:00,15,,,2020-08-20 21:51:25,2020
156,182,5,0,True,0,True,True,True,182,active,0,2020-08-20 21:24:54+00:00,14,,,2020-08-20 21:51:25,2020
157,183,7,0,True,0,True,True,False,183,active,0,2020-08-20 21:31:57+00:00,12,,,2020-08-20 21:51:25,2020
158,184,0,0,True,0,True,True,False,184,active,0,2020-08-20 21:49:17+00:00,19,,,2020-08-20 21:51:25,2020
159,185,4,1,True,0,True,True,False,185,active,0,2020-08-20 21:47:54+00:00,10,,,2020-08-20 21:51:25,2020
160,186,8,0,True,0,True,True,True,186,active,0,2020-08-20 21:40:02+00:00,7,,,2020-08-20 21:51:25,2020
161,187,0,0,True,0,True,True,False,187,active,0,2020-08-20 20:35:53+00:00,15,,,2020-08-20 21:51:25,2020
162,188,10,0,True,0,True,True,False,188,active,0,2020-08-20 21:49:45+00:00,5,,,2020-08-20 21:51:25,2020
163,189,6,0,True,0,True,True,True,189,active,0,2020-08-20 21:45:32+00:00,17,,,2020-08-20 21:51:25,2020
