,num_bikes_available,num_bikes_disabled,num_docks_disabled,is_renting,last_reported,num_docks_available,eightd_has_available_keys,is_returning,legacy_id,station_id,is_installed,num_ebikes_available,station_status,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
67,3,2,0,True,2020-08-20 21:39:59+00:00,12,False,True,76,76,True,0,active,,,2020-08-20 21:41:15,2020
68,3,0,0,True,2020-08-20 21:37:43+00:00,12,False,True,77,77,True,0,active,,,2020-08-20 21:41:15,2020
69,15,0,0,True,2020-08-20 21:30:50+00:00,4,False,True,78,78,True,0,active,,,2020-08-20 21:41:15,2020
70,6,1,0,True,2020-08-20 21:30:15+00:00,12,False,True,79,79,True,0,active,,,2020-08-20 21:41:15,2020
71,23,1,0,True,2020-08-20 21:34:01+00:00,11,False,True,80,80,True,0,active,,,2020-08-20 21:41:15,2020
72,4,0,0,True,2020-08-20 21:39:56+00:00,15,False,True,81,81,True,0,active,,,2020-08-20 21:41:15,2020
73,3,0,0,True,2020-08-20 19:31:29+00:00,12,False,True,82,82,True,0,active,,,2020-08-20 21:41:15,2020
74,7,0,0,True,2020-08-20 21:40:41+00:00,8,False,True,84,84,True,0,active,,,2020-08-20 21:41:15,2020
75,1,0,0,True,2020-08-20 21:41:06+00:00,18,False,True,85,85,True,0,active,,,2020-08-20 21:41:15,2020
76,4,0,0,True,2020-08-20 21:40:01+00:00,15,False,True,86,86,True,0,active,,,2020-08-20 21:41:15,2020
77,2,0,0,True,2020-08-20 21:28:31+00:00,13,False,True,87,87,True,0,active,,,2020-08-20 21:41:15,2020
78,9,0,0,True,2020-08-20 21:24:45+00:00,10,False,True,89,89,True,0,active,,,2020-08-20 21:41:15,2020
79,5,0,0,True,2020-08-20 21:40:18+00:00,14,False,True,90,90,True,0,active,,,2020-08-20 21:41:15,2020
80,10,0,0,True,2020-08-20 21:30:04+00:00,9,False,True,91,91,True,0,active,,,2020-08-20 21:41:15,2020
81,10,1,0,True,2020-08-20 13:33:55+00:00,8,False,True,92,92,True,0,active,,,2020-08-20 21:41:15,2020
82,11,0,0,True,2020-08-20 19:47:44+00:00,4,False,True,93,93,True,0,active,,,2020-08-20 21:41:15,2020
83,5,1,0,True,2020-08-20 21:24:17+00:00,5,False,True,94,94,True,0,active,,,2020-08-20 21:41:15,2020
84,6,1,0,True,2020-08-20 21:39:14+00:00,8,False,True,95,95,True,0,active,,,2020-08-20 21:41:15,2020
85,10,1,0,True,2020-08-20 21:31:50+00:00,8,False,True,96,96,True,0,active,,,2020-08-20 21:41:15,2020
86,3,0,0,True,2020-08-20 21:29:07+00:00,16,False,True,97,97,True,0,active,,,2020-08-20 21:41:15,2020
87,12,0,0,True,2020-08-20 21:38:14+00:00,11,False,True,98,98,True,0,active,,,2020-08-20 21:41:15,2020
88,10,2,0,True,2020-08-20 21:17:38+00:00,3,False,True,99,99,True,0,active,,,2020-08-20 21:41:15,2020
89,16,0,0,True,2020-08-20 21:29:44+00:00,9,True,True,100,100,True,0,active,,,2020-08-20 21:41:15,2020
90,4,0,0,True,2020-08-20 21:22:44+00:00,11,False,True,101,101,True,0,active,,,2020-08-20 21:41:15,2020
91,0,0,0,True,2020-08-20 21:05:43+00:00,15,False,True,102,102,True,0,active,,,2020-08-20 21:41:15,2020
92,13,0,0,True,2020-08-20 21:36:18+00:00,2,False,True,103,103,True,0,active,,,2020-08-20 21:41:15,2020
93,1,0,0,True,2020-08-20 21:32:37+00:00,18,False,True,104,104,True,0,active,,,2020-08-20 21:41:15,2020
94,2,2,0,True,2020-08-20 21:33:16+00:00,15,False,True,105,105,True,0,active,,,2020-08-20 21:41:15,2020
95,7,0,0,True,2020-08-20 21:41:01+00:00,8,False,True,106,106,True,0,active,,,2020-08-20 21:41:15,2020
96,3,1,0,True,2020-08-20 21:40:07+00:00,15,False,True,107,107,True,0,active,,,2020-08-20 21:41:15,2020
97,3,0,0,True,2020-08-20 21:36:31+00:00,14,False,True,108,108,True,0,active,,,2020-08-20 21:41:15,2020
98,3,0,0,True,2020-08-20 19:56:10+00:00,32,False,True,109,109,True,0,active,,,2020-08-20 21:41:15,2020
99,9,0,0,True,2020-08-20 21:39:16+00:00,6,False,True,110,110,True,0,active,,,2020-08-20 21:41:15,2020
100,5,0,0,True,2020-08-20 18:13:42+00:00,10,False,True,111,111,True,0,active,,,2020-08-20 21:41:15,2020
101,4,0,0,True,2020-08-20 21:24:20+00:00,11,False,True,112,112,True,0,active,,,2020-08-20 21:41:15,2020
102,11,2,0,True,2020-08-20 21:34:09+00:00,2,False,True,113,113,True,0,active,,,2020-08-20 21:41:15,2020
103,3,0,0,True,2020-08-20 21:24:27+00:00,12,False,True,114,114,True,0,active,,,2020-08-20 21:41:15,2020
104,2,0,0,True,2020-08-20 21:38:49+00:00,17,False,True,115,115,True,0,active,,,2020-08-20 21:41:15,2020
105,1,0,0,True,2020-08-20 21:26:35+00:00,22,False,True,116,116,True,0,active,,,2020-08-20 21:41:15,2020
106,4,0,0,True,2020-08-20 20:59:02+00:00,15,False,True,117,117,True,0,active,,,2020-08-20 21:41:15,2020
107,8,1,0,True,2020-08-20 21:18:02+00:00,10,False,True,118,118,True,0,active,,,2020-08-20 21:41:15,2020
108,2,0,0,True,2020-08-20 21:38:28+00:00,13,False,True,119,119,True,0,active,,,2020-08-20 21:41:15,2020
109,1,1,0,True,2020-08-20 21:38:02+00:00,13,False,True,120,120,True,0,active,,,2020-08-20 21:41:15,2020
110,0,1,0,True,2020-08-20 21:28:42+00:00,16,False,True,121,121,True,0,active,,,2020-08-20 21:41:15,2020
111,14,0,0,True,2020-08-20 21:38:53+00:00,1,False,True,122,122,True,0,active,,,2020-08-20 21:41:15,2020
112,0,0,0,True,2020-08-20 19:43:43+00:00,15,False,True,124,124,True,0,active,,,2020-08-20 21:41:15,2020
113,0,1,0,True,2020-08-20 21:00:47+00:00,14,False,True,125,125,True,0,active,,,2020-08-20 21:41:15,2020
114,12,2,0,True,2020-08-20 19:28:56+00:00,1,False,True,126,126,True,0,active,,,2020-08-20 21:41:15,2020
115,7,0,0,True,2020-08-20 21:21:02+00:00,12,False,True,128,128,True,0,active,,,2020-08-20 21:41:15,2020
116,3,0,0,True,2020-08-20 21:35:50+00:00,16,False,True,129,129,True,0,active,,,2020-08-20 21:41:15,2020
117,12,0,0,True,2020-08-20 20:23:12+00:00,3,False,True,130,130,True,0,active,,,2020-08-20 21:41:15,2020
118,8,0,0,True,2020-08-20 21:39:46+00:00,10,False,True,131,131,True,0,active,,,2020-08-20 21:41:15,2020
119,12,1,0,True,2020-08-20 21:29:00+00:00,10,False,True,133,133,True,0,active,,,2020-08-20 21:41:15,2020
120,0,0,0,True,2020-08-20 21:39:52+00:00,17,False,True,135,135,True,0,active,,,2020-08-20 21:41:15,2020
121,0,0,0,True,2020-08-20 21:34:48+00:00,19,False,True,136,136,True,0,active,,,2020-08-20 21:41:15,2020
122,2,0,0,True,2020-08-20 21:40:13+00:00,13,False,True,137,137,True,0,active,,,2020-08-20 21:41:15,2020
123,7,0,0,True,2020-08-20 21:39:15+00:00,8,False,True,138,138,True,0,active,,,2020-08-20 21:41:15,2020
124,5,0,0,True,2020-08-20 21:40:39+00:00,14,False,True,139,139,True,0,active,,,2020-08-20 21:41:15,2020
125,11,0,0,True,2020-08-20 21:07:39+00:00,6,False,True,140,140,True,0,active,,,2020-08-20 21:41:15,2020
126,9,0,0,True,2020-08-20 21:22:38+00:00,6,False,True,141,141,True,0,active,,,2020-08-20 21:41:15,2020
127,15,0,0,True,2020-08-20 20:00:53+00:00,8,False,True,142,142,True,0,active,,,2020-08-20 21:41:15,2020
