,is_renting,last_reported,station_status,is_installed,station_id,num_bikes_disabled,num_docks_available,eightd_has_available_keys,legacy_id,is_returning,num_docks_disabled,num_bikes_available,num_ebikes_available,timestamp_of_data_read_request,year_station_last_reported
104,True,2020-08-05 00:11:26+00:00,active,True,115,0,2,False,115,True,0,17,0,2020-08-05 00:21:10,2020
105,True,2020-08-05 00:02:44+00:00,active,True,116,0,1,False,116,True,0,22,0,2020-08-05 00:21:10,2020
106,True,2020-08-05 00:21:03+00:00,active,True,117,0,11,False,117,True,0,8,0,2020-08-05 00:21:10,2020
107,True,2020-08-05 00:14:31+00:00,active,True,118,0,2,False,118,True,0,17,0,2020-08-05 00:21:10,2020
108,True,2020-08-05 00:12:50+00:00,active,True,119,0,12,False,119,True,0,3,0,2020-08-05 00:21:10,2020
109,True,2020-08-05 00:13:53+00:00,active,True,120,0,9,False,120,True,0,6,0,2020-08-05 00:21:10,2020
110,True,2020-08-05 00:16:14+00:00,active,True,121,0,10,False,121,True,0,7,0,2020-08-05 00:21:10,2020
111,True,2020-08-04 23:09:57+00:00,active,True,122,0,13,False,122,True,0,2,0,2020-08-05 00:21:10,2020
112,True,2020-08-04 21:00:19+00:00,active,True,124,0,14,False,124,True,0,1,0,2020-08-05 00:21:10,2020
113,True,2020-08-04 23:58:09+00:00,active,True,125,0,12,False,125,True,0,3,0,2020-08-05 00:21:10,2020
114,True,2020-08-04 23:56:27+00:00,active,True,126,1,14,False,126,True,0,0,0,2020-08-05 00:21:10,2020
115,True,2020-08-04 23:42:52+00:00,active,True,128,0,4,False,128,True,0,15,0,2020-08-05 00:21:10,2020
116,True,2020-08-04 22:37:04+00:00,active,True,129,0,2,False,129,True,0,17,0,2020-08-05 00:21:10,2020
117,True,2020-08-04 23:40:45+00:00,active,True,130,0,4,False,130,True,0,11,0,2020-08-05 00:21:10,2020
118,True,2020-08-05 00:17:50+00:00,active,True,131,0,5,False,131,True,0,13,0,2020-08-05 00:21:10,2020
119,True,2020-08-05 00:03:20+00:00,active,True,133,1,10,False,133,True,0,12,0,2020-08-05 00:21:10,2020
120,True,2020-08-04 18:45:12+00:00,active,True,135,0,5,False,135,True,0,12,0,2020-08-05 00:21:10,2020
121,True,2020-08-04 22:57:27+00:00,active,True,136,1,9,False,136,True,0,9,0,2020-08-05 00:21:10,2020
122,True,2020-08-04 23:34:52+00:00,active,True,137,0,7,False,137,True,0,8,0,2020-08-05 00:21:10,2020
123,True,2020-08-05 00:18:33+00:00,active,True,138,1,4,False,138,True,0,10,0,2020-08-05 00:21:10,2020
124,True,2020-08-04 22:24:09+00:00,active,True,139,0,11,False,139,True,0,8,0,2020-08-05 00:21:10,2020
125,True,2020-08-04 23:37:28+00:00,active,True,140,0,2,False,140,True,0,15,0,2020-08-05 00:21:10,2020
126,True,2020-08-05 00:16:35+00:00,active,True,141,1,11,False,141,True,0,3,0,2020-08-05 00:21:10,2020
127,True,2020-08-04 23:38:23+00:00,active,True,142,2,11,False,142,True,0,10,0,2020-08-05 00:21:10,2020
128,True,2020-08-05 00:08:08+00:00,active,True,143,0,13,False,143,True,0,10,0,2020-08-05 00:21:10,2020
129,True,2020-08-04 20:39:57+00:00,active,True,144,0,18,False,144,True,0,1,0,2020-08-05 00:21:10,2020
130,True,2020-08-04 23:31:16+00:00,active,True,145,0,2,False,145,True,0,17,0,2020-08-05 00:21:10,2020
131,True,2020-08-04 23:53:22+00:00,active,True,146,2,9,False,146,True,0,8,0,2020-08-05 00:21:10,2020
132,True,2020-08-05 00:12:35+00:00,active,True,149,0,12,True,149,True,0,6,0,2020-08-05 00:21:10,2020
133,True,2020-08-05 00:18:14+00:00,active,True,150,0,17,False,150,True,0,2,0,2020-08-05 00:21:10,2020
134,True,2020-08-04 23:46:11+00:00,active,True,151,0,15,False,151,True,0,4,0,2020-08-05 00:21:10,2020
135,True,2020-08-05 00:09:55+00:00,active,True,152,0,5,True,152,True,0,10,0,2020-08-05 00:21:10,2020
136,True,2020-08-05 00:04:32+00:00,active,True,156,0,10,False,156,True,0,5,0,2020-08-05 00:21:10,2020
137,True,2020-08-05 00:08:55+00:00,active,True,157,2,6,False,157,True,0,7,0,2020-08-05 00:21:10,2020
138,True,2020-08-04 23:35:45+00:00,active,True,159,1,10,False,159,True,0,4,0,2020-08-05 00:21:10,2020
139,True,2020-08-05 00:11:03+00:00,active,True,160,0,14,True,160,True,0,0,0,2020-08-05 00:21:10,2020
140,True,2020-08-05 00:21:02+00:00,active,True,161,0,12,True,161,True,0,11,0,2020-08-05 00:21:10,2020
141,True,2020-08-04 23:32:51+00:00,active,True,162,1,11,False,162,True,0,3,0,2020-08-05 00:21:10,2020
142,True,2020-08-04 20:19:09+00:00,active,True,163,0,14,True,163,True,0,5,0,2020-08-05 00:21:10,2020
143,True,2020-08-05 00:18:59+00:00,active,True,167,0,0,False,167,True,0,15,0,2020-08-05 00:21:10,2020
144,True,2020-08-04 21:44:42+00:00,active,True,169,0,3,False,169,True,0,16,0,2020-08-05 00:21:10,2020
145,True,2020-08-05 00:19:45+00:00,active,True,170,0,12,True,170,True,0,2,0,2020-08-05 00:21:10,2020
146,True,2020-08-04 22:20:17+00:00,active,True,171,0,17,True,171,True,0,6,0,2020-08-05 00:21:10,2020
147,True,2020-08-05 00:10:52+00:00,active,True,173,0,3,True,173,True,0,11,0,2020-08-05 00:21:10,2020
148,True,2020-08-04 23:31:10+00:00,active,True,174,0,8,False,174,True,0,7,0,2020-08-05 00:21:10,2020
149,True,2020-08-05 00:20:23+00:00,active,True,175,0,13,True,175,True,0,4,0,2020-08-05 00:21:10,2020
150,True,2020-08-05 00:17:59+00:00,active,True,176,0,9,False,176,True,0,6,0,2020-08-05 00:21:10,2020
151,True,2020-08-04 23:58:00+00:00,active,True,177,0,13,False,177,True,0,6,0,2020-08-05 00:21:10,2020
152,True,2020-08-05 00:14:39+00:00,active,True,178,0,11,False,178,True,0,8,0,2020-08-05 00:21:10,2020
153,True,2020-08-05 00:12:02+00:00,active,True,179,0,20,False,179,True,0,5,0,2020-08-05 00:21:10,2020
154,True,2020-08-04 23:16:09+00:00,active,True,180,1,6,False,180,True,0,12,0,2020-08-05 00:21:10,2020
155,True,2020-08-05 00:04:59+00:00,active,True,181,1,0,False,181,True,0,18,0,2020-08-05 00:21:10,2020
156,True,2020-08-04 23:17:26+00:00,active,True,182,2,13,True,182,True,0,4,0,2020-08-05 00:21:10,2020
157,True,2020-08-04 20:11:48+00:00,active,True,183,0,8,False,183,True,0,11,0,2020-08-05 00:21:10,2020
158,True,2020-08-05 00:16:54+00:00,active,True,184,1,11,False,184,True,0,7,0,2020-08-05 00:21:10,2020
159,True,2020-08-05 00:18:51+00:00,active,True,185,1,7,False,185,True,0,7,0,2020-08-05 00:21:10,2020
160,True,2020-08-04 23:41:48+00:00,active,True,186,0,8,True,186,True,0,7,0,2020-08-05 00:21:10,2020
161,True,2020-08-04 15:40:14+00:00,active,True,187,0,1,False,187,True,0,14,0,2020-08-05 00:21:10,2020
162,True,2020-08-04 18:46:44+00:00,active,True,188,0,13,False,188,True,0,2,0,2020-08-05 00:21:10,2020
163,True,2020-08-04 23:58:32+00:00,active,True,189,1,17,False,189,True,0,5,0,2020-08-05 00:21:10,2020
164,True,2020-08-05 00:16:47+00:00,active,True,190,1,22,True,190,True,0,14,0,2020-08-05 00:21:10,2020
165,True,2020-08-04 21:18:37+00:00,active,True,191,0,13,False,191,True,0,2,0,2020-08-05 00:21:10,2020
166,True,2020-08-05 00:13:01+00:00,active,True,192,0,14,False,192,True,0,5,0,2020-08-05 00:21:10,2020
167,True,2020-08-04 20:58:20+00:00,active,True,193,1,4,True,193,True,0,10,0,2020-08-05 00:21:10,2020
168,True,2020-08-04 22:42:14+00:00,active,True,194,0,13,False,194,True,0,6,0,2020-08-05 00:21:10,2020
169,True,2020-08-05 00:19:23+00:00,active,True,195,0,9,False,195,True,0,14,0,2020-08-05 00:21:10,2020
170,True,2020-08-04 23:00:05+00:00,active,True,196,0,7,True,196,True,0,3,0,2020-08-05 00:21:10,2020
