,legacy_id,num_docks_available,is_installed,last_reported,station_id,num_bikes_disabled,num_docks_disabled,is_renting,is_returning,eightd_has_available_keys,num_bikes_available,station_status,num_ebikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
22,26,6,True,2020-08-06 04:07:01+00:00,26,1,0,True,True,False,8,active,0,,,2020-08-06 05:31:55,2020
23,27,1,True,2020-08-06 05:05:03+00:00,27,2,0,True,True,False,20,active,0,,,2020-08-06 05:31:55,2020
24,29,9,True,2020-08-06 00:15:21+00:00,29,1,0,True,True,False,5,active,0,,,2020-08-06 05:31:55,2020
25,30,15,True,2020-08-06 04:40:09+00:00,30,0,0,True,True,False,0,active,0,,,2020-08-06 05:31:55,2020
26,31,16,True,2020-08-06 02:34:32+00:00,31,0,0,True,True,True,3,active,0,,,2020-08-06 05:31:55,2020
27,32,11,True,2020-08-06 05:13:31+00:00,32,0,0,True,True,False,4,active,0,,,2020-08-06 05:31:55,2020
28,33,20,True,2020-08-06 04:39:02+00:00,33,0,0,True,True,False,7,active,0,,,2020-08-06 05:31:55,2020
29,35,18,True,2020-08-06 03:07:58+00:00,35,0,0,True,True,False,5,active,0,,,2020-08-06 05:31:55,2020
30,36,8,True,2020-08-06 02:52:57+00:00,36,0,0,True,True,True,25,active,0,,,2020-08-06 05:31:55,2020
31,37,3,True,2020-08-05 23:21:29+00:00,37,0,0,True,True,True,12,active,0,,,2020-08-06 05:31:55,2020
32,39,13,True,2020-08-06 03:46:55+00:00,39,0,0,True,True,False,10,active,0,,,2020-08-06 05:31:55,2020
33,40,3,True,2020-08-06 03:04:21+00:00,40,1,0,True,True,False,15,active,0,,,2020-08-06 05:31:55,2020
34,41,0,True,2020-08-06 03:53:35+00:00,41,0,0,True,True,True,27,active,0,,,2020-08-06 05:31:55,2020
35,42,12,True,2020-08-06 02:47:08+00:00,42,1,0,True,True,False,10,active,0,,,2020-08-06 05:31:55,2020
36,43,5,True,2020-08-06 03:41:24+00:00,43,0,0,True,True,True,10,active,0,,,2020-08-06 05:31:55,2020
37,44,8,True,2020-08-06 03:19:30+00:00,44,0,0,True,True,False,15,active,0,,,2020-08-06 05:31:55,2020
38,46,8,True,2020-08-06 05:08:17+00:00,46,0,0,True,True,False,11,active,0,,,2020-08-06 05:31:55,2020
39,47,8,True,2020-08-06 04:28:50+00:00,47,0,0,True,True,True,11,active,0,,,2020-08-06 05:31:55,2020
40,48,17,True,2020-08-06 00:15:31+00:00,48,0,0,True,True,False,2,active,0,,,2020-08-06 05:31:55,2020
41,49,9,True,2020-08-06 02:52:35+00:00,49,0,0,True,True,False,9,active,0,,,2020-08-06 05:31:55,2020
42,50,6,True,2020-08-06 04:53:22+00:00,50,1,0,True,True,True,8,active,0,,,2020-08-06 05:31:55,2020
43,51,12,True,2020-08-06 05:11:50+00:00,51,1,0,True,True,False,2,active,0,,,2020-08-06 05:31:55,2020
44,52,12,True,2020-08-06 05:11:10+00:00,52,0,0,True,True,True,11,active,0,,,2020-08-06 05:31:55,2020
45,53,8,True,2020-08-06 05:31:16+00:00,53,2,0,True,True,False,9,active,0,,,2020-08-06 05:31:55,2020
46,54,2,True,2020-08-06 04:08:27+00:00,54,2,0,True,True,False,11,active,0,,,2020-08-06 05:31:55,2020
47,55,5,True,2020-08-06 04:44:04+00:00,55,1,0,True,True,False,9,active,0,,,2020-08-06 05:31:55,2020
48,56,6,True,2020-08-06 03:45:11+00:00,56,0,0,True,True,True,12,active,0,,,2020-08-06 05:31:55,2020
49,57,7,True,2020-08-06 04:20:08+00:00,57,1,0,True,True,True,6,active,0,,,2020-08-06 05:31:55,2020
50,58,4,True,2020-08-06 04:59:39+00:00,58,0,0,True,True,True,15,active,0,,,2020-08-06 05:31:55,2020
51,59,11,True,2020-08-06 04:32:04+00:00,59,0,0,True,True,True,8,active,0,,,2020-08-06 05:31:55,2020
