,station_id,legacy_id,station_status,last_reported,num_docks_available,is_returning,num_bikes_disabled,num_bikes_available,num_ebikes_available,eightd_has_available_keys,num_docks_disabled,is_renting,is_installed,timestamp_of_data_read_request,year_station_last_reported
90,101,101,active,2020-08-18 23:47:51+00:00,8,True,0,7,0,False,0,True,True,2020-08-18 23:50:20,2020
91,102,102,active,2020-08-18 23:40:37+00:00,13,True,0,2,0,False,0,True,True,2020-08-18 23:50:20,2020
92,103,103,active,2020-08-18 23:49:30+00:00,5,True,0,10,0,False,0,True,True,2020-08-18 23:50:20,2020
93,104,104,active,2020-08-18 23:23:21+00:00,16,True,0,3,0,False,0,True,True,2020-08-18 23:50:20,2020
94,105,105,active,2020-08-18 23:50:10+00:00,9,True,0,10,0,False,0,True,True,2020-08-18 23:50:20,2020
95,106,106,active,2020-08-18 20:26:10+00:00,7,True,0,8,0,False,0,True,True,2020-08-18 23:50:20,2020
96,107,107,active,2020-08-18 23:46:32+00:00,16,True,2,1,0,False,0,True,True,2020-08-18 23:50:20,2020
97,108,108,active,2020-08-18 23:33:25+00:00,10,True,0,7,0,False,0,True,True,2020-08-18 23:50:20,2020
98,109,109,active,2020-08-18 22:32:39+00:00,31,True,2,2,0,False,0,True,True,2020-08-18 23:50:20,2020
99,110,110,active,2020-08-18 23:43:49+00:00,15,True,0,0,0,False,0,True,True,2020-08-18 23:50:20,2020
100,111,111,active,2020-08-18 22:49:12+00:00,13,True,0,2,0,False,0,True,True,2020-08-18 23:50:20,2020
101,112,112,active,2020-08-18 23:46:52+00:00,8,True,0,7,0,False,0,True,True,2020-08-18 23:50:20,2020
102,113,113,active,2020-08-18 23:27:20+00:00,13,True,1,1,0,False,0,True,True,2020-08-18 23:50:20,2020
103,114,114,active,2020-08-18 23:49:40+00:00,13,True,0,2,0,False,0,True,True,2020-08-18 23:50:20,2020
104,115,115,active,2020-08-18 23:36:58+00:00,1,True,0,18,0,False,0,True,True,2020-08-18 23:50:20,2020
105,116,116,active,2020-08-18 23:49:45+00:00,13,True,0,10,0,False,0,True,True,2020-08-18 23:50:20,2020
106,117,117,active,2020-08-18 23:39:21+00:00,14,True,1,4,0,False,0,True,True,2020-08-18 23:50:20,2020
107,118,118,active,2020-08-18 23:31:39+00:00,5,True,1,13,0,False,0,True,True,2020-08-18 23:50:20,2020
108,119,119,active,2020-08-18 23:48:56+00:00,13,True,1,1,0,False,0,True,True,2020-08-18 23:50:20,2020
109,120,120,active,2020-08-18 23:33:36+00:00,0,True,0,15,0,False,0,True,True,2020-08-18 23:50:20,2020
110,121,121,active,2020-08-18 23:44:58+00:00,13,True,2,2,0,False,0,True,True,2020-08-18 23:50:20,2020
111,122,122,active,2020-08-18 23:48:24+00:00,12,True,0,3,0,False,0,True,True,2020-08-18 23:50:20,2020
112,124,124,active,2020-08-18 21:10:49+00:00,14,True,0,1,0,False,0,True,True,2020-08-18 23:50:20,2020
113,125,125,active,2020-08-18 23:26:47+00:00,3,True,1,10,0,False,1,True,True,2020-08-18 23:50:20,2020
114,126,126,active,2020-08-18 22:22:46+00:00,3,True,1,11,0,False,0,True,True,2020-08-18 23:50:20,2020
115,128,128,active,2020-08-18 22:48:31+00:00,0,True,0,19,0,False,0,True,True,2020-08-18 23:50:20,2020
116,129,129,active,2020-08-18 23:11:17+00:00,4,True,0,15,0,False,0,True,True,2020-08-18 23:50:20,2020
117,130,130,active,2020-08-18 23:40:12+00:00,0,True,0,15,0,False,0,True,True,2020-08-18 23:50:20,2020
118,131,131,active,2020-08-18 23:43:59+00:00,6,True,0,12,0,False,0,True,True,2020-08-18 23:50:20,2020
119,133,133,active,2020-08-18 23:32:09+00:00,2,True,2,19,0,False,0,True,True,2020-08-18 23:50:20,2020
