,is_returning,is_installed,is_renting,eightd_has_available_keys,station_id,num_docks_disabled,num_ebikes_available,last_reported,station_status,num_docks_available,num_bikes_disabled,num_bikes_available,legacy_id,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
100,True,True,True,False,111,0,0,2020-08-11 08:12:18+00:00,active,8,0,7,111,,,2020-08-11 11:24:05,2020
101,True,True,True,False,112,0,0,2020-08-11 10:56:52+00:00,active,4,0,11,112,,,2020-08-11 11:24:05,2020
102,True,True,True,False,113,0,0,2020-08-11 10:59:33+00:00,active,5,2,8,113,,,2020-08-11 11:24:05,2020
103,True,True,True,False,114,0,0,2020-08-11 08:57:14+00:00,active,12,0,3,114,,,2020-08-11 11:24:05,2020
104,True,True,True,False,115,0,0,2020-08-11 11:13:08+00:00,active,2,0,17,115,,,2020-08-11 11:24:05,2020
105,True,True,True,False,116,0,0,2020-08-11 11:17:09+00:00,active,9,0,14,116,,,2020-08-11 11:24:05,2020
106,True,True,True,False,117,0,0,2020-08-11 10:44:25+00:00,active,8,0,11,117,,,2020-08-11 11:24:05,2020
107,True,True,True,False,118,0,0,2020-08-11 11:13:23+00:00,active,1,1,17,118,,,2020-08-11 11:24:05,2020
108,True,True,True,False,119,0,0,2020-08-11 09:09:55+00:00,active,15,0,0,119,,,2020-08-11 11:24:05,2020
109,True,True,True,False,120,0,0,2020-08-11 10:56:28+00:00,active,5,1,9,120,,,2020-08-11 11:24:05,2020
110,True,True,True,False,121,0,0,2020-08-11 11:13:18+00:00,active,17,0,0,121,,,2020-08-11 11:24:05,2020
111,True,True,True,False,122,0,0,2020-08-11 08:56:21+00:00,active,11,0,4,122,,,2020-08-11 11:24:05,2020
112,True,True,True,False,124,0,0,2020-08-11 08:13:07+00:00,active,4,0,11,124,,,2020-08-11 11:24:05,2020
113,True,True,True,False,125,0,0,2020-08-11 11:07:11+00:00,active,11,0,4,125,,,2020-08-11 11:24:05,2020
114,True,True,True,False,126,0,0,2020-08-11 08:58:07+00:00,active,9,0,6,126,,,2020-08-11 11:24:05,2020
115,True,True,True,False,128,0,0,2020-08-11 10:46:43+00:00,active,9,0,10,128,,,2020-08-11 11:24:05,2020
116,True,True,True,False,129,0,0,2020-08-11 10:33:17+00:00,active,6,0,13,129,,,2020-08-11 11:24:05,2020
117,True,True,True,False,130,0,0,2020-08-11 10:38:35+00:00,active,3,0,12,130,,,2020-08-11 11:24:05,2020
118,True,True,True,False,131,0,0,2020-08-11 11:05:12+00:00,active,2,0,16,131,,,2020-08-11 11:24:05,2020
119,True,True,True,False,133,0,0,2020-08-11 11:14:59+00:00,active,4,1,18,133,,,2020-08-11 11:24:05,2020
120,True,True,True,False,135,0,0,2020-08-11 10:58:30+00:00,active,10,1,6,135,,,2020-08-11 11:24:05,2020
121,True,True,True,False,136,0,0,2020-08-11 11:12:57+00:00,active,10,1,8,136,,,2020-08-11 11:24:05,2020
122,True,True,True,False,137,0,0,2020-08-11 11:09:06+00:00,active,6,0,9,137,,,2020-08-11 11:24:05,2020
123,True,True,True,False,138,0,0,2020-08-11 08:58:41+00:00,active,0,2,13,138,,,2020-08-11 11:24:05,2020
124,True,True,True,False,139,0,0,2020-08-11 10:52:32+00:00,active,13,1,5,139,,,2020-08-11 11:24:05,2020
125,True,True,True,False,140,0,0,2020-08-11 10:43:05+00:00,active,5,0,12,140,,,2020-08-11 11:24:05,2020
126,True,True,True,False,141,0,0,2020-08-11 11:23:09+00:00,active,9,0,6,141,,,2020-08-11 11:24:05,2020
127,True,True,True,False,142,0,0,2020-08-11 11:19:20+00:00,active,7,0,16,142,,,2020-08-11 11:24:05,2020
128,True,True,True,False,143,0,0,2020-08-11 08:16:35+00:00,active,5,0,18,143,,,2020-08-11 11:24:05,2020
129,True,True,True,False,144,0,0,2020-08-11 10:25:38+00:00,active,4,0,15,144,,,2020-08-11 11:24:05,2020
130,True,True,True,False,145,0,0,2020-08-11 10:57:46+00:00,active,3,0,16,145,,,2020-08-11 11:24:05,2020
131,True,True,True,False,146,0,0,2020-08-11 10:01:54+00:00,active,14,2,3,146,,,2020-08-11 11:24:05,2020
132,True,True,True,True,149,0,0,2020-08-11 11:16:56+00:00,active,3,0,15,149,,,2020-08-11 11:24:05,2020
133,True,True,True,False,150,0,0,2020-08-11 08:56:43+00:00,active,8,0,11,150,,,2020-08-11 11:24:05,2020
134,True,True,True,False,151,0,0,2020-08-11 11:13:39+00:00,active,17,0,2,151,,,2020-08-11 11:24:05,2020
135,True,True,True,True,152,0,0,2020-08-11 10:54:14+00:00,active,3,0,12,152,,,2020-08-11 11:24:05,2020
136,True,True,True,False,156,0,0,2020-08-11 11:22:07+00:00,active,8,0,7,156,,,2020-08-11 11:24:05,2020
137,True,True,True,False,157,0,0,2020-08-11 11:21:28+00:00,active,0,2,13,157,,,2020-08-11 11:24:05,2020
138,True,True,True,False,159,0,0,2020-08-11 09:35:18+00:00,active,7,1,7,159,,,2020-08-11 11:24:05,2020
139,True,True,True,True,160,0,0,2020-08-11 08:58:15+00:00,active,6,0,8,160,,,2020-08-11 11:24:05,2020
140,True,True,True,True,161,0,0,2020-08-11 11:20:02+00:00,active,13,2,8,161,,,2020-08-11 11:24:05,2020
141,True,True,True,False,162,0,0,2020-08-11 08:11:27+00:00,active,9,0,6,162,,,2020-08-11 11:24:05,2020
142,True,True,True,True,163,0,0,2020-08-11 08:51:19+00:00,active,8,0,11,163,,,2020-08-11 11:24:05,2020
143,True,True,True,False,167,0,0,2020-08-11 11:15:30+00:00,active,10,0,5,167,,,2020-08-11 11:24:05,2020
144,True,True,True,False,169,0,0,2020-08-11 08:43:09+00:00,active,4,0,15,169,,,2020-08-11 11:24:05,2020
145,True,True,True,True,170,0,0,2020-08-11 08:57:53+00:00,active,11,0,3,170,,,2020-08-11 11:24:05,2020
146,True,True,True,True,171,0,0,2020-08-11 10:53:10+00:00,active,19,0,4,171,,,2020-08-11 11:24:05,2020
147,True,True,True,True,173,0,0,2020-08-11 08:56:41+00:00,active,3,0,11,173,,,2020-08-11 11:24:05,2020
148,True,True,True,False,174,0,0,2020-08-11 11:12:50+00:00,active,10,0,5,174,,,2020-08-11 11:24:05,2020
149,True,True,True,True,175,0,0,2020-08-11 11:07:47+00:00,active,17,0,0,175,,,2020-08-11 11:24:05,2020
150,True,True,True,False,176,0,0,2020-08-11 10:39:43+00:00,active,0,0,15,176,,,2020-08-11 11:24:05,2020
151,True,True,True,False,177,0,0,2020-08-11 11:20:13+00:00,active,19,0,0,177,,,2020-08-11 11:24:05,2020
152,True,True,True,False,178,0,0,2020-08-11 08:46:35+00:00,active,10,0,9,178,,,2020-08-11 11:24:05,2020
153,True,True,True,False,179,0,0,2020-08-11 10:59:41+00:00,active,14,0,11,179,,,2020-08-11 11:24:05,2020
154,True,True,True,False,180,0,0,2020-08-11 11:00:39+00:00,active,2,0,17,180,,,2020-08-11 11:24:05,2020
155,True,True,True,False,181,0,0,2020-08-11 11:23:07+00:00,active,7,0,12,181,,,2020-08-11 11:24:05,2020
156,True,True,True,True,182,0,0,2020-08-11 10:31:40+00:00,active,12,0,7,182,,,2020-08-11 11:24:05,2020
157,True,True,True,False,183,0,0,2020-08-11 10:58:31+00:00,active,16,0,3,183,,,2020-08-11 11:24:05,2020
158,True,True,True,False,184,0,0,2020-08-11 09:57:55+00:00,active,9,0,10,184,,,2020-08-11 11:24:05,2020
159,True,True,True,False,185,0,0,2020-08-11 10:47:18+00:00,active,5,0,10,185,,,2020-08-11 11:24:05,2020
160,True,True,True,True,186,0,0,2020-08-11 10:06:18+00:00,active,0,2,13,186,,,2020-08-11 11:24:05,2020
161,True,True,True,False,187,0,0,2020-08-11 08:37:28+00:00,active,2,0,13,187,,,2020-08-11 11:24:05,2020
162,True,True,True,False,188,0,0,2020-08-11 08:36:48+00:00,active,5,0,10,188,,,2020-08-11 11:24:05,2020
163,True,True,True,True,189,0,0,2020-08-11 11:05:23+00:00,active,11,1,11,189,,,2020-08-11 11:24:05,2020
164,True,True,True,True,190,0,0,2020-08-11 11:12:40+00:00,active,11,0,26,190,,,2020-08-11 11:24:05,2020
165,True,True,True,False,191,0,0,2020-08-11 11:20:26+00:00,active,13,0,2,191,,,2020-08-11 11:24:05,2020
166,True,True,True,False,192,0,0,2020-08-11 11:13:04+00:00,active,8,0,11,192,,,2020-08-11 11:24:05,2020
167,True,True,True,True,193,0,0,2020-08-11 09:50:17+00:00,active,7,0,8,193,,,2020-08-11 11:24:05,2020
168,True,True,True,False,194,0,0,2020-08-11 08:17:49+00:00,active,15,0,4,194,,,2020-08-11 11:24:05,2020
169,True,True,True,False,195,0,0,2020-08-11 11:17:52+00:00,active,8,1,14,195,,,2020-08-11 11:24:05,2020
170,True,True,True,True,196,0,0,2020-08-11 08:26:59+00:00,active,9,0,1,196,,,2020-08-11 11:24:05,2020
171,True,True,True,False,197,0,0,2020-08-11 09:43:55+00:00,active,15,0,0,197,,,2020-08-11 11:24:05,2020
172,True,True,True,False,199,0,0,2020-08-11 10:02:08+00:00,active,15,0,0,199,,,2020-08-11 11:24:05,2020
173,True,True,True,False,200,0,0,2020-08-11 11:03:03+00:00,active,6,2,11,200,,,2020-08-11 11:24:05,2020
174,True,True,True,False,201,0,0,2020-08-11 08:38:13+00:00,active,13,0,2,201,,,2020-08-11 11:24:05,2020
