,num_docks_available,num_docks_disabled,last_reported,num_ebikes_available,station_id,station_status,is_renting,num_bikes_disabled,is_installed,legacy_id,num_bikes_available,is_returning,eightd_has_available_keys,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
179,16,0,2020-07-29 23:09:20+00:00,0,206,active,True,0,True,206,7,True,False,,,2020-07-29 23:21:10,2020
180,2,0,2020-07-29 21:53:23+00:00,0,208,active,True,0,True,208,13,True,True,,,2020-07-29 23:21:10,2020
181,3,0,2020-07-29 21:54:31+00:00,0,209,active,True,1,True,209,11,True,False,,,2020-07-29 23:21:10,2020
182,13,0,2020-07-29 23:04:20+00:00,0,210,active,True,0,True,210,2,True,False,,,2020-07-29 23:21:10,2020
183,7,0,2020-07-29 23:09:43+00:00,0,211,active,True,1,True,211,11,True,False,,,2020-07-29 23:21:10,2020
184,28,0,2020-07-29 23:02:37+00:00,0,212,active,True,0,True,212,5,True,False,,,2020-07-29 23:21:10,2020
185,8,0,2020-07-29 21:05:25+00:00,0,213,active,True,0,True,213,8,True,True,,,2020-07-29 23:21:10,2020
186,1,0,2020-07-29 23:20:10+00:00,0,214,active,True,0,True,214,14,True,False,,,2020-07-29 23:21:10,2020
187,4,0,2020-07-29 22:41:34+00:00,0,215,active,True,0,True,215,11,True,False,,,2020-07-29 23:21:10,2020
188,1,0,2020-07-29 20:43:27+00:00,0,216,active,True,1,True,216,17,True,False,,,2020-07-29 23:21:10,2020
189,16,0,2020-07-29 23:15:52+00:00,0,217,active,True,0,True,217,3,True,False,,,2020-07-29 23:21:10,2020
190,0,0,2020-07-29 23:03:02+00:00,0,218,active,True,0,True,218,15,True,False,,,2020-07-29 23:21:10,2020
191,7,0,2020-07-29 22:19:28+00:00,0,219,active,True,0,True,219,8,True,False,,,2020-07-29 23:21:10,2020
192,14,0,2020-07-29 23:19:43+00:00,0,221,active,True,0,True,221,5,True,False,,,2020-07-29 23:21:10,2020
193,13,0,2020-07-29 23:10:26+00:00,0,222,active,True,0,True,222,1,True,True,,,2020-07-29 23:21:10,2020
194,9,0,2020-07-29 23:09:22+00:00,0,224,active,True,0,True,224,8,True,False,,,2020-07-29 23:21:10,2020
195,9,0,2020-07-29 23:14:19+00:00,0,225,active,True,1,True,225,9,True,False,,,2020-07-29 23:21:10,2020
196,13,0,2020-07-29 23:20:57+00:00,0,226,active,True,0,True,226,2,True,False,,,2020-07-29 23:21:10,2020
