,num_docks_available,is_installed,eightd_has_available_keys,is_returning,num_ebikes_available,num_docks_disabled,last_reported,station_status,legacy_id,is_renting,num_bikes_available,num_bikes_disabled,station_id,timestamp_of_data_read_request,year_station_last_reported
21,0,True,False,True,0,0,2020-08-22 03:35:09+00:00,active,25,True,15,0,25,2020-08-22 04:16:55,2020
22,2,True,False,True,0,0,2020-08-22 02:15:51+00:00,active,26,True,13,0,26,2020-08-22 04:16:55,2020
23,12,True,False,True,0,0,2020-08-22 03:19:12+00:00,active,27,True,11,0,27,2020-08-22 04:16:55,2020
24,11,True,False,True,0,0,2020-08-21 23:24:12+00:00,active,29,True,4,0,29,2020-08-22 04:16:55,2020
25,8,True,False,True,0,0,2020-08-22 04:08:32+00:00,active,30,True,6,1,30,2020-08-22 04:16:55,2020
26,10,True,False,True,0,0,2020-08-22 02:50:31+00:00,active,31,True,9,0,31,2020-08-22 04:16:55,2020
27,2,True,False,True,0,0,2020-08-22 04:08:53+00:00,active,32,True,10,3,32,2020-08-22 04:16:55,2020
28,16,True,True,True,0,0,2020-08-22 04:14:52+00:00,active,33,True,11,0,33,2020-08-22 04:16:55,2020
29,23,True,False,True,0,0,2020-08-22 02:37:28+00:00,active,35,True,0,0,35,2020-08-22 04:16:55,2020
30,13,True,True,True,0,0,2020-08-22 02:01:30+00:00,active,36,True,19,1,36,2020-08-22 04:16:55,2020
31,10,True,True,True,0,0,2020-08-22 04:13:26+00:00,active,37,True,5,0,37,2020-08-22 04:16:55,2020
32,20,True,False,True,0,0,2020-08-22 03:25:18+00:00,active,39,True,3,0,39,2020-08-22 04:16:55,2020
33,11,True,False,True,0,0,2020-08-22 03:19:01+00:00,active,40,True,8,0,40,2020-08-22 04:16:55,2020
34,0,True,True,True,0,0,2020-08-22 04:16:00+00:00,active,41,True,25,2,41,2020-08-22 04:16:55,2020
35,1,True,False,True,0,0,2020-08-22 04:11:52+00:00,active,42,True,22,0,42,2020-08-22 04:16:55,2020
36,4,True,True,True,0,0,2020-08-22 04:00:33+00:00,active,43,True,11,0,43,2020-08-22 04:16:55,2020
37,22,True,False,True,0,0,2020-08-22 02:21:03+00:00,active,44,True,1,0,44,2020-08-22 04:16:55,2020
38,8,True,False,True,0,0,2020-08-22 04:15:51+00:00,active,46,True,11,0,46,2020-08-22 04:16:55,2020
39,8,True,True,True,0,0,2020-08-22 04:08:16+00:00,active,47,True,11,0,47,2020-08-22 04:16:55,2020
40,13,True,False,True,0,0,2020-08-22 03:48:18+00:00,active,48,True,6,0,48,2020-08-22 04:16:55,2020
41,4,True,False,True,0,0,2020-08-22 03:51:02+00:00,active,49,True,13,1,49,2020-08-22 04:16:55,2020
42,7,True,True,True,0,0,2020-08-22 03:05:39+00:00,active,50,True,8,0,50,2020-08-22 04:16:55,2020
43,4,True,False,True,0,0,2020-08-22 03:11:46+00:00,active,51,True,11,0,51,2020-08-22 04:16:55,2020
44,8,True,True,True,0,0,2020-08-22 04:14:00+00:00,active,52,True,13,2,52,2020-08-22 04:16:55,2020
45,9,True,False,True,0,0,2020-08-22 04:09:27+00:00,active,53,True,10,0,53,2020-08-22 04:16:55,2020
46,13,True,False,True,0,0,2020-08-22 03:52:20+00:00,active,54,True,2,0,54,2020-08-22 04:16:55,2020
47,1,True,False,True,0,0,2020-08-22 04:04:59+00:00,active,55,True,14,0,55,2020-08-22 04:16:55,2020
48,9,True,True,True,0,0,2020-08-22 03:35:52+00:00,active,56,True,9,0,56,2020-08-22 04:16:55,2020
49,13,True,True,True,0,0,2020-08-22 01:55:16+00:00,active,57,True,1,0,57,2020-08-22 04:16:55,2020
50,15,True,True,True,0,0,2020-08-22 04:16:23+00:00,active,58,True,3,1,58,2020-08-22 04:16:55,2020
51,15,True,True,True,0,0,2020-08-22 03:42:45+00:00,active,59,True,4,0,59,2020-08-22 04:16:55,2020
52,6,True,False,True,0,0,2020-08-22 04:06:29+00:00,active,60,True,13,0,60,2020-08-22 04:16:55,2020
53,11,True,False,True,0,0,2020-08-22 03:57:51+00:00,active,61,True,8,0,61,2020-08-22 04:16:55,2020
54,14,True,False,True,0,0,2020-08-22 04:07:33+00:00,active,63,True,1,0,63,2020-08-22 04:16:55,2020
55,13,True,False,True,0,0,2020-08-22 02:12:05+00:00,active,64,True,6,0,64,2020-08-22 04:16:55,2020
56,14,True,False,True,0,0,2020-08-22 01:30:45+00:00,active,65,True,9,0,65,2020-08-22 04:16:55,2020
57,3,True,False,True,0,0,2020-08-22 04:11:14+00:00,active,66,True,12,0,66,2020-08-22 04:16:55,2020
58,22,True,True,True,0,0,2020-08-22 04:06:12+00:00,active,67,True,4,1,67,2020-08-22 04:16:55,2020
59,0,True,True,True,0,0,2020-08-22 04:10:03+00:00,active,68,True,15,4,68,2020-08-22 04:16:55,2020
60,12,True,True,True,0,0,2020-08-22 04:12:32+00:00,active,69,True,7,0,69,2020-08-22 04:16:55,2020
61,2,True,False,True,0,0,2020-08-22 04:05:04+00:00,active,70,True,21,0,70,2020-08-22 04:16:55,2020
62,12,True,False,True,0,0,2020-08-22 04:09:12+00:00,active,71,True,11,0,71,2020-08-22 04:16:55,2020
63,15,True,False,True,0,0,2020-08-22 00:31:07+00:00,active,72,True,8,0,72,2020-08-22 04:16:55,2020
64,2,True,False,True,0,0,2020-08-22 03:47:50+00:00,active,73,True,13,0,73,2020-08-22 04:16:55,2020
65,13,True,True,True,0,0,2020-08-22 04:16:44+00:00,active,74,True,3,3,74,2020-08-22 04:16:55,2020
66,7,True,False,True,0,0,2020-08-22 04:14:25+00:00,active,75,True,8,0,75,2020-08-22 04:16:55,2020
67,1,True,False,True,0,0,2020-08-22 03:29:26+00:00,active,76,True,16,0,76,2020-08-22 04:16:55,2020
68,10,True,False,True,0,0,2020-08-22 02:26:28+00:00,active,77,True,5,0,77,2020-08-22 04:16:55,2020
69,11,True,False,True,0,0,2020-08-22 02:56:15+00:00,active,78,True,8,0,78,2020-08-22 04:16:55,2020
70,4,True,False,True,0,0,2020-08-22 04:06:51+00:00,active,79,True,15,0,79,2020-08-22 04:16:55,2020
71,35,True,False,True,0,0,2020-08-22 01:28:53+00:00,active,80,True,0,0,80,2020-08-22 04:16:55,2020
72,12,True,False,True,0,0,2020-08-22 02:52:45+00:00,active,81,True,6,1,81,2020-08-22 04:16:55,2020
73,12,True,False,True,0,0,2020-08-22 03:23:04+00:00,active,82,True,3,0,82,2020-08-22 04:16:55,2020
