,last_reported,legacy_id,num_docks_disabled,num_bikes_disabled,num_docks_available,eightd_has_available_keys,num_ebikes_available,station_status,station_id,is_renting,is_returning,num_bikes_available,is_installed,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
176,2020-08-21 12:45:21+00:00,203,0,0,9,False,0,active,203,True,True,6,True,,,2020-08-21 17:23:25,2020
177,2020-08-21 12:44:46+00:00,204,0,1,10,False,0,active,204,True,True,4,True,,,2020-08-21 17:23:25,2020
178,2020-08-21 14:36:28+00:00,205,0,0,13,False,0,active,205,True,True,2,True,,,2020-08-21 17:23:25,2020
179,2020-08-21 17:17:31+00:00,206,0,0,21,True,0,active,206,True,True,2,True,,,2020-08-21 17:23:25,2020
180,2020-08-21 15:12:16+00:00,208,0,1,0,True,0,active,208,True,True,14,True,,,2020-08-21 17:23:25,2020
181,2020-08-21 17:07:16+00:00,209,0,1,8,False,0,active,209,True,True,6,True,,,2020-08-21 17:23:25,2020
182,2020-08-21 09:07:17+00:00,210,0,1,12,False,0,active,210,True,True,2,True,,,2020-08-21 17:23:25,2020
183,2020-08-21 08:52:25+00:00,211,0,0,9,False,0,active,211,True,True,10,True,,,2020-08-21 17:23:25,2020
184,2020-08-21 17:22:40+00:00,212,0,1,24,False,0,active,212,True,True,8,True,,,2020-08-21 17:23:25,2020
185,2020-08-21 17:16:29+00:00,213,0,0,12,True,0,active,213,True,True,4,True,,,2020-08-21 17:23:25,2020
186,2020-08-21 17:06:06+00:00,214,0,0,15,False,0,active,214,True,True,0,True,,,2020-08-21 17:23:25,2020
187,2020-08-21 14:03:49+00:00,215,0,2,5,False,0,active,215,True,True,8,True,,,2020-08-21 17:23:25,2020
188,2020-08-21 06:54:34+00:00,216,0,0,5,False,0,active,216,True,True,14,True,,,2020-08-21 17:23:25,2020
189,2020-08-21 16:28:31+00:00,217,0,1,15,False,0,active,217,True,True,3,True,,,2020-08-21 17:23:25,2020
190,2020-08-21 17:17:13+00:00,218,0,0,14,False,0,active,218,True,True,1,True,,,2020-08-21 17:23:25,2020
191,2020-08-21 09:28:06+00:00,219,0,0,8,False,0,active,219,True,True,7,True,,,2020-08-21 17:23:25,2020
192,2020-08-21 16:51:40+00:00,221,0,0,17,False,0,active,221,True,True,2,True,,,2020-08-21 17:23:25,2020
