,eightd_has_available_keys,is_returning,last_reported,num_docks_available,num_ebikes_available,station_id,station_status,is_renting,legacy_id,num_docks_disabled,num_bikes_disabled,num_bikes_available,is_installed,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
239,False,True,2020-07-27 08:53:47+00:00,3,0,348,active,True,348,0,0,12,True,,,2020-07-27 17:33:50,2020
240,True,True,2020-07-27 16:35:25+00:00,17,0,349,active,True,349,0,0,0,True,,,2020-07-27 17:33:50,2020
241,False,True,2020-07-27 09:48:12+00:00,13,0,350,active,True,350,0,0,4,True,,,2020-07-27 17:33:50,2020
242,False,True,2020-07-27 14:55:50+00:00,11,0,351,active,True,351,0,0,4,True,,,2020-07-27 17:33:50,2020
243,False,True,2020-07-27 17:02:32+00:00,2,0,352,active,True,352,0,0,13,True,,,2020-07-27 17:33:50,2020
244,True,True,2020-07-27 08:48:21+00:00,3,0,353,active,True,353,0,0,12,True,,,2020-07-27 17:33:50,2020
245,False,True,2020-07-27 16:57:33+00:00,15,0,354,active,True,354,0,0,0,True,,,2020-07-27 17:33:50,2020
246,False,True,2020-07-27 16:39:06+00:00,9,0,355,active,True,355,0,0,8,True,,,2020-07-27 17:33:50,2020
247,False,True,2020-07-27 17:30:24+00:00,6,0,356,active,True,356,0,1,16,True,,,2020-07-27 17:33:50,2020
248,False,True,2020-07-27 17:28:21+00:00,13,0,357,active,True,357,0,0,2,True,,,2020-07-27 17:33:50,2020
249,False,True,2020-07-27 13:44:14+00:00,11,0,358,active,True,358,0,0,8,True,,,2020-07-27 17:33:50,2020
250,False,True,2020-07-27 16:39:23+00:00,10,0,359,active,True,359,0,1,4,True,,,2020-07-27 17:33:50,2020
251,False,True,2020-07-27 14:37:38+00:00,14,0,360,active,True,360,0,0,1,True,,,2020-07-27 17:33:50,2020
252,False,True,2020-07-27 16:45:03+00:00,11,0,361,active,True,361,0,1,7,True,,,2020-07-27 17:33:50,2020
253,False,True,2020-07-27 16:36:57+00:00,9,0,362,active,True,362,0,2,8,True,,,2020-07-27 17:33:50,2020
254,False,True,2020-07-27 16:53:25+00:00,4,0,363,active,True,363,0,0,15,True,,,2020-07-27 17:33:50,2020
255,False,True,2020-07-27 17:31:43+00:00,10,0,364,active,True,364,0,0,9,True,,,2020-07-27 17:33:50,2020
256,False,True,2020-07-27 17:17:51+00:00,8,0,365,active,True,365,0,0,11,True,,,2020-07-27 17:33:50,2020
257,False,True,2020-07-27 17:19:58+00:00,5,0,366,active,True,366,0,0,10,True,,,2020-07-27 17:33:50,2020
258,False,True,2020-07-27 17:30:51+00:00,5,0,367,active,True,367,0,0,14,True,,,2020-07-27 17:33:50,2020
259,False,True,2020-07-27 17:31:07+00:00,14,0,368,active,True,368,0,0,1,True,,,2020-07-27 17:33:50,2020
260,False,True,2020-07-27 17:04:39+00:00,15,0,369,active,True,369,0,0,0,True,,,2020-07-27 17:33:50,2020
261,False,True,2020-07-27 16:30:47+00:00,17,0,370,active,True,370,0,0,2,True,,,2020-07-27 17:33:50,2020
262,False,True,2020-07-27 15:20:52+00:00,15,0,371,active,True,371,0,0,4,True,,,2020-07-27 17:33:50,2020
263,False,True,2020-07-27 17:27:26+00:00,14,0,372,active,True,372,0,0,5,True,,,2020-07-27 17:33:50,2020
264,False,True,2020-07-27 17:25:54+00:00,11,0,373,active,True,373,0,0,4,True,,,2020-07-27 17:33:50,2020
265,False,True,2020-07-27 17:30:27+00:00,15,0,374,active,True,374,0,1,3,True,,,2020-07-27 17:33:50,2020
266,False,True,2020-07-27 14:07:57+00:00,3,0,376,active,True,376,0,0,12,True,,,2020-07-27 17:33:50,2020
267,False,True,2020-07-27 15:18:33+00:00,10,0,377,active,True,377,0,0,9,True,,,2020-07-27 17:33:50,2020
268,False,True,2020-07-27 17:11:37+00:00,18,0,378,active,True,378,0,0,1,True,,,2020-07-27 17:33:50,2020
269,False,True,2020-07-27 16:36:55+00:00,5,0,379,active,True,379,0,0,10,True,,,2020-07-27 17:33:50,2020
270,False,True,2020-07-27 17:24:43+00:00,4,0,380,active,True,380,0,0,14,True,,,2020-07-27 17:33:50,2020
271,False,True,2020-07-27 16:36:01+00:00,18,0,381,active,True,381,0,1,0,True,,,2020-07-27 17:33:50,2020
272,True,True,2020-07-27 16:51:50+00:00,2,0,384,active,True,384,0,0,17,True,,,2020-07-27 17:33:50,2020
273,False,True,2020-07-27 16:44:38+00:00,1,0,385,active,True,385,1,1,12,True,,,2020-07-27 17:33:50,2020
274,False,True,2020-07-27 17:27:11+00:00,3,0,386,active,True,386,0,0,16,True,,,2020-07-27 17:33:50,2020
275,False,True,2020-07-27 17:29:01+00:00,4,0,387,active,True,387,0,0,11,True,,,2020-07-27 17:33:50,2020
276,False,True,2020-07-27 17:08:01+00:00,9,0,388,active,True,388,0,0,2,True,,,2020-07-27 17:33:50,2020
277,False,True,2020-07-27 16:26:56+00:00,2,0,389,active,True,389,0,0,12,True,,,2020-07-27 17:33:50,2020
278,False,True,2020-07-27 08:58:54+00:00,3,0,390,active,True,390,0,0,12,True,,,2020-07-27 17:33:50,2020
279,False,True,2020-07-27 08:57:49+00:00,4,0,391,active,True,391,0,1,10,True,,,2020-07-27 17:33:50,2020
280,False,True,2020-07-27 08:57:12+00:00,4,0,392,active,True,392,0,0,11,True,,,2020-07-27 17:33:50,2020
281,False,True,2020-07-26 08:57:56+00:00,10,0,393,active,True,393,0,0,5,True,,,2020-07-27 17:33:50,2020
282,False,True,2020-07-27 08:59:07+00:00,11,0,394,active,True,394,0,0,3,True,,,2020-07-27 17:33:50,2020
283,False,True,2020-07-27 16:15:30+00:00,12,0,395,active,True,395,0,0,3,True,,,2020-07-27 17:33:50,2020
284,False,True,2020-07-27 15:03:48+00:00,7,0,396,active,True,396,0,0,8,True,,,2020-07-27 17:33:50,2020
285,False,True,2020-07-27 10:57:52+00:00,0,0,397,active,True,397,0,0,15,True,,,2020-07-27 17:33:50,2020
286,False,True,2020-07-27 17:23:17+00:00,12,0,398,active,True,398,0,0,7,True,,,2020-07-27 17:33:50,2020
287,False,True,2020-07-27 16:52:07+00:00,10,0,399,active,True,399,0,0,5,True,,,2020-07-27 17:33:50,2020
288,False,True,2020-07-27 16:36:42+00:00,22,0,400,active,True,400,0,0,5,True,,,2020-07-27 17:33:50,2020
289,False,True,2020-07-27 16:10:59+00:00,1,0,401,active,True,401,0,0,14,True,,,2020-07-27 17:33:50,2020
290,False,True,2020-07-27 12:27:30+00:00,15,0,402,active,True,402,0,0,0,True,,,2020-07-27 17:33:50,2020
291,False,True,2020-07-27 17:24:55+00:00,12,0,403,active,True,403,0,0,3,True,,,2020-07-27 17:33:50,2020
292,False,True,2020-07-27 17:29:42+00:00,7,0,404,active,True,404,0,0,9,True,,,2020-07-27 17:33:50,2020
293,False,True,2020-07-27 17:21:49+00:00,5,0,405,active,True,405,0,0,14,True,,,2020-07-27 17:33:50,2020
294,False,True,2020-07-27 14:54:26+00:00,12,0,406,active,True,406,0,0,3,True,,,2020-07-27 17:33:50,2020
295,False,True,2020-07-27 12:31:03+00:00,9,0,407,active,True,407,0,0,10,True,,,2020-07-27 17:33:50,2020
296,False,True,2020-07-27 16:24:07+00:00,2,0,408,active,True,408,0,0,13,True,,,2020-07-27 17:33:50,2020
297,False,True,2020-07-27 16:45:21+00:00,10,0,409,active,True,409,0,0,9,True,,,2020-07-27 17:33:50,2020
298,False,True,2020-07-27 09:12:04+00:00,1,0,410,active,True,410,0,1,17,True,,,2020-07-27 17:33:50,2020
299,False,True,2020-07-27 08:59:02+00:00,0,0,411,active,True,411,0,1,14,True,,,2020-07-27 17:33:50,2020
300,False,True,2020-07-27 11:56:03+00:00,5,0,412,active,True,412,0,0,14,True,,,2020-07-27 17:33:50,2020
301,False,True,2020-07-27 17:10:56+00:00,14,0,413,active,True,413,0,0,5,True,,,2020-07-27 17:33:50,2020
302,False,True,2020-07-27 13:20:09+00:00,21,0,414,active,True,414,0,0,2,True,,,2020-07-27 17:33:50,2020
303,False,True,2020-07-27 17:32:29+00:00,17,0,415,active,True,415,0,0,2,True,,,2020-07-27 17:33:50,2020
