,eightd_has_available_keys,num_bikes_disabled,num_docks_available,is_installed,is_renting,station_status,station_id,num_bikes_available,legacy_id,num_ebikes_available,is_returning,last_reported,num_docks_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
62,False,0,4,True,True,active,71,19,71,0,True,2020-07-31 12:46:08+00:00,0,,,2020-07-31 12:49:05,2020
63,False,0,22,True,True,active,72,1,72,0,True,2020-07-31 12:28:44+00:00,0,,,2020-07-31 12:49:05,2020
64,False,0,5,True,True,active,73,10,73,0,True,2020-07-31 12:01:20+00:00,0,,,2020-07-31 12:49:05,2020
65,True,0,15,True,True,active,74,4,74,0,True,2020-07-31 12:36:11+00:00,0,,,2020-07-31 12:49:05,2020
66,False,0,9,True,True,active,75,6,75,0,True,2020-07-31 12:42:05+00:00,0,,,2020-07-31 12:49:05,2020
67,False,0,4,True,True,active,76,13,76,0,True,2020-07-31 12:41:51+00:00,0,,,2020-07-31 12:49:05,2020
68,False,0,13,True,True,active,77,2,77,0,True,2020-07-31 12:18:25+00:00,0,,,2020-07-31 12:49:05,2020
69,False,1,7,True,True,active,78,11,78,0,True,2020-07-31 12:25:30+00:00,0,,,2020-07-31 12:49:05,2020
70,False,0,17,True,True,active,79,2,79,0,True,2020-07-31 12:23:31+00:00,0,,,2020-07-31 12:49:05,2020
71,False,0,27,True,True,active,80,8,80,0,True,2020-07-31 12:47:07+00:00,0,,,2020-07-31 12:49:05,2020
72,False,0,11,True,True,active,81,8,81,0,True,2020-07-31 12:41:54+00:00,0,,,2020-07-31 12:49:05,2020
73,False,0,10,True,True,active,82,5,82,0,True,2020-07-31 12:46:07+00:00,0,,,2020-07-31 12:49:05,2020
74,False,0,11,True,True,active,84,4,84,0,True,2020-07-31 08:42:03+00:00,0,,,2020-07-31 12:49:05,2020
75,False,0,5,True,True,active,85,14,85,0,True,2020-07-31 12:48:03+00:00,0,,,2020-07-31 12:49:05,2020
76,False,0,8,True,True,active,86,11,86,0,True,2020-07-31 12:25:13+00:00,0,,,2020-07-31 12:49:05,2020
77,False,0,6,True,True,active,87,9,87,0,True,2020-07-31 12:48:01+00:00,0,,,2020-07-31 12:49:05,2020
