,station_id,num_bikes_available,num_ebikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,eightd_has_available_keys,eightd_active_station_services,data_read_timestamp,year_station_last_reported
83,93,11,0,1,3,0,True,True,True,2020-03-11 20:13:36+00:00,False,,2020-03-11 20:18:33,2020
84,94,4,0,0,7,0,True,True,True,2020-03-11 19:22:58+00:00,False,,2020-03-11 20:18:33,2020
85,95,1,0,0,14,0,True,True,True,2020-03-11 19:58:40+00:00,False,,2020-03-11 20:18:33,2020
86,96,1,0,0,18,0,True,True,True,2020-03-11 20:12:48+00:00,False,,2020-03-11 20:18:33,2020
87,97,8,0,0,11,0,True,True,True,2020-03-11 20:06:33+00:00,False,,2020-03-11 20:18:33,2020
88,98,4,0,0,19,0,True,True,True,2020-03-11 20:16:43+00:00,True,,2020-03-11 20:18:33,2020
89,99,2,0,0,13,0,True,True,True,2020-03-11 20:15:38+00:00,False,,2020-03-11 20:18:33,2020
90,100,7,0,0,18,0,True,True,True,2020-03-11 20:11:35+00:00,True,,2020-03-11 20:18:33,2020
91,101,1,0,0,14,0,True,True,True,2020-03-11 18:12:38+00:00,False,,2020-03-11 20:18:33,2020
92,102,10,0,0,5,0,True,True,True,2020-03-11 17:22:38+00:00,False,,2020-03-11 20:18:33,2020
93,103,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,,2020-03-11 20:18:33,1970
94,104,3,0,1,15,0,True,True,True,2020-03-11 20:18:31+00:00,False,,2020-03-11 20:18:33,2020
95,105,4,0,0,15,0,True,True,True,2020-03-11 20:10:50+00:00,False,,2020-03-11 20:18:33,2020
96,106,0,0,0,3,0,False,False,False,2019-11-19 16:56:13+00:00,False,,2020-03-11 20:18:33,2019
97,108,11,0,0,6,0,True,True,True,2020-03-11 20:14:56+00:00,False,,2020-03-11 20:18:33,2020
98,109,27,0,1,7,0,True,True,True,2020-03-11 20:09:27+00:00,False,,2020-03-11 20:18:33,2020
99,110,12,0,0,3,0,True,True,True,2020-03-11 20:09:35+00:00,False,,2020-03-11 20:18:33,2020
100,111,7,0,1,7,0,True,True,True,2020-03-11 15:57:35+00:00,False,,2020-03-11 20:18:33,2020
101,112,8,0,0,7,0,True,True,True,2020-03-11 02:00:28+00:00,False,,2020-03-11 20:18:33,2020
102,113,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,,2020-03-11 20:18:33,1970
103,114,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,,2020-03-11 20:18:33,1970
104,115,8,0,0,11,0,True,True,True,2020-03-11 20:14:32+00:00,False,,2020-03-11 20:18:33,2020
105,116,1,0,0,22,0,True,True,True,2020-03-11 20:13:32+00:00,False,,2020-03-11 20:18:33,2020
106,117,9,0,1,9,0,True,True,True,2020-03-11 20:14:50+00:00,False,,2020-03-11 20:18:33,2020
107,118,0,0,1,18,0,True,True,True,2020-03-11 19:57:38+00:00,False,,2020-03-11 20:18:33,2020
108,119,7,0,1,7,0,True,True,True,2020-03-11 18:40:32+00:00,False,,2020-03-11 20:18:33,2020
109,120,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,,2020-03-11 20:18:33,1970
110,121,2,0,0,15,0,True,True,True,2020-03-11 19:55:02+00:00,False,,2020-03-11 20:18:33,2020
111,122,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,,2020-03-11 20:18:33,1970
112,124,8,0,0,7,0,True,True,True,2020-03-11 14:47:28+00:00,False,,2020-03-11 20:18:33,2020
