,eightd_has_available_keys,legacy_id,last_reported,station_status,is_returning,num_docks_disabled,is_renting,num_bikes_disabled,is_installed,num_bikes_available,num_docks_available,num_ebikes_available,station_id,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
173,False,200,2020-08-13 23:13:22+00:00,active,True,0,True,0,True,9,10,0,200,,,2020-08-13 23:20:50,2020
174,False,201,2020-08-13 23:19:22+00:00,active,True,0,True,0,True,9,6,0,201,,,2020-08-13 23:20:50,2020
175,False,202,2020-08-13 20:38:42+00:00,active,True,0,True,0,True,1,14,0,202,,,2020-08-13 23:20:50,2020
176,False,203,2020-08-13 14:09:27+00:00,active,True,0,True,0,True,0,15,0,203,,,2020-08-13 23:20:50,2020
177,False,204,2020-08-13 23:02:34+00:00,active,True,0,True,1,True,0,14,0,204,,,2020-08-13 23:20:50,2020
178,False,205,2020-08-13 21:21:34+00:00,active,True,0,True,0,True,2,13,0,205,,,2020-08-13 23:20:50,2020
179,True,206,2020-08-13 23:19:04+00:00,active,True,0,True,1,True,0,22,0,206,,,2020-08-13 23:20:50,2020
180,True,208,2020-08-13 23:17:19+00:00,active,True,0,True,0,True,8,7,0,208,,,2020-08-13 23:20:50,2020
181,False,209,2020-08-13 22:18:03+00:00,active,True,0,True,0,True,8,7,0,209,,,2020-08-13 23:20:50,2020
182,False,210,2020-08-13 16:34:19+00:00,active,True,0,True,0,True,4,11,0,210,,,2020-08-13 23:20:50,2020
183,False,211,2020-08-13 23:19:25+00:00,active,True,0,True,0,True,7,12,0,211,,,2020-08-13 23:20:50,2020
184,False,212,2020-08-13 23:12:28+00:00,active,True,0,True,0,True,17,16,0,212,,,2020-08-13 23:20:50,2020
185,True,213,2020-08-13 23:18:30+00:00,active,True,0,True,0,True,5,11,0,213,,,2020-08-13 23:20:50,2020
186,False,214,2020-08-13 23:12:06+00:00,active,True,0,True,0,True,2,13,0,214,,,2020-08-13 23:20:50,2020
187,False,215,2020-08-13 22:48:01+00:00,active,True,0,True,0,True,4,11,0,215,,,2020-08-13 23:20:50,2020
188,False,216,2020-08-13 22:08:51+00:00,active,True,0,True,1,True,18,0,0,216,,,2020-08-13 23:20:50,2020
189,False,217,2020-08-13 23:08:54+00:00,active,True,0,True,0,True,9,10,0,217,,,2020-08-13 23:20:50,2020
190,False,218,2020-08-13 23:18:42+00:00,active,True,0,True,0,True,13,2,0,218,,,2020-08-13 23:20:50,2020
191,False,219,2020-08-13 22:31:41+00:00,active,True,0,True,1,True,5,9,0,219,,,2020-08-13 23:20:50,2020
192,False,221,2020-08-13 23:02:23+00:00,active,True,0,True,0,True,8,11,0,221,,,2020-08-13 23:20:50,2020
193,True,222,2020-08-13 22:53:00+00:00,active,True,0,True,0,True,2,12,0,222,,,2020-08-13 23:20:50,2020
194,False,224,2020-08-13 23:19:56+00:00,active,True,0,True,2,True,13,2,0,224,,,2020-08-13 23:20:50,2020
195,False,225,2020-08-13 23:11:55+00:00,active,True,0,True,0,True,5,14,0,225,,,2020-08-13 23:20:50,2020
196,False,226,2020-08-13 23:00:28+00:00,active,True,0,True,0,True,2,13,0,226,,,2020-08-13 23:20:50,2020
197,False,227,2020-08-13 23:19:31+00:00,active,True,0,True,3,True,9,7,0,227,,,2020-08-13 23:20:50,2020
198,False,228,2020-08-13 23:18:38+00:00,active,True,0,True,1,True,3,15,0,228,,,2020-08-13 23:20:50,2020
199,False,232,2020-08-13 22:59:36+00:00,active,True,0,True,0,True,6,5,0,232,,,2020-08-13 23:20:50,2020
200,False,233,2020-08-13 23:17:12+00:00,active,True,0,True,0,True,11,4,0,233,,,2020-08-13 23:20:50,2020
201,False,234,2020-08-13 22:38:34+00:00,active,True,0,True,0,True,0,15,0,234,,,2020-08-13 23:20:50,2020
202,False,235,2020-08-13 21:34:16+00:00,active,True,0,True,0,True,7,8,0,235,,,2020-08-13 23:20:50,2020
203,False,236,2020-08-13 23:18:00+00:00,active,True,0,True,0,True,11,4,0,236,,,2020-08-13 23:20:50,2020
204,False,239,2020-08-13 23:05:30+00:00,active,True,0,True,0,True,3,12,0,239,,,2020-08-13 23:20:50,2020
205,False,255,2020-08-13 12:33:28+00:00,active,True,0,True,0,True,10,5,0,255,,,2020-08-13 23:20:50,2020
206,False,258,2020-08-13 23:00:21+00:00,active,True,0,True,0,True,12,3,0,258,,,2020-08-13 23:20:50,2020
207,False,259,2020-08-13 18:35:59+00:00,active,True,0,True,0,True,14,1,0,259,,,2020-08-13 23:20:50,2020
208,False,260,2020-08-13 23:02:45+00:00,active,True,0,True,0,True,15,0,0,260,,,2020-08-13 23:20:50,2020
209,False,271,2020-08-13 19:07:23+00:00,active,True,0,True,0,True,9,6,0,271,,,2020-08-13 23:20:50,2020
210,False,272,2020-08-13 22:50:46+00:00,active,True,0,True,1,True,7,11,0,272,,,2020-08-13 23:20:50,2020
211,False,273,2020-08-13 23:14:57+00:00,active,True,0,True,0,True,15,25,0,273,,,2020-08-13 23:20:50,2020
212,False,279,2020-08-13 23:15:23+00:00,active,True,0,True,0,True,18,1,0,279,,,2020-08-13 23:20:50,2020
213,False,280,2020-08-13 22:59:21+00:00,active,True,0,True,1,True,8,10,0,280,,,2020-08-13 23:20:50,2020
214,False,282,2020-08-13 23:07:37+00:00,active,True,0,True,1,True,12,2,0,282,,,2020-08-13 23:20:50,2020
215,False,296,2020-08-13 23:17:58+00:00,active,True,0,True,0,True,10,13,0,296,,,2020-08-13 23:20:50,2020
216,False,318,2020-08-13 22:34:03+00:00,active,True,0,True,1,True,0,18,0,318,,,2020-08-13 23:20:50,2020
217,False,319,2020-08-13 23:17:15+00:00,active,True,0,True,0,True,2,23,0,319,,,2020-08-13 23:20:50,2020
218,False,327,2020-08-13 23:03:24+00:00,active,True,0,True,0,True,0,15,0,327,,,2020-08-13 23:20:50,2020
219,False,328,2020-08-13 23:18:02+00:00,active,True,0,True,2,True,13,0,0,328,,,2020-08-13 23:20:50,2020
220,False,329,2020-08-13 23:14:31+00:00,active,True,0,True,1,True,12,2,0,329,,,2020-08-13 23:20:50,2020
