,station_status,is_installed,last_reported,num_docks_disabled,num_bikes_disabled,station_id,eightd_has_available_keys,is_renting,is_returning,legacy_id,num_ebikes_available,num_docks_available,num_bikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
31,active,True,2020-08-05 23:21:29+00:00,0,0,37,True,True,True,37,0,3,12,,,2020-08-06 03:59:55,2020
32,active,True,2020-08-06 03:46:55+00:00,0,0,39,False,True,True,39,0,13,10,,,2020-08-06 03:59:55,2020
33,active,True,2020-08-06 03:04:21+00:00,0,1,40,False,True,True,40,0,3,15,,,2020-08-06 03:59:55,2020
34,active,True,2020-08-06 03:53:35+00:00,0,0,41,True,True,True,41,0,0,27,,,2020-08-06 03:59:55,2020
35,active,True,2020-08-06 02:47:08+00:00,0,1,42,False,True,True,42,0,12,10,,,2020-08-06 03:59:55,2020
36,active,True,2020-08-06 03:41:24+00:00,0,0,43,True,True,True,43,0,5,10,,,2020-08-06 03:59:55,2020
37,active,True,2020-08-06 03:19:30+00:00,0,0,44,False,True,True,44,0,8,15,,,2020-08-06 03:59:55,2020
38,active,True,2020-08-06 03:58:08+00:00,0,0,46,False,True,True,46,0,8,11,,,2020-08-06 03:59:55,2020
39,active,True,2020-08-06 03:57:44+00:00,0,0,47,True,True,True,47,0,10,9,,,2020-08-06 03:59:55,2020
40,active,True,2020-08-06 00:15:31+00:00,0,0,48,False,True,True,48,0,17,2,,,2020-08-06 03:59:55,2020
41,active,True,2020-08-06 02:52:35+00:00,0,0,49,False,True,True,49,0,9,9,,,2020-08-06 03:59:55,2020
42,active,True,2020-08-06 01:34:28+00:00,0,1,50,True,True,True,50,0,5,9,,,2020-08-06 03:59:55,2020
43,active,True,2020-08-06 03:10:51+00:00,0,1,51,False,True,True,51,0,10,4,,,2020-08-06 03:59:55,2020
44,active,True,2020-08-06 03:31:16+00:00,0,0,52,True,True,True,52,0,11,12,,,2020-08-06 03:59:55,2020
45,active,True,2020-08-06 03:54:02+00:00,0,2,53,False,True,True,53,0,6,11,,,2020-08-06 03:59:55,2020
46,active,True,2020-08-06 02:52:47+00:00,0,2,54,False,True,True,54,0,1,12,,,2020-08-06 03:59:55,2020
47,active,True,2020-08-06 03:28:48+00:00,0,1,55,False,True,True,55,0,6,8,,,2020-08-06 03:59:55,2020
48,active,True,2020-08-06 03:45:11+00:00,0,0,56,True,True,True,56,0,6,12,,,2020-08-06 03:59:55,2020
49,active,True,2020-08-06 03:58:02+00:00,0,1,57,True,True,True,57,0,7,6,,,2020-08-06 03:59:55,2020
50,active,True,2020-08-06 03:02:09+00:00,0,0,58,True,True,True,58,0,6,13,,,2020-08-06 03:59:55,2020
51,active,True,2020-08-06 02:23:10+00:00,0,0,59,True,True,True,59,0,12,7,,,2020-08-06 03:59:55,2020
52,active,True,2020-08-06 03:59:21+00:00,0,2,60,False,True,True,60,0,6,11,,,2020-08-06 03:59:55,2020
53,active,True,2020-08-06 03:47:02+00:00,0,0,61,False,True,True,61,0,14,5,,,2020-08-06 03:59:55,2020
54,active,True,2020-08-06 02:10:56+00:00,0,0,63,False,True,True,63,0,11,4,,,2020-08-06 03:59:55,2020
55,active,True,2020-08-06 02:29:18+00:00,0,0,64,False,True,True,64,0,18,1,,,2020-08-06 03:59:55,2020
56,active,True,2020-08-06 02:08:48+00:00,0,1,65,False,True,True,65,0,17,5,,,2020-08-06 03:59:55,2020
57,active,True,2020-08-06 02:05:39+00:00,0,0,66,False,True,True,66,0,0,15,,,2020-08-06 03:59:55,2020
58,active,True,2020-08-06 03:27:18+00:00,0,0,67,True,True,True,67,0,26,1,,,2020-08-06 03:59:55,2020
59,active,True,2020-08-06 03:47:59+00:00,0,1,68,True,True,True,68,0,7,11,,,2020-08-06 03:59:55,2020
60,active,True,2020-08-06 03:15:46+00:00,0,1,69,True,True,True,69,0,10,8,,,2020-08-06 03:59:55,2020
61,active,True,2020-08-06 03:45:37+00:00,0,0,70,False,True,True,70,0,9,14,,,2020-08-06 03:59:55,2020
62,active,True,2020-08-06 02:09:35+00:00,0,0,71,False,True,True,71,0,1,22,,,2020-08-06 03:59:55,2020
63,active,True,2020-08-06 02:27:29+00:00,0,0,72,False,True,True,72,0,22,1,,,2020-08-06 03:59:55,2020
64,active,True,2020-08-06 03:15:58+00:00,0,1,73,False,True,True,73,0,13,1,,,2020-08-06 03:59:55,2020
65,active,True,2020-08-06 03:57:51+00:00,0,0,74,True,True,True,74,0,13,6,,,2020-08-06 03:59:55,2020
66,active,True,2020-08-06 03:09:24+00:00,0,0,75,False,True,True,75,0,8,7,,,2020-08-06 03:59:55,2020
67,active,True,2020-08-06 03:37:48+00:00,0,0,76,False,True,True,76,0,1,16,,,2020-08-06 03:59:55,2020
68,active,True,2020-08-06 03:50:31+00:00,0,0,77,False,True,True,77,0,4,11,,,2020-08-06 03:59:55,2020
69,active,True,2020-08-06 02:21:32+00:00,0,1,78,False,True,True,78,0,1,17,,,2020-08-06 03:59:55,2020
70,active,True,2020-08-06 02:16:57+00:00,0,0,79,False,True,True,79,0,9,10,,,2020-08-06 03:59:55,2020
71,active,True,2020-08-06 03:29:44+00:00,0,0,80,False,True,True,80,0,35,0,,,2020-08-06 03:59:55,2020
72,active,True,2020-08-06 03:32:31+00:00,0,0,81,False,True,True,81,0,7,12,,,2020-08-06 03:59:55,2020
73,active,True,2020-08-06 02:58:27+00:00,0,2,82,False,True,True,82,0,6,7,,,2020-08-06 03:59:55,2020
74,active,True,2020-08-06 03:41:57+00:00,0,0,84,False,True,True,84,0,7,8,,,2020-08-06 03:59:55,2020
75,active,True,2020-08-06 00:01:50+00:00,0,0,85,False,True,True,85,0,18,1,,,2020-08-06 03:59:55,2020
76,active,True,2020-08-06 03:50:22+00:00,0,1,86,False,True,True,86,0,8,10,,,2020-08-06 03:59:55,2020
77,active,True,2020-08-06 03:52:11+00:00,0,0,87,False,True,True,87,0,2,13,,,2020-08-06 03:59:55,2020
78,active,True,2020-08-06 02:54:33+00:00,0,0,89,False,True,True,89,0,5,14,,,2020-08-06 03:59:55,2020
79,active,True,2020-08-06 03:38:04+00:00,0,1,90,False,True,True,90,0,3,15,,,2020-08-06 03:59:55,2020
80,active,True,2020-08-06 03:31:29+00:00,0,0,91,False,True,True,91,0,16,3,,,2020-08-06 03:59:55,2020
81,active,True,2020-08-06 00:04:06+00:00,0,1,92,False,True,True,92,0,8,10,,,2020-08-06 03:59:55,2020
82,active,True,2020-08-06 02:30:36+00:00,0,1,93,False,True,True,93,0,7,7,,,2020-08-06 03:59:55,2020
83,active,True,2020-08-06 03:28:29+00:00,0,1,94,False,True,True,94,0,5,5,,,2020-08-06 03:59:55,2020
84,active,True,2020-08-06 02:44:42+00:00,0,1,95,False,True,True,95,0,2,12,,,2020-08-06 03:59:55,2020
85,active,True,2020-08-06 03:38:17+00:00,0,0,96,False,True,True,96,0,5,14,,,2020-08-06 03:59:55,2020
86,active,True,2020-08-06 03:49:41+00:00,0,2,97,False,True,True,97,0,8,9,,,2020-08-06 03:59:55,2020
87,active,True,2020-08-06 02:18:08+00:00,0,2,98,False,True,True,98,0,7,14,,,2020-08-06 03:59:55,2020
88,active,True,2020-08-06 03:07:36+00:00,0,0,99,False,True,True,99,0,2,13,,,2020-08-06 03:59:55,2020
