,num_bikes_available,is_installed,legacy_id,station_status,eightd_has_available_keys,num_docks_available,num_ebikes_available,is_renting,is_returning,last_reported,station_id,num_docks_disabled,num_bikes_disabled,timestamp_of_data_read_request,year_station_last_reported
48,7,True,56,active,True,11,0,True,True,2020-08-05 00:01:14+00:00,56,0,0,2020-08-05 00:31:25,2020
49,1,True,57,active,True,12,0,True,True,2020-08-05 00:22:48+00:00,57,0,1,2020-08-05 00:31:25,2020
50,2,True,58,active,True,17,0,True,True,2020-08-05 00:29:44+00:00,58,0,0,2020-08-05 00:31:25,2020
51,5,True,59,active,True,13,0,True,True,2020-08-04 22:28:35+00:00,59,0,1,2020-08-05 00:31:25,2020
52,10,True,60,active,False,8,0,True,True,2020-08-05 00:30:25+00:00,60,0,1,2020-08-05 00:31:25,2020
53,7,True,61,active,False,12,0,True,True,2020-08-04 23:59:21+00:00,61,0,0,2020-08-05 00:31:25,2020
54,5,True,63,active,False,10,0,True,True,2020-08-04 23:07:50+00:00,63,0,0,2020-08-05 00:31:25,2020
55,9,True,64,active,False,10,0,True,True,2020-08-04 23:41:56+00:00,64,0,0,2020-08-05 00:31:25,2020
56,6,True,65,active,False,16,0,True,True,2020-08-04 16:26:16+00:00,65,0,1,2020-08-05 00:31:25,2020
57,7,True,66,active,False,8,0,True,True,2020-08-05 00:19:29+00:00,66,0,0,2020-08-05 00:31:25,2020
58,7,True,67,active,True,20,0,True,True,2020-08-05 00:25:23+00:00,67,0,0,2020-08-05 00:31:25,2020
59,6,True,68,active,True,13,0,True,True,2020-08-05 00:22:55+00:00,68,0,0,2020-08-05 00:31:25,2020
60,12,True,69,active,True,7,0,True,True,2020-08-05 00:22:59+00:00,69,0,0,2020-08-05 00:31:25,2020
61,20,True,70,active,False,3,0,True,True,2020-08-04 23:33:26+00:00,70,0,0,2020-08-05 00:31:25,2020
62,20,True,71,active,False,3,0,True,True,2020-08-05 00:21:05+00:00,71,0,0,2020-08-05 00:31:25,2020
63,4,True,72,active,False,19,0,True,True,2020-08-04 23:28:37+00:00,72,0,0,2020-08-05 00:31:25,2020
64,6,True,73,active,False,9,0,True,True,2020-08-05 00:24:03+00:00,73,0,0,2020-08-05 00:31:25,2020
65,14,True,74,active,True,4,0,True,True,2020-08-05 00:28:55+00:00,74,0,1,2020-08-05 00:31:25,2020
66,6,True,75,active,False,9,0,True,True,2020-08-05 00:03:26+00:00,75,0,0,2020-08-05 00:31:25,2020
67,11,True,76,active,False,6,0,True,True,2020-08-05 00:10:59+00:00,76,0,0,2020-08-05 00:31:25,2020
68,8,True,77,active,False,7,0,True,True,2020-08-04 23:38:35+00:00,77,0,0,2020-08-05 00:31:25,2020
69,16,True,78,active,False,3,0,True,True,2020-08-05 00:03:18+00:00,78,0,0,2020-08-05 00:31:25,2020
70,12,True,79,active,False,7,0,True,True,2020-08-05 00:11:26+00:00,79,0,0,2020-08-05 00:31:25,2020
71,0,True,80,active,False,35,0,True,True,2020-08-05 00:24:41+00:00,80,0,0,2020-08-05 00:31:25,2020
72,9,True,81,active,False,9,0,True,True,2020-08-05 00:30:27+00:00,81,0,1,2020-08-05 00:31:25,2020
73,13,True,82,active,False,1,0,True,True,2020-08-04 23:32:57+00:00,82,0,1,2020-08-05 00:31:25,2020
74,9,True,84,active,False,6,0,True,True,2020-08-05 00:08:33+00:00,84,0,0,2020-08-05 00:31:25,2020
75,3,True,85,active,False,14,0,True,True,2020-08-04 23:31:04+00:00,85,0,2,2020-08-05 00:31:25,2020
76,7,True,86,active,False,12,0,True,True,2020-08-04 23:44:50+00:00,86,0,0,2020-08-05 00:31:25,2020
