,is_returning,legacy_id,last_reported,is_renting,num_ebikes_available,station_status,station_id,eightd_has_available_keys,num_bikes_disabled,is_installed,num_docks_disabled,num_docks_available,num_bikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
166,True,192,2020-07-28 23:35:10+00:00,True,0,active,192,False,0,True,0,17,2,,,2020-07-28 23:35:45,2020
167,True,193,2020-07-28 21:39:38+00:00,True,0,active,193,True,0,True,0,0,15,,,2020-07-28 23:35:45,2020
168,True,194,2020-07-28 21:52:10+00:00,True,0,active,194,False,0,True,0,7,12,,,2020-07-28 23:35:45,2020
169,True,195,2020-07-28 23:17:34+00:00,True,0,active,195,False,1,True,0,11,11,,,2020-07-28 23:35:45,2020
170,True,196,2020-07-28 21:39:44+00:00,True,0,active,196,True,0,True,0,10,0,,,2020-07-28 23:35:45,2020
171,True,197,2020-07-28 23:27:30+00:00,True,0,active,197,False,0,True,0,13,2,,,2020-07-28 23:35:45,2020
172,True,199,2020-07-28 23:34:43+00:00,True,0,active,199,False,0,True,0,14,1,,,2020-07-28 23:35:45,2020
173,True,200,2020-07-28 23:33:10+00:00,True,0,active,200,False,0,True,0,0,19,,,2020-07-28 23:35:45,2020
174,True,201,2020-07-28 18:49:12+00:00,True,0,active,201,False,0,True,0,14,1,,,2020-07-28 23:35:45,2020
175,True,202,2020-07-28 14:43:09+00:00,True,0,active,202,False,1,True,0,11,3,,,2020-07-28 23:35:45,2020
176,True,203,2020-07-28 08:58:21+00:00,True,0,active,203,False,0,True,0,13,2,,,2020-07-28 23:35:45,2020
177,True,204,2020-07-28 21:11:55+00:00,True,0,active,204,False,0,True,0,15,0,,,2020-07-28 23:35:45,2020
178,True,205,2020-07-28 23:26:15+00:00,True,0,active,205,False,1,True,0,12,2,,,2020-07-28 23:35:45,2020
179,True,206,2020-07-28 23:34:57+00:00,True,0,active,206,False,0,True,0,22,1,,,2020-07-28 23:35:45,2020
180,True,208,2020-07-28 23:29:08+00:00,True,0,active,208,True,0,True,0,4,11,,,2020-07-28 23:35:45,2020
181,True,209,2020-07-28 23:10:14+00:00,True,0,active,209,False,1,True,0,2,12,,,2020-07-28 23:35:45,2020
182,True,210,2020-07-28 13:53:23+00:00,True,0,active,210,False,0,True,0,15,0,,,2020-07-28 23:35:45,2020
183,True,211,2020-07-28 23:26:50+00:00,True,0,active,211,False,1,True,0,4,14,,,2020-07-28 23:35:45,2020
184,True,212,2020-07-28 23:35:22+00:00,True,0,active,212,False,0,True,0,31,2,,,2020-07-28 23:35:45,2020
185,True,213,2020-07-28 22:22:34+00:00,True,0,active,213,True,0,True,0,8,8,,,2020-07-28 23:35:45,2020
186,True,214,2020-07-28 23:18:43+00:00,True,0,active,214,False,0,True,0,6,9,,,2020-07-28 23:35:45,2020
187,True,215,2020-07-28 23:27:56+00:00,True,0,active,215,False,1,True,0,1,13,,,2020-07-28 23:35:45,2020
188,True,216,2020-07-28 12:48:44+00:00,True,0,active,216,False,1,True,0,3,15,,,2020-07-28 23:35:45,2020
189,True,217,2020-07-28 23:12:42+00:00,True,0,active,217,False,0,True,0,11,8,,,2020-07-28 23:35:45,2020
190,True,218,2020-07-28 23:33:56+00:00,True,0,active,218,False,0,True,0,4,11,,,2020-07-28 23:35:45,2020
191,True,219,2020-07-28 23:33:41+00:00,True,0,active,219,False,0,True,0,1,14,,,2020-07-28 23:35:45,2020
192,True,221,2020-07-28 23:23:01+00:00,True,0,active,221,False,2,True,0,12,5,,,2020-07-28 23:35:45,2020
193,True,222,2020-07-28 23:04:05+00:00,True,0,active,222,True,0,True,0,10,4,,,2020-07-28 23:35:45,2020
194,True,224,2020-07-28 23:26:03+00:00,True,0,active,224,False,0,True,0,8,9,,,2020-07-28 23:35:45,2020
195,True,225,2020-07-28 23:29:47+00:00,True,0,active,225,False,1,True,0,5,13,,,2020-07-28 23:35:45,2020
196,True,226,2020-07-28 23:04:05+00:00,True,0,active,226,False,0,True,0,13,2,,,2020-07-28 23:35:45,2020
197,True,227,2020-07-28 22:28:54+00:00,True,0,active,227,False,1,True,0,12,6,,,2020-07-28 23:35:45,2020
198,True,228,2020-07-28 23:33:13+00:00,True,0,active,228,False,0,True,0,18,1,,,2020-07-28 23:35:45,2020
199,True,232,2020-07-28 21:22:00+00:00,True,0,active,232,False,0,True,0,6,5,,,2020-07-28 23:35:45,2020
200,True,233,2020-07-28 23:04:15+00:00,True,0,active,233,False,0,True,0,4,11,,,2020-07-28 23:35:45,2020
201,True,234,2020-07-28 23:13:38+00:00,True,0,active,234,False,0,True,0,9,6,,,2020-07-28 23:35:45,2020
202,True,235,2020-07-28 22:08:31+00:00,True,0,active,235,False,0,True,0,1,14,,,2020-07-28 23:35:45,2020
203,True,236,2020-07-28 23:02:08+00:00,True,0,active,236,False,0,True,0,7,8,,,2020-07-28 23:35:45,2020
204,True,239,2020-07-28 23:23:37+00:00,True,0,active,239,False,0,True,0,13,2,,,2020-07-28 23:35:45,2020
205,True,255,2020-07-28 16:47:53+00:00,True,0,active,255,False,0,True,0,8,7,,,2020-07-28 23:35:45,2020
206,True,258,2020-07-28 23:21:30+00:00,True,0,active,258,False,0,True,0,9,6,,,2020-07-28 23:35:45,2020
207,True,259,2020-07-28 22:00:07+00:00,True,0,active,259,False,1,True,0,13,1,,,2020-07-28 23:35:45,2020
