,num_bikes_available,station_id,num_ebikes_available,is_renting,num_docks_available,eightd_has_available_keys,legacy_id,is_installed,station_status,num_docks_disabled,is_returning,num_bikes_disabled,last_reported,timestamp_of_data_read_request,year_station_last_reported
82,7,93,0,True,8,False,93,True,active,0,True,0,2020-08-21 01:06:28+00:00,2020-08-21 01:59:05,2020
83,7,94,0,True,3,False,94,True,active,0,True,1,2020-08-20 23:47:12+00:00,2020-08-21 01:59:05,2020
84,10,95,0,True,4,False,95,True,active,0,True,1,2020-08-21 01:55:00+00:00,2020-08-21 01:59:05,2020
85,12,96,0,True,7,False,96,True,active,0,True,0,2020-08-21 01:57:51+00:00,2020-08-21 01:59:05,2020
86,15,97,0,True,4,False,97,True,active,0,True,0,2020-08-21 01:50:46+00:00,2020-08-21 01:59:05,2020
87,21,98,0,True,2,False,98,True,active,0,True,0,2020-08-21 01:42:47+00:00,2020-08-21 01:59:05,2020
88,15,99,0,True,0,False,99,True,active,0,True,0,2020-08-21 01:38:38+00:00,2020-08-21 01:59:05,2020
89,14,100,0,True,10,True,100,True,active,0,True,1,2020-08-21 01:48:33+00:00,2020-08-21 01:59:05,2020
90,8,101,0,True,7,False,101,True,active,0,True,0,2020-08-21 00:23:19+00:00,2020-08-21 01:59:05,2020
91,5,102,0,True,10,False,102,True,active,0,True,0,2020-08-21 01:03:03+00:00,2020-08-21 01:59:05,2020
92,15,103,0,True,0,False,103,True,active,0,True,0,2020-08-21 01:01:01+00:00,2020-08-21 01:59:05,2020
93,9,104,0,True,10,False,104,True,active,0,True,0,2020-08-21 00:57:31+00:00,2020-08-21 01:59:05,2020
94,2,105,0,True,17,False,105,True,active,0,True,0,2020-08-21 01:56:03+00:00,2020-08-21 01:59:05,2020
95,7,106,0,True,8,False,106,True,active,0,True,0,2020-08-20 22:38:04+00:00,2020-08-21 01:59:05,2020
96,0,107,0,True,19,False,107,True,active,0,True,0,2020-08-21 01:29:47+00:00,2020-08-21 01:59:05,2020
97,1,108,0,True,16,False,108,True,active,0,True,0,2020-08-21 01:52:56+00:00,2020-08-21 01:59:05,2020
98,1,109,0,True,34,False,109,True,active,0,True,0,2020-08-21 00:42:22+00:00,2020-08-21 01:59:05,2020
99,1,110,0,True,13,False,110,True,active,0,True,1,2020-08-21 01:54:31+00:00,2020-08-21 01:59:05,2020
100,6,111,0,True,9,False,111,True,active,0,True,0,2020-08-20 22:33:35+00:00,2020-08-21 01:59:05,2020
101,4,112,0,True,11,False,112,True,active,0,True,0,2020-08-21 00:43:43+00:00,2020-08-21 01:59:05,2020
102,4,113,0,True,10,False,113,True,active,0,True,1,2020-08-21 00:49:01+00:00,2020-08-21 01:59:05,2020
103,4,114,0,True,11,False,114,True,active,0,True,0,2020-08-21 01:03:52+00:00,2020-08-21 01:59:05,2020
104,14,115,0,True,5,False,115,True,active,0,True,0,2020-08-21 01:53:11+00:00,2020-08-21 01:59:05,2020
105,11,116,0,True,12,False,116,True,active,0,True,0,2020-08-21 01:43:52+00:00,2020-08-21 01:59:05,2020
106,10,117,0,True,9,False,117,True,active,0,True,0,2020-08-21 01:42:45+00:00,2020-08-21 01:59:05,2020
107,13,118,0,True,3,False,118,True,active,0,True,3,2020-08-21 01:57:48+00:00,2020-08-21 01:59:05,2020
108,4,119,0,True,10,False,119,True,active,0,True,1,2020-08-21 01:58:08+00:00,2020-08-21 01:59:05,2020
109,2,120,0,True,13,False,120,True,active,0,True,0,2020-08-21 01:49:52+00:00,2020-08-21 01:59:05,2020
110,15,121,0,True,2,False,121,True,active,0,True,0,2020-08-21 01:54:25+00:00,2020-08-21 01:59:05,2020
111,4,122,0,True,10,False,122,True,active,0,True,1,2020-08-21 01:58:08+00:00,2020-08-21 01:59:05,2020
112,3,124,0,True,12,False,124,True,active,0,True,0,2020-08-21 00:34:41+00:00,2020-08-21 01:59:05,2020
113,10,125,0,True,4,False,125,True,active,0,True,1,2020-08-21 01:55:38+00:00,2020-08-21 01:59:05,2020
114,13,126,0,True,1,False,126,True,active,0,True,1,2020-08-20 22:46:02+00:00,2020-08-21 01:59:05,2020
115,4,128,0,True,15,False,128,True,active,0,True,0,2020-08-21 01:29:47+00:00,2020-08-21 01:59:05,2020
116,3,129,0,True,16,False,129,True,active,0,True,0,2020-08-21 00:29:04+00:00,2020-08-21 01:59:05,2020
117,10,130,0,True,5,False,130,True,active,0,True,0,2020-08-20 23:16:03+00:00,2020-08-21 01:59:05,2020
118,18,131,0,True,0,False,131,True,active,0,True,0,2020-08-21 01:20:22+00:00,2020-08-21 01:59:05,2020
119,10,133,0,True,12,False,133,True,active,0,True,1,2020-08-21 01:56:13+00:00,2020-08-21 01:59:05,2020
120,0,135,0,True,17,False,135,True,active,0,True,0,2020-08-21 00:18:40+00:00,2020-08-21 01:59:05,2020
121,0,136,0,True,19,False,136,True,active,0,True,0,2020-08-20 21:34:48+00:00,2020-08-21 01:59:05,2020
122,7,137,0,True,8,False,137,True,active,0,True,0,2020-08-21 01:51:18+00:00,2020-08-21 01:59:05,2020
123,4,138,0,True,9,False,138,True,active,0,True,2,2020-08-21 00:41:58+00:00,2020-08-21 01:59:05,2020
124,12,139,0,True,7,False,139,True,active,0,True,0,2020-08-21 01:32:40+00:00,2020-08-21 01:59:05,2020
125,15,140,0,True,2,False,140,True,active,0,True,0,2020-08-21 00:34:00+00:00,2020-08-21 01:59:05,2020
126,1,141,0,True,14,False,141,True,active,0,True,0,2020-08-21 00:50:54+00:00,2020-08-21 01:59:05,2020
127,19,142,0,True,4,False,142,True,active,0,True,0,2020-08-21 00:43:48+00:00,2020-08-21 01:59:05,2020
128,13,143,0,True,10,False,143,True,active,0,True,0,2020-08-21 00:45:50+00:00,2020-08-21 01:59:05,2020
129,18,144,0,True,1,False,144,True,active,0,True,0,2020-08-21 00:23:51+00:00,2020-08-21 01:59:05,2020
130,13,145,0,True,6,False,145,True,active,0,True,0,2020-08-21 01:57:39+00:00,2020-08-21 01:59:05,2020
131,9,146,0,True,10,False,146,True,active,0,True,0,2020-08-21 00:36:42+00:00,2020-08-21 01:59:05,2020
132,4,149,0,True,12,True,149,True,active,0,True,2,2020-08-21 01:56:52+00:00,2020-08-21 01:59:05,2020
133,5,150,0,True,14,False,150,True,active,0,True,0,2020-08-21 01:46:45+00:00,2020-08-21 01:59:05,2020
134,3,151,0,True,16,False,151,True,active,0,True,0,2020-08-21 01:52:02+00:00,2020-08-21 01:59:05,2020
135,6,152,0,True,8,True,152,True,active,0,True,1,2020-08-21 01:57:45+00:00,2020-08-21 01:59:05,2020
136,5,156,0,True,10,False,156,True,active,0,True,0,2020-08-21 00:50:41+00:00,2020-08-21 01:59:05,2020
137,0,157,0,True,13,False,157,True,active,0,True,2,2020-08-21 01:47:51+00:00,2020-08-21 01:59:05,2020
138,4,159,0,True,10,False,159,True,active,0,True,1,2020-08-21 01:28:15+00:00,2020-08-21 01:59:05,2020
139,8,160,0,True,6,True,160,True,active,0,True,0,2020-08-21 01:50:21+00:00,2020-08-21 01:59:05,2020
140,21,161,0,True,2,True,161,True,active,0,True,0,2020-08-21 01:39:36+00:00,2020-08-21 01:59:05,2020
141,6,162,0,True,9,False,162,True,active,0,True,0,2020-08-20 19:32:17+00:00,2020-08-21 01:59:05,2020
142,15,163,0,True,4,True,163,True,active,0,True,0,2020-08-21 01:55:38+00:00,2020-08-21 01:59:05,2020
143,8,167,0,True,7,False,167,True,active,0,True,0,2020-08-21 01:22:30+00:00,2020-08-21 01:59:05,2020
144,8,169,0,True,11,False,169,True,active,0,True,0,2020-08-20 23:56:41+00:00,2020-08-21 01:59:05,2020
145,7,170,0,True,7,True,170,True,active,0,True,0,2020-08-20 23:12:03+00:00,2020-08-21 01:59:05,2020
