,num_docks_disabled,num_ebikes_available,is_renting,eightd_has_available_keys,station_id,num_bikes_available,num_docks_available,is_installed,legacy_id,last_reported,num_bikes_disabled,station_status,is_returning,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
84,0,0,True,False,95,4,11,True,95,2020-08-06 17:40:21+00:00,0,active,True,,,2020-08-06 17:57:35,2020
85,0,0,True,False,96,5,14,True,96,2020-08-06 17:54:30+00:00,0,active,True,,,2020-08-06 17:57:35,2020
86,0,0,True,False,97,3,16,True,97,2020-08-06 17:51:54+00:00,0,active,True,,,2020-08-06 17:57:35,2020
87,0,0,True,False,98,4,18,True,98,2020-08-06 17:39:19+00:00,1,active,True,,,2020-08-06 17:57:35,2020
88,0,0,True,False,99,14,1,True,99,2020-08-06 17:41:57+00:00,0,active,True,,,2020-08-06 17:57:35,2020
89,0,0,True,True,100,18,5,True,100,2020-08-06 17:20:23+00:00,2,active,True,,,2020-08-06 17:57:35,2020
90,0,0,True,False,101,13,2,True,101,2020-08-06 16:37:02+00:00,0,active,True,,,2020-08-06 17:57:35,2020
91,0,0,True,False,102,12,3,True,102,2020-08-06 17:49:29+00:00,0,active,True,,,2020-08-06 17:57:35,2020
92,0,0,True,False,103,3,12,True,103,2020-08-06 16:57:54+00:00,0,active,True,,,2020-08-06 17:57:35,2020
93,0,0,True,False,104,1,18,True,104,2020-08-06 17:50:02+00:00,0,active,True,,,2020-08-06 17:57:35,2020
94,0,0,True,False,105,5,14,True,105,2020-08-06 17:37:01+00:00,0,active,True,,,2020-08-06 17:57:35,2020
95,0,0,True,False,106,3,12,True,106,2020-08-06 17:53:29+00:00,0,active,True,,,2020-08-06 17:57:35,2020
96,0,0,True,False,107,15,4,True,107,2020-08-06 17:57:33+00:00,0,active,True,,,2020-08-06 17:57:35,2020
97,0,0,True,False,108,8,9,True,108,2020-08-06 16:30:37+00:00,0,active,True,,,2020-08-06 17:57:35,2020
98,0,0,True,False,109,5,29,True,109,2020-08-06 17:56:50+00:00,1,active,True,,,2020-08-06 17:57:35,2020
99,0,0,True,False,110,5,10,True,110,2020-08-06 17:53:40+00:00,0,active,True,,,2020-08-06 17:57:35,2020
100,0,0,True,False,111,0,15,True,111,2020-08-06 14:10:21+00:00,0,active,True,,,2020-08-06 17:57:35,2020
101,0,0,True,False,112,5,10,True,112,2020-08-06 17:55:44+00:00,0,active,True,,,2020-08-06 17:57:35,2020
102,0,0,True,False,113,8,7,True,113,2020-08-06 17:53:55+00:00,0,active,True,,,2020-08-06 17:57:35,2020
103,0,0,True,False,114,11,3,True,114,2020-08-06 16:12:26+00:00,1,active,True,,,2020-08-06 17:57:35,2020
104,0,0,True,False,115,14,4,True,115,2020-08-06 17:38:52+00:00,1,active,True,,,2020-08-06 17:57:35,2020
105,0,0,True,False,116,5,17,True,116,2020-08-06 17:52:26+00:00,1,active,True,,,2020-08-06 17:57:35,2020
106,0,0,True,False,117,17,2,True,117,2020-08-06 17:39:24+00:00,0,active,True,,,2020-08-06 17:57:35,2020
107,0,0,True,False,118,13,6,True,118,2020-08-06 14:48:31+00:00,0,active,True,,,2020-08-06 17:57:35,2020
108,0,0,True,False,119,2,13,True,119,2020-08-06 17:52:16+00:00,0,active,True,,,2020-08-06 17:57:35,2020
109,0,0,True,False,120,7,7,True,120,2020-08-06 17:39:24+00:00,1,active,True,,,2020-08-06 17:57:35,2020
110,0,0,True,False,121,4,13,True,121,2020-08-06 17:31:37+00:00,0,active,True,,,2020-08-06 17:57:35,2020
111,0,0,True,False,122,1,14,True,122,2020-08-06 17:31:26+00:00,0,active,True,,,2020-08-06 17:57:35,2020
112,0,0,True,False,124,5,10,True,124,2020-08-06 13:34:56+00:00,0,active,True,,,2020-08-06 17:57:35,2020
113,0,0,True,False,125,1,13,True,125,2020-08-06 17:51:04+00:00,1,active,True,,,2020-08-06 17:57:35,2020
114,0,0,True,False,126,5,10,True,126,2020-08-06 16:21:49+00:00,0,active,True,,,2020-08-06 17:57:35,2020
115,0,0,True,False,128,11,7,True,128,2020-08-06 16:24:10+00:00,1,active,True,,,2020-08-06 17:57:35,2020
116,0,0,True,False,129,15,4,True,129,2020-08-06 17:14:54+00:00,0,active,True,,,2020-08-06 17:57:35,2020
117,0,0,True,False,130,13,1,True,130,2020-08-06 16:05:56+00:00,1,active,True,,,2020-08-06 17:57:35,2020
118,0,0,True,False,131,2,14,True,131,2020-08-06 17:45:16+00:00,2,active,True,,,2020-08-06 17:57:35,2020
119,0,0,True,False,133,9,14,True,133,2020-08-06 17:28:05+00:00,0,active,True,,,2020-08-06 17:57:35,2020
120,0,0,True,False,135,12,5,True,135,2020-08-06 13:58:23+00:00,0,active,True,,,2020-08-06 17:57:35,2020
