,legacy_id,num_docks_available,station_id,last_reported,is_renting,station_status,eightd_has_available_keys,num_bikes_disabled,num_ebikes_available,is_returning,num_docks_disabled,num_bikes_available,is_installed,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
66,75,3,75,2020-08-06 22:47:05+00:00,True,active,False,0,0,True,0,12,True,,,2020-08-06 22:54:00,2020
67,76,11,76,2020-08-06 22:52:05+00:00,True,active,False,0,0,True,0,6,True,,,2020-08-06 22:54:00,2020
68,77,12,77,2020-08-06 20:33:56+00:00,True,active,False,0,0,True,0,3,True,,,2020-08-06 22:54:00,2020
69,78,5,78,2020-08-06 22:49:27+00:00,True,active,False,1,0,True,0,13,True,,,2020-08-06 22:54:00,2020
70,79,9,79,2020-08-06 22:42:20+00:00,True,active,False,0,0,True,0,10,True,,,2020-08-06 22:54:00,2020
71,80,22,80,2020-08-06 22:52:43+00:00,True,active,False,0,0,True,0,13,True,,,2020-08-06 22:54:00,2020
72,81,15,81,2020-08-06 22:48:46+00:00,True,active,False,1,0,True,0,3,True,,,2020-08-06 22:54:00,2020
73,82,11,82,2020-08-06 22:28:53+00:00,False,active,False,0,0,False,0,4,True,,,2020-08-06 22:54:00,2020
74,84,8,84,2020-08-06 22:47:58+00:00,True,active,False,1,0,True,0,6,True,,,2020-08-06 22:54:00,2020
75,85,8,85,2020-08-06 22:48:57+00:00,True,active,False,0,0,True,0,11,True,,,2020-08-06 22:54:00,2020
76,86,9,86,2020-08-06 22:28:12+00:00,True,active,False,1,0,True,0,9,True,,,2020-08-06 22:54:00,2020
77,87,2,87,2020-08-06 22:51:46+00:00,True,active,False,0,0,True,0,13,True,,,2020-08-06 22:54:00,2020
78,89,11,89,2020-08-06 22:53:39+00:00,True,active,False,0,0,True,0,8,True,,,2020-08-06 22:54:00,2020
79,90,12,90,2020-08-06 22:52:44+00:00,True,active,False,0,0,True,0,7,True,,,2020-08-06 22:54:00,2020
80,91,16,91,2020-08-06 22:47:26+00:00,True,active,False,0,0,True,0,3,True,,,2020-08-06 22:54:00,2020
81,92,10,92,2020-08-06 22:29:22+00:00,True,active,False,1,0,True,0,8,True,,,2020-08-06 22:54:00,2020
82,93,1,93,2020-08-06 22:48:19+00:00,True,active,False,1,0,True,0,13,True,,,2020-08-06 22:54:00,2020
83,94,7,94,2020-08-06 22:47:13+00:00,True,active,False,0,0,True,0,4,True,,,2020-08-06 22:54:00,2020
