,num_bikes_disabled,num_ebikes_available,station_status,num_docks_available,station_id,num_docks_disabled,is_renting,num_bikes_available,is_returning,eightd_has_available_keys,legacy_id,last_reported,is_installed,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
55,0,0,active,12,64,0,True,7,True,False,64,2020-07-28 20:59:49+00:00,True,,,2020-07-28 21:02:45,2020
56,1,0,active,13,65,0,True,9,True,False,65,2020-07-28 21:01:55+00:00,True,,,2020-07-28 21:02:45,2020
57,0,0,active,10,66,0,True,5,True,False,66,2020-07-28 20:55:32+00:00,True,,,2020-07-28 21:02:45,2020
58,4,0,active,7,67,0,True,16,True,True,67,2020-07-28 20:51:53+00:00,True,,,2020-07-28 21:02:45,2020
59,0,0,active,10,68,0,True,9,True,True,68,2020-07-28 21:00:47+00:00,True,,,2020-07-28 21:02:45,2020
60,1,0,active,14,69,0,True,4,True,True,69,2020-07-28 20:59:47+00:00,True,,,2020-07-28 21:02:45,2020
61,0,0,active,13,70,0,True,10,True,False,70,2020-07-28 20:58:18+00:00,True,,,2020-07-28 21:02:45,2020
62,0,0,active,7,71,0,True,16,True,False,71,2020-07-28 20:42:21+00:00,True,,,2020-07-28 21:02:45,2020
63,0,0,active,13,72,0,True,10,True,False,72,2020-07-28 20:29:19+00:00,True,,,2020-07-28 21:02:45,2020
64,0,0,active,2,73,0,True,13,True,False,73,2020-07-28 20:46:28+00:00,True,,,2020-07-28 21:02:45,2020
65,3,0,active,6,74,0,True,10,True,True,74,2020-07-28 21:02:20+00:00,True,,,2020-07-28 21:02:45,2020
66,1,0,active,14,75,0,True,0,True,False,75,2020-07-28 20:17:47+00:00,True,,,2020-07-28 21:02:45,2020
67,0,0,active,14,76,0,True,3,True,False,76,2020-07-28 21:01:13+00:00,True,,,2020-07-28 21:02:45,2020
68,0,0,active,8,77,0,True,7,True,False,77,2020-07-28 20:42:20+00:00,True,,,2020-07-28 21:02:45,2020
69,1,0,active,8,78,0,True,10,True,False,78,2020-07-28 21:02:00+00:00,True,,,2020-07-28 21:02:45,2020
70,1,0,active,16,79,0,True,2,True,False,79,2020-07-28 20:45:03+00:00,True,,,2020-07-28 21:02:45,2020
71,0,0,active,15,80,0,True,20,True,False,80,2020-07-28 20:48:43+00:00,True,,,2020-07-28 21:02:45,2020
72,0,0,active,12,81,0,True,7,True,False,81,2020-07-28 20:44:23+00:00,True,,,2020-07-28 21:02:45,2020
73,0,0,active,15,82,0,True,0,True,False,82,2020-07-28 20:57:24+00:00,True,,,2020-07-28 21:02:45,2020
74,1,0,active,11,84,0,True,3,True,False,84,2020-07-28 21:00:16+00:00,True,,,2020-07-28 21:02:45,2020
75,0,0,active,11,85,0,True,8,True,False,85,2020-07-28 20:54:36+00:00,True,,,2020-07-28 21:02:45,2020
76,0,0,active,9,86,0,True,10,True,False,86,2020-07-28 20:45:13+00:00,True,,,2020-07-28 21:02:45,2020
77,0,0,active,10,87,0,True,5,True,False,87,2020-07-28 21:02:02+00:00,True,,,2020-07-28 21:02:45,2020
78,2,0,active,14,89,0,True,3,True,False,89,2020-07-28 17:47:21+00:00,True,,,2020-07-28 21:02:45,2020
79,1,0,active,7,90,0,True,11,True,False,90,2020-07-28 20:52:09+00:00,True,,,2020-07-28 21:02:45,2020
80,1,0,active,17,91,0,True,1,True,False,91,2020-07-28 21:00:46+00:00,True,,,2020-07-28 21:02:45,2020
81,1,0,active,4,92,0,True,14,True,False,92,2020-07-28 13:05:08+00:00,True,,,2020-07-28 21:02:45,2020
82,1,0,active,6,93,0,True,8,True,False,93,2020-07-28 19:37:20+00:00,True,,,2020-07-28 21:02:45,2020
83,0,0,active,0,94,0,True,11,True,False,94,2020-07-28 20:51:11+00:00,True,,,2020-07-28 21:02:45,2020
84,1,0,active,4,95,0,True,10,True,False,95,2020-07-28 20:55:15+00:00,True,,,2020-07-28 21:02:45,2020
85,0,0,active,14,96,0,True,5,True,False,96,2020-07-28 21:00:14+00:00,True,,,2020-07-28 21:02:45,2020
