,eightd_has_available_keys,num_docks_disabled,last_reported,is_installed,legacy_id,station_status,is_renting,num_bikes_available,station_id,is_returning,num_bikes_disabled,num_docks_available,num_ebikes_available,timestamp_of_data_read_request,year_station_last_reported
104,False,0,2020-08-11 08:11:18+00:00,True,115,active,True,16,115,True,0,3,0,2020-08-11 08:20:25,2020
105,False,0,2020-08-11 08:11:57+00:00,True,116,active,True,17,116,True,0,6,0,2020-08-11 08:20:25,2020
106,False,0,2020-08-11 01:34:16+00:00,True,117,active,True,12,117,True,0,7,0,2020-08-11 08:20:25,2020
107,False,0,2020-08-11 02:22:40+00:00,True,118,active,True,18,118,True,1,0,0,2020-08-11 08:20:25,2020
108,False,0,2020-08-11 03:59:42+00:00,True,119,active,True,1,119,True,0,14,0,2020-08-11 08:20:25,2020
109,False,0,2020-08-11 08:01:48+00:00,True,120,active,True,11,120,True,1,3,0,2020-08-11 08:20:25,2020
110,False,0,2020-08-11 03:21:27+00:00,True,121,active,True,7,121,True,0,10,0,2020-08-11 08:20:25,2020
111,False,0,2020-08-11 06:07:55+00:00,True,122,active,True,5,122,True,0,10,0,2020-08-11 08:20:25,2020
112,False,0,2020-08-11 08:13:07+00:00,True,124,active,True,11,124,True,0,4,0,2020-08-11 08:20:25,2020
113,False,0,2020-08-11 08:13:00+00:00,True,125,active,True,6,125,True,0,9,0,2020-08-11 08:20:25,2020
114,False,0,2020-08-11 07:03:44+00:00,True,126,active,True,6,126,True,0,9,0,2020-08-11 08:20:25,2020
115,False,0,2020-08-11 04:34:31+00:00,True,128,active,True,12,128,True,0,7,0,2020-08-11 08:20:25,2020
116,False,0,2020-08-11 02:38:45+00:00,True,129,active,True,12,129,True,0,7,0,2020-08-11 08:20:25,2020
117,False,0,2020-08-11 02:12:28+00:00,True,130,active,True,12,130,True,0,3,0,2020-08-11 08:20:25,2020
118,False,0,2020-08-11 02:24:42+00:00,True,131,active,True,18,131,True,0,0,0,2020-08-11 08:20:25,2020
119,False,0,2020-08-11 02:10:17+00:00,True,133,active,True,18,133,True,1,4,0,2020-08-11 08:20:25,2020
120,False,0,2020-08-11 08:17:40+00:00,True,135,active,True,4,135,True,1,12,0,2020-08-11 08:20:25,2020
121,False,0,2020-08-11 00:39:52+00:00,True,136,active,True,6,136,True,1,12,0,2020-08-11 08:20:25,2020
122,False,0,2020-08-11 02:03:19+00:00,True,137,active,True,12,137,True,0,3,0,2020-08-11 08:20:25,2020
123,False,0,2020-08-11 08:02:04+00:00,True,138,active,True,12,138,True,2,1,0,2020-08-11 08:20:25,2020
124,False,0,2020-08-11 06:14:42+00:00,True,139,active,True,8,139,True,0,11,0,2020-08-11 08:20:25,2020
125,False,0,2020-08-11 08:18:41+00:00,True,140,active,True,13,140,True,0,4,0,2020-08-11 08:20:25,2020
126,False,0,2020-08-11 03:48:25+00:00,True,141,active,True,8,141,True,0,7,0,2020-08-11 08:20:25,2020
127,False,0,2020-08-11 00:54:24+00:00,True,142,active,True,17,142,True,0,6,0,2020-08-11 08:20:25,2020
128,False,0,2020-08-11 08:16:35+00:00,True,143,active,True,18,143,True,0,5,0,2020-08-11 08:20:25,2020
129,False,0,2020-08-11 00:35:41+00:00,True,144,active,True,14,144,True,0,5,0,2020-08-11 08:20:25,2020
130,False,0,2020-08-11 01:47:51+00:00,True,145,active,True,17,145,True,0,2,0,2020-08-11 08:20:25,2020
131,False,0,2020-08-11 00:54:41+00:00,True,146,active,True,3,146,True,2,14,0,2020-08-11 08:20:25,2020
