,is_renting,num_bikes_disabled,num_docks_disabled,station_id,is_installed,num_bikes_available,legacy_id,last_reported,num_docks_available,is_returning,station_status,num_ebikes_available,eightd_has_available_keys,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
264,True,0,0,373,True,6,373,2020-08-08 22:36:58+00:00,9,True,active,0,False,,,2020-08-08 23:38:50,2020
265,True,1,0,374,True,12,374,2020-08-08 23:25:38+00:00,6,True,active,0,False,,,2020-08-08 23:38:50,2020
266,True,2,0,376,True,9,376,2020-08-08 23:13:04+00:00,4,True,active,0,False,,,2020-08-08 23:38:50,2020
267,True,0,0,377,True,18,377,2020-08-08 23:20:11+00:00,1,True,active,0,False,,,2020-08-08 23:38:50,2020
268,True,2,0,378,True,6,378,2020-08-08 23:38:15+00:00,11,True,active,0,False,,,2020-08-08 23:38:50,2020
269,True,0,0,379,True,7,379,2020-08-08 23:20:45+00:00,8,True,active,0,False,,,2020-08-08 23:38:50,2020
270,True,0,0,380,True,11,380,2020-08-08 23:37:48+00:00,7,True,active,0,False,,,2020-08-08 23:38:50,2020
271,True,1,0,381,True,15,381,2020-08-08 23:36:17+00:00,3,True,active,0,False,,,2020-08-08 23:38:50,2020
272,True,0,0,384,True,14,384,2020-08-08 23:24:01+00:00,5,True,active,0,True,,,2020-08-08 23:38:50,2020
273,True,1,1,385,True,5,385,2020-08-08 22:37:52+00:00,8,True,active,0,False,,,2020-08-08 23:38:50,2020
274,True,0,0,386,True,9,386,2020-08-08 23:35:33+00:00,10,True,active,0,False,,,2020-08-08 23:38:50,2020
275,True,1,0,387,True,8,387,2020-08-08 23:34:55+00:00,6,True,active,0,False,,,2020-08-08 23:38:50,2020
276,True,0,0,388,True,11,388,2020-08-08 21:56:32+00:00,0,True,active,0,False,,,2020-08-08 23:38:50,2020
277,True,0,0,389,True,14,389,2020-08-08 19:04:32+00:00,0,True,active,0,False,,,2020-08-08 23:38:50,2020
278,True,0,0,390,True,14,390,2020-08-08 22:58:23+00:00,1,True,active,0,False,,,2020-08-08 23:38:50,2020
279,True,0,0,391,True,13,391,2020-08-08 19:34:21+00:00,2,True,active,0,False,,,2020-08-08 23:38:50,2020
280,True,0,0,392,True,7,392,2020-08-08 23:20:35+00:00,8,True,active,0,False,,,2020-08-08 23:38:50,2020
281,True,1,0,393,True,6,393,2020-08-08 23:20:27+00:00,8,True,active,0,False,,,2020-08-08 23:38:50,2020
282,True,0,0,394,True,0,394,2020-08-08 08:58:43+00:00,14,True,active,0,False,,,2020-08-08 23:38:50,2020
283,True,0,0,395,True,9,395,2020-08-08 22:51:16+00:00,6,True,active,0,False,,,2020-08-08 23:38:50,2020
284,True,0,0,396,True,14,396,2020-08-08 23:23:37+00:00,1,True,active,0,False,,,2020-08-08 23:38:50,2020
285,True,0,0,397,True,15,397,2020-08-08 19:02:49+00:00,0,True,active,0,False,,,2020-08-08 23:38:50,2020
286,True,1,0,398,True,9,398,2020-08-08 23:37:41+00:00,9,True,active,0,False,,,2020-08-08 23:38:50,2020
287,True,0,0,399,True,5,399,2020-08-08 23:20:20+00:00,10,True,active,0,False,,,2020-08-08 23:38:50,2020
288,True,0,0,400,True,18,400,2020-08-08 23:24:01+00:00,9,True,active,0,False,,,2020-08-08 23:38:50,2020
289,True,0,0,401,True,4,401,2020-08-08 23:27:56+00:00,11,True,active,0,False,,,2020-08-08 23:38:50,2020
290,True,0,0,402,True,8,402,2020-08-08 23:29:28+00:00,7,True,active,0,False,,,2020-08-08 23:38:50,2020
291,True,2,0,403,True,6,403,2020-08-08 23:23:59+00:00,7,True,active,0,False,,,2020-08-08 23:38:50,2020
292,True,1,0,404,True,1,404,2020-08-08 23:25:30+00:00,14,True,active,0,False,,,2020-08-08 23:38:50,2020
293,True,0,0,405,True,8,405,2020-08-08 20:53:11+00:00,11,True,active,0,False,,,2020-08-08 23:38:50,2020
294,True,0,0,406,True,18,406,2020-08-08 21:15:14+00:00,1,True,active,0,False,,,2020-08-08 23:38:50,2020
295,True,0,0,407,True,1,407,2020-08-08 22:38:19+00:00,18,True,active,0,False,,,2020-08-08 23:38:50,2020
296,True,0,0,408,True,5,408,2020-08-08 23:07:09+00:00,10,True,active,0,False,,,2020-08-08 23:38:50,2020
297,True,0,0,409,True,6,409,2020-08-08 23:36:07+00:00,13,True,active,0,False,,,2020-08-08 23:38:50,2020
298,True,0,0,410,True,13,410,2020-08-08 23:30:23+00:00,6,True,active,0,False,,,2020-08-08 23:38:50,2020
299,True,0,0,411,True,3,411,2020-08-08 23:22:37+00:00,12,True,active,0,False,,,2020-08-08 23:38:50,2020
300,True,1,0,412,True,16,412,2020-08-08 23:28:35+00:00,2,True,active,0,False,,,2020-08-08 23:38:50,2020
301,True,0,0,413,True,2,413,2020-08-08 23:22:16+00:00,14,True,active,0,False,,,2020-08-08 23:38:50,2020
302,True,0,0,414,True,2,414,2020-08-08 22:12:40+00:00,21,True,active,0,False,,,2020-08-08 23:38:50,2020
303,True,0,0,415,True,18,415,2020-08-08 22:56:26+00:00,1,True,active,0,False,,,2020-08-08 23:38:50,2020
304,True,1,0,416,True,4,416,2020-08-08 23:36:33+00:00,10,True,active,0,False,,,2020-08-08 23:38:50,2020
305,True,0,0,417,True,10,417,2020-08-08 23:24:08+00:00,9,True,active,0,False,,,2020-08-08 23:38:50,2020
306,True,0,0,419,True,9,419,2020-08-08 21:20:03+00:00,6,True,active,0,False,,,2020-08-08 23:38:50,2020
307,False,0,0,420,False,0,420,1970-01-02 00:00:00+00:00,0,False,out_of_service,0,False,,,2020-08-08 23:38:50,1970
308,True,0,0,421,True,18,421,2020-08-08 23:11:24+00:00,1,True,active,0,False,,,2020-08-08 23:38:50,2020
309,True,0,0,422,True,11,422,2020-08-08 21:58:56+00:00,4,True,active,0,False,,,2020-08-08 23:38:50,2020
310,True,0,0,423,True,3,423,2020-08-08 20:55:22+00:00,16,True,active,0,False,,,2020-08-08 23:38:50,2020
311,True,0,0,424,True,7,424,2020-08-08 21:57:53+00:00,12,True,active,0,False,,,2020-08-08 23:38:50,2020
312,True,0,0,425,True,9,425,2020-08-08 17:31:40+00:00,7,True,active,0,False,,,2020-08-08 23:38:50,2020
313,True,0,0,426,True,1,426,2020-08-08 23:27:18+00:00,26,True,active,0,False,,,2020-08-08 23:38:50,2020
314,True,0,0,427,True,2,427,2020-08-08 19:57:54+00:00,17,True,active,0,False,,,2020-08-08 23:38:50,2020
315,True,0,0,428,True,8,428,2020-08-08 22:58:32+00:00,11,True,active,0,False,,,2020-08-08 23:38:50,2020
316,True,0,0,430,True,15,430,2020-08-08 21:35:09+00:00,4,True,active,0,False,,,2020-08-08 23:38:50,2020
317,True,0,0,431,True,2,431,2020-08-08 19:31:11+00:00,13,True,active,0,False,,,2020-08-08 23:38:50,2020
318,True,0,0,432,True,7,432,2020-08-08 23:29:17+00:00,12,True,active,0,False,,,2020-08-08 23:38:50,2020
319,True,1,0,433,True,4,433,2020-08-08 18:27:26+00:00,14,True,active,0,False,,,2020-08-08 23:38:50,2020
320,True,0,0,434,True,0,434,2020-08-08 08:59:56+00:00,19,True,active,0,False,,,2020-08-08 23:38:50,2020
321,True,0,0,435,True,1,435,2020-08-08 23:29:45+00:00,14,True,active,0,False,,,2020-08-08 23:38:50,2020
322,True,0,0,436,True,1,436,2020-08-08 21:52:55+00:00,14,True,active,0,False,,,2020-08-08 23:38:50,2020
323,True,0,0,437,True,3,437,2020-08-08 23:33:17+00:00,16,True,active,0,False,,,2020-08-08 23:38:50,2020
324,True,0,0,440,True,1,440,2020-08-08 23:38:23+00:00,16,True,active,0,False,,,2020-08-08 23:38:50,2020
325,True,0,0,441,True,11,441,2020-08-08 23:18:39+00:00,8,True,active,0,False,,,2020-08-08 23:38:50,2020
326,True,0,0,442,True,11,442,2020-08-08 19:40:23+00:00,4,True,active,0,False,,,2020-08-08 23:38:50,2020
327,True,0,0,443,True,0,443,2020-08-08 18:51:29+00:00,19,True,active,0,False,,,2020-08-08 23:38:50,2020
