,num_docks_available,last_reported,station_id,num_docks_disabled,is_renting,num_ebikes_available,num_bikes_available,station_status,is_installed,eightd_has_available_keys,legacy_id,num_bikes_disabled,is_returning,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
57,14,2020-08-18 21:14:29+00:00,66,0,True,0,0,active,True,False,66,1,True,,,2020-08-18 21:27:20,2020
58,11,2020-08-18 21:27:05+00:00,67,0,True,0,16,active,True,True,67,0,True,,,2020-08-18 21:27:20,2020
59,2,2020-08-18 21:23:03+00:00,68,0,True,0,17,active,True,True,68,0,True,,,2020-08-18 21:27:20,2020
60,2,2020-08-18 21:26:48+00:00,69,0,True,0,17,active,True,True,69,0,True,,,2020-08-18 21:27:20,2020
61,2,2020-08-18 20:46:09+00:00,70,0,True,0,21,active,True,False,70,0,True,,,2020-08-18 21:27:20,2020
62,15,2020-08-18 21:13:49+00:00,71,0,True,0,8,active,True,False,71,0,True,,,2020-08-18 21:27:20,2020
63,5,2020-08-18 21:12:56+00:00,72,0,True,0,18,active,True,False,72,0,True,,,2020-08-18 21:27:20,2020
64,4,2020-08-18 21:10:34+00:00,73,0,True,0,8,active,True,False,73,3,True,,,2020-08-18 21:27:20,2020
65,6,2020-08-18 21:17:25+00:00,74,0,True,0,13,active,True,True,74,0,True,,,2020-08-18 21:27:20,2020
66,7,2020-08-18 21:23:25+00:00,75,0,True,0,8,active,True,False,75,0,True,,,2020-08-18 21:27:20,2020
67,12,2020-08-18 21:22:34+00:00,76,0,True,0,5,active,True,False,76,0,True,,,2020-08-18 21:27:20,2020
68,9,2020-08-18 21:20:12+00:00,77,0,True,0,6,active,True,False,77,0,True,,,2020-08-18 21:27:20,2020
69,7,2020-08-18 21:19:15+00:00,78,0,True,0,11,active,True,False,78,1,True,,,2020-08-18 21:27:20,2020
70,10,2020-08-18 21:21:42+00:00,79,0,True,0,9,active,True,False,79,0,True,,,2020-08-18 21:27:20,2020
71,10,2020-08-18 21:22:07+00:00,80,0,True,0,25,active,True,False,80,0,True,,,2020-08-18 21:27:20,2020
72,2,2020-08-18 21:22:04+00:00,81,0,True,0,17,active,True,False,81,0,True,,,2020-08-18 21:27:20,2020
73,12,2020-08-18 21:13:07+00:00,82,0,True,0,2,active,True,False,82,1,True,,,2020-08-18 21:27:20,2020
74,3,2020-08-18 21:18:57+00:00,84,0,True,0,12,active,True,False,84,0,True,,,2020-08-18 21:27:20,2020
75,10,2020-08-18 21:25:42+00:00,85,0,True,0,9,active,True,False,85,0,True,,,2020-08-18 21:27:20,2020
