,is_installed,last_reported,num_docks_disabled,num_bikes_disabled,num_bikes_available,station_status,is_renting,is_returning,num_ebikes_available,legacy_id,eightd_has_available_keys,station_id,num_docks_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
172,True,2020-08-11 10:02:08+00:00,0,0,0,active,True,True,0,199,False,199,15,,,2020-08-11 14:17:45,2020
173,True,2020-08-11 14:14:30+00:00,0,2,9,active,True,True,0,200,False,200,8,,,2020-08-11 14:17:45,2020
174,True,2020-08-11 12:15:01+00:00,0,0,0,active,True,True,0,201,False,201,15,,,2020-08-11 14:17:45,2020
175,True,2020-08-11 08:11:59+00:00,0,0,4,active,True,True,0,202,False,202,11,,,2020-08-11 14:17:45,2020
176,True,2020-08-11 11:42:18+00:00,0,0,3,active,True,True,0,203,False,203,12,,,2020-08-11 14:17:45,2020
177,True,2020-08-11 14:05:30+00:00,0,0,2,active,True,True,0,204,False,204,13,,,2020-08-11 14:17:45,2020
178,True,2020-08-11 12:40:31+00:00,0,0,4,active,True,True,0,205,False,205,11,,,2020-08-11 14:17:45,2020
179,True,2020-08-11 13:44:34+00:00,0,0,2,active,True,True,0,206,True,206,21,,,2020-08-11 14:17:45,2020
180,True,2020-08-11 01:06:25+00:00,0,0,4,active,True,True,0,208,True,208,11,,,2020-08-11 14:17:45,2020
181,True,2020-08-11 08:53:13+00:00,0,0,8,active,True,True,0,209,False,209,7,,,2020-08-11 14:17:45,2020
182,True,2020-08-11 10:05:17+00:00,0,0,4,active,True,True,0,210,False,210,11,,,2020-08-11 14:17:45,2020
183,True,2020-08-11 12:57:09+00:00,0,0,6,active,True,True,0,211,False,211,13,,,2020-08-11 14:17:45,2020
184,True,2020-08-11 13:56:45+00:00,0,0,28,active,True,True,0,212,False,212,5,,,2020-08-11 14:17:45,2020
185,True,2020-08-11 12:07:11+00:00,0,0,9,active,True,True,0,213,True,213,7,,,2020-08-11 14:17:45,2020
186,True,2020-08-11 13:26:07+00:00,0,0,4,active,True,True,0,214,False,214,11,,,2020-08-11 14:17:45,2020
187,True,2020-08-11 08:53:10+00:00,0,0,7,active,True,True,0,215,False,215,8,,,2020-08-11 14:17:45,2020
188,True,2020-08-11 08:53:00+00:00,0,1,16,active,True,True,0,216,False,216,2,,,2020-08-11 14:17:45,2020
189,True,2020-08-11 13:48:10+00:00,0,0,16,active,True,True,0,217,False,217,3,,,2020-08-11 14:17:45,2020
