,station_id,num_docks_disabled,is_installed,is_returning,is_renting,eightd_has_available_keys,last_reported,num_bikes_available,num_ebikes_available,num_bikes_disabled,station_status,num_docks_available,legacy_id,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
87,98,0,True,True,True,False,2020-07-31 23:19:22+00:00,2,0,0,active,20,98,,,2020-07-31 23:22:10,2020
88,99,0,True,True,True,False,2020-07-31 23:21:12+00:00,3,0,1,active,11,99,,,2020-07-31 23:22:10,2020
89,100,0,True,True,True,True,2020-07-31 23:19:57+00:00,6,0,1,active,18,100,,,2020-07-31 23:22:10,2020
90,101,0,True,True,True,False,2020-07-31 23:13:38+00:00,3,0,0,active,12,101,,,2020-07-31 23:22:10,2020
91,102,0,True,True,True,False,2020-07-31 23:19:07+00:00,3,0,0,active,12,102,,,2020-07-31 23:22:10,2020
92,103,0,True,True,True,False,2020-07-31 23:21:50+00:00,3,0,1,active,11,103,,,2020-07-31 23:22:10,2020
93,104,0,True,True,True,False,2020-07-31 23:02:07+00:00,14,0,0,active,5,104,,,2020-07-31 23:22:10,2020
94,105,0,True,True,True,False,2020-07-31 23:19:15+00:00,17,0,1,active,1,105,,,2020-07-31 23:22:10,2020
95,106,0,True,True,True,False,2020-07-31 22:45:41+00:00,3,0,1,active,11,106,,,2020-07-31 23:22:10,2020
96,107,0,True,True,True,False,2020-07-31 23:16:26+00:00,6,0,0,active,13,107,,,2020-07-31 23:22:10,2020
97,108,0,True,True,True,False,2020-07-31 22:59:18+00:00,8,0,0,active,9,108,,,2020-07-31 23:22:10,2020
98,109,0,True,True,True,False,2020-07-31 21:15:26+00:00,24,0,2,active,9,109,,,2020-07-31 23:22:10,2020
99,110,0,True,True,True,False,2020-07-31 23:19:25+00:00,8,0,2,active,5,110,,,2020-07-31 23:22:10,2020
100,111,0,True,True,True,False,2020-07-31 23:04:28+00:00,1,0,0,active,14,111,,,2020-07-31 23:22:10,2020
101,112,0,True,True,True,False,2020-07-31 23:17:37+00:00,4,0,0,active,11,112,,,2020-07-31 23:22:10,2020
102,113,0,True,True,True,False,2020-07-31 23:11:11+00:00,10,0,1,active,4,113,,,2020-07-31 23:22:10,2020
103,114,0,True,True,True,False,2020-07-31 22:36:02+00:00,4,0,0,active,11,114,,,2020-07-31 23:22:10,2020
104,115,0,True,True,True,False,2020-07-31 23:05:59+00:00,16,0,1,active,2,115,,,2020-07-31 23:22:10,2020
105,116,0,True,True,True,False,2020-07-31 23:08:28+00:00,4,0,0,active,19,116,,,2020-07-31 23:22:10,2020
106,117,0,True,True,True,False,2020-07-31 23:19:29+00:00,8,0,1,active,10,117,,,2020-07-31 23:22:10,2020
107,118,0,True,True,True,False,2020-07-31 23:20:55+00:00,8,0,1,active,10,118,,,2020-07-31 23:22:10,2020
108,119,0,True,True,True,False,2020-07-31 23:18:03+00:00,1,0,1,active,13,119,,,2020-07-31 23:22:10,2020
109,120,0,True,True,True,False,2020-07-31 23:13:38+00:00,11,0,2,active,2,120,,,2020-07-31 23:22:10,2020
110,121,0,True,True,True,False,2020-07-31 23:15:02+00:00,3,0,0,active,14,121,,,2020-07-31 23:22:10,2020
111,122,0,True,True,True,False,2020-07-31 22:56:07+00:00,14,0,0,active,1,122,,,2020-07-31 23:22:10,2020
112,124,0,True,True,True,False,2020-07-31 22:31:16+00:00,5,0,0,active,10,124,,,2020-07-31 23:22:10,2020
113,125,0,True,True,True,False,2020-07-31 23:18:15+00:00,5,0,0,active,10,125,,,2020-07-31 23:22:10,2020
114,126,0,True,True,True,False,2020-07-31 22:13:12+00:00,11,0,0,active,4,126,,,2020-07-31 23:22:10,2020
115,128,0,True,True,True,False,2020-07-31 23:20:21+00:00,14,0,0,active,5,128,,,2020-07-31 23:22:10,2020
116,129,0,True,True,True,False,2020-07-31 23:15:35+00:00,9,0,0,active,10,129,,,2020-07-31 23:22:10,2020
117,130,0,True,True,True,False,2020-07-31 22:34:07+00:00,12,0,0,active,3,130,,,2020-07-31 23:22:10,2020
118,131,0,True,True,True,False,2020-07-31 23:13:42+00:00,0,0,4,active,14,131,,,2020-07-31 23:22:10,2020
119,133,0,True,True,True,False,2020-07-31 23:20:57+00:00,16,0,0,active,7,133,,,2020-07-31 23:22:10,2020
120,135,0,True,True,True,False,2020-07-31 23:18:05+00:00,3,0,0,active,14,135,,,2020-07-31 23:22:10,2020
121,136,0,True,True,True,False,2020-07-31 22:55:35+00:00,19,0,0,active,0,136,,,2020-07-31 23:22:10,2020
122,137,0,True,True,True,False,2020-07-31 23:09:02+00:00,6,0,0,active,9,137,,,2020-07-31 23:22:10,2020
123,138,0,True,True,True,False,2020-07-31 21:22:02+00:00,8,0,0,active,7,138,,,2020-07-31 23:22:10,2020
124,139,0,True,True,True,False,2020-07-31 23:11:51+00:00,13,0,0,active,6,139,,,2020-07-31 23:22:10,2020
