,num_ebikes_available,num_bikes_available,eightd_has_available_keys,legacy_id,num_docks_disabled,station_status,is_returning,num_bikes_disabled,station_id,last_reported,is_installed,num_docks_available,is_renting,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
166,0,3,False,191,0,active,True,0,191,2020-07-26 02:27:00+00:00,True,12,True,,,2020-07-26 08:27:00,2020
167,0,1,False,192,0,active,True,0,192,2020-07-26 08:06:54+00:00,True,18,True,,,2020-07-26 08:27:00,2020
168,0,10,True,193,0,active,True,1,193,2020-07-26 06:21:32+00:00,True,4,True,,,2020-07-26 08:27:00,2020
169,0,11,False,194,0,active,True,0,194,2020-07-26 04:08:26+00:00,True,8,True,,,2020-07-26 08:27:00,2020
170,0,16,False,195,0,active,True,0,195,2020-07-26 08:16:13+00:00,True,7,True,,,2020-07-26 08:27:00,2020
171,0,1,True,196,0,active,True,0,196,2020-07-26 08:17:29+00:00,True,9,True,,,2020-07-26 08:27:00,2020
172,0,2,False,197,0,active,True,1,197,2020-07-26 08:22:59+00:00,True,12,True,,,2020-07-26 08:27:00,2020
173,0,3,False,199,0,active,True,0,199,2020-07-26 08:23:05+00:00,True,12,True,,,2020-07-26 08:27:00,2020
174,0,7,False,200,0,active,True,0,200,2020-07-26 06:06:01+00:00,True,12,True,,,2020-07-26 08:27:00,2020
175,0,1,False,201,0,active,True,0,201,2020-07-25 21:55:54+00:00,True,14,True,,,2020-07-26 08:27:00,2020
176,0,1,False,202,0,active,True,0,202,2020-07-26 08:06:19+00:00,True,14,True,,,2020-07-26 08:27:00,2020
177,0,5,False,203,0,active,True,1,203,2020-07-26 00:21:28+00:00,True,9,True,,,2020-07-26 08:27:00,2020
178,0,5,False,204,0,active,True,0,204,2020-07-26 08:12:55+00:00,True,10,True,,,2020-07-26 08:27:00,2020
179,0,2,False,205,0,active,True,1,205,2020-07-26 08:11:22+00:00,True,12,True,,,2020-07-26 08:27:00,2020
180,0,0,True,206,0,active,True,0,206,2020-07-25 23:53:32+00:00,True,23,True,,,2020-07-26 08:27:00,2020
181,0,5,True,208,0,active,True,0,208,2020-07-26 05:15:46+00:00,True,10,True,,,2020-07-26 08:27:00,2020
182,0,9,False,209,0,active,True,1,209,2020-07-26 04:16:53+00:00,True,5,True,,,2020-07-26 08:27:00,2020
183,0,8,False,210,0,active,True,1,210,2020-07-26 05:23:21+00:00,True,6,True,,,2020-07-26 08:27:00,2020
184,0,15,False,211,0,active,True,2,211,2020-07-26 08:21:42+00:00,True,2,True,,,2020-07-26 08:27:00,2020
185,0,6,False,212,0,active,True,0,212,2020-07-26 08:02:47+00:00,True,27,True,,,2020-07-26 08:27:00,2020
186,0,0,True,213,0,active,True,0,213,2020-07-26 08:22:09+00:00,True,16,True,,,2020-07-26 08:27:00,2020
187,0,10,False,214,0,active,True,0,214,2020-07-26 08:22:37+00:00,True,5,True,,,2020-07-26 08:27:00,2020
188,0,9,False,215,0,active,True,1,215,2020-07-26 01:05:58+00:00,True,5,True,,,2020-07-26 08:27:00,2020
189,0,19,False,216,0,active,True,0,216,2020-07-26 08:16:18+00:00,True,0,True,,,2020-07-26 08:27:00,2020
190,0,5,False,217,0,active,True,0,217,2020-07-26 01:50:55+00:00,True,14,True,,,2020-07-26 08:27:00,2020
191,0,0,False,218,0,active,True,0,218,2020-07-26 04:23:42+00:00,True,15,True,,,2020-07-26 08:27:00,2020
192,0,13,False,219,0,active,True,0,219,2020-07-26 03:32:42+00:00,True,2,True,,,2020-07-26 08:27:00,2020
193,0,14,False,221,0,active,True,0,221,2020-07-26 08:21:08+00:00,True,5,True,,,2020-07-26 08:27:00,2020
194,0,9,True,222,0,active,True,1,222,2020-07-26 06:39:54+00:00,True,4,True,,,2020-07-26 08:27:00,2020
195,0,7,False,224,0,active,True,0,224,2020-07-26 07:46:40+00:00,True,10,True,,,2020-07-26 08:27:00,2020
196,0,12,False,225,1,active,True,0,225,2020-07-26 08:22:45+00:00,True,6,True,,,2020-07-26 08:27:00,2020
197,0,5,False,226,0,active,True,0,226,2020-07-26 08:02:09+00:00,True,10,True,,,2020-07-26 08:27:00,2020
198,0,14,False,227,0,active,True,1,227,2020-07-26 05:31:50+00:00,True,4,True,,,2020-07-26 08:27:00,2020
199,0,1,False,228,0,active,True,0,228,2020-07-26 08:26:37+00:00,True,18,True,,,2020-07-26 08:27:00,2020
200,0,8,False,232,0,active,True,0,232,2020-07-26 01:07:03+00:00,True,3,True,,,2020-07-26 08:27:00,2020
201,0,4,False,233,0,active,True,2,233,2020-07-26 06:38:04+00:00,True,9,True,,,2020-07-26 08:27:00,2020
202,0,2,False,234,0,active,True,0,234,2020-07-26 04:12:13+00:00,True,13,True,,,2020-07-26 08:27:00,2020
203,0,15,False,235,0,active,True,0,235,2020-07-26 03:41:00+00:00,True,0,True,,,2020-07-26 08:27:00,2020
204,0,13,False,236,0,active,True,0,236,2020-07-26 08:26:38+00:00,True,2,True,,,2020-07-26 08:27:00,2020
205,0,1,False,239,0,active,True,0,239,2020-07-26 02:35:04+00:00,True,14,True,,,2020-07-26 08:27:00,2020
206,0,5,False,255,0,active,True,0,255,2020-07-26 01:21:50+00:00,True,10,True,,,2020-07-26 08:27:00,2020
207,0,8,False,258,0,active,True,0,258,2020-07-26 03:12:31+00:00,True,7,True,,,2020-07-26 08:27:00,2020
208,0,3,False,259,0,active,True,0,259,2020-07-25 15:58:41+00:00,True,12,True,,,2020-07-26 08:27:00,2020
209,0,11,False,260,0,active,True,2,260,2020-07-26 07:15:42+00:00,True,2,True,,,2020-07-26 08:27:00,2020
210,0,12,False,271,0,active,True,0,271,2020-07-26 04:18:41+00:00,True,3,True,,,2020-07-26 08:27:00,2020
211,0,5,False,272,0,active,True,0,272,2020-07-26 06:03:24+00:00,True,14,True,,,2020-07-26 08:27:00,2020
212,0,9,False,273,0,active,True,1,273,2020-07-26 07:52:39+00:00,True,30,True,,,2020-07-26 08:27:00,2020
213,0,13,False,279,0,active,True,0,279,2020-07-26 01:34:33+00:00,True,6,True,,,2020-07-26 08:27:00,2020
214,0,3,False,280,0,active,True,0,280,2020-07-26 03:44:25+00:00,True,16,True,,,2020-07-26 08:27:00,2020
215,0,11,False,282,0,active,True,3,282,2020-07-26 08:04:35+00:00,True,1,True,,,2020-07-26 08:27:00,2020
