,legacy_id,is_returning,eightd_has_available_keys,last_reported,num_bikes_available,station_id,num_ebikes_available,num_docks_disabled,is_renting,num_bikes_disabled,station_status,num_docks_available,is_installed,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
113,125,True,False,2020-08-06 21:36:33+00:00,9,125,0,0,True,1,active,5,True,,,2020-08-06 21:42:15,2020
114,126,True,False,2020-08-06 21:28:18+00:00,6,126,0,0,True,0,active,9,True,,,2020-08-06 21:42:15,2020
115,128,True,False,2020-08-06 21:26:14+00:00,12,128,0,0,True,1,active,6,True,,,2020-08-06 21:42:15,2020
116,129,True,False,2020-08-06 21:22:48+00:00,11,129,0,0,True,1,active,7,True,,,2020-08-06 21:42:15,2020
117,130,True,False,2020-08-06 21:40:38+00:00,9,130,0,0,True,1,active,5,True,,,2020-08-06 21:42:15,2020
118,131,True,False,2020-08-06 21:36:27+00:00,4,131,0,0,True,2,active,12,True,,,2020-08-06 21:42:15,2020
119,133,True,False,2020-08-06 21:40:48+00:00,8,133,0,0,True,0,active,15,True,,,2020-08-06 21:42:15,2020
120,135,True,False,2020-08-06 20:52:34+00:00,10,135,0,0,True,0,active,7,True,,,2020-08-06 21:42:15,2020
121,136,True,False,2020-08-06 18:24:48+00:00,4,136,0,0,True,0,active,15,True,,,2020-08-06 21:42:15,2020
122,137,True,False,2020-08-06 19:57:20+00:00,1,137,0,0,True,0,active,14,True,,,2020-08-06 21:42:15,2020
123,138,True,False,2020-08-06 19:46:14+00:00,4,138,0,0,True,0,active,11,True,,,2020-08-06 21:42:15,2020
124,139,True,False,2020-08-06 21:41:55+00:00,6,139,0,0,True,0,active,13,True,,,2020-08-06 21:42:15,2020
125,140,True,False,2020-08-06 20:35:02+00:00,12,140,0,0,True,2,active,3,True,,,2020-08-06 21:42:15,2020
126,141,True,False,2020-08-06 21:39:48+00:00,4,141,0,0,True,0,active,11,True,,,2020-08-06 21:42:15,2020
127,142,True,False,2020-08-06 21:35:38+00:00,7,142,0,0,True,2,active,14,True,,,2020-08-06 21:42:15,2020
128,143,True,False,2020-08-06 21:31:10+00:00,8,143,0,0,True,0,active,15,True,,,2020-08-06 21:42:15,2020
129,144,True,False,2020-08-06 21:36:38+00:00,13,144,0,0,True,0,active,6,True,,,2020-08-06 21:42:15,2020
130,145,True,False,2020-08-06 21:14:12+00:00,1,145,0,0,True,0,active,18,True,,,2020-08-06 21:42:15,2020
131,146,True,False,2020-08-06 21:41:16+00:00,2,146,0,0,True,1,active,16,True,,,2020-08-06 21:42:15,2020
132,149,True,True,2020-08-06 21:40:36+00:00,12,149,0,0,True,0,active,6,True,,,2020-08-06 21:42:15,2020
133,150,True,False,2020-08-06 21:36:46+00:00,1,150,0,0,True,1,active,17,True,,,2020-08-06 21:42:15,2020
134,151,True,False,2020-08-06 21:37:48+00:00,16,151,0,0,True,0,active,3,True,,,2020-08-06 21:42:15,2020
135,152,True,True,2020-08-06 21:21:52+00:00,12,152,0,0,True,0,active,3,True,,,2020-08-06 21:42:15,2020
136,156,True,False,2020-08-06 20:29:09+00:00,0,156,0,0,True,0,active,15,True,,,2020-08-06 21:42:15,2020
137,157,True,False,2020-08-06 21:41:13+00:00,5,157,0,0,True,1,active,9,True,,,2020-08-06 21:42:15,2020
138,159,True,False,2020-08-06 21:36:16+00:00,2,159,0,0,True,0,active,13,True,,,2020-08-06 21:42:15,2020
139,160,True,True,2020-08-06 21:18:35+00:00,7,160,0,0,True,0,active,7,True,,,2020-08-06 21:42:15,2020
140,161,True,True,2020-08-06 21:38:22+00:00,15,161,0,0,True,0,active,8,True,,,2020-08-06 21:42:15,2020
141,162,True,False,2020-08-06 21:32:53+00:00,10,162,0,0,True,0,active,5,True,,,2020-08-06 21:42:15,2020
