,station_status,legacy_id,num_docks_available,num_bikes_disabled,station_id,num_docks_disabled,is_returning,is_renting,num_bikes_available,is_installed,eightd_has_available_keys,last_reported,num_ebikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
159,active,185,15,0,185,0,True,True,0,True,False,2020-08-21 20:38:52+00:00,0,,,2020-08-21 21:18:25,2020
160,active,186,6,0,186,0,True,True,9,True,True,2020-08-21 21:15:59+00:00,0,,,2020-08-21 21:18:25,2020
161,active,187,12,1,187,0,True,True,2,True,False,2020-08-21 20:53:59+00:00,0,,,2020-08-21 21:18:25,2020
162,active,188,8,0,188,0,True,True,7,True,False,2020-08-21 21:12:41+00:00,0,,,2020-08-21 21:18:25,2020
163,active,189,11,1,189,0,True,True,11,True,True,2020-08-21 21:17:29+00:00,0,,,2020-08-21 21:18:25,2020
164,active,190,21,1,190,0,True,True,15,True,True,2020-08-21 21:17:29+00:00,0,,,2020-08-21 21:18:25,2020
165,active,191,13,0,191,0,True,True,2,True,False,2020-08-21 21:14:24+00:00,0,,,2020-08-21 21:18:25,2020
166,active,192,12,0,192,0,True,True,7,True,False,2020-08-21 20:56:24+00:00,0,,,2020-08-21 21:18:25,2020
167,active,193,15,0,193,0,True,True,0,True,True,2020-08-21 19:36:58+00:00,0,,,2020-08-21 21:18:25,2020
168,active,194,18,0,194,0,True,True,1,True,False,2020-08-21 20:54:22+00:00,0,,,2020-08-21 21:18:25,2020
169,active,195,20,0,195,0,True,True,3,True,False,2020-08-21 21:16:37+00:00,0,,,2020-08-21 21:18:25,2020
170,active,196,9,0,196,0,True,True,1,True,False,2020-08-21 21:09:07+00:00,0,,,2020-08-21 21:18:25,2020
171,active,197,8,0,197,0,True,True,7,True,False,2020-08-21 21:03:04+00:00,0,,,2020-08-21 21:18:25,2020
172,active,199,5,0,199,0,True,True,10,True,False,2020-08-21 20:47:53+00:00,0,,,2020-08-21 21:18:25,2020
173,active,200,0,0,200,0,True,True,19,True,False,2020-08-21 21:08:29+00:00,0,,,2020-08-21 21:18:25,2020
174,active,201,13,0,201,0,True,True,2,True,False,2020-08-21 12:22:54+00:00,0,,,2020-08-21 21:18:25,2020
175,active,202,12,0,202,0,True,True,3,True,False,2020-08-21 19:17:15+00:00,0,,,2020-08-21 21:18:25,2020
176,active,203,9,0,203,0,True,True,6,True,False,2020-08-21 12:45:21+00:00,0,,,2020-08-21 21:18:25,2020
177,active,204,11,1,204,0,True,True,3,True,False,2020-08-21 20:35:45+00:00,0,,,2020-08-21 21:18:25,2020
178,active,205,12,0,205,0,True,True,3,True,False,2020-08-21 17:31:24+00:00,0,,,2020-08-21 21:18:25,2020
179,active,206,20,1,206,0,True,True,2,True,False,2020-08-21 21:11:21+00:00,0,,,2020-08-21 21:18:25,2020
180,active,208,0,1,208,0,True,True,14,True,True,2020-08-21 18:47:52+00:00,0,,,2020-08-21 21:18:25,2020
181,active,209,9,0,209,0,True,True,6,True,False,2020-08-21 19:36:35+00:00,0,,,2020-08-21 21:18:25,2020
182,active,210,13,0,210,0,True,True,2,True,False,2020-08-21 21:13:37+00:00,0,,,2020-08-21 21:18:25,2020
183,active,211,9,0,211,0,True,True,10,True,False,2020-08-21 19:10:05+00:00,0,,,2020-08-21 21:18:25,2020
184,active,212,24,1,212,0,True,True,8,True,False,2020-08-21 21:14:52+00:00,0,,,2020-08-21 21:18:25,2020
185,active,213,10,0,213,0,True,True,6,True,True,2020-08-21 19:55:09+00:00,0,,,2020-08-21 21:18:25,2020
186,active,214,13,0,214,0,True,True,2,True,False,2020-08-21 20:59:14+00:00,0,,,2020-08-21 21:18:25,2020
187,active,215,6,1,215,0,True,True,8,True,False,2020-08-21 19:13:09+00:00,0,,,2020-08-21 21:18:25,2020
188,active,216,5,0,216,0,True,True,14,True,False,2020-08-21 06:54:34+00:00,0,,,2020-08-21 21:18:25,2020
189,active,217,13,1,217,0,True,True,5,True,False,2020-08-21 21:02:29+00:00,0,,,2020-08-21 21:18:25,2020
190,active,218,15,0,218,0,True,True,0,True,False,2020-08-21 21:12:33+00:00,0,,,2020-08-21 21:18:25,2020
191,active,219,9,0,219,0,True,True,6,True,False,2020-08-21 20:06:41+00:00,0,,,2020-08-21 21:18:25,2020
192,active,221,17,0,221,0,True,True,2,True,False,2020-08-21 20:39:19+00:00,0,,,2020-08-21 21:18:25,2020
193,active,222,12,1,222,0,True,True,1,True,True,2020-08-21 21:17:57+00:00,0,,,2020-08-21 21:18:25,2020
194,active,224,8,1,224,0,True,True,8,True,False,2020-08-21 19:43:24+00:00,0,,,2020-08-21 21:18:25,2020
195,active,225,8,1,225,0,True,True,10,True,False,2020-08-21 21:12:45+00:00,0,,,2020-08-21 21:18:25,2020
196,active,226,15,0,226,0,True,True,0,True,False,2020-08-21 20:49:15+00:00,0,,,2020-08-21 21:18:25,2020
197,active,227,15,0,227,0,True,True,4,True,False,2020-08-21 21:12:15+00:00,0,,,2020-08-21 21:18:25,2020
198,active,228,7,0,228,0,True,True,12,True,False,2020-08-21 21:16:23+00:00,0,,,2020-08-21 21:18:25,2020
199,active,232,11,0,232,0,True,True,0,True,False,2020-08-21 20:59:47+00:00,0,,,2020-08-21 21:18:25,2020
200,active,233,5,0,233,0,True,True,10,True,False,2020-08-21 21:09:33+00:00,0,,,2020-08-21 21:18:25,2020
