,station_status,num_ebikes_available,is_returning,num_docks_disabled,legacy_id,is_renting,num_bikes_disabled,last_reported,eightd_has_available_keys,station_id,is_installed,num_bikes_available,num_docks_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
165,active,0,True,0,191,True,0,2020-08-05 16:20:55+00:00,False,191,True,1,14,,,2020-08-05 17:33:40,2020
166,active,0,True,0,192,True,0,2020-08-05 16:41:29+00:00,False,192,True,12,7,,,2020-08-05 17:33:40,2020
167,active,0,True,0,193,True,1,2020-08-05 17:27:08+00:00,True,193,True,9,5,,,2020-08-05 17:33:40,2020
168,active,0,True,0,194,True,0,2020-08-05 17:16:58+00:00,False,194,True,4,15,,,2020-08-05 17:33:40,2020
169,active,0,True,0,195,True,0,2020-08-05 17:08:09+00:00,False,195,True,3,20,,,2020-08-05 17:33:40,2020
170,active,0,True,0,196,True,0,2020-08-05 17:27:16+00:00,True,196,True,3,7,,,2020-08-05 17:33:40,2020
171,active,0,True,0,197,True,0,2020-08-05 10:03:38+00:00,False,197,True,0,15,,,2020-08-05 17:33:40,2020
172,active,0,True,0,199,True,0,2020-08-05 09:52:59+00:00,False,199,True,13,2,,,2020-08-05 17:33:40,2020
173,active,0,True,0,200,True,1,2020-08-05 16:40:22+00:00,False,200,True,17,1,,,2020-08-05 17:33:40,2020
174,active,0,True,0,201,True,0,2020-08-05 16:42:59+00:00,False,201,True,5,10,,,2020-08-05 17:33:40,2020
175,active,0,True,0,202,True,0,2020-08-05 17:16:33+00:00,False,202,True,1,14,,,2020-08-05 17:33:40,2020
176,active,0,True,0,203,True,0,2020-08-05 12:49:49+00:00,False,203,True,5,10,,,2020-08-05 17:33:40,2020
177,active,0,True,0,204,True,1,2020-08-05 17:33:00+00:00,False,204,True,7,7,,,2020-08-05 17:33:40,2020
178,active,0,True,0,205,True,0,2020-08-05 16:08:00+00:00,False,205,True,7,8,,,2020-08-05 17:33:40,2020
179,active,0,False,0,206,False,0,2020-08-05 14:21:53+00:00,False,206,True,8,15,,,2020-08-05 17:33:40,2020
180,active,0,True,0,208,True,0,2020-08-05 17:24:51+00:00,True,208,True,11,4,,,2020-08-05 17:33:40,2020
181,active,0,True,0,209,True,0,2020-08-05 17:20:13+00:00,False,209,True,7,8,,,2020-08-05 17:33:40,2020
182,active,0,True,0,210,True,0,2020-08-05 16:59:14+00:00,False,210,True,2,13,,,2020-08-05 17:33:40,2020
183,active,0,True,0,211,True,0,2020-08-05 15:57:28+00:00,False,211,True,15,4,,,2020-08-05 17:33:40,2020
184,active,0,True,0,212,True,0,2020-08-05 14:29:33+00:00,False,212,True,21,12,,,2020-08-05 17:33:40,2020
185,active,0,True,0,213,True,0,2020-08-05 13:33:25+00:00,True,213,True,6,10,,,2020-08-05 17:33:40,2020
186,active,0,True,0,214,True,0,2020-08-05 17:05:07+00:00,False,214,True,3,12,,,2020-08-05 17:33:40,2020
187,active,0,True,0,215,True,0,2020-08-05 08:41:07+00:00,False,215,True,12,3,,,2020-08-05 17:33:40,2020
188,active,0,True,0,216,True,0,2020-08-05 08:35:48+00:00,False,216,True,12,7,,,2020-08-05 17:33:40,2020
189,active,0,True,0,217,True,1,2020-08-05 17:27:03+00:00,False,217,True,16,2,,,2020-08-05 17:33:40,2020
190,active,0,True,0,218,True,1,2020-08-05 17:21:40+00:00,False,218,True,1,13,,,2020-08-05 17:33:40,2020
191,active,0,True,0,219,True,0,2020-08-05 03:58:44+00:00,False,219,True,10,5,,,2020-08-05 17:33:40,2020
192,active,0,True,0,221,True,0,2020-08-05 17:28:09+00:00,False,221,True,8,11,,,2020-08-05 17:33:40,2020
193,active,0,True,0,222,True,0,2020-08-05 17:31:23+00:00,True,222,True,0,14,,,2020-08-05 17:33:40,2020
194,active,0,True,0,224,True,0,2020-08-05 16:27:28+00:00,False,224,True,7,10,,,2020-08-05 17:33:40,2020
195,active,0,True,0,225,True,0,2020-08-05 17:13:27+00:00,False,225,True,7,12,,,2020-08-05 17:33:40,2020
196,active,0,True,0,226,True,0,2020-08-05 17:16:14+00:00,False,226,True,1,14,,,2020-08-05 17:33:40,2020
197,active,0,True,0,227,True,0,2020-08-05 17:12:23+00:00,False,227,True,9,10,,,2020-08-05 17:33:40,2020
198,active,0,True,0,228,True,0,2020-08-05 15:27:31+00:00,False,228,True,14,5,,,2020-08-05 17:33:40,2020
199,active,0,True,0,232,True,0,2020-08-05 08:41:18+00:00,False,232,True,1,10,,,2020-08-05 17:33:40,2020
200,active,0,True,0,233,True,0,2020-08-05 16:59:41+00:00,False,233,True,4,11,,,2020-08-05 17:33:40,2020
201,active,0,True,0,234,True,0,2020-08-05 13:42:45+00:00,False,234,True,0,15,,,2020-08-05 17:33:40,2020
202,active,0,True,0,235,True,1,2020-08-05 16:00:01+00:00,False,235,True,6,8,,,2020-08-05 17:33:40,2020
203,active,0,True,0,236,True,0,2020-08-05 17:31:47+00:00,False,236,True,11,4,,,2020-08-05 17:33:40,2020
204,active,0,True,0,239,True,0,2020-08-05 16:22:11+00:00,False,239,True,11,4,,,2020-08-05 17:33:40,2020
205,active,0,True,0,255,True,0,2020-08-05 13:51:14+00:00,False,255,True,11,4,,,2020-08-05 17:33:40,2020
206,active,0,True,0,258,True,0,2020-08-05 15:10:23+00:00,False,258,True,15,0,,,2020-08-05 17:33:40,2020
207,active,0,True,0,259,True,0,2020-08-04 09:01:37+00:00,False,259,True,0,15,,,2020-08-05 17:33:40,2020
208,active,0,True,0,260,True,0,2020-08-05 15:37:42+00:00,False,260,True,8,7,,,2020-08-05 17:33:40,2020
