,num_docks_disabled,is_renting,station_status,num_bikes_available,num_ebikes_available,station_id,num_docks_available,eightd_has_available_keys,last_reported,is_installed,is_returning,num_bikes_disabled,legacy_id,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
21,0,True,active,11,0,25,3,False,2020-08-07 08:22:36+00:00,True,True,1,25,,,2020-08-07 08:27:10,2020
22,0,True,active,12,0,26,2,False,2020-08-07 08:18:47+00:00,True,True,1,26,,,2020-08-07 08:27:10,2020
23,0,True,active,16,0,27,7,False,2020-08-07 08:22:35+00:00,True,True,0,27,,,2020-08-07 08:27:10,2020
24,0,True,active,7,0,29,7,False,2020-08-07 00:18:47+00:00,True,True,1,29,,,2020-08-07 08:27:10,2020
25,0,True,active,0,0,30,15,False,2020-08-07 07:30:35+00:00,True,True,0,30,,,2020-08-07 08:27:10,2020
26,0,True,active,18,0,31,1,True,2020-08-07 02:42:04+00:00,True,True,0,31,,,2020-08-07 08:27:10,2020
27,0,True,active,7,0,32,8,False,2020-08-07 05:31:11+00:00,True,True,0,32,,,2020-08-07 08:27:10,2020
28,0,True,active,18,0,33,9,False,2020-08-07 04:10:03+00:00,True,True,0,33,,,2020-08-07 08:27:10,2020
29,0,True,active,0,0,35,23,False,2020-08-07 04:00:41+00:00,True,True,0,35,,,2020-08-07 08:27:10,2020
30,0,True,active,24,0,36,8,True,2020-08-07 07:02:47+00:00,True,True,1,36,,,2020-08-07 08:27:10,2020
31,0,True,active,6,0,37,9,True,2020-08-07 03:10:16+00:00,True,True,0,37,,,2020-08-07 08:27:10,2020
32,0,True,active,8,0,39,15,False,2020-08-07 03:20:33+00:00,True,True,0,39,,,2020-08-07 08:27:10,2020
33,0,True,active,16,0,40,3,False,2020-08-07 08:04:26+00:00,True,True,0,40,,,2020-08-07 08:27:10,2020
34,0,True,active,26,0,41,1,True,2020-08-07 06:18:50+00:00,True,True,0,41,,,2020-08-07 08:27:10,2020
35,0,True,active,6,0,42,16,False,2020-08-07 03:05:54+00:00,True,True,1,42,,,2020-08-07 08:27:10,2020
36,0,True,active,3,0,43,12,True,2020-08-07 03:48:05+00:00,True,True,0,43,,,2020-08-07 08:27:10,2020
37,0,True,active,11,0,44,12,False,2020-08-07 05:40:43+00:00,True,True,0,44,,,2020-08-07 08:27:10,2020
38,0,True,active,18,0,46,0,False,2020-08-07 06:51:09+00:00,True,True,1,46,,,2020-08-07 08:27:10,2020
39,0,True,active,18,0,47,0,True,2020-08-07 07:47:44+00:00,True,True,1,47,,,2020-08-07 08:27:10,2020
40,0,True,active,1,0,48,18,False,2020-08-07 00:32:09+00:00,True,True,0,48,,,2020-08-07 08:27:10,2020
41,0,True,active,8,0,49,9,False,2020-08-07 08:10:48+00:00,True,True,1,49,,,2020-08-07 08:27:10,2020
42,2,True,active,0,0,50,0,True,2020-08-07 08:24:59+00:00,True,True,13,50,,,2020-08-07 08:27:10,2020
43,0,True,active,2,0,51,13,False,2020-08-07 08:07:32+00:00,True,True,0,51,,,2020-08-07 08:27:10,2020
44,0,False,active,12,0,52,11,True,2020-08-07 06:05:27+00:00,True,False,0,52,,,2020-08-07 08:27:10,2020
45,0,True,active,11,0,53,8,False,2020-08-07 06:44:27+00:00,True,True,0,53,,,2020-08-07 08:27:10,2020
46,0,True,active,11,0,54,4,False,2020-08-07 04:47:26+00:00,True,True,0,54,,,2020-08-07 08:27:10,2020
47,0,False,active,11,0,55,2,False,2020-08-07 06:18:40+00:00,True,False,2,55,,,2020-08-07 08:27:10,2020
48,0,True,active,8,0,56,10,True,2020-08-07 03:47:20+00:00,True,True,0,56,,,2020-08-07 08:27:10,2020
49,0,True,active,11,0,57,1,True,2020-08-07 04:34:04+00:00,True,True,2,57,,,2020-08-07 08:27:10,2020
50,0,True,active,1,0,58,17,True,2020-08-07 04:50:56+00:00,True,True,1,58,,,2020-08-07 08:27:10,2020
51,0,True,active,6,0,59,13,True,2020-08-07 08:13:27+00:00,True,True,0,59,,,2020-08-07 08:27:10,2020
52,0,True,active,11,0,60,8,False,2020-08-07 08:09:31+00:00,True,True,0,60,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'off_dock_count': 3, 'active': True, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'dock_blocked_count': 0, 'off_dock_capacity': 40, 'valet_revision': 69, 'region': 'BOS'}",2020-08-07 08:27:10,2020
53,0,True,active,0,0,61,19,False,2020-08-07 06:50:27+00:00,True,True,0,61,,,2020-08-07 08:27:10,2020
54,0,True,active,8,0,63,7,False,2020-08-07 00:32:26+00:00,True,True,0,63,,,2020-08-07 08:27:10,2020
55,0,True,active,0,0,64,18,False,2020-08-07 08:23:35+00:00,True,True,1,64,,,2020-08-07 08:27:10,2020
56,0,True,active,3,0,65,20,False,2020-08-07 08:15:46+00:00,True,True,0,65,,,2020-08-07 08:27:10,2020
57,0,True,active,13,0,66,2,False,2020-08-07 07:50:34+00:00,True,True,0,66,,,2020-08-07 08:27:10,2020
58,0,True,active,0,0,67,27,True,2020-08-07 07:05:07+00:00,True,True,0,67,,,2020-08-07 08:27:10,2020
59,0,True,active,16,0,68,3,True,2020-08-07 07:28:42+00:00,True,True,0,68,,,2020-08-07 08:27:10,2020
60,0,True,active,5,0,69,14,True,2020-08-07 07:08:56+00:00,True,True,0,69,,,2020-08-07 08:27:10,2020
