,num_ebikes_available,station_id,legacy_id,num_docks_available,eightd_has_available_keys,is_returning,num_bikes_disabled,last_reported,is_renting,is_installed,num_docks_disabled,station_status,num_bikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
70,0,79,79,14,False,True,0,2020-07-29 18:43:41+00:00,True,True,0,active,5,,,2020-07-29 18:45:20,2020
71,0,80,80,2,False,True,5,2020-07-29 18:41:13+00:00,True,True,0,active,28,,,2020-07-29 18:45:20,2020
72,0,81,81,16,False,True,0,2020-07-29 18:41:31+00:00,True,True,0,active,3,,,2020-07-29 18:45:20,2020
73,0,82,82,12,False,True,0,2020-07-29 18:09:24+00:00,True,True,0,active,3,,,2020-07-29 18:45:20,2020
74,0,84,84,2,False,True,1,2020-07-29 18:22:48+00:00,True,True,0,active,12,,,2020-07-29 18:45:20,2020
75,0,85,85,6,False,True,1,2020-07-29 18:33:56+00:00,True,True,0,active,12,,,2020-07-29 18:45:20,2020
76,0,86,86,14,False,True,1,2020-07-29 18:09:48+00:00,True,True,0,active,4,,,2020-07-29 18:45:20,2020
77,0,87,87,12,False,True,1,2020-07-29 18:35:09+00:00,True,True,0,active,2,,,2020-07-29 18:45:20,2020
78,0,89,89,9,False,True,0,2020-07-29 18:40:53+00:00,True,True,0,active,10,,,2020-07-29 18:45:20,2020
79,0,90,90,9,False,True,0,2020-07-29 18:30:19+00:00,True,True,0,active,10,,,2020-07-29 18:45:20,2020
80,0,91,91,4,False,True,3,2020-07-29 18:43:42+00:00,True,True,0,active,12,,,2020-07-29 18:45:20,2020
81,0,92,92,6,False,True,0,2020-07-29 18:22:31+00:00,True,True,0,active,13,,,2020-07-29 18:45:20,2020
82,0,93,93,10,False,True,1,2020-07-29 18:38:28+00:00,True,True,0,active,4,,,2020-07-29 18:45:20,2020
83,0,94,94,3,False,True,0,2020-07-29 18:33:31+00:00,True,True,0,active,8,,,2020-07-29 18:45:20,2020
84,0,95,95,11,False,True,0,2020-07-29 18:25:54+00:00,True,True,0,active,4,,,2020-07-29 18:45:20,2020
85,0,96,96,17,False,True,0,2020-07-29 17:51:24+00:00,True,True,0,active,2,,,2020-07-29 18:45:20,2020
86,0,97,97,12,False,True,1,2020-07-29 18:30:58+00:00,True,True,0,active,6,,,2020-07-29 18:45:20,2020
87,0,98,98,11,False,True,0,2020-07-29 18:14:17+00:00,True,True,0,active,11,,,2020-07-29 18:45:20,2020
88,0,99,99,6,False,True,2,2020-07-29 18:23:58+00:00,True,True,0,active,7,,,2020-07-29 18:45:20,2020
89,0,100,100,7,True,True,1,2020-07-29 18:13:14+00:00,True,True,0,active,17,,,2020-07-29 18:45:20,2020
90,0,101,101,14,False,True,0,2020-07-29 18:19:25+00:00,True,True,0,active,1,,,2020-07-29 18:45:20,2020
91,0,102,102,15,False,True,0,2020-07-29 18:07:51+00:00,True,True,0,active,0,,,2020-07-29 18:45:20,2020
92,0,103,103,13,False,True,0,2020-07-29 18:24:49+00:00,True,True,0,active,2,,,2020-07-29 18:45:20,2020
93,0,104,104,10,False,True,1,2020-07-29 17:56:14+00:00,True,True,0,active,8,,,2020-07-29 18:45:20,2020
94,0,105,105,9,False,True,2,2020-07-29 18:44:38+00:00,True,True,0,active,8,,,2020-07-29 18:45:20,2020
95,0,106,106,4,False,True,0,2020-07-29 12:13:40+00:00,True,True,0,active,11,,,2020-07-29 18:45:20,2020
96,0,107,107,10,False,True,1,2020-07-29 18:41:15+00:00,True,True,0,active,8,,,2020-07-29 18:45:20,2020
97,0,108,108,1,False,True,0,2020-07-29 18:01:36+00:00,True,True,0,active,16,,,2020-07-29 18:45:20,2020
98,0,109,109,13,False,True,2,2020-07-29 18:21:26+00:00,True,True,0,active,20,,,2020-07-29 18:45:20,2020
99,0,110,110,9,False,True,0,2020-07-29 18:38:55+00:00,True,True,0,active,6,,,2020-07-29 18:45:20,2020
100,0,111,111,13,False,True,0,2020-07-29 18:19:12+00:00,True,True,0,active,2,,,2020-07-29 18:45:20,2020
101,0,112,112,7,False,True,0,2020-07-29 17:21:20+00:00,True,True,0,active,8,,,2020-07-29 18:45:20,2020
102,0,113,113,12,False,True,0,2020-07-29 18:18:40+00:00,True,True,0,active,3,,,2020-07-29 18:45:20,2020
103,0,114,114,12,False,True,0,2020-07-29 17:53:16+00:00,True,True,0,active,3,,,2020-07-29 18:45:20,2020
104,0,115,115,8,False,True,1,2020-07-29 17:37:38+00:00,True,True,0,active,10,,,2020-07-29 18:45:20,2020
105,0,116,116,19,False,True,0,2020-07-29 18:38:30+00:00,True,True,0,active,4,,,2020-07-29 18:45:20,2020
106,0,117,117,1,False,True,0,2020-07-29 18:18:58+00:00,True,True,0,active,18,,,2020-07-29 18:45:20,2020
107,0,118,118,16,False,True,0,2020-07-29 17:55:35+00:00,True,True,0,active,3,,,2020-07-29 18:45:20,2020
108,0,119,119,5,False,True,0,2020-07-29 17:58:42+00:00,True,True,0,active,10,,,2020-07-29 18:45:20,2020
109,0,120,120,10,False,True,0,2020-07-29 18:34:18+00:00,True,True,0,active,5,,,2020-07-29 18:45:20,2020
110,0,121,121,16,False,True,1,2020-07-29 18:23:22+00:00,True,True,0,active,0,,,2020-07-29 18:45:20,2020
111,0,122,122,12,False,True,0,2020-07-29 18:23:54+00:00,True,True,0,active,3,,,2020-07-29 18:45:20,2020
