,is_renting,num_bikes_disabled,station_id,last_reported,num_ebikes_available,num_docks_disabled,is_returning,legacy_id,num_docks_available,station_status,eightd_has_available_keys,num_bikes_available,is_installed,timestamp_of_data_read_request,year_station_last_reported
237,True,0,346,2020-08-12 22:56:50+00:00,0,0,True,346,11,active,False,4,True,2020-08-12 23:20:25,2020
238,True,0,347,2020-08-12 18:59:12+00:00,0,0,True,347,2,active,False,13,True,2020-08-12 23:20:25,2020
239,True,1,348,2020-08-12 23:10:17+00:00,0,0,True,348,12,active,False,2,True,2020-08-12 23:20:25,2020
240,True,1,349,2020-08-12 18:36:47+00:00,0,0,True,349,10,active,True,6,True,2020-08-12 23:20:25,2020
241,True,0,350,2020-08-12 16:34:03+00:00,0,0,True,350,4,active,False,13,True,2020-08-12 23:20:25,2020
242,True,0,351,2020-08-12 22:58:30+00:00,0,0,True,351,11,active,False,4,True,2020-08-12 23:20:25,2020
243,True,0,352,2020-08-12 23:05:08+00:00,0,0,True,352,7,active,False,8,True,2020-08-12 23:20:25,2020
244,True,0,353,2020-08-12 15:33:31+00:00,0,0,True,353,9,active,True,6,True,2020-08-12 23:20:25,2020
245,True,1,354,2020-08-12 22:51:37+00:00,0,0,True,354,9,active,False,5,True,2020-08-12 23:20:25,2020
246,True,0,355,2020-08-12 23:17:18+00:00,0,0,True,355,3,active,False,14,True,2020-08-12 23:20:25,2020
247,True,0,356,2020-08-12 22:55:45+00:00,0,0,True,356,23,active,False,0,True,2020-08-12 23:20:25,2020
248,True,1,357,2020-08-12 23:16:43+00:00,0,0,True,357,8,active,False,6,True,2020-08-12 23:20:25,2020
249,True,0,358,2020-08-12 22:08:38+00:00,0,0,True,358,0,active,False,19,True,2020-08-12 23:20:25,2020
250,True,0,359,2020-08-12 23:17:33+00:00,0,0,True,359,12,active,False,3,True,2020-08-12 23:20:25,2020
251,True,0,360,2020-08-12 22:46:10+00:00,0,0,True,360,12,active,False,3,True,2020-08-12 23:20:25,2020
252,True,0,361,2020-08-12 23:18:36+00:00,0,0,True,361,14,active,False,5,True,2020-08-12 23:20:25,2020
253,True,0,362,2020-08-12 23:17:36+00:00,0,0,True,362,3,active,False,16,True,2020-08-12 23:20:25,2020
254,True,0,363,2020-08-12 22:49:15+00:00,0,0,True,363,5,active,False,14,True,2020-08-12 23:20:25,2020
255,True,0,364,2020-08-12 22:57:06+00:00,0,0,True,364,8,active,False,11,True,2020-08-12 23:20:25,2020
256,True,0,365,2020-08-12 22:54:00+00:00,0,0,True,365,19,active,False,0,True,2020-08-12 23:20:25,2020
257,True,0,366,2020-08-12 23:19:05+00:00,0,0,True,366,3,active,False,12,True,2020-08-12 23:20:25,2020
258,True,0,367,2020-08-12 23:06:58+00:00,0,0,True,367,7,active,False,12,True,2020-08-12 23:20:25,2020
259,True,1,368,2020-08-12 23:03:49+00:00,0,0,True,368,3,active,False,11,True,2020-08-12 23:20:25,2020
260,True,0,369,2020-08-12 23:10:28+00:00,0,0,True,369,5,active,False,10,True,2020-08-12 23:20:25,2020
261,True,0,370,2020-08-12 23:16:38+00:00,0,0,True,370,5,active,False,14,True,2020-08-12 23:20:25,2020
262,True,0,371,2020-08-12 21:30:41+00:00,0,0,True,371,10,active,False,9,True,2020-08-12 23:20:25,2020
263,True,1,372,2020-08-12 23:02:11+00:00,0,0,True,372,5,active,False,13,True,2020-08-12 23:20:25,2020
264,True,0,373,2020-08-12 22:46:22+00:00,0,0,True,373,8,active,False,7,True,2020-08-12 23:20:25,2020
265,True,0,374,2020-08-12 22:21:25+00:00,0,0,True,374,19,active,False,0,True,2020-08-12 23:20:25,2020
