,is_returning,num_bikes_available,station_status,eightd_has_available_keys,num_docks_disabled,station_id,num_bikes_disabled,num_docks_available,is_renting,legacy_id,num_ebikes_available,last_reported,is_installed,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
158,True,9,active,False,0,184,0,10,True,184,0,2020-08-13 22:06:56+00:00,True,,,2020-08-13 22:19:30,2020
159,True,10,active,False,0,185,0,5,True,185,0,2020-08-13 21:52:00+00:00,True,,,2020-08-13 22:19:30,2020
160,True,5,active,True,0,186,0,10,True,186,0,2020-08-13 22:19:16+00:00,True,,,2020-08-13 22:19:30,2020
161,True,4,active,False,0,187,0,11,True,187,0,2020-08-13 22:05:59+00:00,True,,,2020-08-13 22:19:30,2020
162,True,9,active,False,0,188,1,5,True,188,0,2020-08-13 21:27:58+00:00,True,,,2020-08-13 22:19:30,2020
163,True,1,active,True,0,189,0,22,True,189,0,2020-08-13 22:16:08+00:00,True,,,2020-08-13 22:19:30,2020
164,True,6,active,True,0,190,1,30,True,190,0,2020-08-13 22:13:39+00:00,True,,,2020-08-13 22:19:30,2020
165,True,5,active,False,0,191,0,10,True,191,0,2020-08-13 21:08:37+00:00,True,,,2020-08-13 22:19:30,2020
166,True,3,active,False,0,192,0,16,True,192,0,2020-08-13 22:05:11+00:00,True,,,2020-08-13 22:19:30,2020
167,True,4,active,True,0,193,1,10,True,193,0,2020-08-13 22:15:19+00:00,True,,,2020-08-13 22:19:30,2020
168,True,3,active,False,0,194,0,16,True,194,0,2020-08-13 22:13:21+00:00,True,,,2020-08-13 22:19:30,2020
169,True,7,active,False,0,195,1,15,True,195,0,2020-08-13 21:57:23+00:00,True,,,2020-08-13 22:19:30,2020
170,True,2,active,True,0,196,1,7,True,196,0,2020-08-13 22:18:00+00:00,True,,,2020-08-13 22:19:30,2020
171,True,2,active,False,0,197,1,12,True,197,0,2020-08-13 22:15:37+00:00,True,,,2020-08-13 22:19:30,2020
172,True,2,active,False,0,199,0,13,True,199,0,2020-08-13 16:46:42+00:00,True,,,2020-08-13 22:19:30,2020
173,True,12,active,False,0,200,1,6,True,200,0,2020-08-13 22:17:26+00:00,True,,,2020-08-13 22:19:30,2020
174,True,8,active,False,0,201,0,7,True,201,0,2020-08-13 18:47:24+00:00,True,,,2020-08-13 22:19:30,2020
175,True,1,active,False,0,202,0,14,True,202,0,2020-08-13 20:38:42+00:00,True,,,2020-08-13 22:19:30,2020
176,True,0,active,False,0,203,0,15,True,203,0,2020-08-13 14:09:27+00:00,True,,,2020-08-13 22:19:30,2020
177,True,0,active,False,0,204,1,14,True,204,0,2020-08-13 04:10:02+00:00,True,,,2020-08-13 22:19:30,2020
178,True,2,active,False,0,205,0,13,True,205,0,2020-08-13 21:21:34+00:00,True,,,2020-08-13 22:19:30,2020
179,True,1,active,True,0,206,1,21,True,206,0,2020-08-13 22:14:33+00:00,True,,,2020-08-13 22:19:30,2020
180,True,7,active,True,0,208,0,8,True,208,0,2020-08-13 21:49:37+00:00,True,,,2020-08-13 22:19:30,2020
181,True,8,active,False,0,209,0,7,True,209,0,2020-08-13 22:18:03+00:00,True,,,2020-08-13 22:19:30,2020
182,True,4,active,False,0,210,0,11,True,210,0,2020-08-13 16:34:19+00:00,True,,,2020-08-13 22:19:30,2020
183,True,3,active,False,0,211,0,16,True,211,0,2020-08-13 21:51:10+00:00,True,,,2020-08-13 22:19:30,2020
184,True,21,active,False,0,212,2,10,True,212,0,2020-08-13 22:17:18+00:00,True,,,2020-08-13 22:19:30,2020
185,True,4,active,True,0,213,0,12,True,213,0,2020-08-13 21:46:34+00:00,True,,,2020-08-13 22:19:30,2020
186,True,3,active,False,0,214,0,12,True,214,0,2020-08-13 22:13:51+00:00,True,,,2020-08-13 22:19:30,2020
187,True,5,active,False,0,215,0,10,True,215,0,2020-08-13 22:07:35+00:00,True,,,2020-08-13 22:19:30,2020
188,True,18,active,False,0,216,1,0,True,216,0,2020-08-13 22:08:51+00:00,True,,,2020-08-13 22:19:30,2020
189,True,8,active,False,0,217,0,11,True,217,0,2020-08-13 21:54:37+00:00,True,,,2020-08-13 22:19:30,2020
190,True,9,active,False,0,218,0,6,True,218,0,2020-08-13 22:19:14+00:00,True,,,2020-08-13 22:19:30,2020
191,True,6,active,False,0,219,1,8,True,219,0,2020-08-13 21:23:46+00:00,True,,,2020-08-13 22:19:30,2020
192,True,5,active,False,0,221,0,14,True,221,0,2020-08-13 21:49:11+00:00,True,,,2020-08-13 22:19:30,2020
193,True,6,active,True,0,222,0,8,True,222,0,2020-08-13 22:17:49+00:00,True,,,2020-08-13 22:19:30,2020
194,True,13,active,False,0,224,1,3,True,224,0,2020-08-13 21:39:27+00:00,True,,,2020-08-13 22:19:30,2020
