,num_docks_available,is_returning,is_renting,last_reported,eightd_has_available_keys,num_docks_disabled,legacy_id,num_bikes_available,num_ebikes_available,is_installed,station_status,station_id,num_bikes_disabled,timestamp_of_data_read_request,year_station_last_reported
52,7,True,True,2020-08-13 00:01:01+00:00,False,0,60,12,0,True,active,60,0,2020-08-13 00:01:30,2020
53,17,True,True,2020-08-13 00:00:31+00:00,False,0,61,2,0,True,active,61,0,2020-08-13 00:01:30,2020
54,11,True,True,2020-08-12 23:39:28+00:00,False,0,63,4,0,True,active,63,0,2020-08-13 00:01:30,2020
55,5,True,True,2020-08-12 23:45:25+00:00,False,0,64,14,0,True,active,64,0,2020-08-13 00:01:30,2020
56,23,True,True,2020-08-12 22:07:17+00:00,False,0,65,0,0,True,active,65,0,2020-08-13 00:01:30,2020
57,0,True,True,2020-08-13 00:00:29+00:00,False,0,66,14,0,True,active,66,1,2020-08-13 00:01:30,2020
58,24,True,True,2020-08-12 23:56:45+00:00,True,0,67,2,0,True,active,67,1,2020-08-13 00:01:30,2020
59,6,True,True,2020-08-13 00:00:17+00:00,True,0,68,11,0,True,active,68,2,2020-08-13 00:01:30,2020
60,15,True,True,2020-08-12 23:59:11+00:00,True,0,69,4,0,True,active,69,0,2020-08-13 00:01:30,2020
61,4,True,True,2020-08-12 23:36:15+00:00,False,0,70,19,0,True,active,70,0,2020-08-13 00:01:30,2020
62,0,True,True,2020-08-12 23:41:36+00:00,False,0,71,23,0,True,active,71,0,2020-08-13 00:01:30,2020
63,14,True,True,2020-08-12 23:44:19+00:00,False,0,72,9,0,True,active,72,0,2020-08-13 00:01:30,2020
64,11,True,True,2020-08-12 23:56:02+00:00,False,0,73,3,0,True,active,73,1,2020-08-13 00:01:30,2020
65,0,True,True,2020-08-12 23:39:00+00:00,True,0,74,18,0,True,active,74,1,2020-08-13 00:01:30,2020
66,4,True,True,2020-08-12 23:46:21+00:00,False,0,75,11,0,True,active,75,0,2020-08-13 00:01:30,2020
67,4,True,True,2020-08-12 23:58:11+00:00,False,0,76,13,0,True,active,76,0,2020-08-13 00:01:30,2020
68,4,True,True,2020-08-12 23:09:02+00:00,False,0,77,10,0,True,active,77,1,2020-08-13 00:01:30,2020
69,3,True,True,2020-08-12 23:56:58+00:00,False,0,78,16,0,True,active,78,0,2020-08-13 00:01:30,2020
70,6,True,True,2020-08-12 23:50:51+00:00,False,0,79,10,0,True,active,79,3,2020-08-13 00:01:30,2020
71,35,True,True,2020-08-12 23:58:46+00:00,False,0,80,0,0,True,active,80,0,2020-08-13 00:01:30,2020
