,num_bikes_available,is_installed,is_returning,station_status,legacy_id,last_reported,is_renting,num_ebikes_available,station_id,num_docks_disabled,num_bikes_disabled,num_docks_available,eightd_has_available_keys,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
183,11,True,True,active,211,2020-08-10 21:07:12+00:00,True,0,211,0,0,8,False,,,2020-08-10 21:26:40,2020
184,24,True,True,active,212,2020-08-10 20:47:52+00:00,True,0,212,0,1,8,False,,,2020-08-10 21:26:40,2020
185,4,True,True,active,213,2020-08-10 19:26:49+00:00,True,0,213,0,0,12,True,,,2020-08-10 21:26:40,2020
186,5,True,True,active,214,2020-08-10 20:03:14+00:00,True,0,214,0,0,10,False,,,2020-08-10 21:26:40,2020
187,8,True,True,active,215,2020-08-10 08:51:06+00:00,True,0,215,0,0,7,False,,,2020-08-10 21:26:40,2020
188,16,True,True,active,216,2020-08-10 08:50:27+00:00,True,0,216,0,1,2,False,,,2020-08-10 21:26:40,2020
189,9,True,True,active,217,2020-08-10 21:23:13+00:00,True,0,217,0,0,10,False,,,2020-08-10 21:26:40,2020
190,2,True,True,active,218,2020-08-10 21:23:34+00:00,True,0,218,0,2,11,False,,,2020-08-10 21:26:40,2020
191,5,True,True,active,219,2020-08-10 20:16:26+00:00,True,0,219,0,0,10,False,,,2020-08-10 21:26:40,2020
192,2,True,True,active,221,2020-08-10 21:13:02+00:00,True,0,221,0,0,17,False,,,2020-08-10 21:26:40,2020
193,5,True,True,active,222,2020-08-10 21:23:14+00:00,True,0,222,0,0,9,True,,,2020-08-10 21:26:40,2020
194,11,True,True,active,224,2020-08-10 20:45:03+00:00,True,0,224,0,0,6,False,,,2020-08-10 21:26:40,2020
195,5,True,True,active,225,2020-08-10 21:21:43+00:00,True,0,225,0,0,14,False,,,2020-08-10 21:26:40,2020
196,1,True,True,active,226,2020-08-10 21:20:38+00:00,True,0,226,0,0,14,False,,,2020-08-10 21:26:40,2020
197,12,True,True,active,227,2020-08-10 21:14:31+00:00,True,0,227,0,0,7,False,,,2020-08-10 21:26:40,2020
198,4,True,True,active,228,2020-08-10 20:38:06+00:00,True,0,228,0,0,15,False,,,2020-08-10 21:26:40,2020
199,7,True,True,active,232,2020-08-10 20:26:30+00:00,True,0,232,0,0,4,False,,,2020-08-10 21:26:40,2020
200,7,True,True,active,233,2020-08-10 21:14:15+00:00,True,0,233,0,2,6,False,,,2020-08-10 21:26:40,2020
201,1,True,True,active,234,2020-08-10 21:16:01+00:00,True,0,234,0,0,14,False,,,2020-08-10 21:26:40,2020
202,5,True,True,active,235,2020-08-10 20:46:12+00:00,True,0,235,0,0,10,False,,,2020-08-10 21:26:40,2020
203,11,True,True,active,236,2020-08-10 21:04:15+00:00,True,0,236,0,0,4,False,,,2020-08-10 21:26:40,2020
204,1,True,True,active,239,2020-08-10 21:19:45+00:00,True,0,239,0,0,14,False,,,2020-08-10 21:26:40,2020
205,10,True,True,active,255,2020-08-10 21:07:16+00:00,True,0,255,0,0,5,False,,,2020-08-10 21:26:40,2020
206,5,True,True,active,258,2020-08-10 20:36:30+00:00,True,0,258,0,1,9,False,,,2020-08-10 21:26:40,2020
207,14,True,True,active,259,2020-08-09 16:59:55+00:00,True,0,259,0,0,1,False,,,2020-08-10 21:26:40,2020
208,13,True,True,active,260,2020-08-10 20:36:05+00:00,True,0,260,0,0,2,False,,,2020-08-10 21:26:40,2020
209,4,True,True,active,271,2020-08-10 19:06:38+00:00,True,0,271,0,0,11,False,,,2020-08-10 21:26:40,2020
210,8,True,True,active,272,2020-08-10 20:23:42+00:00,True,0,272,0,1,10,False,,,2020-08-10 21:26:40,2020
211,20,True,True,active,273,2020-08-10 21:19:19+00:00,True,0,273,0,5,15,False,,,2020-08-10 21:26:40,2020
212,19,True,True,active,279,2020-08-10 20:13:16+00:00,True,0,279,0,0,0,False,,,2020-08-10 21:26:40,2020
