,is_returning,num_docks_available,last_reported,num_docks_disabled,legacy_id,num_ebikes_available,is_installed,num_bikes_disabled,num_bikes_available,station_status,station_id,eightd_has_available_keys,is_renting,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
74,True,6,2020-08-10 22:29:48+00:00,0,84,0,True,0,9,active,84,False,True,,,2020-08-10 22:38:15,2020
75,True,18,2020-08-10 22:35:28+00:00,0,85,0,True,0,1,active,85,False,True,,,2020-08-10 22:38:15,2020
76,True,15,2020-08-10 22:32:18+00:00,0,86,0,True,0,4,active,86,False,True,,,2020-08-10 22:38:15,2020
77,True,14,2020-08-10 22:27:00+00:00,0,87,0,True,0,1,active,87,False,True,,,2020-08-10 22:38:15,2020
78,True,11,2020-08-10 22:05:31+00:00,0,89,0,True,0,8,active,89,False,True,,,2020-08-10 22:38:15,2020
79,True,1,2020-08-10 22:31:34+00:00,0,90,0,True,0,18,active,90,False,True,,,2020-08-10 22:38:15,2020
80,True,16,2020-08-10 22:10:18+00:00,0,91,0,True,2,1,active,91,False,True,,,2020-08-10 22:38:15,2020
81,True,3,2020-08-10 22:06:36+00:00,0,92,0,True,0,16,active,92,False,True,,,2020-08-10 22:38:15,2020
82,True,2,2020-08-10 22:20:21+00:00,0,93,0,True,1,12,active,93,False,True,,,2020-08-10 22:38:15,2020
83,True,6,2020-08-10 22:33:25+00:00,0,94,0,True,0,5,active,94,False,True,,,2020-08-10 22:38:15,2020
84,True,8,2020-08-10 22:33:59+00:00,0,95,0,True,1,6,active,95,False,True,,,2020-08-10 22:38:15,2020
85,True,0,2020-08-10 22:20:45+00:00,0,96,0,True,0,19,active,96,False,True,,,2020-08-10 22:38:15,2020
86,True,3,2020-08-10 22:32:08+00:00,0,97,0,True,1,15,active,97,False,True,,,2020-08-10 22:38:15,2020
87,True,16,2020-08-10 22:18:47+00:00,0,98,0,True,0,7,active,98,False,True,,,2020-08-10 22:38:15,2020
88,True,9,2020-08-10 22:27:49+00:00,0,99,0,True,0,6,active,99,False,True,,,2020-08-10 22:38:15,2020
89,True,11,2020-08-10 22:36:44+00:00,0,100,0,True,0,14,active,100,True,True,,,2020-08-10 22:38:15,2020
90,True,3,2020-08-10 21:04:25+00:00,0,101,0,True,1,11,active,101,False,True,,,2020-08-10 22:38:15,2020
91,True,14,2020-08-10 22:05:49+00:00,0,102,0,True,0,1,active,102,False,True,,,2020-08-10 22:38:15,2020
92,True,9,2020-08-10 22:13:55+00:00,0,103,0,True,0,6,active,103,False,True,,,2020-08-10 22:38:15,2020
93,True,14,2020-08-10 22:20:24+00:00,0,104,0,True,1,4,active,104,False,True,,,2020-08-10 22:38:15,2020
94,True,9,2020-08-10 22:37:32+00:00,0,105,0,True,0,10,active,105,False,True,,,2020-08-10 22:38:15,2020
95,True,7,2020-08-10 22:05:14+00:00,0,106,0,True,1,7,active,106,False,True,,,2020-08-10 22:38:15,2020
96,True,8,2020-08-10 22:28:28+00:00,0,107,0,True,2,9,active,107,False,True,,,2020-08-10 22:38:15,2020
97,True,6,2020-08-10 22:12:41+00:00,0,108,0,True,0,11,active,108,False,True,,,2020-08-10 22:38:15,2020
98,True,27,2020-08-10 19:44:36+00:00,0,109,0,True,1,7,active,109,False,True,,,2020-08-10 22:38:15,2020
99,True,10,2020-08-10 22:28:36+00:00,0,110,0,True,1,4,active,110,False,True,,,2020-08-10 22:38:15,2020
100,True,9,2020-08-10 17:51:48+00:00,0,111,0,True,0,6,active,111,False,True,,,2020-08-10 22:38:15,2020
101,True,7,2020-08-10 22:31:41+00:00,0,112,0,True,0,8,active,112,False,True,,,2020-08-10 22:38:15,2020
102,True,5,2020-08-10 22:37:16+00:00,0,113,0,True,1,9,active,113,False,True,,,2020-08-10 22:38:15,2020
103,True,13,2020-08-10 22:23:20+00:00,0,114,0,True,1,1,active,114,False,True,,,2020-08-10 22:38:15,2020
104,True,1,2020-08-10 22:32:57+00:00,0,115,0,True,0,18,active,115,False,True,,,2020-08-10 22:38:15,2020
105,True,13,2020-08-10 22:22:35+00:00,0,116,0,True,0,10,active,116,False,True,,,2020-08-10 22:38:15,2020
106,True,5,2020-08-10 22:35:55+00:00,0,117,0,True,0,14,active,117,False,True,,,2020-08-10 22:38:15,2020
107,True,5,2020-08-10 22:37:47+00:00,0,118,0,True,1,13,active,118,False,True,,,2020-08-10 22:38:15,2020
108,True,6,2020-08-10 22:29:06+00:00,0,119,0,True,0,9,active,119,False,True,,,2020-08-10 22:38:15,2020
109,True,2,2020-08-10 22:31:33+00:00,0,120,0,True,4,9,active,120,False,True,,,2020-08-10 22:38:15,2020
110,True,17,2020-08-10 22:36:03+00:00,0,121,0,True,0,0,active,121,False,True,,,2020-08-10 22:38:15,2020
111,True,3,2020-08-10 22:34:16+00:00,0,122,0,True,0,12,active,122,False,True,,,2020-08-10 22:38:15,2020
112,True,3,2020-08-10 18:29:29+00:00,0,124,0,True,0,12,active,124,False,True,,,2020-08-10 22:38:15,2020
113,True,12,2020-08-10 22:10:12+00:00,0,125,0,True,0,3,active,125,False,True,,,2020-08-10 22:38:15,2020
114,True,11,2020-08-10 22:24:30+00:00,0,126,0,True,0,4,active,126,False,True,,,2020-08-10 22:38:15,2020
115,True,8,2020-08-10 21:50:17+00:00,0,128,0,True,0,11,active,128,False,True,,,2020-08-10 22:38:15,2020
116,True,7,2020-08-10 22:26:57+00:00,0,129,0,True,0,12,active,129,False,True,,,2020-08-10 22:38:15,2020
117,True,7,2020-08-10 22:20:16+00:00,0,130,0,True,0,8,active,130,False,True,,,2020-08-10 22:38:15,2020
118,True,9,2020-08-10 22:33:14+00:00,0,131,0,True,0,9,active,131,False,True,,,2020-08-10 22:38:15,2020
119,True,8,2020-08-10 22:31:02+00:00,0,133,0,True,2,13,active,133,False,True,,,2020-08-10 22:38:15,2020
120,True,16,2020-08-10 22:13:06+00:00,0,135,0,True,1,0,active,135,False,True,,,2020-08-10 22:38:15,2020
121,True,10,2020-08-10 22:36:00+00:00,0,136,0,True,1,8,active,136,False,True,,,2020-08-10 22:38:15,2020
122,True,7,2020-08-10 22:09:30+00:00,0,137,0,True,0,8,active,137,False,True,,,2020-08-10 22:38:15,2020
123,True,3,2020-08-10 21:52:54+00:00,0,138,0,True,2,10,active,138,False,True,,,2020-08-10 22:38:15,2020
124,True,13,2020-08-10 22:19:57+00:00,0,139,0,True,1,5,active,139,False,True,,,2020-08-10 22:38:15,2020
125,True,3,2020-08-10 22:34:56+00:00,0,140,0,True,1,13,active,140,False,True,,,2020-08-10 22:38:15,2020
126,True,8,2020-08-10 22:36:56+00:00,0,141,0,True,0,7,active,141,False,True,,,2020-08-10 22:38:15,2020
