,is_returning,num_bikes_available,is_installed,is_renting,station_status,num_docks_disabled,num_bikes_disabled,legacy_id,num_docks_available,last_reported,num_ebikes_available,station_id,eightd_has_available_keys,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
103,True,3,True,True,active,0,0,114,12,2020-07-29 02:35:12+00:00,0,114,False,,,2020-07-29 06:44:15,2020
104,True,15,True,True,active,0,0,115,4,2020-07-29 04:54:22+00:00,0,115,False,,,2020-07-29 06:44:15,2020
105,True,18,True,True,active,0,0,116,5,2020-07-29 01:53:25+00:00,0,116,False,,,2020-07-29 06:44:15,2020
106,True,17,True,True,active,0,0,117,2,2020-07-29 00:49:47+00:00,0,117,False,,,2020-07-29 06:44:15,2020
107,True,17,True,True,active,0,0,118,2,2020-07-29 04:50:21+00:00,0,118,False,,,2020-07-29 06:44:15,2020
108,True,14,True,True,active,0,0,119,1,2020-07-29 05:21:22+00:00,0,119,False,,,2020-07-29 06:44:15,2020
109,True,10,True,True,active,0,1,120,4,2020-07-29 03:23:45+00:00,0,120,False,,,2020-07-29 06:44:15,2020
110,True,17,True,True,active,0,0,121,0,2020-07-29 06:35:36+00:00,0,121,False,,,2020-07-29 06:44:15,2020
111,True,5,True,True,active,0,1,122,9,2020-07-29 01:54:43+00:00,0,122,False,,,2020-07-29 06:44:15,2020
112,True,4,True,True,active,0,1,124,10,2020-07-29 02:17:05+00:00,0,124,False,,,2020-07-29 06:44:15,2020
113,True,7,True,True,active,0,0,125,8,2020-07-29 06:02:20+00:00,0,125,False,,,2020-07-29 06:44:15,2020
114,True,0,True,True,active,0,0,126,15,2020-07-29 03:32:13+00:00,0,126,False,,,2020-07-29 06:44:15,2020
115,True,17,True,True,active,0,2,128,0,2020-07-29 05:43:56+00:00,0,128,False,,,2020-07-29 06:44:15,2020
116,True,8,True,True,active,0,0,129,11,2020-07-29 01:35:23+00:00,0,129,False,,,2020-07-29 06:44:15,2020
117,True,8,True,True,active,0,0,130,7,2020-07-29 01:54:40+00:00,0,130,False,,,2020-07-29 06:44:15,2020
118,True,17,True,True,active,0,1,131,0,2020-07-29 04:12:20+00:00,0,131,False,,,2020-07-29 06:44:15,2020
119,True,16,True,True,active,0,1,133,6,2020-07-29 03:38:23+00:00,0,133,False,,,2020-07-29 06:44:15,2020
120,True,7,True,True,active,0,0,135,10,2020-07-29 05:43:01+00:00,0,135,False,,,2020-07-29 06:44:15,2020
121,True,12,True,True,active,0,2,136,5,2020-07-29 03:56:07+00:00,0,136,False,,,2020-07-29 06:44:15,2020
122,True,5,True,True,active,0,0,137,10,2020-07-29 02:28:59+00:00,0,137,False,,,2020-07-29 06:44:15,2020
123,True,7,True,True,active,0,1,138,7,2020-07-28 23:26:35+00:00,0,138,False,,,2020-07-29 06:44:15,2020
124,True,15,True,True,active,0,1,139,3,2020-07-29 04:41:55+00:00,0,139,False,,,2020-07-29 06:44:15,2020
125,True,8,True,True,active,0,1,140,8,2020-07-29 04:57:05+00:00,0,140,False,,,2020-07-29 06:44:15,2020
126,True,2,True,True,active,0,0,141,13,2020-07-29 06:05:30+00:00,0,141,False,,,2020-07-29 06:44:15,2020
127,True,20,True,True,active,0,0,142,3,2020-07-29 01:06:52+00:00,0,142,False,,,2020-07-29 06:44:15,2020
128,True,4,True,True,active,0,1,143,18,2020-07-29 06:13:57+00:00,0,143,False,,,2020-07-29 06:44:15,2020
129,True,11,True,True,active,0,0,144,8,2020-07-29 03:01:09+00:00,0,144,False,,,2020-07-29 06:44:15,2020
130,True,12,True,True,active,0,0,145,7,2020-07-29 01:13:37+00:00,0,145,False,,,2020-07-29 06:44:15,2020
131,True,13,True,True,active,0,4,146,2,2020-07-29 06:19:22+00:00,0,146,False,,,2020-07-29 06:44:15,2020
132,True,12,True,True,active,0,1,149,5,2020-07-29 03:30:33+00:00,0,149,True,,,2020-07-29 06:44:15,2020
133,True,12,True,True,active,0,0,150,7,2020-07-29 01:25:18+00:00,0,150,False,,,2020-07-29 06:44:15,2020
134,True,4,True,True,active,0,0,151,15,2020-07-29 04:07:42+00:00,0,151,False,,,2020-07-29 06:44:15,2020
135,True,12,True,True,active,0,0,152,3,2020-07-29 01:04:08+00:00,0,152,True,,,2020-07-29 06:44:15,2020
136,True,9,True,True,active,0,0,156,6,2020-07-29 00:55:48+00:00,0,156,False,,,2020-07-29 06:44:15,2020
137,True,3,True,True,active,0,1,157,11,2020-07-29 05:34:35+00:00,0,157,False,,,2020-07-29 06:44:15,2020
138,True,12,True,True,active,0,1,159,2,2020-07-29 03:09:17+00:00,0,159,False,,,2020-07-29 06:44:15,2020
139,True,1,True,True,active,0,1,160,12,2020-07-29 03:27:46+00:00,0,160,True,,,2020-07-29 06:44:15,2020
140,True,21,True,True,active,0,2,161,0,2020-07-29 00:23:54+00:00,0,161,True,,,2020-07-29 06:44:15,2020
141,True,5,True,True,active,0,0,162,10,2020-07-29 00:09:19+00:00,0,162,False,,,2020-07-29 06:44:15,2020
142,True,6,True,True,active,0,0,163,13,2020-07-29 06:11:49+00:00,0,163,True,,,2020-07-29 06:44:15,2020
143,True,12,True,True,active,0,2,167,1,2020-07-29 04:09:58+00:00,0,167,False,,,2020-07-29 06:44:15,2020
144,True,11,True,True,active,0,0,169,8,2020-07-29 06:03:01+00:00,0,169,False,,,2020-07-29 06:44:15,2020
145,True,2,True,True,active,0,0,170,12,2020-07-28 21:32:52+00:00,0,170,True,,,2020-07-29 06:44:15,2020
146,True,8,True,True,active,0,1,171,14,2020-07-29 01:33:07+00:00,0,171,True,,,2020-07-29 06:44:15,2020
147,True,8,True,True,active,0,0,173,6,2020-07-29 04:02:39+00:00,0,173,True,,,2020-07-29 06:44:15,2020
148,True,9,True,True,active,0,0,174,6,2020-07-29 04:55:15+00:00,0,174,False,,,2020-07-29 06:44:15,2020
149,True,5,True,True,active,0,0,175,12,2020-07-29 03:31:26+00:00,0,175,True,,,2020-07-29 06:44:15,2020
150,True,15,True,True,active,0,0,176,0,2020-07-29 01:43:35+00:00,0,176,False,,,2020-07-29 06:44:15,2020
151,True,3,True,True,active,0,1,177,15,2020-07-29 04:24:02+00:00,0,177,False,,,2020-07-29 06:44:15,2020
152,True,6,True,True,active,0,1,178,12,2020-07-29 06:12:58+00:00,0,178,False,,,2020-07-29 06:44:15,2020
153,True,11,True,True,active,0,0,179,14,2020-07-29 05:55:12+00:00,0,179,False,,,2020-07-29 06:44:15,2020
154,True,6,True,True,active,0,0,180,13,2020-07-29 01:36:05+00:00,0,180,False,,,2020-07-29 06:44:15,2020
155,True,9,True,True,active,0,0,181,10,2020-07-29 03:18:07+00:00,0,181,False,,,2020-07-29 06:44:15,2020
156,True,7,True,True,active,0,0,182,12,2020-07-28 23:59:15+00:00,0,182,True,,,2020-07-29 06:44:15,2020
157,True,7,True,True,active,0,0,183,12,2020-07-29 01:36:55+00:00,0,183,False,,,2020-07-29 06:44:15,2020
158,True,9,True,True,active,0,0,184,10,2020-07-29 03:50:12+00:00,0,184,False,,,2020-07-29 06:44:15,2020
159,True,5,True,True,active,0,0,185,10,2020-07-29 05:51:43+00:00,0,185,False,,,2020-07-29 06:44:15,2020
160,True,11,True,True,active,0,0,186,4,2020-07-29 05:44:14+00:00,0,186,True,,,2020-07-29 06:44:15,2020
161,True,12,True,True,active,0,0,187,3,2020-07-29 06:04:02+00:00,0,187,False,,,2020-07-29 06:44:15,2020
162,True,11,True,True,active,0,0,188,4,2020-07-29 01:22:13+00:00,0,188,False,,,2020-07-29 06:44:15,2020
163,True,4,True,True,active,0,0,189,19,2020-07-29 06:01:00+00:00,0,189,True,,,2020-07-29 06:44:15,2020
164,True,31,True,True,active,0,1,190,5,2020-07-29 05:16:55+00:00,0,190,True,,,2020-07-29 06:44:15,2020
165,True,5,True,True,active,0,0,191,10,2020-07-29 02:53:04+00:00,0,191,False,,,2020-07-29 06:44:15,2020
