,is_renting,num_bikes_available,eightd_has_available_keys,station_status,num_bikes_disabled,last_reported,legacy_id,is_returning,num_ebikes_available,num_docks_disabled,num_docks_available,station_id,is_installed,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
92,True,2,False,active,0,2020-07-27 16:48:37+00:00,103,True,0,0,13,103,True,,,2020-07-27 16:52:55,2020
93,True,5,False,active,0,2020-07-27 16:45:39+00:00,104,True,0,0,14,104,True,,,2020-07-27 16:52:55,2020
94,True,14,False,active,0,2020-07-27 16:35:02+00:00,105,True,0,0,5,105,True,,,2020-07-27 16:52:55,2020
95,True,10,False,active,0,2020-07-27 10:14:30+00:00,106,True,0,0,5,106,True,,,2020-07-27 16:52:55,2020
96,True,16,False,active,1,2020-07-27 16:52:45+00:00,107,True,0,0,2,107,True,,,2020-07-27 16:52:55,2020
97,True,11,False,active,0,2020-07-27 16:51:59+00:00,108,True,0,0,6,108,True,,,2020-07-27 16:52:55,2020
98,True,20,False,active,1,2020-07-27 11:55:27+00:00,109,True,0,0,14,109,True,,,2020-07-27 16:52:55,2020
99,True,8,False,active,3,2020-07-27 16:47:55+00:00,110,True,0,0,4,110,True,,,2020-07-27 16:52:55,2020
100,True,5,False,active,0,2020-07-27 16:37:21+00:00,111,True,0,0,10,111,True,,,2020-07-27 16:52:55,2020
101,True,12,False,active,0,2020-07-27 16:32:22+00:00,112,True,0,0,3,112,True,,,2020-07-27 16:52:55,2020
102,True,8,False,active,0,2020-07-27 16:43:11+00:00,113,True,0,0,7,113,True,,,2020-07-27 16:52:55,2020
103,True,4,False,active,0,2020-07-27 15:12:40+00:00,114,True,0,0,11,114,True,,,2020-07-27 16:52:55,2020
104,True,6,False,active,0,2020-07-27 16:08:11+00:00,115,True,0,0,13,115,True,,,2020-07-27 16:52:55,2020
105,True,12,False,active,0,2020-07-27 16:35:44+00:00,116,True,0,0,11,116,True,,,2020-07-27 16:52:55,2020
106,True,10,False,active,1,2020-07-27 16:35:30+00:00,117,True,0,0,8,117,True,,,2020-07-27 16:52:55,2020
107,True,11,False,active,1,2020-07-27 16:21:06+00:00,118,True,0,0,7,118,True,,,2020-07-27 16:52:55,2020
108,True,9,False,active,0,2020-07-27 16:06:11+00:00,119,True,0,0,6,119,True,,,2020-07-27 16:52:55,2020
109,True,6,False,active,0,2020-07-27 16:46:51+00:00,120,True,0,0,9,120,True,,,2020-07-27 16:52:55,2020
110,True,1,False,active,0,2020-07-27 15:54:49+00:00,121,True,0,0,16,121,True,,,2020-07-27 16:52:55,2020
111,True,11,False,active,1,2020-07-27 16:52:24+00:00,122,True,0,0,3,122,True,,,2020-07-27 16:52:55,2020
112,True,0,False,active,0,2020-07-27 15:45:04+00:00,124,True,0,0,15,124,True,,,2020-07-27 16:52:55,2020
113,True,8,False,active,0,2020-07-27 16:30:57+00:00,125,True,0,0,7,125,True,,,2020-07-27 16:52:55,2020
114,True,3,False,active,0,2020-07-27 14:47:55+00:00,126,True,0,0,12,126,True,,,2020-07-27 16:52:55,2020
115,True,9,False,active,1,2020-07-27 16:50:35+00:00,128,True,0,0,9,128,True,,,2020-07-27 16:52:55,2020
116,True,10,False,active,0,2020-07-27 15:29:51+00:00,129,True,0,0,9,129,True,,,2020-07-27 16:52:55,2020
117,True,7,False,active,0,2020-07-27 16:28:07+00:00,130,True,0,0,8,130,True,,,2020-07-27 16:52:55,2020
118,True,12,False,active,0,2020-07-27 14:13:01+00:00,131,True,0,0,6,131,True,,,2020-07-27 16:52:55,2020
119,True,7,False,active,0,2020-07-27 15:08:39+00:00,133,True,0,0,16,133,True,,,2020-07-27 16:52:55,2020
120,True,8,False,active,0,2020-07-27 12:42:49+00:00,135,True,0,0,9,135,True,,,2020-07-27 16:52:55,2020
121,True,16,False,active,0,2020-07-27 15:59:55+00:00,136,True,0,0,3,136,True,,,2020-07-27 16:52:55,2020
122,True,2,False,active,0,2020-07-27 15:48:54+00:00,137,True,0,0,13,137,True,,,2020-07-27 16:52:55,2020
123,True,10,False,active,2,2020-07-27 15:14:24+00:00,138,True,0,0,3,138,True,,,2020-07-27 16:52:55,2020
124,True,4,False,active,0,2020-07-27 16:20:03+00:00,139,True,0,0,15,139,True,,,2020-07-27 16:52:55,2020
125,True,8,False,active,1,2020-07-27 16:26:34+00:00,140,True,0,0,8,140,True,,,2020-07-27 16:52:55,2020
126,True,9,False,active,1,2020-07-27 16:35:55+00:00,141,True,0,0,5,141,True,,,2020-07-27 16:52:55,2020
127,True,21,False,active,0,2020-07-27 15:08:48+00:00,142,True,0,0,2,142,True,,,2020-07-27 16:52:55,2020
128,True,8,False,active,0,2020-07-27 16:46:54+00:00,143,True,0,0,15,143,True,,,2020-07-27 16:52:55,2020
129,True,10,False,active,0,2020-07-27 15:46:20+00:00,144,True,0,0,9,144,True,,,2020-07-27 16:52:55,2020
130,True,4,False,active,0,2020-07-27 15:59:09+00:00,145,True,0,0,15,145,True,,,2020-07-27 16:52:55,2020
131,True,8,False,active,3,2020-07-27 15:52:54+00:00,146,True,0,0,8,146,True,,,2020-07-27 16:52:55,2020
132,True,10,True,active,0,2020-07-27 16:50:36+00:00,149,True,0,0,8,149,True,,,2020-07-27 16:52:55,2020
133,True,11,False,active,0,2020-07-27 16:42:54+00:00,150,True,0,0,8,150,True,,,2020-07-27 16:52:55,2020
134,True,8,False,active,0,2020-07-27 16:29:35+00:00,151,True,0,0,11,151,True,,,2020-07-27 16:52:55,2020
135,True,4,True,active,0,2020-07-27 16:29:38+00:00,152,True,0,0,11,152,True,,,2020-07-27 16:52:55,2020
136,True,3,False,active,0,2020-07-27 14:05:57+00:00,156,True,0,0,12,156,True,,,2020-07-27 16:52:55,2020
137,True,8,False,active,1,2020-07-27 16:52:36+00:00,157,True,0,0,6,157,True,,,2020-07-27 16:52:55,2020
138,True,2,False,active,1,2020-07-27 15:43:03+00:00,159,True,0,0,12,159,True,,,2020-07-27 16:52:55,2020
139,True,3,True,active,0,2020-07-27 08:59:00+00:00,160,True,0,0,11,160,True,,,2020-07-27 16:52:55,2020
140,True,6,True,active,1,2020-07-27 16:45:10+00:00,161,True,0,0,16,161,True,,,2020-07-27 16:52:55,2020
141,True,11,False,active,0,2020-07-27 14:09:23+00:00,162,True,0,0,4,162,True,,,2020-07-27 16:52:55,2020
142,True,8,True,active,0,2020-07-27 16:41:14+00:00,163,True,0,0,11,163,True,,,2020-07-27 16:52:55,2020
143,True,11,False,active,2,2020-07-27 15:48:15+00:00,167,True,0,0,2,167,True,,,2020-07-27 16:52:55,2020
144,True,7,False,active,0,2020-07-27 16:51:46+00:00,169,True,0,0,12,169,True,,,2020-07-27 16:52:55,2020
145,True,0,True,active,0,2020-07-27 14:16:26+00:00,170,True,0,0,14,170,True,,,2020-07-27 16:52:55,2020
146,True,4,True,active,0,2020-07-27 13:53:24+00:00,171,True,0,0,19,171,True,,,2020-07-27 16:52:55,2020
147,True,12,True,active,1,2020-07-27 12:43:58+00:00,173,True,0,0,1,173,True,,,2020-07-27 16:52:55,2020
