,last_reported,num_docks_available,station_id,num_ebikes_available,legacy_id,station_status,num_docks_disabled,num_bikes_available,is_renting,is_installed,eightd_has_available_keys,num_bikes_disabled,is_returning,timestamp_of_data_read_request,year_station_last_reported
84,2020-08-19 04:08:55+00:00,8,95,0,95,active,0,3,True,True,False,4,True,2020-08-19 05:17:00,2020
85,2020-08-19 05:02:06+00:00,11,96,0,96,active,0,8,True,True,False,0,True,2020-08-19 05:17:00,2020
86,2020-08-19 02:30:05+00:00,12,97,0,97,active,0,5,True,True,False,2,True,2020-08-19 05:17:00,2020
87,2020-08-19 03:27:55+00:00,20,98,0,98,active,0,3,True,True,False,0,True,2020-08-19 05:17:00,2020
88,2020-08-19 03:07:42+00:00,0,99,0,99,active,0,13,True,True,False,2,True,2020-08-19 05:17:00,2020
89,2020-08-19 03:57:29+00:00,15,100,0,100,active,0,10,True,True,True,0,True,2020-08-19 05:17:00,2020
90,2020-08-19 01:22:29+00:00,6,101,0,101,active,0,9,True,True,False,0,True,2020-08-19 05:17:00,2020
91,2020-08-19 04:31:02+00:00,8,102,0,102,active,0,7,True,True,False,0,True,2020-08-19 05:17:00,2020
92,2020-08-19 05:15:17+00:00,1,103,0,103,active,0,14,True,True,False,0,True,2020-08-19 05:17:00,2020
93,2020-08-19 02:51:33+00:00,15,104,0,104,active,0,4,True,True,False,0,True,2020-08-19 05:17:00,2020
94,2020-08-19 04:38:06+00:00,10,105,0,105,active,0,9,True,True,False,0,True,2020-08-19 05:17:00,2020
95,2020-08-19 05:11:43+00:00,6,106,0,106,active,0,9,True,True,False,0,True,2020-08-19 05:17:00,2020
96,2020-08-19 04:56:30+00:00,17,107,0,107,active,0,1,True,True,False,1,True,2020-08-19 05:17:00,2020
97,2020-08-19 04:25:26+00:00,15,108,0,108,active,0,2,True,True,False,0,True,2020-08-19 05:17:00,2020
98,2020-08-18 22:32:39+00:00,31,109,0,109,active,0,2,True,True,False,2,True,2020-08-19 05:17:00,2020
99,2020-08-19 04:29:18+00:00,13,110,0,110,active,0,2,True,True,False,0,True,2020-08-19 05:17:00,2020
100,2020-08-18 22:49:12+00:00,13,111,0,111,active,0,2,True,True,False,0,True,2020-08-19 05:17:00,2020
101,2020-08-19 00:39:38+00:00,8,112,0,112,active,0,7,True,True,False,0,True,2020-08-19 05:17:00,2020
102,2020-08-19 04:52:33+00:00,10,113,0,113,active,0,4,True,True,False,1,True,2020-08-19 05:17:00,2020
103,2020-08-19 05:02:55+00:00,11,114,0,114,active,0,4,True,True,False,0,True,2020-08-19 05:17:00,2020
