,num_bikes_available,legacy_id,station_status,num_ebikes_available,station_id,is_installed,num_bikes_disabled,last_reported,is_renting,eightd_active_station_services,num_docks_disabled,is_returning,valet,num_docks_available,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
83,9,93,active,0,93,True,0,2020-08-02 03:40:55+00:00,True,,0,True,,6,False,2020-08-02 04:18:45,2020
84,7,94,active,0,94,True,2,2020-08-02 04:17:37+00:00,True,,0,True,,2,False,2020-08-02 04:18:45,2020
85,5,95,active,0,95,True,0,2020-08-02 03:56:16+00:00,True,,0,True,,10,False,2020-08-02 04:18:45,2020
86,11,96,active,0,96,True,0,2020-08-02 04:00:08+00:00,True,,0,True,,8,False,2020-08-02 04:18:45,2020
87,3,97,active,0,97,True,0,2020-08-02 03:39:27+00:00,True,,0,True,,16,False,2020-08-02 04:18:45,2020
88,13,98,active,0,98,True,1,2020-08-02 04:08:38+00:00,True,,0,True,,8,False,2020-08-02 04:18:45,2020
89,12,99,active,0,99,True,1,2020-08-02 03:13:12+00:00,True,,0,True,,2,False,2020-08-02 04:18:45,2020
90,17,100,active,0,100,True,1,2020-08-02 03:27:02+00:00,True,,0,True,,7,True,2020-08-02 04:18:45,2020
91,7,101,active,0,101,True,0,2020-08-02 00:12:28+00:00,True,,0,True,,8,False,2020-08-02 04:18:45,2020
92,12,102,active,0,102,True,1,2020-08-02 03:35:54+00:00,True,,0,True,,2,False,2020-08-02 04:18:45,2020
93,5,103,active,0,103,True,1,2020-08-02 04:00:10+00:00,True,,0,True,,9,False,2020-08-02 04:18:45,2020
94,12,104,active,0,104,True,0,2020-08-02 03:34:19+00:00,True,,0,True,,7,False,2020-08-02 04:18:45,2020
95,10,105,active,0,105,True,0,2020-08-02 04:04:12+00:00,True,,0,True,,9,False,2020-08-02 04:18:45,2020
96,5,106,active,0,106,True,1,2020-08-01 21:29:25+00:00,True,,0,True,,9,False,2020-08-02 04:18:45,2020
97,0,107,active,0,107,True,1,2020-08-02 03:12:03+00:00,True,,0,True,,18,False,2020-08-02 04:18:45,2020
98,12,108,active,0,108,True,0,2020-08-02 04:18:34+00:00,True,,0,True,,5,False,2020-08-02 04:18:45,2020
99,29,109,active,0,109,True,3,2020-08-02 03:22:28+00:00,True,,0,True,,3,False,2020-08-02 04:18:45,2020
100,9,110,active,0,110,True,2,2020-08-02 03:00:07+00:00,True,,0,True,,4,False,2020-08-02 04:18:45,2020
101,6,111,active,0,111,True,0,2020-08-02 01:30:07+00:00,True,,0,True,,9,False,2020-08-02 04:18:45,2020
102,10,112,active,0,112,True,0,2020-08-02 01:24:56+00:00,True,,0,True,,5,False,2020-08-02 04:18:45,2020
103,15,113,active,0,113,True,0,2020-08-02 04:09:00+00:00,True,,0,True,,0,False,2020-08-02 04:18:45,2020
104,5,114,active,0,114,True,0,2020-08-02 03:49:29+00:00,True,,0,True,,10,False,2020-08-02 04:18:45,2020
105,14,115,active,0,115,True,2,2020-08-02 04:14:41+00:00,True,,0,True,,3,False,2020-08-02 04:18:45,2020
106,5,116,active,0,116,True,0,2020-08-02 03:52:44+00:00,True,,0,True,,18,False,2020-08-02 04:18:45,2020
107,0,117,active,0,117,True,0,2020-08-02 03:33:49+00:00,True,,0,True,,19,False,2020-08-02 04:18:45,2020
108,14,118,active,0,118,True,1,2020-08-02 03:34:30+00:00,True,,0,True,,4,False,2020-08-02 04:18:45,2020
109,12,119,active,0,119,True,2,2020-08-02 04:02:07+00:00,True,,0,True,,1,False,2020-08-02 04:18:45,2020
110,4,120,active,0,120,True,1,2020-08-02 04:10:47+00:00,True,,0,True,,10,False,2020-08-02 04:18:45,2020
111,13,121,active,0,121,True,2,2020-08-02 04:16:23+00:00,True,,0,True,,2,False,2020-08-02 04:18:45,2020
112,9,122,active,0,122,True,0,2020-08-02 02:34:35+00:00,True,,0,True,,6,False,2020-08-02 04:18:45,2020
113,6,124,active,0,124,True,0,2020-08-02 00:37:41+00:00,True,,0,True,,9,False,2020-08-02 04:18:45,2020
