,legacy_id,num_bikes_disabled,station_status,is_returning,num_ebikes_available,station_id,num_bikes_available,eightd_has_available_keys,is_installed,num_docks_available,last_reported,num_docks_disabled,is_renting,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
132,149,0,active,True,0,149,2,True,True,16,2020-07-28 16:24:14+00:00,0,True,,,2020-07-28 16:37:25,2020
133,150,0,active,True,0,150,14,False,True,5,2020-07-28 16:03:47+00:00,0,True,,,2020-07-28 16:37:25,2020
134,151,0,active,True,0,151,11,False,True,8,2020-07-28 16:01:37+00:00,0,True,,,2020-07-28 16:37:25,2020
135,152,0,active,True,0,152,9,True,True,6,2020-07-28 16:16:18+00:00,0,True,,,2020-07-28 16:37:25,2020
136,156,0,active,True,0,156,1,False,True,14,2020-07-28 14:55:57+00:00,0,True,,,2020-07-28 16:37:25,2020
137,157,3,active,True,0,157,11,False,True,1,2020-07-28 16:25:00+00:00,0,True,,,2020-07-28 16:37:25,2020
138,159,1,active,True,0,159,0,False,True,14,2020-07-28 14:24:15+00:00,0,True,,,2020-07-28 16:37:25,2020
139,160,1,active,True,0,160,1,True,True,12,2020-07-28 16:24:05+00:00,0,True,,,2020-07-28 16:37:25,2020
140,161,2,active,True,0,161,12,True,True,9,2020-07-28 16:31:15+00:00,0,True,,,2020-07-28 16:37:25,2020
141,162,0,active,True,0,162,9,False,True,6,2020-07-28 08:36:06+00:00,0,True,,,2020-07-28 16:37:25,2020
142,163,0,active,True,0,163,6,True,True,13,2020-07-28 15:50:59+00:00,0,True,,,2020-07-28 16:37:25,2020
143,167,2,active,True,0,167,9,False,True,4,2020-07-28 14:23:05+00:00,0,True,,,2020-07-28 16:37:25,2020
144,169,1,active,True,0,169,7,False,True,11,2020-07-28 15:32:43+00:00,0,True,,,2020-07-28 16:37:25,2020
145,170,0,active,True,0,170,0,True,True,14,2020-07-28 08:49:07+00:00,0,True,,,2020-07-28 16:37:25,2020
146,171,1,active,True,0,171,1,True,True,21,2020-07-28 14:39:05+00:00,0,True,,,2020-07-28 16:37:25,2020
147,173,1,active,True,0,173,9,True,True,4,2020-07-28 15:05:57+00:00,0,True,,,2020-07-28 16:37:25,2020
148,174,0,active,True,0,174,7,False,True,8,2020-07-28 12:16:20+00:00,0,True,,,2020-07-28 16:37:25,2020
149,175,0,active,True,0,175,0,True,True,17,2020-07-28 16:02:59+00:00,0,True,,,2020-07-28 16:37:25,2020
150,176,0,active,True,0,176,13,False,True,2,2020-07-28 15:27:56+00:00,0,True,,,2020-07-28 16:37:25,2020
151,177,0,active,True,0,177,5,False,True,14,2020-07-28 16:08:19+00:00,0,True,,,2020-07-28 16:37:25,2020
152,178,0,active,True,0,178,6,False,True,13,2020-07-28 16:32:37+00:00,0,True,,,2020-07-28 16:37:25,2020
153,179,0,active,True,0,179,11,False,True,14,2020-07-28 16:24:34+00:00,0,True,,,2020-07-28 16:37:25,2020
154,180,0,active,True,0,180,10,False,True,9,2020-07-28 16:37:04+00:00,0,True,,,2020-07-28 16:37:25,2020
155,181,0,active,True,0,181,9,False,True,10,2020-07-28 16:08:06+00:00,0,True,,,2020-07-28 16:37:25,2020
156,182,0,active,True,0,182,6,True,True,13,2020-07-28 13:08:31+00:00,0,True,,,2020-07-28 16:37:25,2020
157,183,0,active,True,0,183,5,False,True,14,2020-07-28 14:44:43+00:00,0,True,,,2020-07-28 16:37:25,2020
158,184,0,active,True,0,184,12,False,True,7,2020-07-28 16:36:30+00:00,0,True,,,2020-07-28 16:37:25,2020
159,185,2,active,True,0,185,2,False,True,11,2020-07-28 16:00:07+00:00,0,True,,,2020-07-28 16:37:25,2020
160,186,0,active,True,0,186,8,True,True,7,2020-07-28 16:01:58+00:00,0,True,,,2020-07-28 16:37:25,2020
161,187,0,active,True,0,187,6,False,True,9,2020-07-28 16:20:28+00:00,0,True,,,2020-07-28 16:37:25,2020
162,188,0,active,True,0,188,10,False,True,5,2020-07-28 13:56:56+00:00,0,True,,,2020-07-28 16:37:25,2020
163,189,1,active,True,0,189,15,True,True,7,2020-07-28 16:23:43+00:00,0,True,,,2020-07-28 16:37:25,2020
164,190,1,active,True,0,190,17,True,True,19,2020-07-28 16:29:05+00:00,0,True,,,2020-07-28 16:37:25,2020
165,191,0,active,True,0,191,2,False,True,13,2020-07-28 16:18:17+00:00,0,True,,,2020-07-28 16:37:25,2020
166,192,0,active,True,0,192,13,False,True,6,2020-07-28 14:31:47+00:00,0,True,,,2020-07-28 16:37:25,2020
167,193,0,active,True,0,193,13,True,True,2,2020-07-28 14:14:11+00:00,0,True,,,2020-07-28 16:37:25,2020
168,194,0,active,True,0,194,12,False,True,7,2020-07-28 16:14:51+00:00,0,True,,,2020-07-28 16:37:25,2020
169,195,0,active,True,0,195,7,False,True,16,2020-07-28 16:30:18+00:00,0,True,,,2020-07-28 16:37:25,2020
170,196,0,active,True,0,196,2,True,True,8,2020-07-28 15:55:40+00:00,0,True,,,2020-07-28 16:37:25,2020
171,197,0,active,True,0,197,2,False,True,13,2020-07-28 15:09:30+00:00,0,True,,,2020-07-28 16:37:25,2020
172,199,0,active,True,0,199,3,False,True,12,2020-07-28 13:59:37+00:00,0,True,,,2020-07-28 16:37:25,2020
173,200,0,active,True,0,200,14,False,True,5,2020-07-28 16:36:14+00:00,0,True,,,2020-07-28 16:37:25,2020
174,201,0,active,True,0,201,2,False,True,13,2020-07-28 13:07:29+00:00,0,True,,,2020-07-28 16:37:25,2020
175,202,1,active,True,0,202,3,False,True,11,2020-07-28 14:43:09+00:00,0,True,,,2020-07-28 16:37:25,2020
176,203,0,active,True,0,203,2,False,True,13,2020-07-28 08:58:21+00:00,0,True,,,2020-07-28 16:37:25,2020
177,204,0,active,True,0,204,2,False,True,13,2020-07-28 10:17:36+00:00,0,True,,,2020-07-28 16:37:25,2020
178,205,1,active,True,0,205,3,False,True,11,2020-07-28 12:30:54+00:00,0,True,,,2020-07-28 16:37:25,2020
179,206,0,active,True,0,206,18,False,True,5,2020-07-28 16:31:33+00:00,0,True,,,2020-07-28 16:37:25,2020
180,208,0,active,True,0,208,12,True,True,3,2020-07-28 16:23:20+00:00,0,True,,,2020-07-28 16:37:25,2020
181,209,1,active,False,0,209,13,False,True,1,2020-07-28 10:09:45+00:00,0,False,,,2020-07-28 16:37:25,2020
182,210,0,active,True,0,210,0,False,True,15,2020-07-28 13:53:23+00:00,0,True,,,2020-07-28 16:37:25,2020
183,211,1,active,True,0,211,16,False,True,2,2020-07-28 16:10:46+00:00,0,True,,,2020-07-28 16:37:25,2020
184,212,0,active,True,0,212,4,False,True,29,2020-07-28 16:34:31+00:00,0,True,,,2020-07-28 16:37:25,2020
185,213,0,active,True,0,213,9,True,True,7,2020-07-28 15:45:55+00:00,0,True,,,2020-07-28 16:37:25,2020
186,214,0,active,True,0,214,13,False,True,2,2020-07-28 16:33:53+00:00,0,True,,,2020-07-28 16:37:25,2020
187,215,1,active,True,0,215,13,False,True,1,2020-07-28 14:07:55+00:00,0,True,,,2020-07-28 16:37:25,2020
188,216,1,active,True,0,216,15,False,True,3,2020-07-28 12:48:44+00:00,0,True,,,2020-07-28 16:37:25,2020
189,217,0,active,True,0,217,6,False,True,13,2020-07-28 15:22:44+00:00,0,True,,,2020-07-28 16:37:25,2020
190,218,0,active,True,0,218,7,False,True,8,2020-07-28 16:24:34+00:00,0,True,,,2020-07-28 16:37:25,2020
191,219,0,active,True,0,219,13,False,True,2,2020-07-28 10:23:18+00:00,0,True,,,2020-07-28 16:37:25,2020
192,221,2,active,True,0,221,4,False,True,13,2020-07-28 16:01:52+00:00,0,True,,,2020-07-28 16:37:25,2020
193,222,0,active,False,0,222,1,True,True,13,2020-07-28 14:03:55+00:00,0,False,,,2020-07-28 16:37:25,2020
194,224,0,active,True,0,224,9,False,True,8,2020-07-28 14:54:03+00:00,0,True,,,2020-07-28 16:37:25,2020
195,225,0,active,True,0,225,13,False,True,6,2020-07-28 16:35:58+00:00,0,True,,,2020-07-28 16:37:25,2020
196,226,0,active,True,0,226,3,False,True,12,2020-07-28 16:30:36+00:00,0,True,,,2020-07-28 16:37:25,2020
197,227,2,active,True,0,227,9,False,True,8,2020-07-28 16:26:03+00:00,0,True,,,2020-07-28 16:37:25,2020
198,228,0,active,True,0,228,10,False,True,9,2020-07-28 14:50:32+00:00,0,True,,,2020-07-28 16:37:25,2020
199,232,0,active,True,0,232,6,False,True,5,2020-07-28 15:47:15+00:00,0,True,,,2020-07-28 16:37:25,2020
200,233,0,active,True,0,233,8,False,True,7,2020-07-28 16:01:17+00:00,0,True,,,2020-07-28 16:37:25,2020
201,234,0,active,True,0,234,3,False,True,12,2020-07-28 15:50:47+00:00,0,True,,,2020-07-28 16:37:25,2020
202,235,0,active,True,0,235,13,False,True,2,2020-07-28 13:39:34+00:00,0,True,,,2020-07-28 16:37:25,2020
203,236,0,active,True,0,236,5,False,True,10,2020-07-28 16:16:00+00:00,0,True,,,2020-07-28 16:37:25,2020
204,239,0,active,True,0,239,4,False,True,11,2020-07-28 16:32:14+00:00,0,True,,,2020-07-28 16:37:25,2020
