,is_returning,is_renting,is_installed,eightd_has_available_keys,station_status,last_reported,legacy_id,num_ebikes_available,num_bikes_available,num_docks_available,num_bikes_disabled,station_id,num_docks_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
159,True,True,True,False,active,2020-07-28 16:00:07+00:00,185,0,2,11,2,185,0,,,2020-07-28 16:04:50,2020
160,True,True,True,True,active,2020-07-28 16:01:58+00:00,186,0,8,7,0,186,0,,,2020-07-28 16:04:50,2020
161,True,True,True,False,active,2020-07-28 15:08:09+00:00,187,0,7,8,0,187,0,,,2020-07-28 16:04:50,2020
162,True,True,True,False,active,2020-07-28 13:56:56+00:00,188,0,10,5,0,188,0,,,2020-07-28 16:04:50,2020
163,True,True,True,True,active,2020-07-28 15:45:16+00:00,189,0,13,9,1,189,0,,,2020-07-28 16:04:50,2020
164,True,True,True,True,active,2020-07-28 15:42:56+00:00,190,0,19,17,1,190,0,,,2020-07-28 16:04:50,2020
165,True,True,True,False,active,2020-07-28 11:28:08+00:00,191,0,4,11,0,191,0,,,2020-07-28 16:04:50,2020
166,True,True,True,False,active,2020-07-28 14:31:47+00:00,192,0,13,6,0,192,0,,,2020-07-28 16:04:50,2020
167,True,True,True,True,active,2020-07-28 14:14:11+00:00,193,0,13,2,0,193,0,,,2020-07-28 16:04:50,2020
168,True,True,True,False,active,2020-07-28 15:32:55+00:00,194,0,16,3,0,194,0,,,2020-07-28 16:04:50,2020
169,True,True,True,False,active,2020-07-28 15:59:22+00:00,195,0,7,16,0,195,0,,,2020-07-28 16:04:50,2020
170,True,True,True,True,active,2020-07-28 15:55:40+00:00,196,0,2,8,0,196,0,,,2020-07-28 16:04:50,2020
171,True,True,True,False,active,2020-07-28 15:09:30+00:00,197,0,2,13,0,197,0,,,2020-07-28 16:04:50,2020
172,True,True,True,False,active,2020-07-28 13:59:37+00:00,199,0,3,12,0,199,0,,,2020-07-28 16:04:50,2020
173,True,True,True,False,active,2020-07-28 14:25:12+00:00,200,0,14,5,0,200,0,,,2020-07-28 16:04:50,2020
174,True,True,True,False,active,2020-07-28 13:07:29+00:00,201,0,2,13,0,201,0,,,2020-07-28 16:04:50,2020
175,True,True,True,False,active,2020-07-28 14:43:09+00:00,202,0,3,11,1,202,0,,,2020-07-28 16:04:50,2020
176,True,True,True,False,active,2020-07-28 08:58:21+00:00,203,0,2,13,0,203,0,,,2020-07-28 16:04:50,2020
177,True,True,True,False,active,2020-07-28 10:17:36+00:00,204,0,2,13,0,204,0,,,2020-07-28 16:04:50,2020
178,True,True,True,False,active,2020-07-28 12:30:54+00:00,205,0,3,11,1,205,0,,,2020-07-28 16:04:50,2020
179,True,True,True,False,active,2020-07-28 15:17:07+00:00,206,0,19,4,0,206,0,,,2020-07-28 16:04:50,2020
180,True,True,True,True,active,2020-07-28 15:44:46+00:00,208,0,11,4,0,208,0,,,2020-07-28 16:04:50,2020
181,False,False,True,False,active,2020-07-28 10:09:45+00:00,209,0,13,1,1,209,0,,,2020-07-28 16:04:50,2020
182,True,True,True,False,active,2020-07-28 13:53:23+00:00,210,0,0,15,0,210,0,,,2020-07-28 16:04:50,2020
183,True,True,True,False,active,2020-07-28 15:48:52+00:00,211,0,15,3,1,211,0,,,2020-07-28 16:04:50,2020
184,True,True,True,False,active,2020-07-28 14:47:49+00:00,212,0,6,27,0,212,0,,,2020-07-28 16:04:50,2020
185,True,True,True,True,active,2020-07-28 15:45:55+00:00,213,0,9,7,0,213,0,,,2020-07-28 16:04:50,2020
186,True,True,True,False,active,2020-07-28 13:59:25+00:00,214,0,12,3,0,214,0,,,2020-07-28 16:04:50,2020
187,True,True,True,False,active,2020-07-28 14:07:55+00:00,215,0,13,1,1,215,0,,,2020-07-28 16:04:50,2020
188,True,True,True,False,active,2020-07-28 12:48:44+00:00,216,0,15,3,1,216,0,,,2020-07-28 16:04:50,2020
189,True,True,True,False,active,2020-07-28 15:22:44+00:00,217,0,6,13,0,217,0,,,2020-07-28 16:04:50,2020
190,True,True,True,False,active,2020-07-28 15:48:40+00:00,218,0,3,12,0,218,0,,,2020-07-28 16:04:50,2020
191,True,True,True,False,active,2020-07-28 10:23:18+00:00,219,0,13,2,0,219,0,,,2020-07-28 16:04:50,2020
192,True,True,True,False,active,2020-07-28 16:01:52+00:00,221,0,4,13,2,221,0,,,2020-07-28 16:04:50,2020
193,False,False,True,True,active,2020-07-28 14:03:55+00:00,222,0,1,13,0,222,0,,,2020-07-28 16:04:50,2020
194,True,True,True,False,active,2020-07-28 14:54:03+00:00,224,0,9,8,0,224,0,,,2020-07-28 16:04:50,2020
195,True,True,True,False,active,2020-07-28 15:57:31+00:00,225,0,14,5,0,225,0,,,2020-07-28 16:04:50,2020
196,True,True,True,False,active,2020-07-28 15:50:52+00:00,226,0,5,10,0,226,0,,,2020-07-28 16:04:50,2020
197,True,True,True,False,active,2020-07-28 15:32:33+00:00,227,0,8,9,2,227,0,,,2020-07-28 16:04:50,2020
198,True,True,True,False,active,2020-07-28 14:50:32+00:00,228,0,10,9,0,228,0,,,2020-07-28 16:04:50,2020
199,True,True,True,False,active,2020-07-28 15:47:15+00:00,232,0,6,5,0,232,0,,,2020-07-28 16:04:50,2020
200,True,True,True,False,active,2020-07-28 16:01:17+00:00,233,0,8,7,0,233,0,,,2020-07-28 16:04:50,2020
201,True,True,True,False,active,2020-07-28 15:50:47+00:00,234,0,3,12,0,234,0,,,2020-07-28 16:04:50,2020
202,True,True,True,False,active,2020-07-28 13:39:34+00:00,235,0,13,2,0,235,0,,,2020-07-28 16:04:50,2020
203,True,True,True,False,active,2020-07-28 15:36:34+00:00,236,0,4,11,0,236,0,,,2020-07-28 16:04:50,2020
204,True,True,True,False,active,2020-07-28 15:55:57+00:00,239,0,2,13,0,239,0,,,2020-07-28 16:04:50,2020
205,True,True,True,False,active,2020-07-27 22:49:04+00:00,255,0,6,9,0,255,0,,,2020-07-28 16:04:50,2020
206,True,True,True,False,active,2020-07-28 13:36:54+00:00,258,0,7,8,0,258,0,,,2020-07-28 16:04:50,2020
207,True,True,True,False,active,2020-07-28 11:55:38+00:00,259,0,0,14,1,259,0,,,2020-07-28 16:04:50,2020
208,True,True,True,False,active,2020-07-28 12:43:44+00:00,260,0,14,1,0,260,0,,,2020-07-28 16:04:50,2020
209,True,True,True,False,active,2020-07-28 15:32:36+00:00,271,0,7,7,1,271,0,,,2020-07-28 16:04:50,2020
210,True,True,True,False,active,2020-07-28 12:18:10+00:00,272,0,9,10,0,272,0,,,2020-07-28 16:04:50,2020
211,True,True,True,False,active,2020-07-28 16:03:32+00:00,273,0,23,16,1,273,0,,,2020-07-28 16:04:50,2020
212,True,True,True,False,active,2020-07-28 15:51:05+00:00,279,0,8,11,0,279,0,,,2020-07-28 16:04:50,2020
213,True,True,True,False,active,2020-07-28 14:06:42+00:00,280,0,5,14,0,280,0,,,2020-07-28 16:04:50,2020
214,True,True,True,False,active,2020-07-28 15:30:52+00:00,282,0,12,3,0,282,0,,,2020-07-28 16:04:50,2020
215,True,True,True,False,active,2020-07-28 15:50:30+00:00,296,0,8,15,0,296,0,,,2020-07-28 16:04:50,2020
216,True,True,True,False,active,2020-07-28 15:45:57+00:00,318,0,18,0,1,318,0,,,2020-07-28 16:04:50,2020
217,True,True,True,False,active,2020-07-28 13:27:19+00:00,319,0,8,17,0,319,0,,,2020-07-28 16:04:50,2020
218,True,True,True,False,active,2020-07-28 15:57:43+00:00,327,0,10,5,0,327,0,,,2020-07-28 16:04:50,2020
219,True,True,True,False,active,2020-07-28 15:28:13+00:00,328,0,8,7,0,328,0,,,2020-07-28 16:04:50,2020
220,True,True,True,False,active,2020-07-28 14:54:02+00:00,329,0,12,3,0,329,0,,,2020-07-28 16:04:50,2020
221,True,True,True,False,active,2020-07-28 13:24:23+00:00,330,0,2,13,0,330,0,,,2020-07-28 16:04:50,2020
222,True,True,True,False,active,2020-07-28 15:18:18+00:00,331,0,14,0,1,331,0,,,2020-07-28 16:04:50,2020
223,True,True,True,False,active,2020-07-28 15:57:48+00:00,332,0,0,14,1,332,0,,,2020-07-28 16:04:50,2020
224,True,True,True,False,active,2020-07-28 13:16:49+00:00,333,0,23,2,0,333,0,,,2020-07-28 16:04:50,2020
225,True,True,True,False,active,2020-07-28 16:00:20+00:00,334,0,13,6,0,334,0,,,2020-07-28 16:04:50,2020
226,True,True,True,False,active,2020-07-28 15:40:39+00:00,335,0,1,18,0,335,0,,,2020-07-28 16:04:50,2020
227,True,True,True,False,active,2020-07-27 22:34:20+00:00,336,0,15,0,0,336,0,,,2020-07-28 16:04:50,2020
228,True,True,True,False,active,2020-07-28 12:44:36+00:00,337,0,15,0,0,337,0,,,2020-07-28 16:04:50,2020
229,True,True,True,False,active,2020-07-28 15:22:36+00:00,338,0,1,14,0,338,0,,,2020-07-28 16:04:50,2020
230,True,True,True,False,active,2020-07-28 11:59:04+00:00,339,0,15,0,0,339,0,,,2020-07-28 16:04:50,2020
231,True,True,True,False,active,2020-07-28 12:42:54+00:00,340,0,15,4,0,340,0,,,2020-07-28 16:04:50,2020
232,True,True,True,True,active,2020-07-28 10:15:00+00:00,341,0,4,11,0,341,0,,,2020-07-28 16:04:50,2020
233,True,True,True,False,active,2020-07-28 16:03:15+00:00,342,0,4,11,0,342,0,,,2020-07-28 16:04:50,2020
234,True,True,True,False,active,2020-07-28 08:53:35+00:00,343,0,5,9,1,343,0,,,2020-07-28 16:04:50,2020
235,True,True,True,False,active,2020-07-28 11:29:55+00:00,344,0,0,19,0,344,0,,,2020-07-28 16:04:50,2020
236,True,True,True,False,active,2020-07-28 15:24:30+00:00,345,0,5,13,1,345,0,,,2020-07-28 16:04:50,2020
237,True,True,True,False,active,2020-07-28 15:35:32+00:00,346,0,1,14,0,346,0,,,2020-07-28 16:04:50,2020
238,True,True,True,False,active,2020-07-28 12:12:32+00:00,347,0,3,12,0,347,0,,,2020-07-28 16:04:50,2020
239,True,True,True,False,active,2020-07-28 11:39:39+00:00,348,0,11,4,0,348,0,,,2020-07-28 16:04:50,2020
240,True,True,True,True,active,2020-07-28 08:58:31+00:00,349,0,1,16,0,349,0,,,2020-07-28 16:04:50,2020
241,True,True,True,False,active,2020-07-28 15:36:11+00:00,350,0,5,12,0,350,0,,,2020-07-28 16:04:50,2020
242,True,True,True,False,active,2020-07-28 15:16:08+00:00,351,0,5,10,0,351,0,,,2020-07-28 16:04:50,2020
243,True,True,True,False,active,2020-07-28 14:02:59+00:00,352,0,4,11,0,352,0,,,2020-07-28 16:04:50,2020
244,True,True,True,True,active,2020-07-28 12:49:50+00:00,353,0,12,3,0,353,0,,,2020-07-28 16:04:50,2020
245,True,True,True,False,active,2020-07-28 15:27:00+00:00,354,0,0,15,0,354,0,,,2020-07-28 16:04:50,2020
246,True,True,True,False,active,2020-07-28 15:05:47+00:00,355,0,9,8,0,355,0,,,2020-07-28 16:04:50,2020
247,True,True,True,False,active,2020-07-28 15:20:49+00:00,356,0,14,9,0,356,0,,,2020-07-28 16:04:50,2020
248,True,True,True,False,active,2020-07-28 15:35:41+00:00,357,0,5,10,0,357,0,,,2020-07-28 16:04:50,2020
249,True,True,True,False,active,2020-07-28 14:07:48+00:00,358,0,9,10,0,358,0,,,2020-07-28 16:04:50,2020
250,True,True,True,False,active,2020-07-28 15:32:00+00:00,359,0,1,14,0,359,0,,,2020-07-28 16:04:50,2020
251,True,True,True,False,active,2020-07-28 15:35:48+00:00,360,0,3,12,0,360,0,,,2020-07-28 16:04:50,2020
252,True,True,True,False,active,2020-07-28 15:32:48+00:00,361,0,2,16,1,361,0,,,2020-07-28 16:04:50,2020
253,True,True,True,False,active,2020-07-28 13:39:32+00:00,362,0,11,8,0,362,0,,,2020-07-28 16:04:50,2020
254,True,True,True,False,active,2020-07-28 15:43:10+00:00,363,0,9,10,0,363,0,,,2020-07-28 16:04:50,2020
255,True,True,True,False,active,2020-07-28 15:20:44+00:00,364,0,0,18,1,364,0,,,2020-07-28 16:04:50,2020
256,True,True,True,False,active,2020-07-28 16:01:00+00:00,365,0,8,11,0,365,0,,,2020-07-28 16:04:50,2020
257,True,True,True,False,active,2020-07-28 15:50:32+00:00,366,0,4,11,0,366,0,,,2020-07-28 16:04:50,2020
258,True,True,True,False,active,2020-07-28 14:25:33+00:00,367,0,13,5,1,367,0,,,2020-07-28 16:04:50,2020
259,True,True,True,False,active,2020-07-28 14:22:59+00:00,368,0,1,14,0,368,0,,,2020-07-28 16:04:50,2020
260,True,True,True,False,active,2020-07-28 15:54:48+00:00,369,0,3,12,0,369,0,,,2020-07-28 16:04:50,2020
261,True,True,True,False,active,2020-07-28 15:56:23+00:00,370,0,10,9,0,370,0,,,2020-07-28 16:04:50,2020
262,True,True,True,False,active,2020-07-28 12:39:12+00:00,371,0,6,13,0,371,0,,,2020-07-28 16:04:50,2020
263,True,True,True,False,active,2020-07-28 15:55:20+00:00,372,0,10,9,0,372,0,,,2020-07-28 16:04:50,2020
264,True,True,True,False,active,2020-07-28 13:56:17+00:00,373,0,6,9,0,373,0,,,2020-07-28 16:04:50,2020
265,True,True,True,False,active,2020-07-28 15:49:37+00:00,374,0,4,15,0,374,0,,,2020-07-28 16:04:50,2020
266,True,True,True,False,active,2020-07-28 15:52:41+00:00,376,0,8,7,0,376,0,,,2020-07-28 16:04:50,2020
267,True,True,True,False,active,2020-07-28 15:58:31+00:00,377,0,9,10,0,377,0,,,2020-07-28 16:04:50,2020
268,True,True,True,False,active,2020-07-28 15:49:16+00:00,378,0,6,13,0,378,0,,,2020-07-28 16:04:50,2020
269,True,True,True,False,active,2020-07-28 15:07:28+00:00,379,0,4,10,1,379,0,,,2020-07-28 16:04:50,2020
270,True,True,True,False,active,2020-07-28 16:03:44+00:00,380,0,18,0,0,380,0,,,2020-07-28 16:04:50,2020
271,True,True,True,False,active,2020-07-28 15:37:34+00:00,381,0,7,11,1,381,0,,,2020-07-28 16:04:50,2020
272,True,True,True,True,active,2020-07-28 16:03:24+00:00,384,0,19,0,0,384,0,,,2020-07-28 16:04:50,2020
273,True,True,True,False,active,2020-07-28 16:03:04+00:00,385,0,11,3,0,385,1,,,2020-07-28 16:04:50,2020
274,True,True,True,False,active,2020-07-28 15:47:20+00:00,386,0,16,2,1,386,0,,,2020-07-28 16:04:50,2020
275,True,True,True,False,active,2020-07-28 10:44:32+00:00,387,0,11,4,0,387,0,,,2020-07-28 16:04:50,2020
276,True,True,True,False,active,2020-07-28 08:58:25+00:00,388,0,2,9,0,388,0,,,2020-07-28 16:04:50,2020
277,True,True,True,False,active,2020-07-28 10:19:02+00:00,389,0,12,2,0,389,0,,,2020-07-28 16:04:50,2020
278,True,True,True,False,active,2020-07-28 13:04:20+00:00,390,0,13,2,0,390,0,,,2020-07-28 16:04:50,2020
279,True,True,True,False,active,2020-07-28 09:50:15+00:00,391,0,12,3,0,391,0,,,2020-07-28 16:04:50,2020
280,True,True,True,False,active,2020-07-28 11:04:46+00:00,392,0,11,4,0,392,0,,,2020-07-28 16:04:50,2020
281,True,True,True,False,active,2020-07-28 15:36:56+00:00,393,0,7,8,0,393,0,,,2020-07-28 16:04:50,2020
282,True,True,True,False,active,2020-07-28 07:52:04+00:00,394,0,0,14,0,394,0,,,2020-07-28 16:04:50,2020
283,True,True,True,False,active,2020-07-28 16:03:01+00:00,395,0,4,11,0,395,0,,,2020-07-28 16:04:50,2020
284,True,True,True,False,active,2020-07-28 08:59:25+00:00,396,0,8,7,0,396,0,,,2020-07-28 16:04:50,2020
