,is_returning,station_status,num_bikes_available,num_docks_disabled,legacy_id,eightd_has_available_keys,is_installed,num_docks_available,is_renting,last_reported,station_id,num_ebikes_available,num_bikes_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
227,True,active,12,0,336,False,True,1,True,2020-08-10 18:05:36+00:00,336,0,2,,,2020-08-10 19:24:10,2020
228,True,active,10,0,337,False,True,5,True,2020-08-10 17:48:06+00:00,337,0,0,,,2020-08-10 19:24:10,2020
229,True,active,1,0,338,False,True,14,True,2020-08-10 18:56:51+00:00,338,0,0,,,2020-08-10 19:24:10,2020
230,True,active,7,0,339,False,True,8,True,2020-08-10 15:22:34+00:00,339,0,0,,,2020-08-10 19:24:10,2020
231,True,active,18,0,340,False,True,1,True,2020-08-10 11:22:16+00:00,340,0,0,,,2020-08-10 19:24:10,2020
232,True,active,3,0,341,True,True,12,True,2020-08-10 18:47:06+00:00,341,0,0,,,2020-08-10 19:24:10,2020
233,True,active,2,0,342,False,True,13,True,2020-08-10 19:23:05+00:00,342,0,0,,,2020-08-10 19:24:10,2020
234,True,active,6,0,343,False,True,9,True,2020-08-10 04:41:14+00:00,343,0,0,,,2020-08-10 19:24:10,2020
235,True,active,3,0,344,False,True,16,True,2020-08-10 19:22:58+00:00,344,0,0,,,2020-08-10 19:24:10,2020
236,True,active,15,0,345,False,True,2,True,2020-08-10 19:10:23+00:00,345,0,2,,,2020-08-10 19:24:10,2020
237,True,active,2,0,346,False,True,13,True,2020-08-10 17:49:23+00:00,346,0,0,,,2020-08-10 19:24:10,2020
238,True,active,12,0,347,False,True,3,True,2020-08-10 18:56:34+00:00,347,0,0,,,2020-08-10 19:24:10,2020
239,True,active,5,0,348,False,True,9,True,2020-08-10 08:46:32+00:00,348,0,1,,,2020-08-10 19:24:10,2020
240,True,active,7,0,349,True,True,10,True,2020-08-10 16:36:03+00:00,349,0,0,,,2020-08-10 19:24:10,2020
241,True,active,13,0,350,False,True,4,True,2020-08-10 19:23:29+00:00,350,0,0,,,2020-08-10 19:24:10,2020
242,True,active,8,0,351,False,True,7,True,2020-08-10 18:27:14+00:00,351,0,0,,,2020-08-10 19:24:10,2020
243,True,active,3,0,352,False,True,12,True,2020-08-10 19:24:03+00:00,352,0,0,,,2020-08-10 19:24:10,2020
244,True,active,5,0,353,True,True,10,True,2020-08-10 15:45:32+00:00,353,0,0,,,2020-08-10 19:24:10,2020
245,True,active,1,0,354,False,True,14,True,2020-08-10 19:21:43+00:00,354,0,0,,,2020-08-10 19:24:10,2020
246,True,active,13,0,355,False,True,4,True,2020-08-10 19:01:03+00:00,355,0,0,,,2020-08-10 19:24:10,2020
247,True,active,17,0,356,False,True,6,True,2020-08-10 19:09:42+00:00,356,0,0,,,2020-08-10 19:24:10,2020
248,True,active,3,0,357,False,True,12,True,2020-08-10 17:38:24+00:00,357,0,0,,,2020-08-10 19:24:10,2020
249,True,active,5,0,358,False,True,14,True,2020-08-10 19:01:34+00:00,358,0,0,,,2020-08-10 19:24:10,2020
250,True,active,7,0,359,False,True,8,True,2020-08-10 19:21:16+00:00,359,0,0,,,2020-08-10 19:24:10,2020
