,num_docks_available,station_id,station_status,num_bikes_disabled,num_docks_disabled,is_returning,last_reported,eightd_has_available_keys,is_installed,legacy_id,is_renting,num_ebikes_available,num_bikes_available,timestamp_of_data_read_request,year_station_last_reported
109,1,120,active,1,0,True,2020-07-30 02:56:57+00:00,False,True,120,True,0,13,2020-07-30 03:05:55,2020
110,6,121,active,1,0,True,2020-07-30 02:52:17+00:00,False,True,121,True,0,10,2020-07-30 03:05:55,2020
111,13,122,active,0,0,True,2020-07-30 02:35:12+00:00,False,True,122,True,0,2,2020-07-30 03:05:55,2020
112,10,124,active,0,0,True,2020-07-30 01:11:26+00:00,False,True,124,True,0,5,2020-07-30 03:05:55,2020
113,6,125,active,0,0,True,2020-07-30 02:35:39+00:00,False,True,125,True,0,9,2020-07-30 03:05:55,2020
114,12,126,active,0,0,True,2020-07-30 02:49:06+00:00,False,True,126,True,0,3,2020-07-30 03:05:55,2020
115,1,128,active,1,0,True,2020-07-30 02:15:11+00:00,False,True,128,True,0,17,2020-07-30 03:05:55,2020
116,12,129,active,0,0,True,2020-07-30 02:22:28+00:00,False,True,129,True,0,7,2020-07-30 03:05:55,2020
117,5,130,active,0,0,True,2020-07-30 02:21:28+00:00,False,True,130,True,0,10,2020-07-30 03:05:55,2020
118,1,131,active,2,0,True,2020-07-30 02:40:40+00:00,False,True,131,True,0,15,2020-07-30 03:05:55,2020
119,10,133,active,0,0,True,2020-07-30 01:55:53+00:00,False,True,133,True,0,13,2020-07-30 03:05:55,2020
120,11,135,active,1,0,True,2020-07-30 01:46:51+00:00,False,True,135,True,0,5,2020-07-30 03:05:55,2020
121,4,136,active,0,0,True,2020-07-30 00:35:20+00:00,False,True,136,True,0,15,2020-07-30 03:05:55,2020
122,11,137,active,0,0,True,2020-07-30 01:50:21+00:00,False,True,137,True,0,4,2020-07-30 03:05:55,2020
123,3,138,active,0,0,True,2020-07-30 02:13:16+00:00,False,True,138,True,0,12,2020-07-30 03:05:55,2020
124,2,139,active,0,0,True,2020-07-30 02:53:46+00:00,False,True,139,True,0,17,2020-07-30 03:05:55,2020
125,12,140,active,0,0,True,2020-07-30 02:41:43+00:00,False,True,140,True,0,5,2020-07-30 03:05:55,2020
126,7,141,active,0,0,True,2020-07-30 01:46:59+00:00,False,True,141,True,0,8,2020-07-30 03:05:55,2020
127,5,142,active,3,0,True,2020-07-30 01:17:36+00:00,False,True,142,True,0,15,2020-07-30 03:05:55,2020
128,11,143,active,1,0,True,2020-07-30 02:26:15+00:00,False,True,143,True,0,11,2020-07-30 03:05:55,2020
129,16,144,active,0,0,True,2020-07-30 02:05:34+00:00,False,True,144,True,0,3,2020-07-30 03:05:55,2020
130,5,145,active,0,0,True,2020-07-30 01:26:10+00:00,False,True,145,True,0,14,2020-07-30 03:05:55,2020
131,14,146,active,1,0,True,2020-07-30 03:01:33+00:00,False,True,146,True,0,4,2020-07-30 03:05:55,2020
132,10,149,active,0,0,True,2020-07-30 01:53:43+00:00,True,True,149,True,0,8,2020-07-30 03:05:55,2020
133,5,150,active,0,0,True,2020-07-30 02:12:38+00:00,False,True,150,True,0,14,2020-07-30 03:05:55,2020
134,15,151,active,1,0,True,2020-07-30 02:46:31+00:00,False,True,151,True,0,3,2020-07-30 03:05:55,2020
135,2,152,active,0,0,True,2020-07-30 02:44:32+00:00,True,True,152,True,0,13,2020-07-30 03:05:55,2020
136,8,156,active,0,0,True,2020-07-30 01:55:22+00:00,False,True,156,True,0,7,2020-07-30 03:05:55,2020
137,14,157,active,1,0,True,2020-07-30 02:38:27+00:00,False,True,157,True,0,0,2020-07-30 03:05:55,2020
138,5,159,active,1,0,True,2020-07-30 02:48:12+00:00,False,True,159,True,0,9,2020-07-30 03:05:55,2020
139,9,160,active,0,0,True,2020-07-30 03:04:52+00:00,True,True,160,True,0,5,2020-07-30 03:05:55,2020
140,22,161,active,0,0,True,2020-07-30 02:23:40+00:00,True,True,161,True,0,1,2020-07-30 03:05:55,2020
141,13,162,active,0,0,True,2020-07-29 20:56:43+00:00,False,True,162,True,0,2,2020-07-30 03:05:55,2020
142,14,163,active,0,0,True,2020-07-30 02:18:25+00:00,True,True,163,True,0,5,2020-07-30 03:05:55,2020
143,4,167,active,1,0,True,2020-07-30 01:50:58+00:00,False,True,167,True,0,10,2020-07-30 03:05:55,2020
144,7,169,active,0,0,True,2020-07-30 01:06:42+00:00,False,True,169,True,0,12,2020-07-30 03:05:55,2020
145,13,170,active,0,0,True,2020-07-30 01:07:22+00:00,True,True,170,True,0,1,2020-07-30 03:05:55,2020
146,15,171,active,1,0,True,2020-07-29 23:37:41+00:00,True,True,171,True,0,7,2020-07-30 03:05:55,2020
147,7,173,active,2,0,True,2020-07-30 02:53:04+00:00,True,True,173,True,0,5,2020-07-30 03:05:55,2020
148,3,174,active,0,0,True,2020-07-30 01:40:06+00:00,False,True,174,True,0,12,2020-07-30 03:05:55,2020
149,15,175,active,0,0,True,2020-07-30 02:38:06+00:00,True,True,175,True,0,2,2020-07-30 03:05:55,2020
150,2,176,active,0,0,True,2020-07-30 02:16:10+00:00,False,True,176,True,0,13,2020-07-30 03:05:55,2020
151,17,177,active,1,0,True,2020-07-30 01:04:43+00:00,False,True,177,True,0,1,2020-07-30 03:05:55,2020
152,14,178,active,1,0,True,2020-07-30 02:27:48+00:00,False,True,178,True,0,4,2020-07-30 03:05:55,2020
153,0,179,active,0,0,True,2020-07-30 03:01:26+00:00,False,True,179,True,0,25,2020-07-30 03:05:55,2020
154,15,180,active,0,0,True,2020-07-30 00:17:45+00:00,False,True,180,True,0,4,2020-07-30 03:05:55,2020
155,12,181,active,0,0,True,2020-07-29 22:40:39+00:00,False,True,181,True,0,7,2020-07-30 03:05:55,2020
156,10,182,active,0,0,True,2020-07-30 00:25:20+00:00,True,True,182,True,0,9,2020-07-30 03:05:55,2020
157,11,183,active,0,0,True,2020-07-30 00:51:15+00:00,False,True,183,True,0,8,2020-07-30 03:05:55,2020
158,4,184,active,0,0,True,2020-07-30 02:01:17+00:00,False,True,184,True,0,15,2020-07-30 03:05:55,2020
159,9,185,active,2,0,True,2020-07-30 02:18:07+00:00,False,True,185,True,0,4,2020-07-30 03:05:55,2020
160,9,186,active,1,0,True,2020-07-30 02:41:22+00:00,True,True,186,True,0,5,2020-07-30 03:05:55,2020
161,4,187,active,0,0,True,2020-07-30 02:45:19+00:00,False,True,187,True,0,11,2020-07-30 03:05:55,2020
162,6,188,active,0,0,True,2020-07-30 01:44:26+00:00,False,True,188,True,0,9,2020-07-30 03:05:55,2020
163,16,189,active,0,0,True,2020-07-30 02:40:52+00:00,True,True,189,True,0,7,2020-07-30 03:05:55,2020
164,17,190,active,1,0,True,2020-07-30 02:56:04+00:00,True,True,190,True,0,19,2020-07-30 03:05:55,2020
165,13,191,active,0,0,True,2020-07-30 01:42:53+00:00,False,True,191,True,0,2,2020-07-30 03:05:55,2020
166,18,192,active,0,0,True,2020-07-30 02:48:07+00:00,False,True,192,True,0,1,2020-07-30 03:05:55,2020
167,3,193,active,0,0,True,2020-07-30 00:01:13+00:00,True,True,193,True,0,12,2020-07-30 03:05:55,2020
168,4,194,active,0,0,True,2020-07-30 02:25:04+00:00,False,True,194,True,0,15,2020-07-30 03:05:55,2020
169,3,195,active,2,0,True,2020-07-30 02:19:12+00:00,False,True,195,True,0,18,2020-07-30 03:05:55,2020
170,8,196,active,0,0,True,2020-07-30 01:47:22+00:00,True,True,196,True,0,2,2020-07-30 03:05:55,2020
171,10,197,active,1,0,True,2020-07-30 00:36:42+00:00,False,True,197,True,0,4,2020-07-30 03:05:55,2020
172,7,199,active,0,0,True,2020-07-30 00:18:04+00:00,False,True,199,True,0,8,2020-07-30 03:05:55,2020
173,0,200,active,0,0,True,2020-07-30 02:17:19+00:00,False,True,200,True,0,19,2020-07-30 03:05:55,2020
174,15,201,active,0,0,True,2020-07-29 12:09:09+00:00,False,True,201,True,0,0,2020-07-30 03:05:55,2020
175,10,202,active,1,0,True,2020-07-29 23:36:32+00:00,False,True,202,True,0,4,2020-07-30 03:05:55,2020
