,legacy_id,num_docks_available,is_renting,is_returning,is_installed,station_status,num_ebikes_available,station_id,eightd_has_available_keys,num_docks_disabled,num_bikes_available,last_reported,num_bikes_disabled,timestamp_of_data_read_request,year_station_last_reported
81,92,10,True,True,True,active,0,92,False,0,8,2020-08-13 00:00:27+00:00,1,2020-08-13 01:43:35,2020
82,93,3,True,True,True,active,0,93,False,0,10,2020-08-13 00:04:43+00:00,2,2020-08-13 01:43:35,2020
83,94,4,True,True,True,active,0,94,False,0,7,2020-08-13 01:09:08+00:00,0,2020-08-13 01:43:35,2020
84,95,12,True,True,True,active,0,95,False,0,3,2020-08-13 01:09:35+00:00,0,2020-08-13 01:43:35,2020
85,96,5,True,True,True,active,0,96,False,0,13,2020-08-13 00:53:36+00:00,1,2020-08-13 01:43:35,2020
86,97,5,True,True,True,active,0,97,False,0,13,2020-08-13 01:42:06+00:00,1,2020-08-13 01:43:35,2020
87,98,8,True,True,True,active,0,98,False,0,14,2020-08-13 01:30:55+00:00,1,2020-08-13 01:43:35,2020
88,99,6,True,True,True,active,0,99,False,0,8,2020-08-13 01:17:24+00:00,1,2020-08-13 01:43:35,2020
89,100,0,True,True,True,active,0,100,True,0,24,2020-08-13 01:18:21+00:00,1,2020-08-13 01:43:35,2020
90,101,2,True,True,True,active,0,101,False,0,13,2020-08-13 01:14:29+00:00,0,2020-08-13 01:43:35,2020
91,102,10,True,True,True,active,0,102,False,0,5,2020-08-13 01:07:50+00:00,0,2020-08-13 01:43:35,2020
92,103,3,True,True,True,active,0,103,False,0,12,2020-08-13 01:19:54+00:00,0,2020-08-13 01:43:35,2020
93,104,9,True,True,True,active,0,104,False,0,10,2020-08-13 01:41:19+00:00,0,2020-08-13 01:43:35,2020
94,105,0,True,True,True,active,0,105,False,0,18,2020-08-13 01:04:41+00:00,1,2020-08-13 01:43:35,2020
95,106,11,True,True,True,active,0,106,False,0,3,2020-08-13 01:24:29+00:00,1,2020-08-13 01:43:35,2020
96,107,19,True,True,True,active,0,107,False,0,0,2020-08-13 01:23:23+00:00,0,2020-08-13 01:43:35,2020
97,108,17,True,True,True,active,0,108,False,0,0,2020-08-13 01:01:02+00:00,0,2020-08-13 01:43:35,2020
98,109,33,True,True,True,active,0,109,False,0,2,2020-08-13 00:00:16+00:00,0,2020-08-13 01:43:35,2020
99,110,14,True,True,True,active,0,110,False,0,1,2020-08-12 23:54:01+00:00,0,2020-08-13 01:43:35,2020
100,111,9,True,True,True,active,0,111,False,0,6,2020-08-13 01:05:05+00:00,0,2020-08-13 01:43:35,2020
101,112,2,True,True,True,active,0,112,False,0,13,2020-08-13 01:29:56+00:00,0,2020-08-13 01:43:35,2020
102,113,9,True,True,True,active,0,113,False,0,6,2020-08-13 00:33:58+00:00,0,2020-08-13 01:43:35,2020
103,114,6,True,True,True,active,0,114,False,0,8,2020-08-13 00:34:01+00:00,1,2020-08-13 01:43:35,2020
104,115,0,True,True,True,active,0,115,False,0,14,2020-08-13 00:52:31+00:00,5,2020-08-13 01:43:35,2020
105,116,5,True,True,True,active,0,116,False,0,18,2020-08-13 00:29:11+00:00,0,2020-08-13 01:43:35,2020
