,num_ebikes_available,is_installed,num_bikes_available,station_status,is_returning,num_docks_available,num_docks_disabled,eightd_has_available_keys,is_renting,num_bikes_disabled,station_id,last_reported,legacy_id,timestamp_of_data_read_request,year_station_last_reported
115,0,True,13,active,True,6,0,False,True,0,128,2020-08-14 01:54:59+00:00,128,2020-08-14 02:34:50,2020
116,0,True,18,active,True,1,0,False,True,0,129,2020-08-14 02:17:26+00:00,129,2020-08-14 02:34:50,2020
117,0,True,10,active,True,5,0,False,True,0,130,2020-08-14 01:32:45+00:00,130,2020-08-14 02:34:50,2020
118,0,True,14,active,True,3,0,False,True,1,131,2020-08-14 01:45:53+00:00,131,2020-08-14 02:34:50,2020
119,0,True,7,active,True,15,0,False,True,1,133,2020-08-14 01:01:29+00:00,133,2020-08-14 02:34:50,2020
120,0,True,1,active,True,16,0,False,True,0,135,2020-08-13 20:55:32+00:00,135,2020-08-14 02:34:50,2020
121,0,True,4,active,True,13,0,False,True,2,136,2020-08-14 00:49:43+00:00,136,2020-08-14 02:34:50,2020
122,0,True,5,active,True,10,0,False,True,0,137,2020-08-14 01:48:38+00:00,137,2020-08-14 02:34:50,2020
123,0,True,12,active,True,1,0,False,True,2,138,2020-08-14 02:30:37+00:00,138,2020-08-14 02:34:50,2020
124,0,True,14,active,True,4,0,False,True,1,139,2020-08-14 02:21:37+00:00,139,2020-08-14 02:34:50,2020
125,0,True,15,active,True,0,0,False,True,2,140,2020-08-14 01:00:27+00:00,140,2020-08-14 02:34:50,2020
126,0,True,14,active,True,1,0,False,True,0,141,2020-08-14 02:23:22+00:00,141,2020-08-14 02:34:50,2020
127,0,True,9,active,True,13,0,False,True,1,142,2020-08-14 01:38:33+00:00,142,2020-08-14 02:34:50,2020
128,0,True,19,active,True,3,0,False,True,1,143,2020-08-14 02:24:39+00:00,143,2020-08-14 02:34:50,2020
129,0,True,12,active,True,7,0,False,True,0,144,2020-08-14 01:09:44+00:00,144,2020-08-14 02:34:50,2020
130,0,True,19,active,True,0,0,False,True,0,145,2020-08-14 00:58:11+00:00,145,2020-08-14 02:34:50,2020
131,0,True,17,active,True,2,0,False,True,0,146,2020-08-14 02:26:52+00:00,146,2020-08-14 02:34:50,2020
132,0,True,6,active,True,11,0,True,True,1,149,2020-08-14 01:50:52+00:00,149,2020-08-14 02:34:50,2020
133,0,True,14,active,True,4,0,False,True,1,150,2020-08-14 02:09:14+00:00,150,2020-08-14 02:34:50,2020
134,0,True,2,active,True,16,0,False,True,1,151,2020-08-14 02:31:35+00:00,151,2020-08-14 02:34:50,2020
135,0,True,12,active,True,3,0,True,True,0,152,2020-08-14 01:01:17+00:00,152,2020-08-14 02:34:50,2020
136,0,True,9,active,True,6,0,False,True,0,156,2020-08-14 00:35:23+00:00,156,2020-08-14 02:34:50,2020
137,0,True,6,active,True,8,0,False,True,1,157,2020-08-14 02:34:30+00:00,157,2020-08-14 02:34:50,2020
138,0,True,6,active,True,9,0,False,True,0,159,2020-08-14 01:45:05+00:00,159,2020-08-14 02:34:50,2020
139,0,True,2,active,True,12,0,True,True,0,160,2020-08-14 02:31:56+00:00,160,2020-08-14 02:34:50,2020
140,0,True,10,active,True,11,0,True,True,2,161,2020-08-14 02:28:52+00:00,161,2020-08-14 02:34:50,2020
141,0,True,2,active,True,13,0,False,True,0,162,2020-08-14 00:05:05+00:00,162,2020-08-14 02:34:50,2020
142,0,True,9,active,True,10,0,True,True,0,163,2020-08-14 02:15:27+00:00,163,2020-08-14 02:34:50,2020
143,0,True,4,active,True,11,0,False,True,0,167,2020-08-14 01:40:14+00:00,167,2020-08-14 02:34:50,2020
144,0,True,5,active,True,14,0,False,True,0,169,2020-08-14 00:46:44+00:00,169,2020-08-14 02:34:50,2020
145,0,True,11,active,True,3,0,True,True,0,170,2020-08-14 00:57:47+00:00,170,2020-08-14 02:34:50,2020
146,0,True,10,active,True,13,0,True,True,0,171,2020-08-14 01:11:39+00:00,171,2020-08-14 02:34:50,2020
147,0,True,12,active,True,2,0,True,True,0,173,2020-08-14 00:11:05+00:00,173,2020-08-14 02:34:50,2020
148,0,True,5,active,True,8,0,False,True,2,174,2020-08-14 01:05:35+00:00,174,2020-08-14 02:34:50,2020
149,0,True,10,active,True,5,0,True,True,2,175,2020-08-14 00:46:48+00:00,175,2020-08-14 02:34:50,2020
150,0,True,11,active,True,4,0,False,True,0,176,2020-08-14 00:33:30+00:00,176,2020-08-14 02:34:50,2020
151,0,True,2,active,True,17,0,False,True,0,177,2020-08-14 02:21:38+00:00,177,2020-08-14 02:34:50,2020
152,0,True,6,active,True,13,0,False,True,0,178,2020-08-14 02:12:37+00:00,178,2020-08-14 02:34:50,2020
153,0,True,14,active,True,11,0,False,True,0,179,2020-08-14 02:27:53+00:00,179,2020-08-14 02:34:50,2020
154,0,True,7,active,True,12,0,False,True,0,180,2020-08-14 00:52:09+00:00,180,2020-08-14 02:34:50,2020
155,0,True,12,active,True,7,0,False,True,0,181,2020-08-14 00:22:00+00:00,181,2020-08-14 02:34:50,2020
156,0,True,5,active,True,14,0,True,True,0,182,2020-08-14 02:13:21+00:00,182,2020-08-14 02:34:50,2020
157,0,True,4,active,True,14,0,False,True,1,183,2020-08-14 01:56:40+00:00,183,2020-08-14 02:34:50,2020
158,0,True,4,active,True,15,0,False,True,0,184,2020-08-14 02:02:28+00:00,184,2020-08-14 02:34:50,2020
159,0,True,10,active,True,5,0,False,True,0,185,2020-08-14 02:17:09+00:00,185,2020-08-14 02:34:50,2020
160,0,True,8,active,True,7,0,True,True,0,186,2020-08-14 02:04:21+00:00,186,2020-08-14 02:34:50,2020
161,0,True,6,active,True,9,0,False,True,0,187,2020-08-14 00:26:24+00:00,187,2020-08-14 02:34:50,2020
162,0,True,11,active,True,4,0,False,True,0,188,2020-08-14 02:25:30+00:00,188,2020-08-14 02:34:50,2020
163,0,True,0,active,True,23,0,True,True,0,189,2020-08-14 02:21:19+00:00,189,2020-08-14 02:34:50,2020
164,0,True,15,active,True,21,0,True,True,1,190,2020-08-14 02:11:18+00:00,190,2020-08-14 02:34:50,2020
165,0,True,4,active,True,11,0,False,True,0,191,2020-08-14 00:22:33+00:00,191,2020-08-14 02:34:50,2020
166,0,True,1,active,True,18,0,False,True,0,192,2020-08-14 01:25:01+00:00,192,2020-08-14 02:34:50,2020
167,0,True,8,active,True,6,0,True,True,1,193,2020-08-14 02:26:32+00:00,193,2020-08-14 02:34:50,2020
168,0,True,7,active,True,12,0,False,True,0,194,2020-08-14 02:31:20+00:00,194,2020-08-14 02:34:50,2020
169,0,True,7,active,True,15,0,False,True,1,195,2020-08-14 02:00:46+00:00,195,2020-08-14 02:34:50,2020
170,0,True,0,active,True,9,0,True,True,1,196,2020-08-13 22:31:42+00:00,196,2020-08-14 02:34:50,2020
171,0,True,3,active,True,11,0,False,True,1,197,2020-08-13 23:59:03+00:00,197,2020-08-14 02:34:50,2020
172,0,True,7,active,True,8,0,False,True,0,199,2020-08-14 02:05:42+00:00,199,2020-08-14 02:34:50,2020
173,0,True,12,active,True,7,0,False,True,0,200,2020-08-14 01:27:49+00:00,200,2020-08-14 02:34:50,2020
174,0,True,10,active,True,5,0,False,True,0,201,2020-08-14 00:14:03+00:00,201,2020-08-14 02:34:50,2020
175,0,True,1,active,True,14,0,False,True,0,202,2020-08-13 20:38:42+00:00,202,2020-08-14 02:34:50,2020
176,0,True,0,active,True,15,0,False,True,0,203,2020-08-13 14:09:27+00:00,203,2020-08-14 02:34:50,2020
177,0,True,1,active,True,13,0,False,True,1,204,2020-08-13 23:23:03+00:00,204,2020-08-14 02:34:50,2020
178,0,True,3,active,True,12,0,False,True,0,205,2020-08-14 01:05:54+00:00,205,2020-08-14 02:34:50,2020
179,0,True,2,active,True,20,0,True,True,1,206,2020-08-14 01:53:52+00:00,206,2020-08-14 02:34:50,2020
180,0,True,10,active,True,5,0,True,True,0,208,2020-08-14 00:41:20+00:00,208,2020-08-14 02:34:50,2020
181,0,True,8,active,True,7,0,False,True,0,209,2020-08-13 22:18:03+00:00,209,2020-08-14 02:34:50,2020
182,0,True,4,active,True,11,0,False,True,0,210,2020-08-14 00:34:46+00:00,210,2020-08-14 02:34:50,2020
183,0,True,8,active,True,11,0,False,True,0,211,2020-08-14 00:26:57+00:00,211,2020-08-14 02:34:50,2020
184,0,True,14,active,True,19,0,False,True,0,212,2020-08-14 00:47:13+00:00,212,2020-08-14 02:34:50,2020
185,0,True,5,active,True,11,0,True,True,0,213,2020-08-14 00:14:05+00:00,213,2020-08-14 02:34:50,2020
186,0,True,10,active,True,5,0,False,True,0,214,2020-08-14 01:05:11+00:00,214,2020-08-14 02:34:50,2020
187,0,True,5,active,True,10,0,False,True,0,215,2020-08-13 23:26:48+00:00,215,2020-08-14 02:34:50,2020
188,0,True,18,active,True,0,0,False,True,1,216,2020-08-13 22:08:51+00:00,216,2020-08-14 02:34:50,2020
189,0,True,9,active,True,10,0,False,True,0,217,2020-08-14 01:27:38+00:00,217,2020-08-14 02:34:50,2020
190,0,True,11,active,True,4,0,False,True,0,218,2020-08-14 02:21:46+00:00,218,2020-08-14 02:34:50,2020
191,0,True,5,active,True,9,0,False,True,1,219,2020-08-14 00:59:22+00:00,219,2020-08-14 02:34:50,2020
192,0,True,8,active,True,11,0,False,True,0,221,2020-08-14 01:24:19+00:00,221,2020-08-14 02:34:50,2020
193,0,True,4,active,True,10,0,True,True,0,222,2020-08-14 02:08:23+00:00,222,2020-08-14 02:34:50,2020
194,0,True,12,active,True,3,0,False,True,2,224,2020-08-14 02:06:47+00:00,224,2020-08-14 02:34:50,2020
195,0,True,5,active,True,14,0,False,True,0,225,2020-08-14 02:30:44+00:00,225,2020-08-14 02:34:50,2020
196,0,True,12,active,True,3,0,False,True,0,226,2020-08-14 02:26:57+00:00,226,2020-08-14 02:34:50,2020
197,0,True,8,active,True,8,0,False,True,3,227,2020-08-14 01:57:33+00:00,227,2020-08-14 02:34:50,2020
198,0,True,0,active,True,19,0,False,True,0,228,2020-08-14 01:50:08+00:00,228,2020-08-14 02:34:50,2020
199,0,True,6,active,True,5,0,False,True,0,232,2020-08-13 22:59:36+00:00,232,2020-08-14 02:34:50,2020
200,0,True,10,active,True,5,0,False,True,0,233,2020-08-14 02:30:12+00:00,233,2020-08-14 02:34:50,2020
