,station_id,num_bikes_available,num_ebikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
155,180,8,0,0,11,0,True,True,True,2020-03-18 22:25:00+00:00,False,2020-03-19 00:24:32,2020
156,181,11,0,0,8,0,True,True,True,2020-03-18 23:15:46+00:00,False,2020-03-19 00:24:32,2020
157,182,4,0,0,15,0,True,True,True,2020-03-18 20:23:37+00:00,True,2020-03-19 00:24:32,2020
158,183,12,0,0,7,0,True,True,True,2020-03-18 23:13:28+00:00,False,2020-03-19 00:24:32,2020
159,184,6,0,7,6,0,True,True,True,2020-03-18 23:21:56+00:00,False,2020-03-19 00:24:32,2020
160,185,3,0,0,12,0,True,True,True,2020-03-18 23:59:26+00:00,False,2020-03-19 00:24:32,2020
161,186,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,True,2020-03-19 00:24:32,1970
162,187,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-19 00:24:32,1970
163,188,9,0,0,6,0,True,True,True,2020-03-18 23:35:41+00:00,False,2020-03-19 00:24:32,2020
164,189,9,0,2,12,0,True,True,True,2020-03-19 00:20:05+00:00,True,2020-03-19 00:24:32,2020
165,190,25,0,0,12,0,True,True,True,2020-03-19 00:15:23+00:00,False,2020-03-19 00:24:32,2020
166,191,5,0,0,10,0,True,True,True,2020-03-18 20:19:11+00:00,False,2020-03-19 00:24:32,2020
167,192,6,0,0,13,0,True,True,True,2020-03-19 00:16:39+00:00,False,2020-03-19 00:24:32,2020
168,193,1,0,0,14,0,True,True,True,2020-03-18 23:32:34+00:00,False,2020-03-19 00:24:32,2020
169,194,4,0,1,14,0,True,True,True,2020-03-19 00:02:00+00:00,False,2020-03-19 00:24:32,2020
170,195,10,0,0,13,0,True,True,True,2020-03-18 23:57:03+00:00,False,2020-03-19 00:24:32,2020
171,196,5,0,0,5,0,True,True,True,2020-03-18 20:41:23+00:00,True,2020-03-19 00:24:32,2020
172,197,1,0,0,14,0,True,True,True,2020-03-18 21:53:38+00:00,False,2020-03-19 00:24:32,2020
173,199,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-19 00:24:32,1970
174,200,10,0,0,9,0,True,True,True,2020-03-19 00:17:45+00:00,False,2020-03-19 00:24:32,2020
