,is_renting,last_reported,station_status,is_installed,station_id,num_bikes_disabled,num_docks_available,eightd_has_available_keys,legacy_id,is_returning,num_docks_disabled,num_bikes_available,num_ebikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
128,True,2020-08-04 20:59:10+00:00,active,True,143,1,12,False,143,True,0,10,0,,,2020-08-04 21:07:00,2020
129,True,2020-08-04 20:39:57+00:00,active,True,144,0,18,False,144,True,0,1,0,,,2020-08-04 21:07:00,2020
130,True,2020-08-04 20:39:19+00:00,active,True,145,0,5,False,145,True,0,14,0,,,2020-08-04 21:07:00,2020
131,True,2020-08-04 21:06:41+00:00,active,True,146,2,6,False,146,True,0,11,0,,,2020-08-04 21:07:00,2020
132,True,2020-08-04 20:59:41+00:00,active,True,149,0,10,True,149,True,0,8,0,,,2020-08-04 21:07:00,2020
133,True,2020-08-04 20:42:40+00:00,active,True,150,0,16,False,150,True,0,3,0,,,2020-08-04 21:07:00,2020
134,True,2020-08-04 21:05:21+00:00,active,True,151,0,8,False,151,True,0,11,0,,,2020-08-04 21:07:00,2020
135,True,2020-08-04 21:04:35+00:00,active,True,152,0,2,True,152,True,0,13,0,,,2020-08-04 21:07:00,2020
136,True,2020-08-04 20:50:45+00:00,active,True,156,0,11,False,156,True,0,4,0,,,2020-08-04 21:07:00,2020
137,True,2020-08-04 20:53:34+00:00,active,True,157,2,4,False,157,True,0,9,0,,,2020-08-04 21:07:00,2020
138,True,2020-08-04 20:20:32+00:00,active,True,159,1,13,False,159,True,0,1,0,,,2020-08-04 21:07:00,2020
139,True,2020-08-04 20:33:26+00:00,active,True,160,1,12,True,160,True,0,1,0,,,2020-08-04 21:07:00,2020
140,True,2020-08-04 20:48:43+00:00,active,True,161,0,20,True,161,True,0,3,0,,,2020-08-04 21:07:00,2020
141,True,2020-08-04 20:04:45+00:00,active,True,162,1,10,False,162,True,0,4,0,,,2020-08-04 21:07:00,2020
142,True,2020-08-04 20:19:09+00:00,active,True,163,0,14,True,163,True,0,5,0,,,2020-08-04 21:07:00,2020
143,True,2020-08-04 19:30:10+00:00,active,True,167,0,2,False,167,True,0,13,0,,,2020-08-04 21:07:00,2020
144,True,2020-08-04 20:48:41+00:00,active,True,169,0,2,False,169,True,0,17,0,,,2020-08-04 21:07:00,2020
145,True,2020-08-04 19:21:17+00:00,active,True,170,0,14,True,170,True,0,0,0,,,2020-08-04 21:07:00,2020
146,True,2020-08-04 12:50:10+00:00,active,True,171,0,18,True,171,True,0,5,0,,,2020-08-04 21:07:00,2020
