,station_id,num_docks_available,num_docks_disabled,station_status,is_installed,legacy_id,num_bikes_disabled,is_renting,num_ebikes_available,is_returning,last_reported,eightd_has_available_keys,num_bikes_available,timestamp_of_data_read_request,year_station_last_reported
219,328,5,0,active,True,328,0,True,0,True,2020-08-22 00:38:00+00:00,False,10,2020-08-22 01:13:00,2020
220,329,5,0,active,True,329,0,True,0,True,2020-08-21 22:54:28+00:00,False,10,2020-08-22 01:13:00,2020
221,330,9,0,active,True,330,0,True,0,True,2020-08-22 00:03:19+00:00,False,6,2020-08-22 01:13:00,2020
222,331,5,0,active,True,331,0,True,0,True,2020-08-22 01:01:13+00:00,False,10,2020-08-22 01:13:00,2020
223,332,4,0,active,True,332,0,True,0,True,2020-08-22 00:44:38+00:00,False,11,2020-08-22 01:13:00,2020
224,333,3,0,active,True,333,0,True,0,True,2020-08-22 00:39:17+00:00,False,22,2020-08-22 01:13:00,2020
225,334,5,0,active,True,334,0,True,0,True,2020-08-22 00:49:56+00:00,False,14,2020-08-22 01:13:00,2020
226,335,12,0,active,True,335,0,True,0,True,2020-08-22 00:51:40+00:00,False,7,2020-08-22 01:13:00,2020
227,336,11,0,active,True,336,0,True,0,True,2020-08-21 21:26:12+00:00,False,4,2020-08-22 01:13:00,2020
228,337,0,0,active,True,337,0,True,0,True,2020-08-22 00:22:27+00:00,False,15,2020-08-22 01:13:00,2020
229,338,8,0,active,True,338,0,True,0,True,2020-08-22 01:11:26+00:00,False,7,2020-08-22 01:13:00,2020
230,339,0,0,active,True,339,0,True,0,True,2020-08-21 23:28:46+00:00,False,15,2020-08-22 01:13:00,2020
231,340,4,0,active,True,340,0,True,0,True,2020-08-21 08:56:34+00:00,False,15,2020-08-22 01:13:00,2020
232,341,2,0,active,True,341,0,True,0,True,2020-08-21 23:45:49+00:00,True,13,2020-08-22 01:13:00,2020
233,342,1,0,active,True,342,1,True,0,True,2020-08-22 01:12:49+00:00,False,13,2020-08-22 01:13:00,2020
234,343,12,0,active,True,343,0,True,0,True,2020-08-21 08:51:37+00:00,False,3,2020-08-22 01:13:00,2020
235,344,18,0,active,True,344,0,True,0,True,2020-08-22 01:04:42+00:00,False,1,2020-08-22 01:13:00,2020
236,345,10,0,active,True,345,1,True,0,True,2020-08-22 00:02:03+00:00,False,8,2020-08-22 01:13:00,2020
237,346,13,0,active,True,346,0,True,0,True,2020-08-22 00:47:24+00:00,False,2,2020-08-22 01:13:00,2020
238,347,1,0,active,True,347,0,True,0,True,2020-08-21 18:50:00+00:00,False,14,2020-08-22 01:13:00,2020
239,348,8,0,active,True,348,0,True,0,True,2020-08-22 00:53:57+00:00,False,7,2020-08-22 01:13:00,2020
240,349,12,0,active,True,349,0,True,0,True,2020-08-22 00:40:33+00:00,False,5,2020-08-22 01:13:00,2020
241,350,5,0,active,True,350,0,True,0,True,2020-08-22 00:24:03+00:00,False,12,2020-08-22 01:13:00,2020
242,351,3,0,active,True,351,0,True,0,True,2020-08-22 01:08:40+00:00,False,12,2020-08-22 01:13:00,2020
243,352,6,0,active,True,352,0,True,0,True,2020-08-22 01:06:35+00:00,False,9,2020-08-22 01:13:00,2020
244,353,7,0,active,True,353,0,True,0,True,2020-08-21 13:30:07+00:00,True,8,2020-08-22 01:13:00,2020
245,354,9,0,active,True,354,0,True,0,True,2020-08-22 00:54:40+00:00,False,6,2020-08-22 01:13:00,2020
246,355,2,0,active,True,355,0,True,0,True,2020-08-22 00:12:22+00:00,False,15,2020-08-22 01:13:00,2020
247,356,9,0,active,True,356,0,True,0,True,2020-08-22 01:01:06+00:00,False,14,2020-08-22 01:13:00,2020
248,357,3,0,active,True,357,0,True,0,True,2020-08-22 01:11:33+00:00,False,12,2020-08-22 01:13:00,2020
249,358,8,0,active,True,358,0,True,0,True,2020-08-22 00:20:29+00:00,False,11,2020-08-22 01:13:00,2020
250,359,12,0,active,True,359,0,True,0,True,2020-08-22 01:07:09+00:00,False,3,2020-08-22 01:13:00,2020
251,360,13,0,active,True,360,0,True,0,True,2020-08-22 00:17:22+00:00,False,2,2020-08-22 01:13:00,2020
252,361,17,0,active,True,361,0,True,0,True,2020-08-22 01:03:47+00:00,False,2,2020-08-22 01:13:00,2020
253,362,14,0,active,True,362,0,True,0,True,2020-08-22 00:51:55+00:00,False,5,2020-08-22 01:13:00,2020
254,363,4,0,active,True,363,0,True,0,True,2020-08-22 01:09:21+00:00,False,15,2020-08-22 01:13:00,2020
255,364,14,0,active,True,364,1,True,0,True,2020-08-22 00:30:56+00:00,False,4,2020-08-22 01:13:00,2020
256,365,14,0,active,True,365,0,True,0,True,2020-08-22 01:05:48+00:00,False,5,2020-08-22 01:13:00,2020
257,366,0,0,out_of_service,False,366,0,True,0,True,1970-01-02 00:00:00+00:00,False,0,2020-08-22 01:13:00,1970
258,367,2,0,active,True,367,1,True,0,True,2020-08-22 01:03:01+00:00,False,16,2020-08-22 01:13:00,2020
259,368,13,0,active,True,368,0,True,0,True,2020-08-21 18:01:46+00:00,False,2,2020-08-22 01:13:00,2020
260,369,1,0,active,True,369,0,True,0,True,2020-08-22 00:43:07+00:00,False,14,2020-08-22 01:13:00,2020
261,370,12,0,active,True,370,0,True,0,True,2020-08-22 01:00:52+00:00,False,7,2020-08-22 01:13:00,2020
262,371,11,0,active,True,371,0,True,0,True,2020-08-22 00:49:24+00:00,False,8,2020-08-22 01:13:00,2020
263,372,2,0,active,True,372,1,True,0,True,2020-08-22 01:05:12+00:00,False,16,2020-08-22 01:13:00,2020
264,373,6,0,active,True,373,0,True,0,True,2020-08-22 00:09:58+00:00,False,9,2020-08-22 01:13:00,2020
265,374,6,0,active,True,374,0,True,0,True,2020-08-22 01:12:14+00:00,False,13,2020-08-22 01:13:00,2020
266,376,6,0,active,True,376,0,True,0,True,2020-08-21 23:55:51+00:00,True,9,2020-08-22 01:13:00,2020
267,377,13,0,active,True,377,0,True,0,True,2020-08-21 22:42:39+00:00,False,6,2020-08-22 01:13:00,2020
268,378,12,0,active,True,378,1,True,0,True,2020-08-22 01:04:27+00:00,False,6,2020-08-22 01:13:00,2020
269,379,0,0,active,True,379,0,True,0,True,2020-08-22 00:40:40+00:00,False,15,2020-08-22 01:13:00,2020
270,380,13,0,active,True,380,0,True,0,True,2020-08-22 01:08:54+00:00,False,5,2020-08-22 01:13:00,2020
271,381,0,0,active,True,381,1,True,0,True,2020-08-22 00:22:37+00:00,False,18,2020-08-22 01:13:00,2020
272,384,6,0,active,True,384,0,True,0,True,2020-08-22 00:38:51+00:00,True,13,2020-08-22 01:13:00,2020
273,385,12,1,active,True,385,0,True,0,True,2020-08-22 00:22:41+00:00,False,2,2020-08-22 01:13:00,2020
274,386,8,0,active,True,386,0,True,0,True,2020-08-22 01:07:05+00:00,False,11,2020-08-22 01:13:00,2020
275,387,5,0,active,True,387,0,True,0,True,2020-08-22 00:42:48+00:00,False,10,2020-08-22 01:13:00,2020
276,388,1,0,active,True,388,0,True,0,True,2020-08-21 22:02:33+00:00,False,10,2020-08-22 01:13:00,2020
277,389,8,0,active,True,389,0,True,0,True,2020-08-21 18:44:35+00:00,False,6,2020-08-22 01:13:00,2020
278,390,6,0,active,True,390,0,True,0,True,2020-08-21 17:53:00+00:00,False,9,2020-08-22 01:13:00,2020
