,is_returning,num_bikes_available,last_reported,num_docks_available,num_ebikes_available,num_docks_disabled,is_installed,is_renting,eightd_has_available_keys,station_status,num_bikes_disabled,legacy_id,station_id,timestamp_of_data_read_request,year_station_last_reported
74,True,8,2020-08-22 01:20:21+00:00,7,0,0,True,True,False,active,0,84,84,2020-08-22 01:33:30,2020
75,True,2,2020-08-22 01:25:14+00:00,17,0,0,True,True,False,active,0,85,85,2020-08-22 01:33:30,2020
76,True,18,2020-08-22 01:30:01+00:00,1,0,0,True,True,False,active,0,86,86,2020-08-22 01:33:30,2020
77,True,6,2020-08-22 01:18:36+00:00,8,0,0,True,True,False,active,1,87,87,2020-08-22 01:33:30,2020
78,True,8,2020-08-22 01:25:15+00:00,11,0,0,True,True,False,active,0,89,89,2020-08-22 01:33:30,2020
79,True,3,2020-08-22 01:19:37+00:00,16,0,0,True,True,False,active,0,90,90,2020-08-22 01:33:30,2020
80,True,5,2020-08-22 01:29:06+00:00,13,0,0,True,True,False,active,1,91,91,2020-08-22 01:33:30,2020
81,True,7,2020-08-21 21:04:11+00:00,11,0,0,True,True,False,active,1,92,92,2020-08-22 01:33:30,2020
82,True,7,2020-08-22 01:29:32+00:00,8,0,0,True,True,False,active,0,93,93,2020-08-22 01:33:30,2020
83,True,7,2020-08-22 00:33:50+00:00,4,0,0,True,True,False,active,0,94,94,2020-08-22 01:33:30,2020
84,True,7,2020-08-22 00:47:10+00:00,8,0,0,True,True,False,active,0,95,95,2020-08-22 01:33:30,2020
85,True,7,2020-08-22 00:58:09+00:00,11,0,0,True,True,False,active,1,96,96,2020-08-22 01:33:30,2020
86,True,2,2020-08-22 01:19:53+00:00,16,0,0,True,True,False,active,1,97,97,2020-08-22 01:33:30,2020
87,True,8,2020-08-22 01:17:20+00:00,14,0,0,True,True,False,active,1,98,98,2020-08-22 01:33:30,2020
88,True,13,2020-08-22 01:31:20+00:00,2,0,0,True,True,False,active,0,99,99,2020-08-22 01:33:30,2020
89,True,14,2020-08-22 01:13:24+00:00,11,0,0,True,True,True,active,0,100,100,2020-08-22 01:33:30,2020
90,True,4,2020-08-22 01:12:29+00:00,11,0,0,True,True,False,active,0,101,101,2020-08-22 01:33:30,2020
91,True,4,2020-08-22 00:21:00+00:00,11,0,0,True,True,False,active,0,102,102,2020-08-22 01:33:30,2020
