,num_docks_disabled,legacy_id,last_reported,eightd_has_available_keys,is_installed,num_ebikes_available,is_returning,is_renting,num_bikes_available,num_docks_available,num_bikes_disabled,station_status,station_id,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
167,0,192,2020-07-26 01:27:46+00:00,False,True,0,True,True,0,19,0,active,192,,,2020-07-26 03:10:40,2020
168,0,193,2020-07-26 03:02:52+00:00,True,True,0,True,True,8,7,0,active,193,,,2020-07-26 03:10:40,2020
169,0,194,2020-07-26 02:23:48+00:00,False,True,0,True,True,13,6,0,active,194,,,2020-07-26 03:10:40,2020
170,0,195,2020-07-26 02:54:00+00:00,False,True,0,True,True,14,9,0,active,195,,,2020-07-26 03:10:40,2020
171,0,196,2020-07-26 02:01:22+00:00,True,True,0,True,True,1,9,0,active,196,,,2020-07-26 03:10:40,2020
172,0,197,2020-07-26 01:16:34+00:00,False,True,0,True,True,3,11,1,active,197,,,2020-07-26 03:10:40,2020
173,0,199,2020-07-26 00:43:36+00:00,False,True,0,True,True,3,12,0,active,199,,,2020-07-26 03:10:40,2020
174,0,200,2020-07-26 02:28:02+00:00,False,True,0,True,True,9,10,0,active,200,,,2020-07-26 03:10:40,2020
175,0,201,2020-07-25 21:55:54+00:00,False,True,0,True,True,1,14,0,active,201,,,2020-07-26 03:10:40,2020
176,0,202,2020-07-26 01:27:33+00:00,False,True,0,True,True,1,14,0,active,202,,,2020-07-26 03:10:40,2020
177,0,203,2020-07-26 00:21:28+00:00,False,True,0,True,True,5,9,1,active,203,,,2020-07-26 03:10:40,2020
178,0,204,2020-07-26 01:20:10+00:00,False,True,0,True,True,4,11,0,active,204,,,2020-07-26 03:10:40,2020
179,0,205,2020-07-25 22:53:10+00:00,False,True,0,True,True,2,12,1,active,205,,,2020-07-26 03:10:40,2020
180,0,206,2020-07-25 23:53:32+00:00,True,True,0,True,True,0,23,0,active,206,,,2020-07-26 03:10:40,2020
181,0,208,2020-07-26 00:13:09+00:00,True,True,0,True,True,7,8,0,active,208,,,2020-07-26 03:10:40,2020
182,0,209,2020-07-26 02:26:37+00:00,False,True,0,True,True,5,8,2,active,209,,,2020-07-26 03:10:40,2020
183,0,210,2020-07-26 02:52:55+00:00,False,True,0,True,True,6,8,1,active,210,,,2020-07-26 03:10:40,2020
184,0,211,2020-07-26 00:59:02+00:00,False,True,0,True,True,15,3,1,active,211,,,2020-07-26 03:10:40,2020
185,0,212,2020-07-26 03:02:06+00:00,False,True,0,True,True,4,29,0,active,212,,,2020-07-26 03:10:40,2020
186,0,213,2020-07-25 23:46:53+00:00,True,True,0,True,True,0,16,0,active,213,,,2020-07-26 03:10:40,2020
187,0,214,2020-07-26 01:46:48+00:00,False,True,0,True,True,10,5,0,active,214,,,2020-07-26 03:10:40,2020
188,0,215,2020-07-26 01:05:58+00:00,False,True,0,True,True,9,5,1,active,215,,,2020-07-26 03:10:40,2020
189,0,216,2020-07-26 02:16:40+00:00,False,True,0,True,True,19,0,0,active,216,,,2020-07-26 03:10:40,2020
190,0,217,2020-07-26 01:50:55+00:00,False,True,0,True,True,5,14,0,active,217,,,2020-07-26 03:10:40,2020
191,0,218,2020-07-26 02:52:59+00:00,False,True,0,True,True,0,15,0,active,218,,,2020-07-26 03:10:40,2020
192,0,219,2020-07-25 20:46:24+00:00,False,True,0,True,True,15,0,0,active,219,,,2020-07-26 03:10:40,2020
193,0,221,2020-07-26 02:33:36+00:00,False,True,0,True,True,10,9,0,active,221,,,2020-07-26 03:10:40,2020
194,0,222,2020-07-26 02:30:08+00:00,True,True,0,True,True,5,8,1,active,222,,,2020-07-26 03:10:40,2020
195,0,224,2020-07-26 01:30:12+00:00,False,True,0,True,True,7,10,0,active,224,,,2020-07-26 03:10:40,2020
196,1,225,2020-07-26 02:59:29+00:00,False,True,0,True,True,1,17,0,active,225,,,2020-07-26 03:10:40,2020
197,0,226,2020-07-26 02:52:25+00:00,False,True,0,True,True,0,15,0,active,226,,,2020-07-26 03:10:40,2020
198,0,227,2020-07-26 02:48:28+00:00,False,True,0,True,True,13,5,1,active,227,,,2020-07-26 03:10:40,2020
199,0,228,2020-07-26 00:11:07+00:00,False,True,0,True,True,1,18,0,active,228,,,2020-07-26 03:10:40,2020
200,0,232,2020-07-26 01:07:03+00:00,False,True,0,True,True,8,3,0,active,232,,,2020-07-26 03:10:40,2020
201,0,233,2020-07-26 02:55:05+00:00,False,True,0,True,True,7,6,2,active,233,,,2020-07-26 03:10:40,2020
202,0,234,2020-07-25 21:50:20+00:00,False,True,0,True,True,1,14,0,active,234,,,2020-07-26 03:10:40,2020
203,0,235,2020-07-26 01:44:39+00:00,False,True,0,True,True,15,0,0,active,235,,,2020-07-26 03:10:40,2020
204,0,236,2020-07-26 02:43:44+00:00,False,True,0,True,True,14,1,0,active,236,,,2020-07-26 03:10:40,2020
205,0,239,2020-07-26 02:35:04+00:00,False,True,0,True,True,1,14,0,active,239,,,2020-07-26 03:10:40,2020
206,0,255,2020-07-26 01:21:50+00:00,False,True,0,True,True,5,10,0,active,255,,,2020-07-26 03:10:40,2020
207,0,258,2020-07-26 03:09:01+00:00,False,True,0,True,True,10,5,0,active,258,,,2020-07-26 03:10:40,2020
208,0,259,2020-07-25 15:58:41+00:00,False,True,0,True,True,3,12,0,active,259,,,2020-07-26 03:10:40,2020
209,0,260,2020-07-26 01:52:36+00:00,False,True,0,False,False,15,0,0,active,260,,,2020-07-26 03:10:40,2020
210,0,271,2020-07-26 00:25:17+00:00,False,True,0,True,True,12,3,0,active,271,,,2020-07-26 03:10:40,2020
211,0,272,2020-07-26 01:08:47+00:00,False,True,0,True,True,4,15,0,active,272,,,2020-07-26 03:10:40,2020
212,0,273,2020-07-26 02:17:21+00:00,False,True,0,True,True,8,31,1,active,273,,,2020-07-26 03:10:40,2020
213,0,279,2020-07-26 01:34:33+00:00,False,True,0,True,True,13,6,0,active,279,,,2020-07-26 03:10:40,2020
214,0,280,2020-07-26 01:10:21+00:00,False,True,0,True,True,5,14,0,active,280,,,2020-07-26 03:10:40,2020
215,0,282,2020-07-26 03:09:45+00:00,False,True,0,True,True,10,2,3,active,282,,,2020-07-26 03:10:40,2020
216,0,296,2020-07-26 02:47:36+00:00,False,True,0,True,True,16,6,1,active,296,,,2020-07-26 03:10:40,2020
217,0,318,2020-07-26 03:10:27+00:00,False,True,0,True,True,4,15,0,active,318,,,2020-07-26 03:10:40,2020
218,0,319,2020-07-26 01:22:31+00:00,False,True,0,True,True,12,13,0,active,319,,,2020-07-26 03:10:40,2020
219,0,327,2020-07-26 01:35:28+00:00,False,True,0,True,True,4,11,0,active,327,,,2020-07-26 03:10:40,2020
220,0,328,2020-07-26 03:05:02+00:00,False,True,0,True,True,11,3,1,active,328,,,2020-07-26 03:10:40,2020
221,0,329,2020-07-26 01:20:18+00:00,False,True,0,True,True,12,3,0,active,329,,,2020-07-26 03:10:40,2020
222,0,330,2020-07-26 03:09:24+00:00,False,True,0,True,True,8,5,2,active,330,,,2020-07-26 03:10:40,2020
223,0,331,2020-07-26 02:41:46+00:00,False,True,0,True,True,6,8,1,active,331,,,2020-07-26 03:10:40,2020
224,0,332,2020-07-26 03:03:20+00:00,False,True,0,True,True,12,1,2,active,332,,,2020-07-26 03:10:40,2020
225,0,333,2020-07-26 02:34:59+00:00,False,True,0,True,True,23,1,1,active,333,,,2020-07-26 03:10:40,2020
226,0,334,2020-07-26 02:50:31+00:00,False,True,0,True,True,13,6,0,active,334,,,2020-07-26 03:10:40,2020
227,0,335,2020-07-26 02:34:07+00:00,False,True,0,True,True,13,5,1,active,335,,,2020-07-26 03:10:40,2020
228,0,336,2020-07-26 00:29:00+00:00,False,True,0,True,True,14,1,0,active,336,,,2020-07-26 03:10:40,2020
229,0,337,2020-07-26 02:15:24+00:00,False,True,0,True,True,8,7,0,active,337,,,2020-07-26 03:10:40,2020
230,0,338,2020-07-26 03:05:13+00:00,False,True,0,True,True,5,10,0,active,338,,,2020-07-26 03:10:40,2020
231,0,339,2020-07-26 00:16:33+00:00,False,True,0,True,True,15,0,0,active,339,,,2020-07-26 03:10:40,2020
