,num_docks_available,is_renting,last_reported,num_bikes_available,legacy_id,station_id,num_ebikes_available,num_docks_disabled,eightd_has_available_keys,num_bikes_disabled,is_installed,is_returning,station_status,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
129,15,True,2020-07-30 17:23:19+00:00,3,144,144,0,0,False,1,True,True,active,,,2020-07-30 17:35:50,2020
130,11,True,2020-07-30 16:53:46+00:00,8,145,145,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
131,7,True,2020-07-30 17:05:19+00:00,11,146,146,0,0,False,1,True,True,active,,,2020-07-30 17:35:50,2020
132,5,True,2020-07-30 17:33:36+00:00,13,149,149,0,0,True,0,True,True,active,,,2020-07-30 17:35:50,2020
133,7,True,2020-07-30 15:47:55+00:00,12,150,150,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
134,10,True,2020-07-30 17:16:28+00:00,8,151,151,0,0,False,1,True,True,active,,,2020-07-30 17:35:50,2020
135,4,True,2020-07-30 17:31:18+00:00,11,152,152,0,0,True,0,True,True,active,,,2020-07-30 17:35:50,2020
136,13,True,2020-07-30 16:55:31+00:00,2,156,156,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
137,9,True,2020-07-30 17:29:36+00:00,5,157,157,0,0,False,1,True,True,active,,,2020-07-30 17:35:50,2020
138,8,True,2020-07-30 16:02:09+00:00,6,159,159,0,0,False,1,True,True,active,,,2020-07-30 17:35:50,2020
139,12,True,2020-07-30 15:32:32+00:00,2,160,160,0,0,True,0,True,True,active,,,2020-07-30 17:35:50,2020
140,23,True,2020-07-30 17:31:48+00:00,0,161,161,0,0,True,0,True,True,active,,,2020-07-30 17:35:50,2020
141,15,True,2020-07-30 16:52:51+00:00,0,162,162,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
142,12,True,2020-07-30 16:13:36+00:00,7,163,163,0,0,True,0,True,True,active,,,2020-07-30 17:35:50,2020
143,7,True,2020-07-30 16:02:38+00:00,7,167,167,0,0,False,1,True,True,active,,,2020-07-30 17:35:50,2020
144,10,True,2020-07-30 16:02:18+00:00,9,169,169,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
145,13,True,2020-07-30 17:21:59+00:00,1,170,170,0,0,True,0,True,True,active,,,2020-07-30 17:35:50,2020
146,22,True,2020-07-30 17:27:23+00:00,1,171,171,0,0,True,0,True,True,active,,,2020-07-30 17:35:50,2020
147,9,True,2020-07-30 16:34:13+00:00,3,173,173,0,0,True,2,True,True,active,,,2020-07-30 17:35:50,2020
148,4,True,2020-07-30 17:26:27+00:00,11,174,174,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
149,16,True,2020-07-30 16:46:13+00:00,1,175,175,0,0,True,0,True,True,active,,,2020-07-30 17:35:50,2020
150,4,True,2020-07-30 17:18:13+00:00,11,176,176,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
151,10,True,2020-07-30 17:29:13+00:00,8,177,177,0,0,False,1,True,True,active,,,2020-07-30 17:35:50,2020
152,4,True,2020-07-30 17:25:23+00:00,15,178,178,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
153,14,True,2020-07-30 17:19:53+00:00,11,179,179,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
154,12,True,2020-07-30 16:06:46+00:00,7,180,180,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
155,17,True,2020-07-30 16:48:20+00:00,1,181,181,0,0,False,1,True,True,active,,,2020-07-30 17:35:50,2020
156,10,True,2020-07-30 17:31:24+00:00,8,182,182,0,0,True,1,True,True,active,,,2020-07-30 17:35:50,2020
157,9,True,2020-07-30 16:15:51+00:00,10,183,183,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
158,0,True,2020-07-30 16:52:24+00:00,19,184,184,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
159,6,True,2020-07-30 17:30:51+00:00,9,185,185,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
160,11,True,2020-07-30 16:54:15+00:00,4,186,186,0,0,True,0,True,True,active,,,2020-07-30 17:35:50,2020
161,5,True,2020-07-30 14:56:13+00:00,10,187,187,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
162,5,True,2020-07-30 15:36:17+00:00,10,188,188,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
163,1,True,2020-07-30 17:35:25+00:00,22,189,189,0,0,True,0,True,True,active,,,2020-07-30 17:35:50,2020
164,17,True,2020-07-30 17:26:20+00:00,19,190,190,0,0,False,1,True,True,active,,,2020-07-30 17:35:50,2020
165,13,True,2020-07-30 15:41:20+00:00,2,191,191,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
166,2,True,2020-07-30 15:34:16+00:00,17,192,192,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
167,5,True,2020-07-30 17:04:57+00:00,10,193,193,0,0,True,0,True,True,active,,,2020-07-30 17:35:50,2020
168,6,True,2020-07-30 15:33:13+00:00,13,194,194,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
169,12,True,2020-07-30 17:07:46+00:00,11,195,195,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
170,7,True,2020-07-30 14:12:53+00:00,2,196,196,0,0,True,1,True,True,active,,,2020-07-30 17:35:50,2020
171,15,True,2020-07-30 15:09:47+00:00,0,197,197,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
172,9,True,2020-07-30 14:28:13+00:00,6,199,199,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
173,11,True,2020-07-30 17:08:42+00:00,8,200,200,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
174,14,True,2020-07-30 16:46:13+00:00,1,201,201,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
175,10,True,2020-07-30 17:30:29+00:00,4,202,202,0,0,False,1,True,True,active,,,2020-07-30 17:35:50,2020
176,9,True,2020-07-30 11:51:49+00:00,6,203,203,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
177,14,True,2020-07-30 08:25:15+00:00,1,204,204,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
178,11,True,2020-07-30 16:59:29+00:00,4,205,205,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
179,8,True,2020-07-30 17:12:49+00:00,15,206,206,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
180,1,True,2020-07-30 17:22:25+00:00,14,208,208,0,0,True,0,True,True,active,,,2020-07-30 17:35:50,2020
181,2,True,2020-07-30 08:20:08+00:00,12,209,209,0,0,False,1,True,True,active,,,2020-07-30 17:35:50,2020
182,14,True,2020-07-30 13:13:26+00:00,1,210,210,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
183,4,True,2020-07-30 15:39:49+00:00,14,211,211,0,0,False,1,True,True,active,,,2020-07-30 17:35:50,2020
184,24,True,2020-07-30 17:16:55+00:00,9,212,212,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
185,10,True,2020-07-30 16:47:32+00:00,6,213,213,0,0,True,0,True,True,active,,,2020-07-30 17:35:50,2020
186,3,True,2020-07-30 16:51:08+00:00,12,214,214,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
187,4,True,2020-07-30 16:39:32+00:00,11,215,215,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
188,1,True,2020-07-30 08:25:30+00:00,17,216,216,0,0,False,1,True,True,active,,,2020-07-30 17:35:50,2020
189,16,True,2020-07-30 17:26:18+00:00,2,217,217,0,0,False,1,True,True,active,,,2020-07-30 17:35:50,2020
190,6,True,2020-07-30 17:32:22+00:00,9,218,218,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
191,4,True,2020-07-30 17:13:14+00:00,11,219,219,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
192,12,True,2020-07-30 17:33:12+00:00,7,221,221,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
193,12,True,2020-07-30 17:30:58+00:00,2,222,222,0,0,True,0,True,True,active,,,2020-07-30 17:35:50,2020
194,9,True,2020-07-30 17:17:51+00:00,8,224,224,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
195,12,True,2020-07-30 17:17:00+00:00,6,225,225,0,0,False,1,True,True,active,,,2020-07-30 17:35:50,2020
