,station_id,num_bikes_disabled,eightd_has_available_keys,is_renting,station_status,legacy_id,last_reported,is_installed,num_ebikes_available,num_docks_disabled,num_docks_available,num_bikes_available,is_returning,timestamp_of_data_read_request,year_station_last_reported
156,182,0,True,True,active,182,2020-08-21 23:35:12+00:00,True,0,0,16,3,True,2020-08-22 00:22:00,2020
157,183,0,False,True,active,183,2020-08-21 23:03:43+00:00,True,0,0,18,1,True,2020-08-22 00:22:00,2020
158,184,0,False,True,active,184,2020-08-21 23:59:25+00:00,True,0,0,18,1,True,2020-08-22 00:22:00,2020
159,185,1,False,True,active,185,2020-08-22 00:05:39+00:00,True,0,0,7,7,True,2020-08-22 00:22:00,2020
160,186,0,True,True,active,186,2020-08-21 23:42:57+00:00,True,0,0,2,13,True,2020-08-22 00:22:00,2020
161,187,1,False,True,active,187,2020-08-21 23:58:55+00:00,True,0,0,13,1,True,2020-08-22 00:22:00,2020
162,188,0,False,True,active,188,2020-08-21 23:56:33+00:00,True,0,0,4,11,True,2020-08-22 00:22:00,2020
163,189,0,True,True,active,189,2020-08-22 00:12:58+00:00,True,0,0,20,3,True,2020-08-22 00:22:00,2020
164,190,1,True,True,active,190,2020-08-22 00:16:57+00:00,True,0,0,23,13,True,2020-08-22 00:22:00,2020
165,191,0,False,True,active,191,2020-08-22 00:15:03+00:00,True,0,0,14,1,True,2020-08-22 00:22:00,2020
166,192,0,False,True,active,192,2020-08-21 23:52:53+00:00,True,0,0,19,0,True,2020-08-22 00:22:00,2020
167,193,0,True,True,active,193,2020-08-21 22:49:50+00:00,True,0,0,12,3,True,2020-08-22 00:22:00,2020
168,194,0,False,True,active,194,2020-08-21 23:33:30+00:00,True,0,0,14,5,True,2020-08-22 00:22:00,2020
169,195,0,False,True,active,195,2020-08-22 00:21:35+00:00,True,0,0,15,8,True,2020-08-22 00:22:00,2020
170,196,0,False,True,active,196,2020-08-21 23:31:49+00:00,True,0,0,4,6,True,2020-08-22 00:22:00,2020
171,197,0,False,True,active,197,2020-08-21 23:35:23+00:00,True,0,0,4,11,True,2020-08-22 00:22:00,2020
172,199,0,False,True,active,199,2020-08-21 23:38:51+00:00,True,0,0,4,11,True,2020-08-22 00:22:00,2020
173,200,0,False,True,active,200,2020-08-22 00:01:15+00:00,True,0,0,8,11,True,2020-08-22 00:22:00,2020
174,201,0,False,True,active,201,2020-08-21 22:44:20+00:00,True,0,0,13,2,True,2020-08-22 00:22:00,2020
175,202,0,False,True,active,202,2020-08-22 00:04:05+00:00,True,0,0,13,2,True,2020-08-22 00:22:00,2020
176,203,0,False,True,active,203,2020-08-21 12:45:21+00:00,True,0,0,9,6,True,2020-08-22 00:22:00,2020
177,204,0,False,True,active,204,2020-08-21 23:07:05+00:00,True,0,0,15,0,True,2020-08-22 00:22:00,2020
178,205,0,False,True,active,205,2020-08-21 22:54:25+00:00,True,0,0,12,3,True,2020-08-22 00:22:00,2020
179,206,0,False,True,active,206,2020-08-22 00:19:47+00:00,True,0,0,23,0,True,2020-08-22 00:22:00,2020
180,208,0,True,True,active,208,2020-08-21 23:39:43+00:00,True,0,0,1,14,True,2020-08-22 00:22:00,2020
181,209,1,False,True,active,209,2020-08-21 23:25:43+00:00,True,0,0,11,3,True,2020-08-22 00:22:00,2020
182,210,0,False,True,active,210,2020-08-21 22:22:28+00:00,True,0,0,15,0,True,2020-08-22 00:22:00,2020
183,211,0,False,True,active,211,2020-08-21 22:22:18+00:00,True,0,0,7,12,True,2020-08-22 00:22:00,2020
184,212,1,False,True,active,212,2020-08-22 00:20:09+00:00,True,0,0,27,5,True,2020-08-22 00:22:00,2020
185,213,0,True,True,active,213,2020-08-21 19:55:09+00:00,True,0,0,10,6,True,2020-08-22 00:22:00,2020
186,214,0,False,True,active,214,2020-08-22 00:21:45+00:00,True,0,0,14,1,True,2020-08-22 00:22:00,2020
187,215,1,False,True,active,215,2020-08-22 00:11:46+00:00,True,0,0,10,4,True,2020-08-22 00:22:00,2020
188,216,0,False,True,active,216,2020-08-21 23:55:44+00:00,True,0,0,6,13,True,2020-08-22 00:22:00,2020
189,217,1,False,True,active,217,2020-08-22 00:20:49+00:00,True,0,0,13,5,True,2020-08-22 00:22:00,2020
190,218,0,False,True,active,218,2020-08-22 00:16:59+00:00,True,0,0,0,15,True,2020-08-22 00:22:00,2020
191,219,0,False,True,active,219,2020-08-21 20:06:41+00:00,True,0,0,9,6,True,2020-08-22 00:22:00,2020
192,221,0,False,True,active,221,2020-08-21 23:54:16+00:00,True,0,0,19,0,True,2020-08-22 00:22:00,2020
193,222,1,True,True,active,222,2020-08-22 00:18:07+00:00,True,0,0,8,5,True,2020-08-22 00:22:00,2020
194,224,1,False,True,active,224,2020-08-22 00:16:55+00:00,True,0,0,6,10,True,2020-08-22 00:22:00,2020
195,225,1,False,True,active,225,2020-08-22 00:14:01+00:00,True,0,0,7,11,True,2020-08-22 00:22:00,2020
196,226,1,False,True,active,226,2020-08-21 23:44:29+00:00,True,0,0,11,3,True,2020-08-22 00:22:00,2020
197,227,2,False,True,active,227,2020-08-22 00:21:14+00:00,True,0,0,5,12,True,2020-08-22 00:22:00,2020
198,228,0,False,True,active,228,2020-08-21 23:39:19+00:00,True,0,0,10,9,True,2020-08-22 00:22:00,2020
199,232,0,False,True,active,232,2020-08-21 21:57:05+00:00,True,0,0,10,1,True,2020-08-22 00:22:00,2020
200,233,0,False,True,active,233,2020-08-22 00:17:20+00:00,True,0,0,12,3,True,2020-08-22 00:22:00,2020
201,234,0,False,True,active,234,2020-08-21 23:56:05+00:00,True,0,0,14,1,True,2020-08-22 00:22:00,2020
202,235,0,False,True,active,235,2020-08-22 00:20:07+00:00,True,0,0,8,7,True,2020-08-22 00:22:00,2020
