,last_reported,station_status,num_docks_disabled,legacy_id,eightd_has_available_keys,station_id,num_bikes_available,num_docks_available,num_bikes_disabled,num_ebikes_available,is_returning,is_installed,is_renting,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
20,2020-08-06 05:09:46+00:00,active,0,24,False,24,10,9,0,0,True,True,True,,,2020-08-06 07:44:40,2020
21,2020-08-06 06:53:58+00:00,active,0,25,False,25,7,8,0,0,True,True,True,,,2020-08-06 07:44:40,2020
22,2020-08-06 05:57:49+00:00,active,0,26,False,26,5,9,1,0,True,True,True,,,2020-08-06 07:44:40,2020
23,2020-08-06 05:05:03+00:00,active,0,27,False,27,20,1,2,0,True,True,True,,,2020-08-06 07:44:40,2020
24,2020-08-06 00:15:21+00:00,active,0,29,False,29,5,9,1,0,True,True,True,,,2020-08-06 07:44:40,2020
25,2020-08-06 07:21:26+00:00,active,0,30,False,30,2,13,0,0,True,True,True,,,2020-08-06 07:44:40,2020
26,2020-08-06 02:34:32+00:00,active,0,31,True,31,3,16,0,0,True,True,True,,,2020-08-06 07:44:40,2020
27,2020-08-06 06:46:34+00:00,active,0,32,False,32,4,11,0,0,True,True,True,,,2020-08-06 07:44:40,2020
28,2020-08-06 04:39:02+00:00,active,0,33,False,33,7,20,0,0,True,True,True,,,2020-08-06 07:44:40,2020
29,2020-08-06 03:07:58+00:00,active,0,35,False,35,5,18,0,0,True,True,True,,,2020-08-06 07:44:40,2020
30,2020-08-06 02:52:57+00:00,active,0,36,True,36,25,8,0,0,True,True,True,,,2020-08-06 07:44:40,2020
31,2020-08-05 23:21:29+00:00,active,0,37,True,37,12,3,0,0,True,True,True,,,2020-08-06 07:44:40,2020
32,2020-08-06 07:43:28+00:00,active,0,39,False,39,12,11,0,0,True,True,True,,,2020-08-06 07:44:40,2020
33,2020-08-06 03:04:21+00:00,active,0,40,False,40,15,3,1,0,True,True,True,,,2020-08-06 07:44:40,2020
34,2020-08-06 03:53:35+00:00,active,0,41,True,41,27,0,0,0,True,True,True,,,2020-08-06 07:44:40,2020
35,2020-08-06 05:52:29+00:00,active,0,42,False,42,12,10,1,0,True,True,True,,,2020-08-06 07:44:40,2020
36,2020-08-06 03:41:24+00:00,active,0,43,True,43,10,5,0,0,True,True,True,,,2020-08-06 07:44:40,2020
37,2020-08-06 06:37:22+00:00,active,0,44,False,44,14,9,0,0,True,True,True,,,2020-08-06 07:44:40,2020
38,2020-08-06 06:00:27+00:00,active,0,46,False,46,15,4,0,0,True,True,True,,,2020-08-06 07:44:40,2020
39,2020-08-06 04:28:50+00:00,active,0,47,True,47,11,8,0,0,True,True,True,,,2020-08-06 07:44:40,2020
40,2020-08-06 00:15:31+00:00,active,0,48,False,48,2,17,0,0,True,True,True,,,2020-08-06 07:44:40,2020
