,legacy_id,eightd_has_available_keys,num_docks_disabled,is_installed,num_docks_available,last_reported,is_renting,num_bikes_available,is_returning,num_bikes_disabled,station_status,station_id,num_ebikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
78,89,False,0,True,4,2020-07-30 18:40:13+00:00,True,15,True,0,active,89,0,,,2020-07-30 19:07:45,2020
79,90,False,0,True,9,2020-07-30 18:49:33+00:00,True,10,True,0,active,90,0,,,2020-07-30 19:07:45,2020
80,91,False,0,True,5,2020-07-30 18:51:36+00:00,True,12,True,2,active,91,0,,,2020-07-30 19:07:45,2020
81,92,False,0,True,7,2020-07-30 12:41:43+00:00,True,11,True,1,active,92,0,,,2020-07-30 19:07:45,2020
82,93,False,0,True,6,2020-07-30 18:06:31+00:00,True,7,True,2,active,93,0,,,2020-07-30 19:07:45,2020
83,94,False,0,True,4,2020-07-30 18:29:47+00:00,True,7,True,0,active,94,0,,,2020-07-30 19:07:45,2020
84,95,False,0,True,3,2020-07-30 18:55:58+00:00,True,12,True,0,active,95,0,,,2020-07-30 19:07:45,2020
85,96,False,0,True,13,2020-07-30 18:43:48+00:00,True,6,True,0,active,96,0,,,2020-07-30 19:07:45,2020
86,97,False,0,True,14,2020-07-30 19:01:45+00:00,True,4,True,1,active,97,0,,,2020-07-30 19:07:45,2020
87,98,False,0,True,15,2020-07-30 18:46:36+00:00,True,7,True,0,active,98,0,,,2020-07-30 19:07:45,2020
88,99,False,0,True,7,2020-07-30 16:44:26+00:00,True,8,True,0,active,99,0,,,2020-07-30 19:07:45,2020
89,100,True,0,True,12,2020-07-30 18:32:24+00:00,True,11,True,2,active,100,0,,,2020-07-30 19:07:45,2020
90,101,False,0,True,15,2020-07-30 18:01:10+00:00,True,0,True,0,active,101,0,,,2020-07-30 19:07:45,2020
91,102,False,0,True,11,2020-07-30 17:41:15+00:00,True,4,True,0,active,102,0,,,2020-07-30 19:07:45,2020
92,103,False,0,True,7,2020-07-30 18:27:39+00:00,True,7,True,1,active,103,0,,,2020-07-30 19:07:45,2020
93,104,False,0,True,7,2020-07-30 18:23:33+00:00,True,12,True,0,active,104,0,,,2020-07-30 19:07:45,2020
94,105,False,0,True,12,2020-07-30 18:44:29+00:00,True,7,True,0,active,105,0,,,2020-07-30 19:07:45,2020
95,106,False,0,True,8,2020-07-30 18:19:25+00:00,True,7,True,0,active,106,0,,,2020-07-30 19:07:45,2020
96,107,False,0,True,3,2020-07-30 19:05:35+00:00,True,15,True,1,active,107,0,,,2020-07-30 19:07:45,2020
97,108,False,0,True,3,2020-07-30 19:03:21+00:00,True,14,True,0,active,108,0,,,2020-07-30 19:07:45,2020
98,109,False,0,True,7,2020-07-30 18:49:26+00:00,True,26,True,2,active,109,0,,,2020-07-30 19:07:45,2020
99,110,False,0,True,6,2020-07-30 19:02:55+00:00,True,9,True,0,active,110,0,,,2020-07-30 19:07:45,2020
100,111,False,0,True,14,2020-07-30 17:37:31+00:00,True,1,True,0,active,111,0,,,2020-07-30 19:07:45,2020
101,112,False,0,True,7,2020-07-30 18:37:49+00:00,True,8,True,0,active,112,0,,,2020-07-30 19:07:45,2020
102,113,False,0,True,2,2020-07-30 17:54:18+00:00,True,12,True,1,active,113,0,,,2020-07-30 19:07:45,2020
