,station_status,station_id,eightd_has_available_keys,is_returning,is_installed,last_reported,num_bikes_available,num_bikes_disabled,num_ebikes_available,is_renting,num_docks_available,num_docks_disabled,legacy_id,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
79,active,90,False,True,True,2020-08-13 20:02:11+00:00,9,0,0,True,10,0,90,,,2020-08-13 20:16:50,2020
80,active,91,False,True,True,2020-08-13 20:08:55+00:00,15,0,0,True,4,0,91,,,2020-08-13 20:16:50,2020
81,active,92,False,True,True,2020-08-13 16:36:00+00:00,10,0,0,True,9,0,92,,,2020-08-13 20:16:50,2020
82,active,93,False,True,True,2020-08-13 19:37:02+00:00,8,0,0,True,7,0,93,,,2020-08-13 20:16:50,2020
83,active,94,False,True,True,2020-08-13 20:13:43+00:00,1,0,0,True,10,0,94,,,2020-08-13 20:16:50,2020
84,active,95,False,True,True,2020-08-13 20:06:58+00:00,4,1,0,True,10,0,95,,,2020-08-13 20:16:50,2020
85,active,96,False,True,True,2020-08-13 20:16:38+00:00,8,0,0,True,11,0,96,,,2020-08-13 20:16:50,2020
86,active,97,False,True,True,2020-08-13 20:03:01+00:00,7,1,0,True,11,0,97,,,2020-08-13 20:16:50,2020
87,active,98,False,True,True,2020-08-13 20:14:46+00:00,8,0,0,True,15,0,98,,,2020-08-13 20:16:50,2020
88,active,99,False,True,True,2020-08-13 19:41:33+00:00,8,1,0,True,6,0,99,,,2020-08-13 20:16:50,2020
89,active,100,True,True,True,2020-08-13 19:34:44+00:00,14,1,0,True,10,0,100,,,2020-08-13 20:16:50,2020
90,active,101,False,True,True,2020-08-13 19:20:42+00:00,11,0,0,True,4,0,101,,,2020-08-13 20:16:50,2020
91,active,102,False,True,True,2020-08-13 19:40:22+00:00,8,0,0,True,7,0,102,,,2020-08-13 20:16:50,2020
92,active,103,False,True,True,2020-08-13 19:24:17+00:00,6,0,0,True,9,0,103,,,2020-08-13 20:16:50,2020
93,active,104,False,True,True,2020-08-13 20:09:23+00:00,5,0,0,True,14,0,104,,,2020-08-13 20:16:50,2020
94,active,105,False,True,True,2020-08-13 20:13:13+00:00,6,0,0,True,13,0,105,,,2020-08-13 20:16:50,2020
95,active,106,False,True,True,2020-08-13 18:54:26+00:00,0,1,0,True,14,0,106,,,2020-08-13 20:16:50,2020
96,active,107,False,True,True,2020-08-13 20:14:31+00:00,14,0,0,True,5,0,107,,,2020-08-13 20:16:50,2020
97,active,108,False,True,True,2020-08-13 19:42:58+00:00,2,0,0,True,15,0,108,,,2020-08-13 20:16:50,2020
98,active,109,False,True,True,2020-08-13 20:05:57+00:00,2,0,0,True,33,0,109,,,2020-08-13 20:16:50,2020
99,active,110,False,True,True,2020-08-13 19:58:37+00:00,2,0,0,True,13,0,110,,,2020-08-13 20:16:50,2020
100,active,111,False,True,True,2020-08-13 20:06:29+00:00,6,0,0,True,9,0,111,,,2020-08-13 20:16:50,2020
101,active,112,False,True,True,2020-08-13 18:44:09+00:00,11,0,0,True,4,0,112,,,2020-08-13 20:16:50,2020
102,active,113,False,True,True,2020-08-13 20:14:41+00:00,7,0,0,True,8,0,113,,,2020-08-13 20:16:50,2020
103,active,114,False,True,True,2020-08-13 19:12:28+00:00,2,1,0,True,12,0,114,,,2020-08-13 20:16:50,2020
104,active,115,False,True,True,2020-08-13 19:57:11+00:00,15,3,0,True,1,0,115,,,2020-08-13 20:16:50,2020
105,active,116,False,True,True,2020-08-13 20:02:11+00:00,5,0,0,True,18,0,116,,,2020-08-13 20:16:50,2020
106,active,117,False,True,True,2020-08-13 20:14:07+00:00,4,0,0,True,15,0,117,,,2020-08-13 20:16:50,2020
107,active,118,False,True,True,2020-08-13 20:10:30+00:00,13,1,0,True,5,0,118,,,2020-08-13 20:16:50,2020
108,active,119,False,True,True,2020-08-13 20:04:43+00:00,13,0,0,True,2,0,119,,,2020-08-13 20:16:50,2020
109,active,120,False,True,True,2020-08-13 20:12:50+00:00,8,0,0,True,7,0,120,,,2020-08-13 20:16:50,2020
110,active,121,False,True,True,2020-08-13 19:02:11+00:00,0,0,0,True,17,0,121,,,2020-08-13 20:16:50,2020
111,active,122,False,True,True,2020-08-13 18:08:12+00:00,8,0,0,True,7,0,122,,,2020-08-13 20:16:50,2020
112,active,124,False,True,True,2020-08-13 20:10:43+00:00,7,1,0,True,7,0,124,,,2020-08-13 20:16:50,2020
113,active,125,False,True,True,2020-08-13 19:15:39+00:00,2,1,0,True,12,0,125,,,2020-08-13 20:16:50,2020
114,active,126,False,True,True,2020-08-13 19:34:51+00:00,8,1,0,True,6,0,126,,,2020-08-13 20:16:50,2020
115,active,128,False,True,True,2020-08-13 20:12:19+00:00,6,0,0,True,13,0,128,,,2020-08-13 20:16:50,2020
116,active,129,False,True,True,2020-08-13 19:24:01+00:00,13,0,0,True,6,0,129,,,2020-08-13 20:16:50,2020
117,active,130,False,True,True,2020-08-13 18:46:17+00:00,14,0,0,True,1,0,130,,,2020-08-13 20:16:50,2020
118,active,131,False,True,True,2020-08-13 20:12:29+00:00,6,2,0,True,10,0,131,,,2020-08-13 20:16:50,2020
119,active,133,False,True,True,2020-08-13 20:11:43+00:00,5,0,0,True,18,0,133,,,2020-08-13 20:16:50,2020
120,active,135,False,True,True,2020-08-13 20:09:52+00:00,2,0,0,True,15,0,135,,,2020-08-13 20:16:50,2020
121,active,136,False,True,True,2020-08-13 18:22:22+00:00,11,1,0,True,7,0,136,,,2020-08-13 20:16:50,2020
122,active,137,False,True,True,2020-08-13 19:56:08+00:00,6,0,0,True,9,0,137,,,2020-08-13 20:16:50,2020
123,active,138,False,True,True,2020-08-13 19:59:11+00:00,13,2,0,True,0,0,138,,,2020-08-13 20:16:50,2020
124,active,139,False,True,True,2020-08-13 20:16:33+00:00,4,2,0,True,13,0,139,,,2020-08-13 20:16:50,2020
125,active,140,False,True,True,2020-08-13 19:42:12+00:00,13,0,0,True,4,0,140,,,2020-08-13 20:16:50,2020
126,active,141,False,True,True,2020-08-13 20:16:25+00:00,5,0,0,True,10,0,141,,,2020-08-13 20:16:50,2020
127,active,142,False,True,True,2020-08-13 20:05:52+00:00,11,1,0,True,11,0,142,,,2020-08-13 20:16:50,2020
128,active,143,False,True,True,2020-08-13 19:49:13+00:00,9,1,0,True,13,0,143,,,2020-08-13 20:16:50,2020
129,active,144,False,True,True,2020-08-13 19:58:38+00:00,7,0,0,True,12,0,144,,,2020-08-13 20:16:50,2020
130,active,145,False,True,True,2020-08-13 20:12:08+00:00,16,0,0,True,3,0,145,,,2020-08-13 20:16:50,2020
131,active,146,False,True,True,2020-08-13 20:04:37+00:00,13,0,0,True,6,0,146,,,2020-08-13 20:16:50,2020
132,active,149,True,True,True,2020-08-13 19:20:57+00:00,5,1,0,True,12,0,149,,,2020-08-13 20:16:50,2020
133,active,150,False,True,True,2020-08-13 18:18:27+00:00,13,0,0,True,6,0,150,,,2020-08-13 20:16:50,2020
134,active,151,False,True,True,2020-08-13 19:27:16+00:00,10,1,0,True,8,0,151,,,2020-08-13 20:16:50,2020
135,active,152,True,True,True,2020-08-13 17:22:50+00:00,4,0,0,True,11,0,152,,,2020-08-13 20:16:50,2020
136,active,156,False,True,True,2020-08-13 19:46:50+00:00,3,0,0,True,12,0,156,,,2020-08-13 20:16:50,2020
137,active,157,False,True,True,2020-08-13 20:15:04+00:00,1,2,0,True,12,0,157,,,2020-08-13 20:16:50,2020
138,active,159,False,True,True,2020-08-13 19:55:21+00:00,10,0,0,True,5,0,159,,,2020-08-13 20:16:50,2020
139,active,160,True,True,True,2020-08-13 19:05:11+00:00,12,0,0,True,2,0,160,,,2020-08-13 20:16:50,2020
140,active,161,True,True,True,2020-08-13 20:09:22+00:00,10,2,0,True,11,0,161,,,2020-08-13 20:16:50,2020
141,active,162,False,True,True,2020-08-13 19:25:41+00:00,4,0,0,True,11,0,162,,,2020-08-13 20:16:50,2020
142,active,163,True,True,True,2020-08-13 20:15:44+00:00,11,0,0,True,8,0,163,,,2020-08-13 20:16:50,2020
143,active,167,False,True,True,2020-08-13 20:06:21+00:00,2,0,0,True,13,0,167,,,2020-08-13 20:16:50,2020
144,active,169,False,True,True,2020-08-13 18:27:41+00:00,7,0,0,True,12,0,169,,,2020-08-13 20:16:50,2020
145,active,170,True,True,True,2020-08-13 16:34:52+00:00,7,0,0,True,7,0,170,,,2020-08-13 20:16:50,2020
146,active,171,True,True,True,2020-08-13 17:52:09+00:00,8,0,0,True,15,0,171,,,2020-08-13 20:16:50,2020
147,active,173,True,True,True,2020-08-13 18:15:35+00:00,11,0,0,True,3,0,173,,,2020-08-13 20:16:50,2020
148,active,174,False,True,True,2020-08-13 18:15:19+00:00,4,1,0,True,10,0,174,,,2020-08-13 20:16:50,2020
149,active,175,True,True,True,2020-08-13 20:16:28+00:00,3,1,0,True,13,0,175,,,2020-08-13 20:16:50,2020
150,active,176,False,True,True,2020-08-13 19:36:59+00:00,10,0,0,True,5,0,176,,,2020-08-13 20:16:50,2020
151,active,177,False,True,True,2020-08-13 19:58:32+00:00,3,1,0,True,15,0,177,,,2020-08-13 20:16:50,2020
152,active,178,False,True,True,2020-08-13 20:14:38+00:00,8,0,0,True,11,0,178,,,2020-08-13 20:16:50,2020
153,active,179,False,True,True,2020-08-13 20:09:12+00:00,18,0,0,True,7,0,179,,,2020-08-13 20:16:50,2020
154,active,180,False,True,True,2020-08-13 18:56:53+00:00,13,0,0,True,6,0,180,,,2020-08-13 20:16:50,2020
155,active,181,False,True,True,2020-08-13 19:27:41+00:00,7,0,0,True,12,0,181,,,2020-08-13 20:16:50,2020
156,active,182,True,True,True,2020-08-13 20:03:31+00:00,3,0,0,True,16,0,182,,,2020-08-13 20:16:50,2020
