,is_returning,num_bikes_available,station_status,eightd_has_available_keys,num_docks_disabled,station_id,num_bikes_disabled,num_docks_available,is_renting,legacy_id,num_ebikes_available,last_reported,is_installed,timestamp_of_data_read_request,year_station_last_reported
145,True,4,active,True,0,170,1,9,True,170,0,2020-08-13 03:24:18+00:00,True,2020-08-13 05:38:40,2020
146,True,10,active,True,0,171,0,13,True,171,0,2020-08-12 23:58:34+00:00,True,2020-08-13 05:38:40,2020
147,True,9,active,True,0,173,0,5,True,173,0,2020-08-13 03:24:57+00:00,True,2020-08-13 05:38:40,2020
148,True,6,active,False,0,174,1,8,True,174,0,2020-08-13 05:03:39+00:00,True,2020-08-13 05:38:40,2020
149,True,8,active,True,0,175,1,8,True,175,0,2020-08-13 03:24:23+00:00,True,2020-08-13 05:38:40,2020
150,True,14,active,False,0,176,0,1,True,176,0,2020-08-13 03:23:48+00:00,True,2020-08-13 05:38:40,2020
151,True,3,active,False,0,177,0,16,True,177,0,2020-08-13 04:32:07+00:00,True,2020-08-13 05:38:40,2020
152,True,2,active,False,0,178,0,17,True,178,0,2020-08-13 04:48:35+00:00,True,2020-08-13 05:38:40,2020
153,True,13,active,False,0,179,0,12,True,179,0,2020-08-13 04:40:03+00:00,True,2020-08-13 05:38:40,2020
154,True,7,active,False,0,180,0,12,True,180,0,2020-08-13 03:43:23+00:00,True,2020-08-13 05:38:40,2020
155,True,12,active,False,0,181,0,7,True,181,0,2020-08-13 03:24:55+00:00,True,2020-08-13 05:38:40,2020
156,True,1,active,True,0,182,0,18,True,182,0,2020-08-13 03:24:10+00:00,True,2020-08-13 05:38:40,2020
157,True,3,active,False,0,183,1,15,True,183,0,2020-08-13 04:05:18+00:00,True,2020-08-13 05:38:40,2020
158,True,11,active,False,0,184,0,8,True,184,0,2020-08-13 03:23:51+00:00,True,2020-08-13 05:38:40,2020
159,True,8,active,False,0,185,0,7,True,185,0,2020-08-13 05:16:23+00:00,True,2020-08-13 05:38:40,2020
160,True,3,active,True,0,186,0,12,True,186,0,2020-08-13 04:24:41+00:00,True,2020-08-13 05:38:40,2020
161,True,7,active,False,0,187,0,8,True,187,0,2020-08-13 03:24:24+00:00,True,2020-08-13 05:38:40,2020
162,True,14,active,False,0,188,1,0,True,188,0,2020-08-13 03:24:30+00:00,True,2020-08-13 05:38:40,2020
163,True,0,active,True,0,189,0,23,True,189,0,2020-08-13 03:24:02+00:00,True,2020-08-13 05:38:40,2020
164,True,10,active,True,0,190,1,26,True,190,0,2020-08-13 03:58:36+00:00,True,2020-08-13 05:38:40,2020
165,True,7,active,False,0,191,0,8,True,191,0,2020-08-13 05:21:44+00:00,True,2020-08-13 05:38:40,2020
166,True,0,active,False,0,192,0,19,True,192,0,2020-08-13 03:24:20+00:00,True,2020-08-13 05:38:40,2020
167,True,3,active,True,0,193,2,10,True,193,0,2020-08-13 03:23:32+00:00,True,2020-08-13 05:38:40,2020
168,True,2,active,False,0,194,0,17,True,194,0,2020-08-13 04:34:42+00:00,True,2020-08-13 05:38:40,2020
169,True,15,active,False,0,195,0,8,True,195,0,2020-08-13 03:21:44+00:00,True,2020-08-13 05:38:40,2020
170,True,2,active,True,0,196,0,8,True,196,0,2020-08-13 03:29:50+00:00,True,2020-08-13 05:38:40,2020
171,True,5,active,False,0,197,1,9,True,197,0,2020-08-13 03:23:40+00:00,True,2020-08-13 05:38:40,2020
172,True,4,active,False,0,199,0,11,True,199,0,2020-08-13 04:03:08+00:00,True,2020-08-13 05:38:40,2020
173,True,15,active,False,0,200,1,3,True,200,0,2020-08-13 05:18:34+00:00,True,2020-08-13 05:38:40,2020
174,True,0,active,False,0,201,0,15,True,201,0,2020-08-13 03:24:32+00:00,True,2020-08-13 05:38:40,2020
175,True,5,active,False,0,202,0,10,True,202,0,2020-08-13 03:24:58+00:00,True,2020-08-13 05:38:40,2020
176,True,1,active,False,0,203,0,14,True,203,0,2020-08-13 03:23:40+00:00,True,2020-08-13 05:38:40,2020
177,True,0,active,False,0,204,1,14,True,204,0,2020-08-13 04:10:02+00:00,True,2020-08-13 05:38:40,2020
178,True,2,active,False,0,205,0,13,True,205,0,2020-08-13 03:23:54+00:00,True,2020-08-13 05:38:40,2020
179,True,0,active,True,0,206,1,22,True,206,0,2020-08-13 04:00:20+00:00,True,2020-08-13 05:38:40,2020
180,True,5,active,True,0,208,1,9,True,208,0,2020-08-13 05:18:56+00:00,True,2020-08-13 05:38:40,2020
181,True,5,active,False,0,209,0,10,True,209,0,2020-08-13 04:02:38+00:00,True,2020-08-13 05:38:40,2020
182,True,3,active,False,0,210,0,12,True,210,0,2020-08-13 04:34:35+00:00,True,2020-08-13 05:38:40,2020
183,True,4,active,False,0,211,0,15,True,211,0,2020-08-13 04:03:01+00:00,True,2020-08-13 05:38:40,2020
184,True,31,active,False,0,212,0,2,True,212,0,2020-08-13 03:56:57+00:00,True,2020-08-13 05:38:40,2020
185,True,3,active,True,0,213,0,13,True,213,0,2020-08-13 03:28:10+00:00,True,2020-08-13 05:38:40,2020
186,True,4,active,False,0,214,0,11,True,214,0,2020-08-13 03:58:45+00:00,True,2020-08-13 05:38:40,2020
187,True,5,active,False,0,215,1,9,True,215,0,2020-08-13 04:14:07+00:00,True,2020-08-13 05:38:40,2020
