,num_docks_available,eightd_has_available_keys,legacy_id,station_status,station_id,is_installed,num_bikes_disabled,is_renting,last_reported,is_returning,num_bikes_available,num_ebikes_available,num_docks_disabled,timestamp_of_data_read_request,year_station_last_reported
24,10,False,29,active,29,True,1,True,2020-08-18 23:25:24+00:00,True,4,0,0,2020-08-19 07:50:05,2020
25,14,False,30,active,30,True,0,True,2020-08-19 06:29:22+00:00,True,1,0,0,2020-08-19 07:50:05,2020
26,15,True,31,active,31,True,0,True,2020-08-19 05:52:50+00:00,True,4,0,0,2020-08-19 07:50:05,2020
27,6,False,32,active,32,True,0,True,2020-08-19 07:47:48+00:00,True,9,0,0,2020-08-19 07:50:05,2020
28,0,False,33,active,33,True,1,True,2020-08-19 03:54:26+00:00,True,26,0,0,2020-08-19 07:50:05,2020
29,22,False,35,active,35,True,0,True,2020-08-19 02:01:28+00:00,True,1,0,0,2020-08-19 07:50:05,2020
30,12,True,36,active,36,True,2,True,2020-08-19 07:05:52+00:00,True,19,0,0,2020-08-19 07:50:05,2020
31,2,True,37,active,37,True,0,True,2020-08-19 04:11:53+00:00,True,13,0,0,2020-08-19 07:50:05,2020
32,16,False,39,active,39,True,0,True,2020-08-19 04:55:08+00:00,True,7,0,0,2020-08-19 07:50:05,2020
33,5,False,40,active,40,True,0,True,2020-08-19 05:46:19+00:00,True,14,0,0,2020-08-19 07:50:05,2020
34,3,True,41,active,41,True,1,True,2020-08-19 05:02:23+00:00,True,23,0,0,2020-08-19 07:50:05,2020
35,18,False,42,active,42,True,1,True,2020-08-19 04:53:31+00:00,True,4,0,0,2020-08-19 07:50:05,2020
36,13,True,43,active,43,True,0,True,2020-08-19 05:18:13+00:00,True,2,0,0,2020-08-19 07:50:05,2020
37,13,False,44,active,44,True,0,True,2020-08-19 06:10:38+00:00,True,10,0,0,2020-08-19 07:50:05,2020
38,11,False,46,active,46,True,0,True,2020-08-19 06:10:30+00:00,True,8,0,0,2020-08-19 07:50:05,2020
39,1,True,47,active,47,True,0,True,2020-08-19 05:29:02+00:00,True,18,0,0,2020-08-19 07:50:05,2020
40,16,False,48,active,48,True,0,True,2020-08-19 05:42:21+00:00,True,3,0,0,2020-08-19 07:50:05,2020
41,2,False,49,active,49,True,0,True,2020-08-19 05:48:52+00:00,True,16,0,0,2020-08-19 07:50:05,2020
42,3,True,50,active,50,True,0,True,2020-08-19 06:41:19+00:00,True,12,0,0,2020-08-19 07:50:05,2020
43,8,False,51,active,51,True,0,True,2020-08-19 06:24:36+00:00,True,7,0,0,2020-08-19 07:50:05,2020
